SUA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
1000,24125,48431,25699,17458,28295,12451,147,156603,16415,34454,25064,21314,33124,11368,109,141852,7888,14109,10603,10272,23733,7599,52,74249,2705,3240,1813,1611,11897,3544,15,24831,147816,225304,117552,91348,181621,78422,1430,843489
1001,2039,3867,1645,893,2464,511,13,11432,1267,2590,1638,1104,2796,498,12,9913,641,1123,748,623,2099,431,4,5666,260,328,159,111,1123,233,0,2220,15775,21967,9692,6426,19814,4550,75,78292
1002,449,964,444,181,502,186,5,2733,290,684,379,231,442,133,7,2167,184,344,205,183,421,173,0,1512,65,109,57,29,215,113,0,592,3679,5606,2409,1409,4301,2178,41,19624
1003,1183,2291,1088,558,1054,280,9,6465,848,1892,1286,852,1453,336,6,6677,455,868,625,514,1216,286,0,3971,185,253,139,105,868,279,0,1822,7643,11336,5491,3572,8239,2393,57,38732
1004,420,869,504,287,557,181,7,2819,346,868,556,415,767,167,4,3121,169,375,274,255,570,148,4,1798,64,83,52,24,391,55,0,669,2448,4091,2156,1532,3798,1132,18,15176
1005,753,1398,653,367,818,216,6,4211,434,954,645,442,918,152,3,3547,236,415,292,229,803,156,3,2142,104,125,55,41,557,78,0,973,5992,8389,3710,2469,7448,2408,39,30458
1006,932,1904,987,563,801,194,7,5388,675,1709,1162,848,1121,240,10,5767,508,1011,740,525,1074,286,3,4149,153,255,147,80,597,267,0,1502,6514,10050,5284,3641,7175,1802,52,34524
1007,384,731,311,260,772,170,4,2633,238,486,315,272,797,165,3,2282,114,182,111,158,530,164,0,1268,56,60,31,30,286,119,0,583,2254,3574,1627,1317,4580,1411,15,14788
1008,280,523,207,96,214,120,3,1448,186,371,236,122,249,75,7,1257,48,122,75,53,157,37,0,492,19,19,10,7,97,23,0,174,2187,2769,1057,610,2161,922,112,9817
1009,479,980,517,336,541,124,9,2985,392,1034,792,546,844,143,3,3751,248,516,368,354,814,133,0,2433,98,108,48,63,422,73,0,807,2642,4550,2506,1830,3793,715,17,16055
