SUA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
1016,0,11,3,4,0,0,15,3,11,3,4,0,0,19,21,72,4,28,19,0,148,78,80,35,52,31,6,280,106,41,11,43,16,0,221,256,37,12,73,27,0,402,439,11,9,105,23,4,592,545,9,0,108,24,0,688,87,0,0,31,12,0,133,13,0,0,4,0,0,22,4,0,0,0,6,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,11,30,17,8,111,1591,289,83,489,175,28,2651
1017,0,0,4,0,0,0,8,0,4,5,0,0,0,10,8,9,15,14,0,0,47,34,46,62,38,18,0,199,60,21,33,32,9,5,163,132,25,31,69,18,0,277,265,20,19,97,10,0,405,276,14,21,46,10,0,370,19,0,0,4,0,0,29,5,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,6,13,10,3,72,809,165,194,320,80,10,1587
1018,0,11,6,3,7,0,29,0,16,0,5,0,0,21,13,186,26,33,7,4,279,66,74,87,51,28,3,306,107,20,29,80,48,6,284,273,39,34,136,37,10,529,569,38,23,234,20,4,881,682,15,8,260,19,4,982,241,6,0,72,9,4,326,68,0,0,28,0,0,96,10,0,0,8,0,0,25,3,0,0,3,0,0,12,3,0,0,0,0,0,3,0,0,0,4,0,0,7,36,28,8,31,18,10,136,2080,430,231,940,194,36,3913
1019,0,11,0,3,0,0,18,0,25,0,3,0,0,33,11,134,11,19,0,4,185,28,51,8,28,10,0,130,65,21,5,37,4,0,125,205,23,12,35,4,0,278,381,29,4,48,5,0,470,189,3,0,30,3,0,225,23,0,0,3,0,0,33,3,0,0,0,0,0,7,4,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,3,13,9,0,71,939,329,38,229,43,9,1583
1020,0,0,0,0,5,0,0,0,0,0,0,4,0,4,3,0,0,3,0,0,11,3,3,3,13,14,0,37,3,0,5,18,8,0,30,10,6,6,22,111,0,156,40,0,0,40,43,0,118,206,0,0,56,10,0,275,203,0,0,28,4,0,234,99,0,0,3,0,0,104,24,0,0,3,5,0,31,15,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,16,16,4,48,625,16,13,197,208,7,1078
1021,0,0,0,8,3,0,11,3,0,0,0,3,0,8,3,11,8,12,17,0,49,14,11,11,36,15,4,91,34,7,9,37,30,4,114,76,7,3,48,8,0,146,210,12,4,107,16,0,345,710,0,0,141,15,0,870,450,0,3,72,0,0,530,93,0,0,8,3,0,105,22,0,0,3,0,0,24,3,0,0,4,0,0,6,4,0,0,0,0,0,4,5,0,0,0,0,0,5,38,5,5,24,17,4,96,1658,57,49,504,121,17,2409
1022,0,0,0,3,4,0,11,0,6,0,0,0,0,5,3,17,6,9,5,0,38,19,38,19,26,5,0,109,18,17,7,15,6,0,60,58,28,10,21,3,3,122,207,48,5,43,7,0,309,400,11,4,67,8,3,491,297,0,0,26,6,0,326,59,0,0,3,0,0,61,10,0,0,3,0,0,13,0,0,0,0,0,0,0,4,0,0,3,0,0,8,5,0,0,0,0,0,12,22,13,0,7,15,4,69,1115,172,53,224,56,14,1638
1023,0,0,0,0,3,0,8,0,4,0,4,0,0,8,10,27,9,11,9,0,66,62,80,25,19,6,0,191,66,27,9,32,0,0,130,154,29,10,50,10,0,252,270,46,15,55,7,0,394,498,9,0,48,4,0,566,88,3,0,7,0,0,95,7,0,0,4,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,11,0,8,14,3,69,1194,227,75,233,61,7,1806
1024,0,0,3,8,0,0,11,0,0,0,4,4,0,10,4,15,40,17,25,0,104,10,29,36,19,39,0,128,34,3,10,44,6,5,97,78,11,14,43,53,8,207,254,14,8,98,22,0,398,694,5,3,138,7,0,858,497,0,0,81,9,0,587,154,0,0,26,4,0,181,67,0,0,3,0,0,70,4,0,0,0,0,0,6,3,0,0,0,0,0,4,6,0,0,3,5,0,11,35,3,7,36,25,6,112,1838,93,123,519,191,23,2785
1025,25,186,30,61,16,0,319,11,324,46,33,14,9,436,124,2637,209,291,87,23,3367,479,1555,587,475,157,20,3271,622,572,175,549,81,10,2013,1727,822,294,823,445,26,4131,5564,836,300,1779,253,24,8764,13883,558,191,2728,254,33,17653,9078,70,39,1239,116,17,10556,3198,15,8,416,25,8,3666,1051,6,0,134,12,6,1205,388,0,0,74,8,0,478,162,3,0,30,9,0,206,212,6,0,88,21,5,321,590,483,118,497,197,126,2016,37110,8077,2012,9214,1691,297,58389
1026,3,4,10,3,13,0,27,0,13,10,0,3,0,29,5,51,59,21,9,5,151,45,164,148,31,18,0,405,77,65,47,48,13,0,252,201,115,97,66,146,6,640,544,108,101,147,54,4,956,1073,43,41,193,29,8,1385,539,5,10,76,3,0,629,102,0,0,11,4,0,118,22,0,0,4,0,0,24,3,0,0,0,0,0,5,0,0,0,4,3,0,12,3,0,0,3,5,0,9,41,52,28,39,26,12,198,2655,626,548,641,333,39,4845
1027,0,21,4,10,0,0,33,0,41,10,0,5,0,50,24,219,26,22,5,0,303,69,168,43,37,9,8,332,123,53,21,69,10,0,278,391,77,22,96,18,0,606,851,70,24,155,22,5,1135,1239,25,12,148,14,9,1444,612,4,0,56,7,0,678,124,0,0,12,3,0,147,23,0,0,10,0,0,29,5,0,0,8,0,0,12,5,0,0,5,0,0,6,17,0,0,14,0,0,34,81,76,14,44,55,15,289,3567,747,182,692,155,28,5375
1028,4,6,7,5,14,0,32,7,4,3,4,4,0,20,3,36,47,24,16,9,133,22,127,170,31,27,3,385,47,34,29,57,6,0,173,259,57,70,92,15,6,491,737,36,62,168,15,10,1023,1616,29,80,345,36,0,2109,1136,4,8,155,12,4,1316,346,3,0,51,0,0,402,116,0,0,17,3,0,133,28,0,0,3,0,0,34,12,0,0,7,0,0,19,14,0,3,9,9,0,30,72,27,29,53,32,14,229,4414,361,505,1017,193,39,6539
1029,3,3,0,0,0,0,9,4,0,0,0,0,0,5,4,36,4,4,3,0,55,26,84,23,7,12,0,152,33,33,6,14,10,0,101,112,52,9,16,43,0,237,228,34,8,63,34,0,363,427,41,11,60,12,0,552,161,8,0,12,4,0,180,31,0,0,8,0,0,41,6,0,0,0,0,0,15,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,9,0,9,21,4,67,1056,298,58,214,143,7,1776
1030,0,0,0,4,0,0,7,0,0,0,0,0,0,9,3,3,7,11,12,0,36,7,9,15,28,7,0,63,21,4,5,31,5,0,62,70,9,5,44,40,5,168,283,4,10,75,34,3,406,605,3,6,101,21,0,738,291,0,0,40,0,0,339,73,0,0,9,4,0,81,9,0,0,5,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,4,0,0,13,17,0,4,33,13,6,74,1386,40,41,390,142,10,2009
1031,398,1648,246,308,98,16,2716,94,3591,459,167,69,27,4403,781,20417,1962,1234,470,153,25018,1544,9997,3685,2215,529,121,18098,2009,4385,1430,2478,448,63,10818,7139,4757,1976,3604,1845,111,19435,30558,3718,1910,7160,1569,154,45075,105638,3799,1940,15024,2717,354,129467,115348,1490,691,14066,2174,237,134001,80472,395,240,8743,1110,123,91091,45077,139,100,5252,522,74,51153,23717,82,55,3194,296,39,27382,13129,31,18,1869,121,17,15189,24444,26,18,4085,260,41,28881,7811,3475,817,5623,1678,1445,20846,458157,57951,15549,75029,13895,2982,623565
1032,0,15,3,4,0,0,25,8,15,8,9,3,0,40,27,65,25,39,8,5,175,208,148,65,65,16,11,509,259,60,22,102,13,4,460,651,138,49,146,10,16,1013,1400,106,31,286,14,5,1850,1360,24,13,205,30,4,1638,230,3,0,34,6,0,277,37,0,0,7,0,0,53,11,0,0,4,5,0,18,3,0,0,3,0,0,7,0,0,0,0,3,0,3,8,0,0,4,0,0,11,71,50,12,44,24,24,231,4282,630,236,960,147,69,6322
1033,0,7,0,5,0,0,15,0,6,8,4,5,3,22,16,35,24,19,4,0,99,80,111,101,48,14,5,351,133,36,25,65,14,4,279,323,73,35,98,10,4,545,652,52,23,147,11,7,901,573,37,34,99,21,5,770,94,7,3,19,0,0,122,14,0,0,0,0,0,21,3,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,6,43,25,23,26,23,9,159,1939,386,283,545,99,34,3295
1034,0,0,0,3,0,0,4,0,0,4,0,0,0,4,3,9,12,8,3,0,41,6,29,50,20,11,0,116,12,13,16,37,4,4,91,23,17,17,35,9,0,103,198,11,24,74,7,0,316,394,13,13,124,13,0,547,193,4,7,61,5,0,264,27,0,0,3,0,0,34,7,0,0,4,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,4,4,0,8,6,15,4,26,9,0,53,873,103,152,399,54,8,1595
1035,6,25,5,6,6,0,43,7,63,10,7,5,0,87,41,301,24,35,20,4,438,369,176,61,94,19,5,721,383,80,34,105,12,0,623,668,133,20,186,126,0,1132,1533,47,16,308,68,0,1971,1326,10,9,207,30,5,1594,440,5,4,51,9,0,501,64,0,0,8,4,0,85,16,0,3,4,0,0,17,4,0,0,0,0,0,7,5,0,0,0,0,0,0,7,0,0,9,8,0,19,81,56,8,66,39,17,278,4954,900,192,1094,342,46,7524
1036,27,196,19,32,7,0,277,4,352,15,18,6,0,394,52,2595,105,130,60,14,2954,164,1129,171,218,59,15,1749,243,532,77,278,31,0,1173,743,537,100,397,39,12,1836,2539,354,109,721,69,14,3809,5889,510,70,1201,101,16,7787,5652,173,23,934,69,9,6858,3199,33,8,381,32,6,3662,1069,6,4,147,5,0,1239,367,6,6,57,8,0,435,161,0,0,21,5,0,183,142,3,0,50,4,0,203,282,379,42,263,84,65,1125,20537,6800,757,4848,578,172,33686
2000,46,208,49,337,284,20,940,48,268,80,261,132,15,801,524,1557,267,1556,654,65,4627,1751,691,299,2209,474,65,5483,1724,296,84,2101,344,25,4579,4285,258,99,2325,488,33,7485,5987,124,68,2350,356,40,8927,5143,37,16,1386,181,20,6787,1241,12,0,373,66,5,1698,295,3,6,101,31,3,438,109,0,0,57,25,0,190,43,0,0,30,28,0,106,28,0,0,25,17,0,68,102,0,0,196,61,4,366,430,272,83,1252,893,144,3073,21755,3729,1047,14561,4037,450,45585
2001,0,7,0,0,0,0,14,0,13,0,0,0,0,16,6,68,8,3,4,0,96,4,42,24,18,7,4,94,23,16,5,23,0,0,67,96,15,17,53,11,0,185,343,24,8,96,15,5,491,587,3,0,83,7,0,684,71,0,0,18,0,0,88,7,0,0,3,0,0,11,5,0,0,5,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,12,0,35,13,3,99,1187,198,69,335,54,15,1856
2002,0,5,0,4,5,0,13,0,10,4,0,3,0,20,9,89,9,18,6,3,128,28,42,18,40,7,0,135,41,15,13,51,0,0,120,222,38,33,80,3,0,372,349,15,22,94,10,0,487,239,5,0,49,5,0,296,34,0,6,0,0,0,37,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,10,15,5,10,74,936,240,111,357,40,20,1704
2003,12,65,6,23,16,0,123,11,80,5,15,6,0,121,94,565,70,129,13,6,888,488,226,98,231,22,10,1072,430,142,49,227,19,3,866,1746,166,64,445,24,17,2454,3624,42,34,544,27,7,4283,2913,17,8,269,23,0,3233,480,9,0,61,6,0,557,61,0,0,19,0,0,88,25,0,0,15,4,0,40,20,0,0,6,3,0,29,3,6,0,0,3,0,6,8,0,0,12,3,0,29,157,97,19,115,56,35,474,10074,1413,349,2105,227,78,14248
2004,8,70,12,12,7,0,105,3,79,12,13,6,0,109,49,510,34,126,9,9,733,282,232,93,249,18,9,887,317,110,45,272,16,6,768,1357,177,75,453,38,10,2106,2907,79,58,621,35,9,3708,2229,10,11,298,22,0,2578,432,4,0,68,3,0,511,60,3,0,17,9,0,84,18,5,0,5,0,0,29,7,0,0,4,0,0,6,0,0,0,3,0,0,3,10,0,0,10,0,0,25,102,84,19,130,40,17,390,7771,1355,360,2290,209,62,12048
2005,0,4,0,3,0,0,17,0,8,0,0,0,0,11,6,75,0,20,0,0,94,6,12,10,24,5,0,53,14,3,9,19,4,0,43,47,7,3,38,7,0,97,195,8,3,71,0,0,276,165,3,6,52,4,0,234,47,0,0,27,0,0,73,9,0,0,0,0,0,14,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,14,8,0,38,508,136,35,268,19,3,961
2006,0,9,6,4,0,0,17,0,3,0,3,0,0,7,10,83,3,33,12,4,143,31,38,7,21,18,0,118,48,22,6,37,11,0,124,150,34,12,59,13,5,277,266,3,8,61,4,0,344,170,5,3,33,3,0,206,20,4,0,3,0,0,32,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,12,10,3,71,713,219,43,273,73,16,1349
2007,0,17,12,8,5,0,45,4,25,5,0,0,0,33,10,156,11,15,13,0,205,45,53,3,42,20,0,163,59,22,3,46,4,0,133,204,47,0,75,13,0,346,386,15,3,103,17,0,531,392,15,4,75,11,0,488,149,4,3,27,3,0,183,12,0,0,4,5,0,22,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,4,4,0,13,20,23,6,29,25,6,103,1302,371,56,425,116,9,2279
2008,30,151,6,46,11,4,252,13,148,19,20,23,0,225,116,1026,72,219,34,11,1483,352,413,250,391,89,18,1514,548,175,79,377,71,11,1256,1674,257,113,597,80,19,2731,4990,167,109,1176,119,25,6588,8229,74,67,1081,115,24,9598,3348,11,14,388,38,3,3796,975,6,0,135,14,0,1132,343,0,0,74,9,0,424,122,0,0,29,8,0,165,57,0,0,8,4,0,69,94,0,0,36,8,0,139,332,178,39,290,147,63,1050,21224,2613,774,4871,766,172,30431
2009,0,0,0,0,0,0,4,0,6,0,0,0,0,7,0,14,4,6,5,0,24,0,6,11,18,3,0,35,0,4,0,14,0,0,24,11,6,5,14,7,0,40,55,3,0,65,4,0,122,188,0,3,71,4,0,265,174,0,0,48,0,0,224,102,0,0,5,0,0,111,23,0,0,0,0,0,25,5,0,0,0,0,0,8,3,0,0,0,0,0,3,7,0,0,5,0,0,10,15,7,0,22,3,0,50,589,41,20,272,28,4,953
2010,0,22,0,3,7,0,34,5,27,0,0,0,0,26,24,118,4,22,4,0,179,160,44,10,62,6,0,270,180,29,3,48,8,0,261,295,14,0,51,0,3,373,335,5,10,60,10,6,418,199,9,5,33,11,0,250,36,0,0,6,3,0,42,5,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,13,40,23,3,19,14,6,110,1282,288,36,309,63,14,1989
