SUA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
1000,115,244,125,479,649,13,1620,102,229,128,268,210,16,957,888,1177,579,1893,722,88,5349,2914,1435,1026,2921,835,101,9231,2645,613,350,2816,559,58,7042,5933,691,383,3478,749,64,11306,9408,303,187,4090,600,51,14641,9897,140,117,3282,551,40,14028,4136,30,22,1280,180,5,5654,1485,9,7,530,74,4,2106,695,3,6,255,65,3,1024,339,4,0,168,48,0,555,130,0,0,68,30,0,233,317,0,6,292,157,3,768,756,317,176,1867,1859,275,5263,39758,5197,3123,23679,7294,740,79789
1001,16,65,0,9,5,0,92,10,118,10,6,4,0,157,125,574,41,97,19,8,862,913,298,96,191,27,17,1539,674,112,20,242,19,10,1077,1567,198,33,354,204,15,2367,2470,68,20,415,68,17,3051,2310,18,13,243,27,4,2608,494,0,3,50,7,0,564,91,3,0,12,7,0,112,24,0,0,8,4,0,39,10,0,0,4,0,0,16,0,0,0,3,0,0,3,9,0,0,12,0,0,24,171,123,18,98,64,28,496,8893,1574,258,1739,444,83,12996
1002,3,3,5,3,0,0,15,3,18,0,0,8,0,33,25,35,17,14,13,0,104,123,85,63,47,13,8,334,186,30,39,55,5,0,312,427,66,34,81,10,0,621,618,49,23,104,16,0,816,685,13,8,110,13,0,834,150,0,0,14,4,0,176,33,0,0,9,3,0,39,5,0,5,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,26,10,11,24,19,3,88,2287,310,200,463,103,14,3385
1003,5,13,4,0,5,0,30,0,12,3,3,3,0,22,9,249,26,28,22,6,338,14,72,37,32,30,3,185,11,36,12,46,27,3,132,60,43,20,84,40,3,247,290,35,15,197,47,0,588,739,30,9,268,21,5,1074,683,12,11,182,10,4,903,529,0,5,133,7,0,669,309,0,0,58,4,0,378,78,0,3,40,9,0,123,33,0,0,9,0,0,45,29,0,0,22,6,0,55,47,36,6,55,23,12,169,2834,537,140,1149,250,43,4951
1004,0,4,0,0,0,0,11,0,4,3,0,0,0,9,5,62,3,10,5,0,87,18,33,22,34,14,0,112,32,19,8,26,6,0,91,118,21,26,60,15,4,244,279,16,11,84,18,4,415,499,9,9,118,25,9,668,191,3,0,51,9,0,256,37,0,0,16,4,0,62,3,0,0,3,0,0,7,0,0,0,5,5,0,9,0,0,0,0,0,0,0,4,0,0,9,0,0,13,20,19,6,35,26,4,113,1218,192,85,457,122,21,2095
1005,5,14,12,0,0,0,34,0,30,10,0,5,0,47,28,158,23,25,0,0,239,130,81,14,58,10,0,286,140,69,14,71,8,0,303,374,33,14,98,8,5,528,949,55,25,200,23,0,1253,1145,20,8,136,16,4,1327,402,0,0,36,3,0,447,38,0,0,10,0,0,48,3,0,0,4,0,0,9,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,6,48,25,9,47,22,23,173,3283,498,113,705,89,30,4714
1006,0,4,0,6,0,0,9,4,5,8,0,0,0,16,9,9,10,23,9,0,61,17,63,92,25,14,0,213,19,18,34,32,7,3,113,52,37,37,52,12,0,191,181,28,28,83,9,4,329,549,38,36,118,9,0,749,586,5,12,101,6,0,720,414,0,0,47,3,0,476,174,0,0,21,6,0,202,66,0,0,10,0,0,82,21,0,0,8,3,0,39,54,0,0,11,0,0,68,42,11,17,45,21,5,144,2191,230,271,579,114,22,3404
1007,0,10,0,9,33,0,57,7,10,11,8,22,0,59,31,12,7,68,20,4,137,162,32,28,134,34,0,380,129,19,9,111,32,0,297,219,22,8,117,21,0,388,149,9,0,74,12,0,244,75,5,0,28,11,0,129,10,0,0,3,4,0,21,0,0,0,4,0,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,17,6,0,49,36,6,114,805,121,73,602,236,22,1845
1008,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,0,0,15,0,23,0,23,35,8,14,0,83,0,9,7,19,10,0,42,7,6,11,24,16,0,64,10,4,11,26,26,0,76,24,3,8,59,24,0,124,62,0,0,55,8,0,129,140,4,0,71,4,4,224,141,0,3,59,3,0,202,100,0,0,51,9,0,154,78,0,0,35,0,0,115,140,0,0,83,9,0,236,27,3,8,37,8,6,90,730,55,83,526,157,9,1566
1009,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,8,6,15,12,0,34,17,19,19,20,33,0,95,16,0,3,17,15,0,53,69,4,5,31,7,0,116,204,3,6,64,9,0,290,345,0,0,76,13,3,437,200,0,0,28,0,0,231,57,0,0,6,0,0,59,7,0,0,5,0,0,12,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,3,3,0,10,16,4,3,24,0,0,49,938,32,38,285,91,14,1396
1010,22,90,16,38,21,5,183,7,182,17,20,9,0,239,41,1309,109,112,69,10,1653,156,547,324,241,222,17,1503,255,237,141,304,88,16,1044,798,287,179,454,110,16,1842,3158,219,120,1082,120,16,4711,9852,233,99,1749,163,22,12116,6344,36,22,880,53,18,7351,2352,10,7,318,16,5,2705,882,3,5,114,12,0,1011,349,0,0,71,9,3,436,159,0,0,28,0,0,195,178,0,0,36,17,0,232,435,209,77,265,121,106,1212,24985,3358,1117,5709,1022,232,36432
1011,6,4,6,13,5,0,38,0,14,10,6,4,0,31,14,80,37,67,48,0,249,34,236,159,79,50,7,564,37,70,42,90,38,0,284,287,109,72,168,45,5,692,960,93,42,351,53,5,1503,1816,90,40,510,41,16,2514,1274,22,16,249,39,5,1611,480,6,0,85,12,0,584,163,4,0,26,7,0,193,33,0,0,18,5,0,55,11,0,0,4,0,0,22,19,0,0,22,15,0,51,81,58,38,83,63,24,352,5220,786,463,1769,422,73,8742
1012,0,21,5,4,0,0,32,3,25,5,4,0,0,37,30,189,13,25,9,6,284,172,111,45,63,15,4,406,148,56,30,72,4,4,316,505,66,20,123,15,6,731,996,42,26,239,37,7,1351,1181,22,26,213,42,7,1486,257,4,6,45,14,3,331,45,0,0,13,0,0,64,11,0,0,5,3,0,18,6,0,0,0,8,0,12,6,0,0,0,0,0,6,3,0,0,3,4,0,5,73,40,0,49,38,7,210,3437,580,182,854,191,43,5287
1013,6,0,3,6,0,0,10,0,3,4,0,0,0,10,8,13,14,13,11,0,56,34,74,72,28,17,9,233,61,23,22,36,6,0,146,182,28,20,62,10,0,298,422,16,19,117,19,0,591,508,13,12,125,15,3,675,299,0,0,38,13,3,356,65,0,0,14,0,0,77,20,0,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,14,22,16,6,26,13,6,91,1627,180,182,470,112,22,2591
1014,5,14,0,4,0,0,19,0,38,3,3,0,0,46,21,189,18,23,5,0,255,67,101,58,29,8,0,269,70,25,4,41,8,0,156,210,30,12,59,7,0,321,574,63,5,127,20,5,793,798,16,10,132,14,4,974,181,3,0,24,9,0,212,22,0,0,10,0,0,32,7,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,3,0,0,10,37,30,6,32,16,7,133,1998,515,119,493,85,18,3226
1015,0,5,3,0,0,0,13,0,10,3,0,0,0,12,9,101,12,21,6,4,156,56,47,54,48,23,5,236,73,26,5,66,7,5,185,214,33,14,123,15,7,408,455,18,9,208,24,5,715,452,3,18,103,15,5,595,94,0,0,12,3,0,113,20,0,0,3,3,0,22,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,26,22,11,28,16,6,101,1404,263,137,610,125,31,2564
