SUA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1000,1182,1567,3144,2982,3269,2790,944,133,9,16021,1451,1537,3120,3390,3835,3653,1553,613,144,19298,27517,31994,74141,81876,96729,91895,32574,6388,791,443906
1001,90,207,437,370,282,235,78,8,4,1717,107,163,389,337,321,264,78,28,8,1695,3303,4509,10339,9526,9008,7220,2073,234,19,46230
1002,27,27,88,63,60,55,15,4,0,340,26,29,68,62,54,28,17,13,0,298,752,1100,2283,1966,1885,1720,548,92,8,10348
1003,44,76,154,163,170,132,49,8,0,795,58,68,135,166,157,111,54,13,6,765,1427,1466,3329,4208,4620,4146,1369,198,20,20776
1004,23,28,42,52,70,49,21,0,0,277,16,18,49,40,52,60,23,6,0,265,426,442,1063,1202,1464,1450,468,56,3,6581
1005,48,88,172,125,127,97,24,0,0,674,29,70,125,110,119,86,27,10,0,584,1317,1941,3888,3436,3482,2663,758,86,8,17579
1006,56,79,153,150,155,133,30,7,6,766,56,45,106,122,164,138,75,27,4,741,1175,1420,3203,3566,4202,3573,1465,291,22,18918
1007,20,34,49,46,43,63,24,0,0,287,18,26,42,50,47,56,21,5,0,251,472,612,1592,1311,1369,1478,399,38,5,7275
1008,3,10,56,45,36,26,3,6,0,183,11,26,144,101,61,28,19,5,0,397,215,365,1610,1263,1011,793,323,28,0,5614
1009,17,22,40,55,62,69,11,0,0,277,19,17,30,33,62,39,13,9,3,221,522,414,802,1147,1616,1582,385,48,11,6519
1010,270,557,1223,1223,1198,951,245,25,0,5702,305,543,1208,1276,1294,930,301,107,24,5979,9654,13022,28389,31644,32778,25877,6584,791,72,148810
1011,79,124,293,272,269,190,62,3,0,1291,75,117,255,297,233,187,75,20,3,1265,2257,2453,6201,6731,6996,5720,1675,154,20,32202
1012,53,94,202,130,119,102,49,8,4,760,54,73,217,139,118,81,37,20,0,742,1276,1725,5230,4000,3423,2938,905,128,15,19645
1013,9,23,53,54,80,49,24,0,0,292,27,22,42,58,57,49,25,17,6,303,517,519,1102,1313,1509,1583,532,78,10,7155
1014,30,50,115,91,89,59,17,4,0,449,18,52,118,64,67,65,13,4,0,400,677,1047,2543,2199,2086,1904,510,58,4,11024
1015,17,28,68,47,66,51,14,4,0,292,27,34,74,56,48,41,20,8,0,307,489,704,1489,1416,1467,1321,331,51,5,7274
1016,31,43,95,75,50,54,22,0,0,368,32,73,163,123,96,75,28,14,4,612,654,892,2546,2176,1949,1656,519,80,8,10481
1017,7,11,44,38,41,30,11,0,0,183,13,14,38,36,46,32,19,0,0,206,403,456,958,938,1047,942,296,39,5,5071
1018,32,50,135,87,129,92,29,7,0,558,36,38,93,88,107,66,27,12,0,471,895,1124,2599,2520,2602,2313,627,73,12,12763
1019,13,26,43,27,38,27,7,3,0,179,13,12,40,30,47,35,7,5,0,191,284,427,985,835,1002,929,216,33,4,4720
1020,25,28,61,43,60,62,14,0,0,296,12,35,43,55,65,40,9,5,0,257,515,553,1230,1484,1594,1128,275,25,11,6825
1021,35,51,117,109,130,76,30,3,0,557,23,49,107,104,103,71,21,8,0,494,720,1080,2334,2210,2434,2020,551,75,4,11428
1022,18,32,75,36,43,40,19,0,0,261,7,13,57,29,31,26,12,14,0,191,408,526,1474,1270,1192,915,255,53,8,6106
1023,20,28,73,48,37,30,8,0,0,236,7,25,66,36,31,28,13,4,0,206,364,488,1325,1162,1084,808,192,22,0,5449
1024,22,34,78,84,103,77,28,3,0,432,24,31,63,71,88,85,37,8,4,398,816,840,1558,1945,2635,2450,675,114,0,11026
1025,582,1137,2338,1866,1735,1228,345,51,4,9278,460,973,2063,1830,1638,1159,314,91,23,8547,15462,24828,54846,51303,48288,35172,7910,903,77,238782
1026,33,67,173,113,129,87,33,5,0,642,45,48,133,120,132,88,16,12,3,605,1159,1574,3602,3117,3048,2499,599,86,6,15693
1027,56,82,214,173,150,101,34,3,0,821,51,61,156,107,123,88,34,6,3,624,1307,1743,4697,4308,3906,2950,906,112,10,19943
1028,37,88,147,172,166,143,42,4,0,802,46,76,128,117,128,98,39,16,6,655,1616,1893,3820,4316,4775,3900,1107,146,20,21595
1029,34,49,111,56,80,31,3,0,0,374,28,48,73,68,62,36,7,4,0,321,778,965,2029,1657,1693,1128,238,29,0,8524
1030,22,27,76,64,49,47,8,0,0,286,12,29,55,47,68,46,18,0,0,270,413,579,1393,1526,1681,1426,394,37,6,7459
1031,2747,6391,16772,15591,14528,10805,3163,458,20,70475,3139,10308,30618,27640,21064,14130,4144,876,183,112103,86204,204962,556186,542168,446111,308772,86664,11009,898,2242971
1032,61,85,196,158,134,125,48,3,4,825,58,79,179,131,100,74,35,18,7,681,1451,1784,4730,3957,3677,3048,919,134,17,19715
1033,20,36,92,92,92,68,23,0,0,420,25,40,72,63,71,71,20,4,0,369,686,823,1834,1711,1914,1819,497,57,6,9353
1034,11,18,48,49,62,52,13,0,0,248,18,19,49,31,35,40,9,6,0,212,471,415,1124,1335,1423,1317,435,49,5,6571
1035,75,156,286,237,186,185,63,15,3,1197,70,131,246,208,173,152,41,13,7,1031,2323,3267,6445,5541,5076,4216,1207,143,17,28225
1036,307,652,1187,1026,1029,789,187,26,0,5189,227,537,1208,1040,953,729,185,48,7,4937,8368,14437,30289,29638,29028,21396,4662,455,40,138310
2000,651,1079,2225,2091,2343,2150,754,88,5,11385,870,996,2071,2192,2789,2643,1219,512,101,13407,18397,22098,51632,58015,70093,68429,24782,4689,541,318682
2001,21,48,128,115,92,50,18,3,0,488,35,49,110,112,107,68,26,6,3,514,662,1087,2843,2770,2479,1680,430,46,5,12009
2002,15,41,62,39,71,48,16,0,0,287,13,29,49,38,60,47,29,8,3,282,445,563,1343,1170,1315,1205,405,60,5,6510
2003,70,228,453,350,327,271,81,5,3,1789,92,182,396,289,323,268,79,34,8,1670,3356,5289,11868,10871,10369,8065,2032,207,27,52078
2004,78,168,446,363,309,302,95,10,0,1766,87,156,367,331,293,263,67,25,4,1584,3092,4830,10909,9903,9294,7530,1962,196,17,47732
2005,9,9,21,35,40,32,11,4,0,154,14,8,17,36,24,41,12,0,0,153,235,216,652,967,1105,995,343,37,3,4554
2006,9,34,53,42,42,37,16,0,0,225,21,13,46,36,55,25,20,3,3,213,445,552,1306,1119,1140,984,322,28,10,5903
2007,28,35,95,81,78,95,20,0,0,430,27,29,64,54,87,66,25,0,0,353,752,801,1897,1893,2218,1994,578,69,10,10222
2008,201,542,1180,1014,894,710,183,37,0,4761,209,485,1197,1089,1034,711,246,68,15,5062,8001,13442,31887,30447,28177,21090,5656,637,59,139395
2009,20,34,52,96,91,77,15,5,0,393,23,26,58,97,111,60,23,6,5,404,744,747,1419,2639,2855,2038,534,79,7,11066
2010,23,39,87,69,59,51,20,6,0,358,10,22,69,45,39,43,15,12,0,262,490,720,1813,1523,1546,1430,415,86,3,8027
2011,2264,7726,20664,18222,16683,11944,3448,481,33,81471,3303,10700,30940,27378,22040,14924,4237,904,210,114634,101157,224363,601715,566165,471714,322197,86618,10536,810,2385290
2012,46,90,243,163,133,138,45,4,0,867,81,107,265,201,246,172,54,21,3,1151,1426,2029,5160,4553,4874,4209,1189,134,18,23593
2013,25,49,88,65,62,58,20,3,0,375,21,36,100,66,74,57,34,8,0,387,570,791,1865,1654,1750,1615,410,39,8,8709
2014,13,21,35,38,35,27,17,0,0,178,11,17,29,32,39,27,22,6,3,178,338,379,804,888,1070,998,298,33,5,4807
2015,13,25,63,53,42,38,10,0,0,242,13,18,54,45,43,34,10,3,3,221,433,559,1454,1329,1378,1122,284,45,3,6609
2016,43,107,236,184,220,165,60,6,0,1015,47,91,249,235,197,140,45,7,14,1025,1470,2130,5241,4671,4670,3815,1115,124,23,23262
2017,11,30,57,41,25,30,9,0,0,210,9,20,54,58,46,27,6,7,0,237,329,523,1286,1072,895,916,267,39,0,5319
2018,38,80,190,139,123,90,22,4,0,686,30,69,158,121,162,106,29,9,0,691,1230,1671,4254,3725,3621,2956,740,73,3,18281
2019,21,39,82,70,65,45,21,0,0,341,31,38,62,53,85,62,23,6,0,354,669,744,1833,1757,1864,1575,464,46,8,8963
2020,41,91,219,159,181,172,49,11,0,924,43,63,177,153,152,118,37,11,4,762,1149,1683,4444,3855,3889,3308,992,183,25,19529
