SUA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
5007,6395,3607,4932,4508,4016,3605,1919,690,197,29861
5008,4459,1889,3550,3787,2837,1873,785,181,22,19385
5009,398297,251358,292027,296152,263105,228967,182307,100675,40595,2053484
5010,3780,1705,3567,3401,2611,2103,811,189,34,18199
6000,26401,15296,16923,17687,21587,27211,23556,11049,3046,162761
6001,4899,3214,3260,3100,3370,3715,3219,2047,743,27574
6002,5329,3464,4063,3396,3916,4008,3845,2368,894,31282
6003,37928,26118,37440,29214,26963,26385,23032,13301,5319,225693
6004,15635,11341,13569,10954,11274,10669,9176,5802,2389,90809
6005,2339,1537,1491,1500,1816,2213,2061,1299,494,14742
7000,18187,12285,15035,12728,12027,11805,8376,1930,238,92613
7001,5679,2925,5149,4322,3618,3746,2567,758,180,28938
7002,26720,16055,26030,21596,17776,15548,11218,3982,837,139764
8000,217,136,128,143,156,138,114,36,6,1084
8001,89250,65236,83646,74354,61247,49214,37555,20439,7765,488707
9000,819,488,741,697,767,893,669,295,60,5425
