SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1000,2569,3821,6396,94007,103240,197246,18,17,34,5153,5471,10621,512,514,1020,104789,111397,216185,185,243,426,1851,1769,3622,1692,2140,3829,425,508,931,1903,2189,4093,135,121,253,1381,1327,2704,2913,3552,6465,14699,15358,30058,952,1160,2116,1608,1897,3506,16706,19609,36312,9263,10479,19742,401,447,841,258571,281433,540005,1763,1573,3338,1611,1359,2968,537,544,1081,201,206,403,725,625,1352,1184,1875,3063,2112,2705,4821,189261,169733,358992,1381,1097,2482,756,1215,1970,191396,172045,363445,54448,47084,101538,881,626,1509,513899,511196,1025095
1001,329,461,792,5104,6567,11674,0,0,0,558,634,1194,76,72,147,9640,11126,20766,21,34,57,232,231,457,205,286,493,52,51,107,610,831,1445,20,14,38,129,152,277,464,578,1046,952,1169,2115,60,92,155,134,158,284,1200,1763,2964,1011,1157,2168,16,24,42,20482,24940,45425,945,839,1785,293,219,510,33,30,58,7,8,16,470,389,853,127,171,304,601,563,1169,20785,19745,40531,128,92,218,66,88,159,20980,19928,40908,3373,3115,6486,37,44,79,47081,50141,97225
1002,120,170,288,1691,2055,3746,0,0,0,89,124,216,89,73,169,1784,2123,3911,7,8,14,31,29,64,27,39,62,17,17,33,15,25,45,3,4,0,37,33,69,66,93,161,282,401,681,25,45,70,59,67,126,205,311,516,206,264,467,15,5,23,4656,5711,10370,217,223,444,193,169,363,15,9,26,8,8,17,45,52,95,289,349,635,346,401,748,4340,4263,8598,61,44,105,15,26,48,4411,4335,8745,1346,1484,2834,23,18,40,11339,12512,23854
1003,188,307,496,3109,3799,6904,0,0,0,221,284,499,0,0,6,4255,4893,9147,5,4,16,61,63,123,120,144,265,28,30,54,55,70,120,7,0,8,49,58,106,193,281,478,675,816,1492,27,43,74,92,125,217,633,839,1470,442,539,979,17,32,51,9993,12014,22010,79,74,159,38,34,69,38,34,70,10,13,25,48,46,93,52,87,140,114,147,258,10065,9574,19645,73,54,125,50,102,149,10189,9736,19920,1595,1617,3211,31,36,68,22260,23993,46251
1004,55,92,148,1435,1783,3222,0,0,0,69,86,155,0,0,0,1715,1928,3647,0,0,5,64,56,118,58,86,143,5,4,6,33,42,71,8,7,15,17,15,40,68,88,159,188,207,401,22,24,46,14,16,31,180,281,467,168,190,352,6,11,11,4058,4829,8887,39,30,70,23,19,41,4,3,12,3,0,10,10,18,31,13,34,53,28,58,86,3582,3345,6923,36,26,58,13,29,49,3632,3397,7032,792,731,1522,12,9,21,8644,9168,17810
1005,122,154,267,2553,3083,5640,0,0,0,186,211,393,96,85,177,5063,5701,10769,14,12,27,69,63,132,54,49,95,16,14,29,23,36,59,8,8,12,57,53,107,107,121,228,572,637,1208,35,38,78,35,49,86,482,605,1085,267,288,558,3,10,14,9635,11075,20706,219,216,432,162,121,289,4,4,7,6,16,20,86,75,157,52,65,123,144,155,303,6455,5890,12344,64,44,111,9,23,39,6536,5961,12502,1976,1083,3062,20,19,45,18822,18791,37614
1006,174,247,416,3705,4581,8283,0,3,6,200,218,415,90,85,176,4061,4695,8757,15,24,39,181,181,369,88,107,199,19,28,41,46,47,94,9,8,15,51,47,98,114,173,283,407,575,981,25,21,46,22,25,50,508,705,1219,470,559,1031,31,31,58,10047,12110,22158,352,312,664,125,79,201,66,69,131,0,0,0,54,63,119,47,100,146,104,160,270,7658,7415,15068,59,63,127,27,55,77,7741,7527,15265,1233,1284,2515,33,39,69,19866,21829,41693
1007,41,43,84,736,830,1570,0,0,0,68,89,157,0,0,0,1426,1757,3183,17,22,38,24,27,49,10,14,28,15,15,27,44,70,116,6,5,17,43,53,95,40,60,99,79,73,147,48,78,128,13,20,33,440,641,1082,101,132,233,0,0,0,3118,3878,7003,35,30,70,26,24,51,0,0,3,0,0,4,0,4,0,25,33,61,24,37,61,4477,4178,8657,29,24,50,5,16,24,4515,4220,8734,870,889,1760,7,10,15,8647,9132,17779
1008,100,139,235,366,413,776,0,0,0,20,19,41,0,0,0,624,777,1403,0,3,3,25,33,55,16,17,36,0,0,0,8,8,16,0,4,5,7,14,21,25,25,43,64,78,139,0,4,3,0,3,3,81,98,186,47,60,107,0,6,10,1292,1567,2860,31,23,56,12,5,23,55,58,114,0,4,9,0,0,0,12,34,48,14,38,54,3251,3314,6560,15,16,31,29,66,100,3297,3388,6689,634,603,1233,61,48,112,5500,5869,11368
1009,42,69,111,2032,2364,4395,0,0,0,102,146,248,0,0,3,1641,1950,3593,4,11,12,18,15,33,33,35,63,11,12,19,17,28,43,0,0,0,52,71,120,42,45,90,259,239,502,17,28,45,17,27,46,297,426,720,155,207,363,6,11,13,4704,5607,10312,16,12,24,11,10,20,4,4,15,0,0,4,0,0,3,18,40,53,22,40,59,3565,3235,6800,25,30,55,5,29,39,3599,3296,6889,540,480,1020,12,8,22,8950,9518,18472
