SUA_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
1000,..,427,12351,25011,31585,39409,40812,21704,4475,175769,..,3538,11379,8109,8173,7716,4830,1398,181,45318,..,93,617,1626,2446,1942,1087,602,412,8821,83675,..,..,..,..,..,..,..,..,83675,..,16157,..,..,..,..,..,..,..,16157,..,18298,8156,3750,2930,1630,266,3,0,35034,..,1971,1196,671,925,1438,1490,812,384,8889,..,1254,1398,713,753,683,411,155,38,5400,..,1455,2164,1003,1466,2232,2136,777,133,11367,..,1528,3753,3927,6906,12312,12806,7106,2404,50743,1719,2453,1903,1393,1302,1318,1193,480,135,11885,35,34,94,38,32,47,26,12,11,327,85432,47197,43007,46243,56498,68712,65052,33057,8172,453371,..,833,16718,28583,35010,41854,37130,15859,2025,178012,..,5285,12385,8475,8461,7370,3678,854,91,46595,..,1194,5473,7375,7592,4012,2322,1938,1391,31291,78531,..,..,..,..,..,..,..,..,78531,..,17470,..,..,..,..,..,..,..,17470,..,11328,4199,1507,1275,1061,245,13,0,19629,..,1623,608,314,632,1663,2193,1654,987,9668
1001,..,48,1667,2967,2885,3037,2918,1569,367,15471,..,528,1613,842,678,473,236,84,8,4462,..,19,79,228,291,153,83,41,20,914,8927,..,..,..,..,..,..,..,..,8927,..,1759,..,..,..,..,..,..,..,1759,..,1841,762,281,207,96,13,0,0,3204,..,232,188,90,61,87,66,37,11,781,..,172,196,74,35,29,12,3,0,520,..,413,525,127,171,157,135,30,14,1574,..,255,761,632,829,989,872,476,205,5014,121,197,170,132,97,81,65,14,3,876,7,3,8,0,0,6,8,0,0,28,9050,5460,5958,5387,5258,5108,4407,2257,629,43519,..,99,2208,3211,3054,3101,2670,1207,173,15726,..,737,1619,875,628,436,179,70,6,4555,..,166,784,1073,1029,440,205,182,102,3985,8729,..,..,..,..,..,..,..,..,8729,..,1957,..,..,..,..,..,..,..,1957,..,1125,391,117,87,71,18,0,0,1818,..,210,116,53,69,178,172,94,63,951
1002,..,31,381,637,605,660,620,389,115,3437,..,145,331,153,132,121,59,19,0,961,..,5,25,44,46,42,19,9,8,192,1887,..,..,..,..,..,..,..,..,1887,..,439,..,..,..,..,..,..,..,439,..,335,160,61,45,31,3,0,0,631,..,65,44,16,19,21,13,8,4,192,..,49,36,16,6,7,0,3,0,122,..,173,149,44,33,36,21,10,0,459,..,81,162,158,163,259,195,126,53,1194,28,68,43,39,40,23,9,3,5,249,3,4,4,0,0,3,0,0,0,12,1916,1387,1335,1166,1085,1192,946,576,181,9778,..,42,515,663,629,679,565,333,44,3459,..,193,320,153,135,111,38,13,0,970,..,32,156,224,218,101,41,47,26,837,1877,..,..,..,..,..,..,..,..,1877,..,468,..,..,..,..,..,..,..,468,..,210,77,29,21,19,5,0,0,365,..,57,34,11,20,30,41,13,20,220
1003,..,15,447,1197,1404,1575,1915,1186,316,8055,..,119,523,472,375,337,219,72,11,2135,..,5,24,78,152,101,47,28,16,458,3679,..,..,..,..,..,..,..,..,3679,..,820,..,..,..,..,..,..,..,820,..,809,328,163,141,90,19,0,0,1560,..,76,68,41,44,57,62,32,22,395,..,83,114,67,39,26,14,4,0,349,..,81,187,94,115,130,99,32,3,748,..,32,102,194,266,492,502,312,156,2066,60,94,83,57,65,52,51,22,6,490,4,4,4,3,0,4,3,0,0,23,3740,2139,1886,2368,2609,2869,2938,1686,537,20774,..,30,643,1328,1555,1705,1838,908,162,8173,..,179,620,469,410,313,174,49,0,2219,..,30,185,412,498,237,123,115,84,1680,3353,..,..,..,..,..,..,..,..,3353,..,825,..,..,..,..,..,..,..,825,..,528,197,80,74,71,3,0,0,951,..,77,46,19,40,62,131,63,63,501
1004,..,11,138,303,422,603,941,533,121,3080,..,52,168,131,129,153,106,31,8,772,..,0,17,28,60,35,16,9,6,174,1177,..,..,..,..,..,..,..,..,1177,..,232,..,..,..,..,..,..,..,232,..,253,144,68,61,38,8,0,0,574,..,54,16,23,14,20,19,13,9,174,..,23,26,11,17,5,0,4,4,91,..,23,43,20,31,50,42,11,3,213,..,30,53,73,157,202,261,154,47,980,42,44,31,20,32,25,12,7,5,221,0,0,0,0,0,0,0,0,0,6,1222,711,640,678,919,1132,1414,766,200,7681,..,14,204,362,458,728,890,403,50,3112,..,75,187,125,131,159,86,29,7,798,..,32,110,157,168,89,50,45,31,676,1154,..,..,..,..,..,..,..,..,1154,..,231,..,..,..,..,..,..,..,231,..,196,57,27,29,19,11,0,0,331,..,21,7,0,16,45,31,30,24,184
1005,..,24,634,1008,1060,1080,1065,608,138,5615,..,221,602,337,233,175,74,30,3,1682,..,3,39,80,129,66,29,21,7,379,3405,..,..,..,..,..,..,..,..,3405,..,761,..,..,..,..,..,..,..,761,..,742,312,107,76,51,6,0,0,1296,..,97,76,25,31,34,32,21,6,326,..,63,70,28,30,16,7,3,0,215,..,201,167,61,52,65,49,14,0,609,..,106,259,234,286,360,295,173,66,1773,50,91,76,56,58,25,30,9,5,399,0,0,3,0,0,0,0,4,0,8,3456,2319,2234,1924,1956,1877,1594,880,227,16465,..,48,807,1097,1153,1116,979,427,82,5709,..,326,635,317,219,170,57,15,4,1731,..,66,302,397,398,182,87,63,40,1531,3239,..,..,..,..,..,..,..,..,3239,..,741,..,..,..,..,..,..,..,741,..,404,158,58,35,32,9,0,0,691,..,91,56,8,33,57,77,46,32,400
1006,..,20,655,1259,1425,1535,1675,1300,318,8194,..,104,392,269,297,250,181,78,9,1591,..,0,15,44,96,64,43,22,16,301,3371,..,..,..,..,..,..,..,..,3371,..,782,..,..,..,..,..,..,..,782,..,808,384,158,136,56,8,0,0,1546,..,75,55,26,31,51,42,29,16,323,..,45,89,26,31,17,13,4,3,233,..,40,108,52,49,66,61,30,0,410,..,24,92,124,225,329,340,258,106,1498,71,91,58,41,31,33,34,18,9,385,0,3,6,5,5,4,4,4,0,15,3445,1992,1853,1999,2331,2404,2405,1740,477,18653,..,33,875,1357,1563,1570,1741,999,120,8251,..,153,413,285,305,196,150,38,5,1544,..,35,116,246,400,226,94,107,87,1310,3311,..,..,..,..,..,..,..,..,3311,..,876,..,..,..,..,..,..,..,876,..,489,204,70,55,66,15,0,0,902,..,41,48,8,27,69,83,108,48,432
1007,..,0,168,304,377,551,566,300,91,2361,..,87,292,163,106,122,54,14,0,838,..,8,34,38,67,26,21,19,12,226,1313,..,..,..,..,..,..,..,..,1313,..,215,..,..,..,..,..,..,..,215,..,377,166,90,72,36,8,0,0,750,..,62,26,19,31,23,19,8,4,192,..,17,13,6,13,5,5,4,0,63,..,20,40,20,28,27,21,5,3,171,..,61,144,125,196,300,284,130,52,1299,40,28,28,38,15,32,25,7,0,214,0,0,0,0,0,0,0,0,0,3,1352,880,927,803,900,1126,998,489,169,7653,..,6,244,360,403,600,520,270,45,2437,..,135,317,143,125,105,47,9,0,882,..,33,189,217,162,106,68,36,26,838,1317,..,..,..,..,..,..,..,..,1317,..,220,..,..,..,..,..,..,..,220,..,186,74,28,28,28,0,0,0,343,..,48,15,8,9,45,40,20,14,203
1008,..,0,57,234,244,265,279,108,18,1208,..,14,220,175,125,82,63,10,0,696,..,0,7,13,36,22,14,4,0,95,661,..,..,..,..,..,..,..,..,661,..,127,..,..,..,..,..,..,..,127,..,100,55,29,14,15,4,0,0,207,..,15,6,7,8,7,12,3,0,57,..,22,76,34,16,9,7,0,0,160,..,41,317,117,58,48,32,8,0,629,..,9,40,86,90,125,113,64,16,529,5,18,25,19,10,15,17,3,0,121,0,4,7,0,0,0,0,0,0,15,659,353,814,712,600,589,537,206,33,4496,..,5,109,286,261,257,220,74,7,1219,..,37,241,172,103,97,40,5,0,693,..,4,14,77,90,55,29,14,15,292,669,..,..,..,..,..,..,..,..,669,..,129,..,..,..,..,..,..,..,129,..,68,31,17,17,3,6,0,0,139,..,10,11,5,3,13,19,19,10,86
1009,..,6,130,340,515,741,1189,775,190,3884,..,35,126,103,150,156,129,60,11,780,..,0,7,26,51,29,15,14,22,167,1150,..,..,..,..,..,..,..,..,1150,..,289,..,..,..,..,..,..,..,289,..,328,122,56,67,43,13,0,0,629,..,25,9,9,14,24,17,12,8,115,..,27,23,8,18,12,5,3,0,103,..,10,13,8,26,57,52,22,0,187,..,14,24,35,105,183,292,226,74,949,29,25,27,22,23,21,29,10,3,191,0,0,0,0,0,4,0,0,0,7,1180,763,489,604,963,1270,1746,1128,308,8447,..,11,178,402,570,888,1155,619,86,3910,..,57,139,124,162,175,108,47,4,826,..,12,65,131,163,84,30,37,40,562,1115,..,..,..,..,..,..,..,..,1115,..,282,..,..,..,..,..,..,..,282,..,185,62,33,30,39,7,0,0,357,..,27,3,3,8,28,41,41,36,185
1010,..,151,4560,10476,11228,11513,11352,7124,1654,58054,..,1236,4697,3059,2610,1939,1053,455,58,15112,..,34,218,667,1118,721,362,220,140,3481,30044,..,..,..,..,..,..,..,..,30044,..,7159,..,..,..,..,..,..,..,7159,..,7505,3904,1501,1068,583,102,5,0,14668,..,652,578,332,341,508,486,279,132,3308,..,559,664,348,292,256,109,45,4,2274,..,593,1098,442,670,807,651,295,58,4615,..,337,1247,1503,2306,3198,3130,2297,967,14985,448,519,428,329,306,267,223,97,40,2657,25,14,10,21,14,21,17,6,5,122,30515,18753,17401,18679,19957,19815,17486,10818,3065,156484,..,282,6316,11596,11598,11989,10758,5368,788,58700,..,1865,4989,3003,2567,1823,918,282,31,15473,..,440,2186,3400,3949,2209,1055,780,611,14621,28098,..,..,..,..,..,..,..,..,28098,..,7548,..,..,..,..,..,..,..,7548,..,4957,2145,599,502,426,116,5,0,8750,..,563,315,150,282,798,981,756,458,4293
1011,..,33,1006,2007,2202,2352,2692,1561,425,12283,..,255,874,640,559,496,319,93,18,3249,..,9,74,165,233,154,81,37,27,780,6212,..,..,..,..,..,..,..,..,6212,..,1276,..,..,..,..,..,..,..,1276,..,1329,648,287,212,131,29,0,0,2638,..,186,136,80,57,82,83,40,21,686,..,159,190,94,79,53,40,22,0,640,..,183,312,140,162,191,151,50,15,1199,..,84,285,308,415,705,794,440,191,3229,102,181,170,110,97,75,82,28,15,854,4,12,20,7,11,9,0,0,0,64,6321,3709,3715,3838,4022,4247,4268,2273,709,33108,..,86,1357,2264,2335,2470,2541,1184,204,12435,..,387,912,668,572,499,247,69,8,3364,..,99,492,765,790,364,217,178,121,3028,6107,..,..,..,..,..,..,..,..,6107,..,1368,..,..,..,..,..,..,..,1368,..,805,345,129,92,82,32,0,0,1486,..,152,99,34,71,168,192,111,99,921
