SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
10102100701,51,1625,700,210,1875,0.7,1614,2.3
10102100702,54,1622,856,270,2266,0.7,1800,2.3
10102100703,40,1597,842,350,1892,0.8,1525,2.4
10102100704,56,1647,740,300,1451,0.7,1199,2
10102100705,47,1855,769,385,2095,0.7,1455,2.1
10102100706,48,1430,764,400,1583,0.9,1375,2.4
10102100707,55,1300,747,300,1781,0.8,1361,2.2
10102100708,51,2090,822,275,1866,0.8,1483,2.4
10102100709,43,2167,1048,350,2519,0.9,2294,2.7
10102100710,55,1517,632,320,1490,0.9,1175,2
10102100801,40,2145,989,450,2542,0.8,2150,2.5
10102100802,42,2080,1113,435,2603,0.7,2306,2.7
10102100803,33,1755,612,252,1444,0.8,1257,2.4
10102100804,34,1733,767,228,1666,0.8,1312,2.4
10102100805,30,1681,521,204,1100,0.8,979,2.5
10102100806,39,2089,830,465,1910,0.8,1812,2.7
10102100807,40,1950,889,363,2037,0.8,1701,2.2
10102100808,35,1733,902,400,2045,0.8,1932,2.6
10102100809,0,0,0,0,0,0,0,0
10102100810,40,2233,1211,440,2700,0.7,2625,2.9
10102100811,38,2100,1185,440,2821,0.8,2349,2.6
10102100812,36,2167,1414,480,3600,0.8,3107,2.9
10102100813,43,1799,1256,480,2970,0.8,2849,2.8
10102100814,40,2184,1145,450,2705,0.7,2356,2.4
10102100815,34,1770,891,298,2011,0.9,1437,2.1
10102100816,36,1733,678,200,1952,0.8,1468,2.4
10102100817,33,1903,1058,400,2272,0.9,1965,2.7
10102100818,38,1924,859,320,2038,0.9,1625,2.5
10102100819,40,1990,1246,395,3062,0.7,2916,3
10102100820,32,1970,872,350,2200,0.9,2111,3
10102100821,41,2080,1033,490,2700,0.8,2720,3.1
10102100822,41,2008,1053,625,2833,0.7,2625,2.8
10102100823,33,1900,1156,301,3021,0.8,2437,3.1
10102100901,43,1999,1090,400,2625,0.8,2133,2.4
10102100902,40,2600,1004,400,2481,0.7,2323,2.8
10102100904,40,2167,1075,520,2783,0.7,2408,2.6
10102100905,43,1907,987,420,2700,0.7,2014,2.4
10102100907,34,1700,970,310,1963,1,1736,2.3
10102100908,33,1408,1005,320,2043,0.9,1571,1.8
10102100909,33,1155,929,280,1756,1,1463,1.9
10102100910,32,1213,966,310,1771,1,1390,1.8
10102100911,34,1733,979,300,2216,0.9,1634,2.2
10102100912,40,2000,865,300,2374,0.8,1839,2.4
10102100913,42,2000,1057,450,2592,0.8,2157,2.5
10102100914,39,1668,1017,440,2270,0.8,1789,2.3
10102100915,38,1460,1027,300,2215,0.9,1507,1.9
10102100916,36,1733,1049,380,2407,0.9,1987,2.4
10102100917,46,1751,837,223,2562,0.9,1089,1.6
10102100918,57,1950,806,410,2359,0.7,1589,2
10102100919,37,1821,1125,395,2402,0.9,1981,2.3
10102100920,39,1100,949,280,2053,0.9,1397,1.8
