SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102100701,3,0,5,0,0,6,9,3,0,31,30,30,34,27,51,63,48,20,0,305
10102100702,9,0,0,3,11,6,6,0,0,30,37,26,24,28,47,75,41,31,4,309
10102100703,8,5,0,8,4,10,4,0,3,40,101,47,46,60,62,45,56,44,10,468
10102100704,3,3,0,3,13,6,11,5,0,52,72,24,42,50,66,69,84,81,38,527
10102100705,13,4,13,3,9,11,4,5,0,59,66,33,57,42,48,62,59,50,3,420
10102100706,8,0,4,9,5,7,6,0,0,38,63,15,24,40,39,55,41,17,0,295
10102100707,8,0,0,3,0,8,10,0,0,32,66,23,36,34,54,107,78,30,11,442
10102100708,10,4,7,0,10,12,9,9,3,65,116,43,45,62,115,114,119,31,7,649
10102100709,9,4,8,8,3,10,0,0,0,44,84,38,46,56,78,86,36,16,0,446
10102100710,4,0,3,4,14,11,10,0,0,46,69,28,30,50,99,127,103,46,10,563
10102100801,11,8,3,8,6,0,3,0,0,38,58,54,50,55,61,55,29,16,4,388
10102100802,4,9,3,0,4,8,6,0,5,37,111,50,65,79,71,81,61,39,8,567
10102100803,17,3,6,9,3,0,0,0,0,38,83,34,60,43,53,31,28,13,3,351
10102100804,13,5,4,8,11,3,4,0,0,44,91,46,79,56,57,36,34,14,5,428
10102100805,22,5,9,10,4,6,4,0,0,59,80,43,41,33,30,18,20,12,3,273
10102100806,11,4,3,4,6,7,0,0,0,26,81,42,61,65,36,50,54,22,0,409
10102100807,5,8,3,10,3,5,9,5,0,47,63,55,82,72,60,56,60,25,4,481
10102100808,12,0,3,3,4,5,0,4,3,33,105,58,81,65,61,59,46,20,8,506
10102100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102100810,5,0,0,0,0,3,0,0,0,11,46,38,24,22,32,51,15,4,0,245
10102100811,0,13,8,0,6,4,5,3,0,39,59,39,56,46,33,44,40,29,0,344
10102100812,6,0,5,6,4,0,0,0,0,23,66,28,39,39,37,39,10,5,0,266
10102100813,0,7,0,4,8,4,0,0,0,15,68,63,34,49,95,65,23,10,6,410
10102100814,0,11,5,3,3,4,3,0,0,38,72,62,80,53,74,84,51,15,5,498
10102100815,11,12,17,4,9,12,3,5,0,75,85,60,131,55,61,62,40,36,8,533
10102100816,8,3,14,6,0,10,0,0,0,48,92,52,62,80,43,60,40,20,7,452
10102100817,9,4,6,0,0,0,0,0,0,28,73,33,76,46,33,37,21,16,8,336
10102100818,3,5,0,4,3,0,0,0,0,25,55,47,40,40,53,20,24,25,3,301
10102100819,3,4,3,6,0,4,0,0,0,23,84,59,54,62,63,64,35,20,0,436
10102100820,7,4,0,0,0,0,6,0,0,21,75,39,45,42,23,28,30,10,7,294
10102100821,7,3,0,5,5,5,4,0,0,27,76,64,52,50,84,63,43,19,0,451
10102100822,0,0,0,0,0,0,0,0,0,5,36,26,24,33,36,30,25,10,0,229
10102100823,11,14,7,3,3,3,0,0,0,48,60,27,27,37,33,24,12,0,0,221
10102100901,0,0,0,0,0,3,0,0,3,9,54,15,29,34,29,38,31,6,10,250
10102100902,4,3,0,4,7,0,0,3,0,35,58,51,49,51,57,33,40,21,12,366
10102100904,0,0,0,0,0,0,0,0,0,9,62,26,53,48,47,33,44,21,7,343
10102100905,7,0,4,3,0,4,7,0,0,28,74,26,61,51,56,55,38,37,24,416
10102100907,5,4,11,0,3,7,0,0,0,29,85,53,125,77,62,56,38,13,4,513
10102100908,11,4,11,8,3,0,0,0,0,33,71,66,167,73,62,55,30,12,0,534
10102100909,0,9,6,9,12,3,0,0,0,45,84,68,183,113,65,46,34,7,0,606
10102100910,3,6,16,0,9,6,4,6,0,43,83,64,184,70,62,53,31,11,0,568
10102100911,3,5,12,5,0,3,5,0,0,36,85,45,108,58,58,61,19,20,11,454
10102100912,4,0,0,5,0,0,4,0,5,32,48,27,47,37,31,39,38,14,11,297
10102100913,11,9,0,6,0,0,3,0,3,33,108,77,87,73,83,100,62,36,14,641
10102100914,0,8,0,3,0,0,0,0,0,22,72,52,61,62,66,58,31,22,19,451
10102100915,9,0,9,5,5,4,5,0,0,42,101,89,158,139,102,94,58,32,10,785
10102100916,11,3,15,3,3,5,8,3,0,51,101,54,85,72,61,54,38,22,9,487
10102100917,0,0,3,0,6,3,4,0,0,16,24,16,43,26,31,47,27,14,8,230
10102100918,8,8,4,0,0,5,3,19,24,78,69,32,51,52,67,61,55,92,88,575
10102100919,3,6,3,12,4,4,10,0,0,45,83,56,102,84,66,75,47,19,9,537
10102100920,6,0,3,3,0,0,5,3,0,30,55,17,83,59,32,31,33,30,32,377
10102100921,0,0,8,0,3,5,4,0,0,23,49,44,123,56,63,44,19,13,0,406
10102100923,3,4,8,3,5,8,4,0,0,28,99,43,55,69,68,53,32,28,13,456
10102100924,0,0,0,0,0,0,0,0,6,5,6,5,14,9,4,8,4,4,12,63
10102100925,11,4,9,11,0,0,0,0,0,35,63,48,141,101,47,41,23,6,5,467
10102100926,6,3,8,0,3,0,0,0,0,18,37,24,78,46,27,25,13,3,0,259
10102100927,4,0,0,6,4,3,0,0,0,31,90,31,47,68,44,19,17,6,7,337
10102100928,0,3,6,6,3,10,6,0,0,34,46,48,85,47,55,47,36,15,6,385
10102100929,11,9,13,3,3,9,4,6,5,58,63,46,120,65,60,58,46,44,53,550
10102101001,0,3,4,0,8,0,4,0,0,18,36,8,36,20,33,18,14,7,8,181
10102101002,9,6,0,0,4,5,0,0,0,20,52,39,30,31,57,67,47,20,0,346
10102101003,0,0,0,0,0,3,0,0,0,11,30,49,31,17,47,65,50,19,3,320
10102101004,0,0,0,0,3,0,0,3,0,8,52,27,36,43,65,23,17,11,0,286
10102101006,0,3,17,13,9,11,3,0,0,57,73,53,135,93,60,62,32,10,6,523
10102101007,3,4,8,3,6,13,4,0,0,38,29,27,51,35,39,45,24,4,3,267
10102101008,5,7,11,4,4,6,0,0,0,50,84,60,133,81,56,54,45,14,4,538
10102101009,3,0,0,8,5,5,0,0,0,18,50,38,62,64,45,54,27,19,7,376
10102101010,5,4,10,0,0,5,0,0,0,33,71,44,111,71,47,44,23,9,3,406
10102101011,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,3,3,0,0,19
10102101012,0,0,0,0,0,0,0,0,0,5,21,7,22,18,14,7,0,0,0,95
10102101013,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
10102101014,0,0,0,6,4,0,0,0,0,16,14,11,16,21,25,22,22,20,0,152
10102101015,9,8,19,8,0,9,0,0,0,50,90,77,217,103,57,55,38,13,3,649
10102101016,7,0,6,3,0,6,0,0,0,15,103,50,42,75,73,42,17,19,3,430
10102101017,8,5,5,0,5,0,0,0,0,20,72,59,147,81,48,52,31,9,3,503
10102101201,7,0,6,5,5,0,0,0,0,14,48,21,27,37,31,29,7,5,0,198
10102101202,0,0,4,0,0,0,0,0,0,0,63,33,27,36,49,47,10,3,0,260
10102101203,11,7,0,5,6,6,0,0,0,23,161,89,56,92,109,64,15,14,0,594
10102101204,4,0,0,0,4,0,0,0,0,16,115,52,27,71,59,40,13,0,0,381
10102101205,3,0,0,0,6,5,0,0,0,11,62,59,31,43,69,49,7,3,0,318
10102101206,0,0,0,0,0,0,0,0,0,11,81,61,25,45,87,64,21,4,0,392
10102101207,0,8,4,5,0,7,3,0,0,25,35,28,40,18,40,38,23,5,0,213
10102101208,13,5,4,5,3,3,3,0,0,35,55,52,63,58,53,61,52,19,4,414
10102101209,10,8,4,3,13,7,0,0,0,40,180,125,69,103,151,105,34,16,3,784
10102101210,7,0,3,0,5,0,3,0,0,23,86,50,56,63,64,57,33,13,0,424
10102101211,4,3,0,5,3,4,0,0,0,19,155,109,45,94,125,66,19,10,3,629
10102101212,3,0,0,7,6,0,0,0,0,19,73,56,39,47,74,29,12,6,3,344
10102101213,3,4,0,4,6,3,0,0,0,23,96,70,46,67,100,78,32,16,0,503
10102101214,4,0,3,3,0,3,3,0,0,30,107,75,57,56,90,85,39,19,0,531
10102101215,7,0,6,3,4,0,0,0,0,23,119,43,54,97,66,37,36,26,6,492
10102101216,0,4,0,0,0,0,0,0,0,8,72,35,32,44,51,41,29,5,9,315
10102101217,0,0,0,0,0,3,0,0,0,8,0,3,4,0,13,9,13,0,0,49
10102101218,8,8,3,0,7,0,0,0,0,25,94,65,76,77,66,47,45,15,3,491
10102101219,8,3,12,11,12,10,0,0,0,66,114,56,148,110,80,77,43,23,5,649
10102101220,11,3,8,3,5,4,0,0,0,36,97,47,77,58,49,67,31,16,7,451
10102101221,3,0,0,0,3,0,0,0,0,11,84,44,58,59,52,20,11,0,0,319
10102101222,5,3,0,0,0,0,0,0,0,17,104,60,57,87,89,56,37,13,3,501
10102101223,17,10,16,13,4,8,6,0,0,68,148,54,87,95,80,60,53,22,8,601
10102101224,3,5,3,4,3,12,0,0,0,24,87,92,39,57,108,88,45,20,0,527
10102101225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102101226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102101227,0,3,0,0,6,0,0,0,0,15,83,84,25,45,97,74,13,7,0,427
10102101228,3,4,9,0,0,3,0,3,0,25,73,44,62,47,60,64,24,13,3,395
10102101229,17,7,9,5,8,0,0,0,0,48,98,52,67,61,73,49,21,7,0,434
10102101230,6,8,0,5,0,5,4,0,0,26,46,25,35,31,15,32,22,0,0,202
10102101231,8,0,0,3,3,0,0,0,0,22,62,37,24,38,64,38,31,15,11,313
10102101232,8,0,3,0,4,3,0,0,0,24,93,75,36,71,89,66,26,9,3,467
10102161001,3,0,5,7,3,4,3,0,0,27,112,23,113,93,48,20,9,0,0,410
10102161002,3,0,3,4,0,6,0,0,0,17,91,14,84,71,25,25,18,3,0,320
10102161003,7,10,8,5,0,0,0,0,0,27,202,56,159,133,48,30,18,5,0,651
10102161004,3,0,4,0,0,0,0,0,0,6,88,17,67,58,23,8,7,3,0,271
10102161005,0,6,4,8,3,0,0,0,0,23,139,38,72,90,65,26,11,0,0,451
10102161006,13,9,4,15,0,0,0,0,0,44,156,32,87,94,40,21,9,9,6,450
10102161007,12,0,9,0,3,0,0,0,0,21,92,36,130,80,33,17,14,4,0,400
10102161008,3,3,0,5,4,0,5,0,0,16,91,28,38,62,32,18,21,4,0,286
10102161009,0,0,0,0,0,0,0,0,0,5,72,36,27,38,50,18,12,10,3,264
10102161010,3,0,4,0,5,0,5,0,0,16,132,26,89,78,40,10,10,7,0,396
10102161011,5,0,0,7,5,0,0,0,0,16,116,38,57,93,66,23,3,0,0,400
10102161012,10,0,4,3,0,0,0,0,0,28,129,24,61,100,37,15,13,6,0,387
10102161013,10,0,10,7,3,0,0,0,0,34,163,36,105,109,57,17,17,0,0,517
10102161014,4,0,4,3,0,0,0,0,0,16,131,39,120,103,61,19,9,5,0,488
10102161015,3,0,0,0,0,0,0,0,0,9,157,39,85,109,62,24,10,5,0,490
10102161101,4,4,0,5,0,0,0,0,0,18,47,25,14,35,58,44,38,9,0,271
10102161102,0,0,0,0,0,0,0,0,0,3,40,26,20,22,44,41,24,10,3,221
10102161103,0,4,0,0,0,0,0,0,0,5,45,18,12,26,38,36,13,4,0,213
10102161104,3,4,0,3,3,5,0,0,0,23,77,31,60,32,62,48,33,25,3,374
10102161105,5,0,0,10,9,9,4,0,0,31,60,31,31,42,50,62,37,14,0,333
10102161106,5,6,0,3,0,3,3,0,0,18,96,57,49,57,74,70,30,6,9,444
10102161107,12,4,4,4,6,7,9,0,0,47,91,42,52,60,60,72,56,24,0,462
10102161108,4,0,0,4,0,4,6,0,0,21,82,45,38,60,82,75,62,21,0,463
10102161109,3,0,0,7,0,0,0,0,0,29,149,32,92,122,65,37,19,11,7,529
10102161110,6,3,0,0,0,3,3,0,0,23,69,34,21,37,71,49,44,20,4,337
10102161111,15,38,40,38,36,68,30,8,0,273,66,82,82,77,81,117,108,31,4,642
10102161112,3,4,4,0,3,0,0,0,0,12,72,51,24,46,53,34,5,10,0,298
10102161113,8,3,0,7,6,7,0,0,0,30,73,31,40,47,63,76,33,11,4,379
10102161114,0,0,3,3,0,7,3,0,0,19,33,18,22,22,21,29,16,3,0,155
10102161115,7,0,0,3,0,0,3,0,0,19,49,31,32,43,29,43,36,30,0,296
10102161116,6,9,0,4,8,6,3,0,0,23,47,51,25,32,57,53,37,3,0,305
10102161117,3,6,8,4,3,5,0,0,0,25,37,41,25,29,46,38,22,5,6,251
10102161118,9,3,3,8,0,0,5,0,0,33,83,54,41,46,84,97,67,27,0,502
10102161119,3,0,9,0,4,0,0,0,0,16,116,53,56,82,63,47,22,6,0,439
10102161120,0,8,0,3,7,8,3,3,0,36,36,27,19,33,64,46,39,17,7,288
10102161121,3,0,0,0,4,5,0,0,0,10,20,8,16,12,19,21,9,10,0,124
10102161122,0,0,0,0,0,5,3,0,0,10,55,37,29,41,50,50,67,30,4,355
10102161123,0,0,3,0,0,6,0,0,0,7,42,21,21,22,17,18,11,4,0,155
10102161124,15,9,8,11,9,3,3,0,0,55,145,65,92,96,89,83,46,8,0,628
10102161125,0,0,3,0,3,0,0,0,0,9,41,14,28,26,39,42,28,14,0,239
10102161126,10,3,3,0,3,7,6,6,0,43,153,38,76,87,71,68,63,46,8,602
10102161127,6,0,0,0,0,0,0,0,0,9,100,24,18,59,62,15,15,3,3,309
10102161128,0,0,6,0,7,10,3,0,0,28,9,6,8,9,26,27,15,7,0,108
10102161129,11,0,4,4,0,0,0,0,0,25,56,37,31,39,32,53,30,7,0,291
10102161130,12,3,7,5,0,4,3,0,0,38,103,42,75,56,51,68,48,11,0,453
10102161131,11,3,15,9,7,10,0,0,0,62,108,39,53,85,57,86,33,15,3,481
10102161132,0,4,0,0,0,4,0,0,0,12,51,59,43,25,64,61,32,18,4,351
10102161133,5,3,0,5,0,5,4,4,0,23,91,66,48,37,70,70,32,10,3,431
10102161134,0,4,0,0,3,0,0,0,0,16,28,14,22,15,27,25,19,12,0,171
10102161135,8,5,10,4,7,4,0,0,0,32,53,39,35,27,60,52,31,21,0,319
10102161136,6,0,5,0,5,0,0,0,0,15,56,46,29,35,77,52,36,18,0,352
10102161137,6,6,3,0,0,4,4,0,0,23,54,31,28,37,50,41,26,15,0,281
