CED_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,329,866,863,756,882,1315,2048,1757,1081,9898,367,1261,1354,1064,1107,1371,1386,861,440,9208,263,1250,1814,1409,1318,1450,1014,533,206,9258,124,1289,2514,1786,1796,1685,866,412,139,10605,61,1174,3086,2392,2122,2002,912,282,66,12105,17,731,2442,1995,1778,1477,581,134,40,9199,12,308,2122,1849,1627,1313,455,111,26,7817,0,129,1418,1603,1428,1035,313,65,15,6014,9,92,2044,3229,2707,1685,413,74,19,10267,0,14,315,812,721,366,77,26,0,2342,0,6,370,1151,1230,718,158,43,24,3696,404,604,1375,1093,892,827,764,729,870,7555,8,14,51,43,39,73,67,23,6,326,9119,10955,22634,22120,20717,20555,15058,8694,4397,134249
CED102,255,1061,1248,917,917,1240,2065,1948,1053,10721,309,1724,2236,1309,1285,1383,1312,782,330,10678,198,1707,2844,1714,1437,1311,855,461,168,10702,92,1602,4115,2321,1869,1649,777,327,115,12871,60,1368,4814,2894,2309,1824,745,200,64,14275,18,773,3691,2433,1774,1314,463,111,43,10622,5,362,3080,2419,1759,1153,364,95,34,9273,0,168,2075,1822,1442,958,259,43,14,6787,5,117,3213,3905,2752,1488,323,56,23,11881,0,12,521,963,682,323,68,27,8,2602,0,19,492,1415,1188,538,127,45,24,3847,477,975,2515,1645,1274,1037,945,1099,1094,11061,11,40,80,51,68,92,72,33,3,463,8259,13685,35102,27240,22049,19307,14746,9415,4488,154307
CED103,292,914,934,810,776,1112,1681,1528,1052,9095,298,1242,1576,1315,1039,1293,1362,912,482,9512,165,1145,1983,1468,1204,1237,1048,620,241,9110,102,1137,2614,1889,1548,1487,995,470,181,10431,52,1250,4101,2700,1944,1843,1023,404,147,13465,22,860,3873,2529,1648,1425,702,200,72,11338,8,379,3582,2663,1739,1334,542,143,57,10451,5,169,2538,2297,1514,1134,395,104,40,8193,4,158,4135,6010,3639,2292,650,110,37,17033,0,25,697,1644,1161,635,132,31,12,4348,0,17,686,2509,2420,1249,310,73,32,7297,305,593,1715,1354,931,833,668,588,643,7635,24,37,68,75,73,151,155,39,4,625,9277,12367,32724,31336,22907,21146,15864,8549,4384,158557
CED104,367,664,392,483,636,828,1400,1377,678,6829,427,911,565,701,895,979,1431,1064,455,7428,251,861,752,912,1041,1180,1211,840,238,7271,140,918,1062,1088,1299,1358,1101,662,206,7848,59,928,1535,1529,1798,1690,1244,555,125,9471,16,648,1483,1522,1657,1485,819,306,79,8008,7,324,1424,1688,1766,1457,686,210,61,7621,0,113,999,1508,1624,1277,507,141,37,6202,0,85,1625,4019,4141,2749,780,210,48,13658,0,17,312,1318,1384,829,249,48,22,4181,4,10,338,2410,3166,1882,473,127,37,8439,262,252,415,576,631,487,485,657,855,4630,16,6,29,26,25,81,103,38,9,342,10545,8678,12459,19926,22513,20000,15590,9420,4029,123164
CED105,347,1216,1763,1341,1397,1739,2292,1540,1042,12690,390,1741,2487,1805,1681,1509,1077,548,261,11507,250,1649,2771,1989,1795,1519,770,353,126,11225,134,1598,3358,2339,2120,1680,608,197,58,12088,67,1348,3615,2638,2172,1749,570,134,24,12314,21,689,2660,1793,1411,1078,328,62,16,8065,13,295,1912,1402,1099,833,226,37,13,5823,8,107,1133,1036,804,515,125,12,4,3735,3,76,1309,1627,1092,645,158,26,6,4938,0,12,177,319,210,134,34,9,6,895,0,12,191,330,297,144,47,19,9,1046,1066,1552,3344,2644,1998,1626,1197,846,785,15052,17,39,69,61,54,64,52,19,4,376,11694,15331,31615,24845,21467,20129,13911,7435,3529,149949
CED106,289,784,475,500,600,686,1197,1083,752,6368,288,932,687,842,869,915,1204,1000,492,7222,167,890,952,996,952,958,1062,801,352,7129,99,844,1252,1239,1235,1144,1068,814,323,8012,33,902,1912,1712,1555,1429,1131,735,300,9722,10,608,1787,1633,1324,1136,860,495,180,8035,5,300,1669,1775,1464,1243,785,487,173,7898,0,122,1246,1680,1375,1071,574,346,112,6524,9,107,2272,4765,3677,2424,1022,499,178,14945,8,28,452,1699,1591,985,363,145,59,5326,4,29,576,3980,5978,3233,900,374,171,15237,293,311,622,721,646,586,598,699,964,5446,26,31,53,67,100,151,136,42,3,618,11094,9359,15930,24718,24528,19632,15462,10513,5498,136748
CED107,527,625,850,813,1069,1642,3112,2491,1238,12376,636,874,1335,1225,1248,1641,2017,1205,470,10644,422,1139,1624,1350,1373,1524,1485,796,226,9941,280,1414,2275,1746,1945,1907,1183,487,133,11374,131,1043,2629,2118,2236,2235,1144,337,67,11932,56,619,2116,1722,1694,1563,683,165,27,8644,24,344,1676,1567,1664,1331,525,203,46,7379,7,173,1237,1305,1452,1092,345,65,28,5708,5,179,1801,2609,2668,1760,409,93,20,9545,0,26,318,517,528,328,96,35,9,1862,3,27,275,685,867,611,280,94,22,2868,860,921,2116,2005,1804,1645,1562,1245,690,12861,4,22,37,20,27,25,12,9,0,157,10432,9285,20598,19786,21208,21864,18790,10863,4029,136855
CED108,452,978,1347,1160,1118,1326,2408,1590,671,11055,504,1379,1932,1611,1310,1164,1193,636,350,10080,325,1645,2477,2044,1597,1368,804,404,78,10741,236,1812,3541,3072,2579,1970,634,169,48,14065,131,1456,4233,4052,3053,2318,596,90,17,15937,45,785,3402,3187,2273,1502,360,29,5,11588,17,316,2463,2740,1802,1171,279,44,14,8847,6,122,1544,2024,1233,758,161,9,5,5859,0,87,1829,3632,1909,1009,181,14,3,8670,0,7,243,697,304,127,39,11,0,1426,3,19,176,602,265,147,52,13,9,1302,1048,1130,2575,2305,1659,1252,974,724,536,12210,10,20,53,39,28,112,106,26,8,405,12573,13833,30767,31748,23212,19886,14252,6605,2474,155349
CED109,362,517,428,471,640,943,1636,1706,1118,7818,484,804,690,738,896,1038,1450,1136,566,7805,306,902,934,954,1121,1195,1244,809,304,7759,141,1157,1431,1249,1409,1496,1107,652,270,8904,52,1134,2255,1754,1905,1907,1200,488,149,10828,19,759,2273,1561,1734,1461,813,307,97,9029,9,362,2214,1795,1773,1440,686,218,79,8580,3,156,1658,1510,1617,1182,469,139,57,6796,0,135,2562,3380,3220,2090,636,166,71,12262,3,16,471,1015,995,606,208,75,28,3420,3,17,558,2048,2241,1280,414,168,49,6784,364,338,985,902,936,724,669,837,927,6683,8,8,28,37,33,35,30,3,11,198,8526,8203,17953,19203,20593,18641,14950,9958,5104,123128
CED110,542,661,1003,1005,1285,2382,4255,3126,1411,15674,518,964,1453,1364,1484,2330,3271,1998,741,14124,323,1143,1668,1539,1623,1968,2071,1199,353,11891,170,1116,2158,1962,2232,2374,1549,721,230,12504,62,720,2150,2151,2437,2396,1452,566,158,12102,16,346,1482,1534,1705,1530,757,243,77,7693,4,126,1151,1248,1466,1211,530,237,94,6067,0,56,738,988,1205,931,299,92,23,4329,0,37,770,1533,1958,1275,392,114,28,6099,0,11,101,267,348,257,101,37,9,1113,9,16,143,440,599,478,220,106,39,2041,864,702,1677,1594,1515,1666,1779,1697,1270,12750,9,15,61,47,40,36,27,10,4,250,9781,7914,17000,18079,20848,24690,24951,15109,6077,144440
CED111,516,1051,899,759,987,1435,2397,2245,1367,11655,541,1495,1449,1099,1102,1375,1852,1134,463,10504,299,1586,1615,1208,1196,1276,1230,756,237,9403,149,1444,2128,1499,1541,1515,1147,497,157,10065,64,1210,2734,1942,1856,1816,1100,344,66,11130,24,658,2307,1657,1664,1430,646,181,41,8608,6,301,2159,1705,1713,1367,485,166,45,7947,0,115,1566,1623,1500,1087,291,76,22,6283,7,121,2136,3308,3161,1928,460,94,12,11220,0,13,342,726,802,468,88,26,7,2478,3,15,321,1140,1332,835,245,95,26,4015,567,741,1158,978,921,804,815,928,949,7853,6,19,38,23,22,19,28,3,3,161,9625,12354,21716,20018,20358,19670,15476,9875,4557,133651
CED112,540,719,886,859,1091,1599,3087,2525,1180,12475,626,1133,1405,1252,1354,1629,2244,1418,581,11639,375,1356,1767,1419,1542,1539,1444,792,242,10483,185,1388,2385,1956,1946,1903,1087,443,170,11458,90,972,2717,2263,2408,2190,964,284,84,11963,32,490,2122,2001,1845,1497,584,134,42,8736,7,186,1588,1760,1676,1135,409,127,47,6930,5,96,1043,1485,1377,859,241,49,19,5173,3,52,1179,2286,2200,1307,309,64,12,7411,5,5,158,432,431,275,81,18,5,1412,3,19,139,546,694,453,135,72,33,2101,656,544,1146,1142,1121,980,1145,1325,1272,9337,5,4,18,13,17,33,28,5,0,126,10060,9142,18990,19695,20412,19776,17603,10919,4788,131375
CED113,453,518,769,673,898,1594,2798,1942,950,10597,586,883,1149,942,1132,1606,2058,1147,350,9858,391,1138,1545,1186,1242,1642,1583,814,245,9792,279,1311,2208,1590,1749,1909,1413,570,125,11145,127,1058,2608,2023,2170,2465,1424,441,100,12411,38,695,2115,1807,1906,1801,876,206,40,9483,16,335,2065,1916,1941,1700,720,203,61,8956,3,133,1397,1643,1802,1358,467,100,27,6920,3,104,1944,3367,3660,2329,564,145,33,12151,0,18,290,683,828,523,146,40,10,2540,11,19,309,1001,1643,1064,315,97,23,4488,712,673,1667,1502,1639,1758,1479,1023,598,11058,9,30,122,37,27,38,29,7,5,300,9221,8422,20132,20205,22923,24258,19828,9881,3462,138328
CED114,463,540,914,884,1059,1609,3069,2521,1234,12290,676,872,1361,1207,1302,1816,2242,1380,525,11379,450,1363,1768,1550,1587,1790,1593,847,278,11242,298,1507,2997,2258,2254,2381,1367,557,209,13821,142,1161,3176,2562,2657,2727,1219,381,77,14105,38,554,2162,1911,1898,1727,688,177,32,9199,12,227,1649,1604,1643,1458,521,164,61,7338,8,105,933,1167,1277,1081,309,97,12,4990,9,85,1027,1775,2050,1360,361,100,23,6786,0,4,124,304,316,277,105,30,10,1174,7,23,182,414,560,493,285,105,34,2107,984,812,1891,1716,1850,1977,1899,1545,936,13616,4,37,152,76,31,35,15,7,0,357,10279,9011,20758,19687,21116,23236,20129,11837,4663,140704
CED115,331,955,1263,1436,1653,2082,2789,1748,934,13201,344,1138,1735,1616,1730,1714,1320,625,266,10495,225,1250,1909,1721,1905,1671,790,327,90,9904,179,1321,2653,2176,2324,1971,693,186,60,11555,65,1211,3122,2315,2231,1816,596,108,27,11478,19,647,2347,1643,1414,1154,336,52,6,7620,5,295,1696,1248,1068,865,243,46,11,5470,5,104,1057,940,741,523,147,14,4,3543,0,68,1212,1429,1019,681,177,14,8,4605,0,9,158,231,204,130,36,7,0,782,0,7,107,299,274,161,59,25,5,940,890,962,2248,1936,1663,1569,1238,997,889,12391,8,11,53,42,36,61,43,11,9,270,11241,12446,24768,22080,22196,22312,16175,7900,3562,142675
CED116,427,563,893,808,1093,2126,3969,2975,1417,14267,572,805,1169,1200,1364,2179,3237,1847,653,13022,287,1024,1490,1284,1456,1953,2268,1218,361,11334,164,1018,1926,1622,1923,2177,1677,787,220,11519,57,696,2047,1875,2109,2421,1722,598,130,11651,22,402,1496,1409,1598,1616,964,319,72,7896,7,170,1279,1264,1309,1366,648,244,80,6366,0,76,867,1088,1113,1021,413,117,23,4718,0,37,1007,1799,1925,1604,482,134,34,7019,0,4,115,329,369,327,153,48,6,1362,6,13,167,587,802,753,363,127,29,2851,745,597,1392,1377,1431,1500,1531,1333,875,10787,8,15,24,23,23,25,20,18,0,152,8439,7040,15835,16767,19144,25073,26172,14811,5381,138643
CED117,195,698,678,487,566,741,1351,1160,625,6496,213,1065,1224,720,688,844,1081,566,223,6628,137,1151,1703,888,750,813,841,438,88,6794,75,960,2237,1227,1017,960,814,301,60,7656,29,973,3256,1882,1485,1279,907,252,60,10117,15,668,3404,1793,1437,1078,577,167,13,9161,4,322,3173,2009,1542,1144,525,116,19,8856,0,132,2494,1939,1490,1004,396,105,19,7565,5,115,4619,5232,3797,2195,636,106,12,16730,0,12,886,1760,1441,668,197,44,9,5020,0,20,1195,4293,4263,1828,436,78,14,12126,228,532,1517,1169,924,786,745,685,658,7231,5,21,65,36,42,50,54,6,0,277,5990,8926,28659,25384,21488,15991,11479,6135,2619,126666
