CED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
CED111,229,4367,276,0,4878,300,5567,376,16,6255,713,9671,603,18,11001,962,8340,494,8,9796,1569,7917,460,11,9961,1842,7435,358,10,9645,972,6050,339,10,7366,507,3654,346,0,4507,172,1287,231,0,1691,7258,54284,3479,77,65098,270,4172,303,7,4750,393,5380,321,7,6102,933,9212,550,17,10710,1525,8200,482,18,10218,2332,7658,395,6,10400,2591,7080,346,10,10028,1393,6342,360,19,8115,575,4335,451,3,5365,112,2170,573,3,2863,10117,54555,3796,90,68553,499,8542,572,6,9625,691,10949,695,19,12354,1643,18881,1148,38,21716,2482,16538,977,23,20018,3897,15580,863,22,20358,4427,14512,709,19,19670,2358,12388,698,28,15476,1086,7986,799,3,9875,287,3458,812,3,4557,17374,108838,7274,161,133651
CED112,255,4634,320,3,5212,281,4074,259,3,4614,621,7912,557,3,9094,1002,7906,598,12,9510,1273,7992,536,11,9808,1304,7610,418,7,9339,928,6874,453,10,8272,567,3913,444,7,4925,132,1280,328,4,1743,6353,52188,3915,57,62516,259,4278,307,4,4848,317,3955,253,0,4529,1054,8233,608,9,9902,1834,7795,552,5,10179,2257,7843,500,9,10607,2214,7766,431,21,10435,1451,7366,498,13,9331,587,4738,661,6,5988,104,2216,719,0,3038,10086,54189,4521,67,68860,512,8912,622,5,10060,602,8025,511,4,9142,1672,16141,1168,18,18990,2836,15699,1147,13,19695,3527,15833,1038,17,20412,3521,15373,848,33,19776,2381,14242,949,28,17603,1152,8650,1104,5,10919,239,3501,1043,0,4788,16434,106377,8434,126,131375
CED113,210,4181,411,6,4804,226,3791,369,12,4397,561,8440,951,65,10021,999,8047,853,24,9926,1414,9007,891,11,11338,1789,9514,946,11,12259,1150,8271,704,17,10141,481,3992,420,0,4896,141,1078,185,3,1413,6971,56327,5735,155,69185,219,3855,337,5,4412,268,3453,288,20,4030,940,8386,731,50,10107,1557,8045,661,15,10283,2288,8594,695,9,11589,2561,8662,743,26,11996,1574,7501,608,14,9689,608,3917,454,7,4985,97,1643,306,0,2053,10126,54058,4814,149,69144,430,8038,738,9,9221,490,7245,655,30,8422,1504,16827,1685,122,20132,2559,16092,1519,37,20205,3705,17604,1583,27,22923,4350,18186,1686,38,24258,2721,15769,1311,29,19828,1090,7910,872,7,9881,241,2725,489,5,3462,17096,110383,10550,300,138328
CED114,225,4478,539,3,5247,228,3898,433,29,4592,626,8647,1019,102,10390,978,7692,910,55,9631,1348,8074,979,17,10424,1634,8874,931,14,11457,1123,8195,846,11,10177,600,4386,545,3,5534,174,1383,279,0,1838,6955,55625,6486,234,69298,284,4274,468,3,5032,350,3668,390,10,4413,1113,8336,867,57,10368,1671,7538,821,19,10058,2269,7655,756,10,10691,2801,8106,858,17,11775,1684,7531,729,8,9954,706,4864,728,0,6302,134,2279,405,0,2823,11004,54247,6030,122,71411,514,8750,1010,4,10279,577,7569,825,37,9011,1731,16985,1887,152,20758,2651,15230,1732,76,19687,3614,15727,1738,31,21116,4433,16978,1785,35,23236,2809,15727,1576,15,20129,1309,9247,1271,7,11837,310,3665,688,0,4663,17954,109875,12516,357,140704
CED115,260,4997,453,0,5713,347,5382,498,0,6226,966,10268,1127,38,12398,1138,8420,997,27,10581,1264,8559,896,17,10736,1195,9011,837,12,11055,685,6513,589,21,7816,314,2977,439,7,3737,93,1000,306,3,1396,6258,57120,6145,129,69656,278,4824,422,4,5528,479,5277,461,6,6220,1262,9924,1164,20,12372,1722,8807,951,13,11497,2157,8481,804,19,11463,1963,8497,747,48,11252,1058,6678,594,26,8364,345,3295,527,5,4169,70,1564,528,6,2161,9335,57345,6200,142,73023,536,9817,878,8,11241,824,10659,957,11,12446,2228,20197,2294,53,24768,2858,17235,1954,42,22080,3419,17039,1701,36,22196,3159,17506,1582,61,22312,1750,13194,1188,43,16175,659,6263,964,11,7900,161,2559,827,9,3562,15593,114467,12342,270,142675
CED116,192,3814,398,5,4409,215,3118,363,10,3704,551,6517,830,12,7914,805,6595,794,8,8199,1268,7206,783,13,9274,1872,9271,768,21,11925,1597,10550,689,11,12851,866,5862,510,5,7246,232,1690,225,0,2148,7601,54622,5368,80,67666,250,3417,359,6,4031,243,2844,235,5,3331,851,6518,548,9,7926,1441,6538,584,13,8564,2077,7213,574,6,9863,3016,9473,640,5,13142,2158,10482,670,14,13321,921,6015,624,9,7564,181,2635,413,0,3230,11129,55131,4647,66,70975,442,7229,762,8,8439,455,5965,599,15,7040,1403,13034,1379,24,15835,2245,13126,1373,23,16767,3350,14418,1357,23,19144,4891,18746,1406,25,25073,3757,21035,1363,20,26172,1783,11875,1131,18,14811,414,4327,641,0,5381,18729,109752,10008,152,138643
CED117,124,2899,105,5,3139,219,3787,269,8,4281,612,12406,749,39,13810,922,10951,618,18,12514,1296,8705,487,25,10513,1140,6270,453,17,7878,586,4429,295,22,5336,261,2311,227,6,2809,87,811,142,0,1031,5250,52574,3343,139,61312,128,2587,134,0,2853,255,4114,262,12,4640,865,13177,782,22,14848,1305,11026,522,17,12871,1969,8592,393,15,10979,1774,6038,273,33,8115,953,4890,269,32,6138,336,2758,236,0,3331,65,1288,236,0,1586,7643,54479,3101,138,65361,254,5490,242,5,5990,475,7894,530,21,8926,1478,25589,1531,65,28659,2224,21983,1139,36,25384,3264,17302,882,42,21488,2910,12309,723,50,15991,1538,9322,555,54,11479,599,5070,460,6,6135,145,2099,375,0,2619,12891,107055,6443,277,126666
CED118,237,5640,301,0,6177,315,5824,619,3,6760,791,12256,1558,13,14621,1584,16066,1348,15,19020,1376,10565,733,11,12676,1039,7457,459,40,8996,647,5249,308,71,6270,287,2420,217,17,2946,72,616,110,0,802,6347,66087,5648,180,78262,257,5149,278,0,5688,383,5278,339,14,6014,1191,12909,962,14,15073,2241,15428,946,12,18632,1977,9662,524,24,12194,1518,7362,381,122,9382,843,5716,334,93,6985,298,2692,239,16,3237,45,1058,158,0,1259,8755,65244,4164,300,78458,490,10788,579,0,11861,702,11098,963,21,12777,1985,25168,2516,30,29695,3828,31491,2294,28,37647,3351,20221,1256,38,24867,2560,14816,838,163,18372,1484,10957,644,166,13253,587,5111,457,36,6185,117,1675,265,3,2059,15102,131328,9812,480,156722
CED119,188,4709,162,0,5063,215,4262,179,3,4653,497,7426,320,5,8251,922,8848,346,6,10129,1356,8410,270,7,10046,1384,7010,223,6,8619,781,5559,183,17,6545,408,2984,243,6,3637,113,862,217,3,1191,5865,50075,2136,58,58133,222,4254,127,0,4596,237,3725,97,9,4062,667,7621,286,10,8584,1563,8978,319,17,10869,2150,8416,241,5,10819,2128,6775,192,17,9110,1115,5658,216,23,7004,412,3425,309,7,4153,75,1315,540,0,1928,8569,50174,2318,79,61134,416,8963,281,0,9663,447,7988,274,8,8724,1166,15045,606,18,16837,2488,17830,662,21,21002,3504,16833,506,13,20857,3507,13784,405,26,17728,1895,11218,398,32,13548,818,6408,552,10,7790,187,2177,757,3,3123,14432,100241,4455,135,119270
CED120,226,5099,348,3,5673,256,4424,328,9,5019,657,9250,749,20,10672,1103,8900,673,16,10686,1402,8979,637,14,11028,1391,8194,544,8,10131,967,6810,469,15,8258,454,3450,356,4,4263,103,916,152,0,1174,6551,56018,4252,90,66909,305,4665,298,0,5271,350,4140,213,9,4697,1124,9359,544,14,11043,1951,8738,556,5,11247,2376,8496,499,8,11372,2307,7796,477,19,10589,1284,6918,438,10,8651,474,3680,424,3,4582,70,1519,328,0,1923,10239,55305,3765,70,69379,533,9764,647,5,10946,606,8563,534,14,9716,1782,18609,1291,35,21715,3051,17632,1227,16,21934,3776,17472,1140,20,22406,3694,15987,1015,24,20722,2251,13723,905,25,16911,929,7128,782,10,8843,174,2436,483,3,3094,16789,111324,8016,161,136287
