CED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED221,490,8751,9240,13281,1822,15098,10799,758,11556,12415,592,13005,5739,309,6049,4193,180,4369,46911,12413,59323
CED222,583,15289,15870,17566,3107,20670,11962,1476,13438,11320,976,12299,4521,408,4928,2824,242,3071,48778,21492,70270
CED223,945,19051,19994,21363,3416,24780,7622,811,8428,7013,550,7568,3170,274,3444,1313,135,1448,41432,24226,65662
CED224,667,16178,16847,17122,1986,19109,9598,552,10150,10517,352,10869,3576,132,3708,1473,52,1526,42955,19254,62211
CED225,768,13722,14494,17841,1971,19805,9371,572,9944,10728,337,11065,3639,135,3772,1150,68,1216,43490,16803,60296
CED226,763,16402,17167,17779,2764,20547,8988,809,9792,10203,447,10652,3842,194,4034,1137,69,1207,42712,20686,63401
CED227,623,9953,10572,14808,1779,16594,9880,611,10487,11516,443,11955,4983,220,5202,2682,112,2792,44490,13117,57607
CED228,569,11153,11720,14861,2323,17181,12520,1053,13570,12984,845,13832,5463,452,5911,3971,288,4258,50370,16104,66476
CED229,1038,34082,35119,23626,6835,30462,7483,1583,9062,5559,536,6093,1769,143,1914,698,49,751,40180,43223,83402
CED230,841,22406,23248,21712,3946,25662,8141,920,9059,6876,635,7513,3518,327,3844,1721,174,1898,42810,28418,71227
CED231,679,18222,18901,17479,2830,20309,8845,874,9724,9124,430,9553,3180,138,3321,992,51,1051,40298,22549,62849
CED232,706,8960,9667,15399,1593,16995,9331,477,9810,10972,379,11352,4900,201,5104,1963,97,2064,43273,11708,54983
CED233,894,40604,41501,26490,11409,37896,7895,3547,11437,4800,1374,6173,1214,377,1595,458,113,573,41748,57432,99177
CED234,691,13331,14021,18600,2040,20638,10873,678,11549,11384,421,11803,4142,148,4290,1620,98,1711,47307,16719,64023
CED235,765,17960,18730,20058,3128,23188,7070,658,7734,6554,442,6994,3118,213,3327,1367,97,1466,38932,22503,61436
CED236,798,18525,19328,19973,3115,23089,7802,839,8635,7092,517,7612,3545,288,3829,1908,152,2055,41116,23442,64554
CED237,504,11203,11708,14946,1890,16830,10482,717,11200,11141,511,11649,4761,231,4992,2605,129,2737,44435,14680,59114
CED238,891,19638,20528,20848,3482,24336,7516,763,8280,6675,495,7165,3205,265,3469,1339,118,1453,40472,24752,65229
CED239,670,18892,19559,17353,3922,21277,8710,1662,10374,8272,937,9207,2748,317,3063,1312,146,1456,39060,25878,64941
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,1083,15960,17047,19472,3086,22561,10686,933,11616,9900,483,10384,4688,303,4997,3128,143,3274,48963,20913,69873
CED302,844,12737,13583,16677,2291,18972,10034,732,10767,10577,341,10921,3976,139,4116,1790,71,1862,43899,16313,60211
CED303,910,13177,14088,19534,2161,21693,9302,480,9783,9268,271,9542,3644,107,3747,1809,52,1860,44457,16254,60718
CED304,1170,29318,30485,22431,7273,29703,8666,1975,10638,7540,796,8330,2693,226,2920,781,78,855,43275,39664,82941
CED305,1563,15656,17214,17254,4319,21571,8065,965,9028,7593,616,8212,3418,290,3709,1834,140,1976,39723,21980,61702
CED306,1580,16342,17917,18365,5254,23618,8292,1091,9384,7399,626,8023,3354,326,3675,1734,155,1884,40727,23784,64513
CED307,853,10081,10938,17142,1801,18942,9652,484,10132,10446,279,10715,4143,110,4256,2008,53,2064,44244,12802,57043
CED308,1107,15618,16726,22554,3980,26535,11427,1144,12573,10635,683,11317,4184,300,4487,2274,133,2404,52179,21862,74043
CED309,1161,15610,16768,21662,4014,25672,9196,948,10140,8930,506,9439,3570,181,3754,1608,75,1680,46130,21331,67460
CED310,1173,15709,16881,21929,3747,25677,9188,995,10185,8891,549,9441,3525,217,3740,1774,66,1836,46475,21286,67761
CED311,1385,16671,18056,18059,5260,23319,7937,1008,8945,7301,641,7949,3522,337,3862,2078,177,2253,40283,24093,64380
CED312,838,13672,14515,18514,3001,21513,11063,1107,12173,10498,646,11144,4914,357,5273,3600,208,3808,49441,18985,68429
CED313,1138,22215,23347,20756,5860,26621,9394,1785,11179,8660,727,9385,2975,236,3212,961,100,1058,43874,30929,74799
CED314,1067,16836,17903,19193,2840,22034,8282,759,9041,7354,376,7739,3599,195,3794,2204,84,2279,41689,21096,62785
CED315,1453,17004,18457,17561,4043,21599,9076,1129,10202,7529,615,8148,3239,266,3503,2062,165,2220,40916,23221,64129
CED316,1019,17758,18778,22891,5094,27981,7717,751,8467,6216,428,6634,2884,167,3054,1841,113,1959,42570,24314,66878
CED317,1308,18773,20081,19269,8376,27651,7910,1324,9239,6981,960,7941,3494,476,3973,2844,315,3162,41816,30227,72040
CED318,1250,19631,20889,18461,6545,25007,8902,1342,10245,7646,847,8497,3300,367,3670,2513,224,2738,42080,28966,71045
CED319,1011,18293,19306,18502,3336,21831,9614,830,10451,8934,374,9310,3204,139,3345,1322,55,1379,42592,23032,65621
CED320,1035,15011,16047,22025,3152,25177,10038,752,10787,9101,515,9621,4355,294,4649,2979,169,3147,49534,19894,69427
CED321,1155,18688,19842,19083,5435,24516,7075,1028,8107,5837,664,6501,3103,364,3463,1940,199,2139,38194,26381,64572
CED322,941,14803,15746,18429,3961,22392,9627,1074,10701,9356,575,9929,3280,186,3469,1462,69,1532,43097,20668,63764
CED323,1034,23433,24469,22680,6733,29420,9699,1776,11474,7931,808,8740,2806,281,3090,1301,117,1419,45456,33153,78611
CED324,703,13690,14391,15873,3174,19048,9663,1353,11019,9511,736,10248,3955,321,4279,2387,169,2553,42094,19438,61537
CED325,845,11733,12574,16121,2323,18445,10889,812,11702,11035,532,11563,4816,240,5059,3525,148,3673,47242,15779,63018
CED326,1094,17665,18756,21022,2904,23927,10937,717,11650,10335,392,10723,4103,156,4264,2296,81,2376,49788,21907,71696
CED327,747,11918,12667,15593,2597,18186,10579,1040,11616,10294,700,10996,4968,345,5306,4184,211,4396,46362,16807,63170
CED328,913,12661,13573,16763,3123,19887,9159,1168,10329,10384,469,10846,3897,198,4091,1276,52,1331,42387,17664,60055
CED329,1066,16619,17685,21487,4372,25862,7538,885,8417,6327,519,6840,2813,200,3015,1774,123,1898,40997,22728,63721
