CED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
CED126,2278,684,704,790,857,289,56,244,16514,22,4,9,0,0,4,3,0,0,203,241,25670,6089,4969,1135,1067,1156,1317,557,142,887,42984
CED127,803,253,239,278,243,70,11,143,6383,22,0,0,0,0,0,0,0,0,50,72,16942,1897,1647,392,363,375,341,108,40,578,22689
CED128,9359,4396,3245,2452,3472,1011,185,1320,67130,31,14,10,12,3,3,5,0,0,198,281,41572,9783,10154,4575,3420,2572,3609,1070,219,1815,78792
CED129,9039,2061,2078,1808,1975,887,308,639,56865,21,0,9,3,0,0,0,3,0,161,200,39729,14265,11125,2544,2595,2257,2436,1152,404,1103,77621
CED130,1230,430,581,911,1296,347,142,174,7045,20,0,4,0,0,0,4,0,0,61,84,6387,1565,1803,540,741,1010,1451,445,181,532,14664
CED131,2460,820,966,1013,1111,432,106,279,13100,14,3,0,0,0,0,3,0,0,192,214,11461,3245,3652,1049,1205,1273,1439,604,209,727,24862
CED132,6390,1853,1981,2087,2438,1070,435,471,39008,27,4,10,0,0,0,4,0,0,486,525,33498,9341,9731,2573,2795,2834,3195,1500,618,1311,67397
CED133,857,247,257,355,528,185,66,134,5194,24,3,4,0,0,0,0,0,0,215,246,10692,1826,1554,378,386,483,672,258,102,813,17174
CED134,1269,404,479,507,509,215,114,103,5622,9,0,0,0,0,0,0,0,4,26,39,4483,1471,1726,501,563,607,642,283,159,356,10788
CED135,16665,5423,6641,8101,8441,3009,818,1490,97935,32,9,18,10,11,19,10,10,4,216,352,40175,16940,18380,6019,7199,8829,9210,3318,925,2048,113052
