CED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
CED101,574,685,1257,187,207,388,226,530,756,210,1256,1471,691,2504,3194,714,1211,1925,2034,864,2899,1806,1049,2850,2300,1183,3479,2688,987,3675,2099,783,2879,2274,643,2913,5141,1108,6250,4132,180,4315,3660,277,3935,2575,82,2655,8303,350,8658,2120,199,2324,417,581,1002,42142,14681,56823
CED102,750,961,1716,217,244,456,227,474,700,248,1103,1358,704,2279,2984,781,1287,2072,2262,961,3225,1923,1380,3302,2425,1657,4083,3004,1431,4440,2374,1405,3776,2556,1158,3715,6055,2095,8149,4539,472,5009,3884,620,4506,2885,201,3087,8313,777,9091,2180,458,2632,477,521,997,45807,19485,65291
CED103,808,1003,1819,257,286,544,260,550,808,244,1099,1337,687,1912,2598,702,1407,2108,1747,1136,2882,1769,1431,3199,2304,1888,4186,2900,1646,4550,2338,1485,3819,2442,1249,3688,6232,2395,8626,4743,279,5021,4463,607,5067,3363,142,3506,12607,844,13450,2347,322,2666,413,512,925,50622,20170,70793
CED104,377,344,722,164,151,316,136,278,413,139,440,574,425,1121,1544,415,931,1349,1168,652,1823,1267,734,2000,1692,721,2422,2100,620,2718,1584,495,2077,1745,413,2157,4040,741,4784,3445,70,3520,3598,197,3797,2879,26,2902,13800,350,14144,2111,74,2182,305,254,562,41392,8616,50010
CED105,894,792,1681,218,182,399,344,656,994,392,1417,1809,1103,2242,3350,1193,1010,2205,2993,794,3791,2590,977,3560,3229,1027,4256,3508,779,4285,2647,587,3235,2597,480,3075,4974,717,5687,3419,255,3674,2592,207,2800,1699,137,1844,3943,385,4331,2444,334,2782,671,582,1261,41450,13569,55021
CED106,753,503,1255,229,206,436,203,362,564,179,529,706,478,1083,1558,501,955,1453,1111,807,1915,1144,968,2104,1691,1122,2810,2068,912,2978,1614,956,2564,1860,750,2610,4443,1484,5924,3342,134,3482,3546,488,4035,2494,72,2566,17846,881,18721,2456,140,2595,332,368,699,46271,12708,58982
CED107,384,708,1092,193,281,467,183,716,893,265,1421,1687,801,3842,4645,859,2156,3015,2848,1406,4253,2458,1822,4282,2862,1768,4632,3307,1250,4553,2420,1103,3523,2555,820,3380,5483,1371,6853,4251,193,4443,3235,301,3536,2135,57,2192,4944,613,5557,3092,236,3320,649,1022,1664,42907,21090,63998
CED108,552,585,1136,145,172,314,227,449,676,318,1021,1341,853,2083,2935,1041,968,2010,2600,663,3269,2286,1002,3286,2722,1134,3853,3656,796,4450,2958,619,3580,2983,435,3420,7052,714,7763,5303,151,5451,4255,173,4430,2779,61,2839,5796,210,6012,2702,173,2877,654,544,1193,48872,11966,60839
CED109,458,613,1072,168,257,428,159,430,589,123,830,947,489,2106,2596,500,1381,1877,1496,1052,2548,1358,1245,2604,1840,1397,3241,2147,1201,3347,1741,1129,2862,1938,902,2843,4470,1548,6016,3723,154,3876,3640,444,4082,2670,81,2754,10813,603,11418,2084,165,2247,359,449,805,40164,15980,56145
CED110,437,725,1161,233,286,515,235,849,1086,282,1788,2073,1025,4722,5751,1091,3360,4455,4132,1862,5998,3390,2200,5591,3850,1993,5835,4442,1283,5721,2775,963,3737,2779,761,3535,5203,996,6197,3579,209,3783,2570,235,2804,1524,73,1593,3259,471,3730,2770,304,3076,670,1329,2004,44240,24409,68652
CED111,373,615,984,158,273,433,169,700,874,240,1503,1744,671,3341,4006,752,1918,2668,2235,1321,3556,2109,1490,3606,2472,1583,4056,2805,1311,4119,2011,1098,3111,2235,905,3139,4858,1567,6415,4187,289,4469,3633,387,4019,2603,133,2733,7528,626,8155,2117,567,2684,369,670,1040,41534,20304,61831
CED112,415,614,1029,152,207,356,159,542,696,216,1282,1492,697,3608,4305,873,2101,2978,2853,1300,4154,2537,1577,4114,2975,1492,4469,3404,1015,4421,2531,776,3310,2696,590,3286,5706,758,6467,4414,115,4531,3335,183,3514,2055,54,2105,4671,288,4963,2508,183,2693,501,894,1395,42687,17575,60267
CED113,354,574,928,198,223,423,166,578,738,183,1142,1322,677,3095,3770,718,1949,2667,2384,1392,3777,2144,1687,3831,2492,1821,4310,3043,1332,4380,2170,1260,3430,2418,997,3413,5037,1610,6651,3941,229,4166,3468,438,3903,2413,86,2498,7467,908,8371,2910,219,3125,492,885,1378,42665,20420,63082
CED114,471,680,1148,215,247,453,205,776,976,241,1474,1714,867,4016,4884,995,2486,3476,3208,1679,4883,2688,2058,4744,3145,2102,5248,3767,1424,5194,2693,1073,3771,2971,748,3727,6025,1134,7161,4053,190,4238,3020,224,3243,1818,72,1892,3651,431,4086,3130,218,3348,831,1235,2066,43977,22276,66255
CED115,974,732,1706,208,150,356,313,555,865,449,1338,1787,1069,2223,3297,1125,1048,2176,3229,818,4049,2839,1116,3956,3163,1157,4319,3444,833,4275,2755,556,3308,2539,423,2955,4831,626,5454,3348,101,3444,2515,126,2637,1677,35,1707,3734,151,3890,2103,154,2259,589,559,1146,40908,12685,53595
CED116,517,676,1194,249,305,560,213,684,900,249,1436,1678,957,4234,5188,1049,2733,3785,4083,1667,5746,3199,1865,5067,3847,1773,5616,4394,1244,5634,2665,904,3575,2818,736,3553,5351,1038,6390,3607,180,3793,2664,272,2937,1573,85,1663,3879,804,4678,2684,202,2882,618,1109,1727,44603,21952,66559
CED117,332,643,972,129,189,316,93,491,590,126,1032,1163,364,1873,2240,336,1292,1630,950,1216,2169,944,1458,2402,1279,1869,3148,1553,1867,3416,1248,1745,2993,1463,1544,3006,3744,3261,7004,3139,512,3647,3274,1075,4354,2643,314,2961,14762,2098,16857,1637,706,2336,241,432,674,38252,23631,61887
CED118,499,513,1008,116,138,253,161,373,529,197,768,965,559,1597,2158,620,815,1440,1679,646,2325,1607,857,2462,2277,1052,3338,2765,878,3643,2472,755,3230,2632,658,3283,7088,1056,8143,5775,193,5966,5563,261,5825,4041,88,4128,10766,367,11130,2393,191,2586,491,362,854,51708,11567,63278
CED119,327,364,691,137,144,280,107,305,412,106,580,681,452,1504,1959,461,851,1311,1303,664,1965,1332,752,2085,1747,899,2642,2193,695,2887,1646,646,2296,1884,533,2418,4696,1023,5720,4347,86,4432,4229,215,4443,3253,41,3293,10417,302,10723,2025,88,2113,320,288,610,40970,9990,50963
CED120,401,516,921,172,191,366,143,433,568,177,867,1041,564,2409,2974,656,1384,2041,2198,909,3106,1918,1227,3148,2392,1301,3689,2965,885,3852,2448,730,3181,2590,604,3190,6035,981,7015,5106,111,5222,4295,209,4507,2819,36,2864,7192,393,7585,2641,128,2776,538,597,1133,45257,13916,59173
CED121,452,622,1071,180,230,409,189,533,726,222,1200,1420,795,3292,4090,949,2061,3015,3111,1206,4313,2718,1464,4181,3118,1529,4640,3468,1017,4487,2533,882,3413,2733,675,3410,6049,1242,7294,4698,127,4823,3744,280,4027,2322,60,2380,5197,448,5648,3046,189,3232,580,798,1378,46098,17864,63967
CED122,555,1113,1674,167,339,506,184,726,911,203,1484,1687,571,2554,3133,566,1406,1969,1517,1190,2702,1456,1503,2954,1829,1860,3690,2211,1671,3877,1731,1564,3289,2016,1426,3445,4987,2949,7935,4178,583,4764,4063,971,5030,3043,312,3360,13095,1763,14853,2293,811,3104,433,776,1206,45094,25003,70099
CED123,461,601,1060,125,177,297,167,469,636,206,1080,1287,637,2280,2918,824,1446,2270,2236,1052,3294,2125,1504,3629,2593,1746,4337,3293,1472,4766,2824,1183,4005,2981,907,3892,6874,1316,8188,5420,164,5584,4402,235,4638,2939,50,2989,6547,258,6804,2494,189,2682,514,600,1115,47669,16732,64400
CED124,567,662,1221,297,281,580,249,694,939,286,1551,1834,1032,4551,5586,1026,2884,3912,4653,1610,6266,3517,1756,5270,3934,1584,5521,4363,991,5349,2538,715,3255,2600,512,3110,4717,719,5438,3152,127,3278,2298,173,2471,1372,55,1428,3134,477,3612,2826,190,3007,779,1160,1936,43332,20683,64015
CED125,567,569,1137,149,141,284,207,404,607,297,939,1234,740,2102,2842,1009,1187,2198,2581,834,3408,2410,1189,3596,3101,1325,4427,3679,1086,4759,3221,837,4062,3312,647,3954,7588,926,8520,5874,138,6008,4662,171,4831,3100,48,3147,6701,214,6913,2683,160,2847,555,511,1064,52430,13421,65848
CED126,322,528,851,147,221,366,130,367,498,104,648,751,395,1665,2064,377,1250,1622,1230,996,2226,1087,1114,2196,1689,1215,2903,2066,913,2976,1653,840,2493,1824,693,2522,4213,1165,5381,3572,160,3735,3540,370,3909,2689,78,2772,13907,829,14737,2288,149,2436,329,507,837,41555,13719,55272
CED127,326,510,832,142,212,353,153,460,612,158,845,1001,520,2513,3034,574,1607,2185,1800,1116,2920,1710,1271,2979,2285,1333,3622,2781,1031,3808,2079,787,2863,2319,666,2985,5119,1092,6205,4132,125,4259,3557,242,3799,2412,49,2460,6675,409,7081,2103,144,2243,345,491,833,39187,14903,54086
CED128,906,728,1634,192,146,334,267,431,707,297,1082,1374,893,2001,2896,967,1077,2047,2831,697,3529,2521,947,3468,3032,959,3992,3285,750,4038,2461,536,2998,2482,400,2883,5150,622,5777,3946,127,4072,3117,132,3252,2095,49,2144,4898,193,5090,2180,140,2320,624,487,1115,42158,11502,53663
CED129,515,394,906,203,148,353,153,258,412,145,410,556,487,1161,1647,495,784,1287,1409,602,2018,1422,653,2073,1835,748,2585,2269,625,2902,1871,637,2506,2197,499,2699,5369,1001,6368,4755,121,4873,5019,247,5268,3889,47,3941,15969,417,16385,2425,119,2549,376,275,651,50821,9158,59977
CED130,505,621,1133,224,292,513,235,828,1068,253,1568,1818,961,4021,4984,963,2291,3253,3444,1525,4966,2691,1936,4631,3065,1815,4874,3575,1223,4790,2396,903,3305,2655,719,3371,5179,1049,6228,3363,181,3539,2544,240,2782,1486,54,1544,3252,423,3675,2719,253,2964,642,1179,1819,40151,21113,61261
CED131,320,629,946,113,260,374,133,679,815,150,1474,1633,483,3436,3918,650,2072,2718,1943,1392,3337,1906,1859,3763,2314,1975,4295,2737,1720,4453,2143,1429,3573,2277,1223,3505,5320,2105,7426,4292,514,4805,3916,622,4543,2619,211,2834,7320,840,8164,2424,808,3229,345,650,1001,41430,23914,65337
CED132,498,780,1276,160,250,408,152,447,598,132,820,948,386,1464,1851,392,1243,1639,801,1127,1925,881,1325,2205,1266,1773,3040,1626,1722,3352,1379,1785,3162,1595,1622,3217,4041,3836,7879,3204,350,3560,3466,1297,4761,2699,238,2934,19529,2843,22371,2063,361,2427,298,493,789,44574,23769,68339
CED133,416,587,1008,241,280,524,198,777,971,317,1673,1994,936,4598,5536,1107,3024,4134,3903,1790,5697,3361,2106,5467,3891,1950,5839,4238,1234,5473,2834,891,3724,2953,636,3592,5490,919,6412,3626,186,3812,2451,165,2618,1391,70,1457,2946,351,3298,2973,284,3255,639,1065,1700,43903,22596,66499
CED134,513,664,1174,182,253,436,176,678,854,208,1387,1594,800,3700,4501,870,1799,2666,2673,1275,3952,2197,1783,3979,2615,1699,4306,2848,1307,4155,2077,1044,3121,2251,884,3133,4743,1418,6160,3374,202,3579,2538,359,2895,1608,99,1705,3532,624,4153,3171,225,3396,865,1422,2286,37236,20812,58050
CED135,723,855,1575,188,213,398,259,690,949,311,1445,1747,845,2274,3115,896,1225,2122,2144,1025,3167,2073,1427,3505,2750,1799,4547,3313,1642,4954,2848,1409,4253,2985,1120,4102,7106,2136,9243,5050,498,5545,4488,540,5034,2999,222,3223,7753,840,8591,2350,530,2877,545,636,1179,49624,20510,70140
CED136,423,611,1036,177,212,396,177,556,736,249,1214,1468,802,3513,4323,950,2372,3320,3501,1289,4786,3013,1650,4664,3465,1693,5163,3903,1204,5106,2893,985,3874,2983,701,3682,6565,1015,7583,4747,138,4888,3586,189,3773,2145,46,2193,4459,285,4748,3184,204,3390,570,807,1377,47788,18695,66484
CED137,865,1199,2065,214,266,480,243,470,705,289,1052,1338,619,1854,2468,743,1287,2029,1763,1200,2961,1702,1549,3253,2418,2025,4438,3055,1871,4929,2405,1734,4137,2565,1502,4064,6297,3112,9412,4987,576,5564,4546,1026,5572,3223,325,3553,13392,1602,15001,2430,631,3055,412,563,971,52164,23848,76009
CED138,410,707,1119,206,307,515,183,682,872,227,1432,1648,779,3923,4704,867,3175,4038,3154,1803,4956,2772,2066,4838,3306,1907,5217,3796,1297,5090,2558,968,3536,2672,746,3420,5373,1132,6508,3742,307,4042,2892,336,3228,1716,122,1832,4513,676,5192,2971,493,3464,611,1248,1861,42756,23320,66080
CED139,415,598,1006,191,270,464,204,705,917,231,1480,1717,882,3979,4855,945,2103,3053,3060,1552,4613,2512,1921,4436,3058,1896,4956,3449,1248,4699,2370,973,3339,2707,756,3464,5243,1146,6385,3799,181,3975,2879,259,3136,1645,61,1704,3603,434,4031,3069,230,3300,715,1220,1933,40979,21021,61998
CED140,404,653,1055,168,261,431,147,592,741,186,1223,1408,621,3344,3964,692,2514,3206,2475,1453,3927,2166,1593,3758,2653,1515,4173,3140,1147,4286,2200,943,3143,2362,760,3121,5014,1085,6102,3867,182,4045,3404,306,3713,2150,64,2220,6363,650,7016,2201,197,2401,422,822,1242,40637,19314,59950
CED141,404,562,971,161,212,375,167,538,709,198,1155,1356,689,3548,4237,725,2356,3084,2931,1166,4101,2461,1491,3947,2848,1442,4285,3245,997,4242,2348,777,3120,2314,596,2907,5269,982,6249,4130,133,4267,3520,208,3733,2231,54,2289,5256,303,5564,2398,171,2564,458,708,1165,41758,17406,59162
