CED_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
CED101,73,4327,243,6,4658,411,8798,425,5,9638,172,4387,175,6,4739,127,5287,263,12,5688,191,10578,632,33,11433,159,10062,480,27,10723,262,9233,340,19,9847,515,9050,352,21,9935,663,6191,281,26,7174,843,2841,177,9,3868,717,824,129,3,1670,4137,71582,3496,168,79381,31,3960,170,7,4176,171,8581,428,9,9184,82,4126,164,4,4376,70,4965,229,3,5271,136,10483,564,16,11201,181,10698,496,18,11393,327,10116,402,19,10864,619,9585,366,48,10620,925,6654,278,35,7886,1379,3172,262,13,4828,1447,933,340,6,2723,5370,73272,3701,182,82527,110,8290,412,14,8829,576,17382,852,17,18828,255,8517,339,8,9119,200,10254,494,14,10955,327,21063,1196,51,22634,339,20759,979,43,22120,587,19345,746,39,20717,1133,18637,720,73,20555,1584,12846,562,67,15058,2219,6017,434,23,8694,2167,1751,468,6,4397,9504,144851,7199,354,161904
CED102,64,4735,307,11,5109,333,8254,458,8,9053,134,4029,217,5,4386,106,6666,438,28,7238,197,16357,1120,38,17718,180,12811,726,21,13741,262,9795,535,32,10632,445,8395,490,33,9367,778,5829,408,29,7045,1052,2880,399,14,4344,946,644,306,0,1893,4484,80400,5413,225,90520,38,4421,264,8,4731,146,7978,441,6,8575,71,3619,180,10,3875,84,5981,365,8,6444,176,16118,1062,41,17388,179,12579,716,26,13503,328,10509,542,37,11421,588,8860,436,57,9941,1008,6254,393,41,7702,1655,2992,402,21,5068,1404,669,521,0,2595,5677,79974,5322,271,91250,103,9151,572,18,9839,479,16231,899,17,17623,204,7651,397,11,8259,190,12646,806,40,13685,370,32473,2180,80,35102,357,25390,1445,51,27240,597,20308,1077,68,22049,1030,17258,927,92,19307,1787,12080,803,72,14746,2705,5874,803,33,9415,2347,1314,828,3,4488,10163,160374,10734,490,181768
CED103,62,5104,233,11,5413,364,10572,409,14,11363,104,4554,146,13,4811,96,5999,258,15,6371,175,15017,749,28,15974,170,14622,625,44,15457,230,10312,420,38,11003,395,9220,383,53,10047,578,6576,276,66,7503,760,2879,166,16,3817,768,798,154,7,1722,3700,85655,3828,301,93477,32,4892,214,16,5144,140,10121,363,7,10633,73,4226,152,11,4464,66,5642,267,23,5999,144,15831,739,38,16755,163,15099,585,29,15879,286,11194,391,34,11905,507,10140,362,100,11098,808,7202,260,82,8360,1265,3216,229,26,4732,1401,982,284,3,2661,4878,88545,3847,366,97634,96,9997,449,22,10562,506,20690,776,16,21991,173,8785,300,24,9277,165,11638,526,37,12367,318,30846,1488,68,32724,333,29720,1210,75,31336,509,21506,813,73,22907,899,19355,743,151,21146,1388,13778,539,155,15864,2023,6088,395,39,8549,2168,1775,435,4,4384,8573,174199,7671,664,191109
CED104,47,3405,105,6,3566,378,10728,266,3,11371,134,5238,128,12,5501,104,4397,104,5,4607,157,5849,150,11,6169,119,9007,238,11,9381,170,10475,249,15,10909,253,9235,186,28,9703,380,6879,167,42,7465,617,3642,173,21,4454,594,793,173,3,1564,2956,69642,1937,151,74691,22,3341,84,0,3452,185,9857,245,4,10286,99,4847,95,4,5041,84,3894,91,5,4065,115,5986,167,17,6289,138,10136,260,14,10543,200,11158,236,15,11609,311,9749,191,53,10296,493,7374,192,65,8128,925,3776,245,19,4969,1232,867,360,3,2463,3796,70981,2170,205,77153,71,6749,194,7,7021,561,20582,506,12,21658,230,10079,223,16,10545,185,8284,193,6,8678,274,11840,320,29,12459,254,19140,499,26,19926,375,21633,482,25,22513,565,18979,378,81,20000,872,14259,356,103,15590,1546,7417,421,38,9420,1825,1659,532,9,4029,6747,140622,4109,358,151847
CED105,121,6021,661,10,6812,531,11174,1254,13,12969,195,5430,489,15,6120,145,7296,767,23,8233,269,14812,1576,35,16705,361,11161,1301,41,12867,483,9363,961,29,10834,853,8510,719,26,10106,1142,5177,490,24,6823,1019,2224,360,3,3607,672,510,239,0,1415,5796,81676,8816,221,96501,57,5803,618,10,6487,239,11000,1095,12,12347,99,5058,419,4,5571,82,6444,557,10,7092,216,13426,1238,35,14910,338,10588,1033,22,11978,537,9291,783,27,10637,1095,8234,658,38,10023,1405,5135,516,28,7081,1437,2016,363,9,3820,1193,486,434,4,2117,6683,77478,7709,196,92068,180,11827,1279,17,13294,773,22171,2347,25,25324,292,10488,902,17,11694,229,13735,1323,39,15331,486,28241,2814,69,31615,698,21751,2337,61,24845,1018,18655,1744,54,21467,1946,16745,1376,64,20129,2545,10306,1005,52,13911,2457,4236,720,19,7435,1861,997,675,4,3529,12476,159152,16525,419,188568
CED106,38,4138,150,5,4340,303,11671,289,18,12282,122,5423,133,9,5700,81,4632,138,17,4861,122,7287,244,21,7677,93,11069,312,39,11515,150,11050,264,47,11508,182,8988,250,67,9483,353,6525,204,59,7142,677,3890,162,21,4755,831,1170,143,3,2150,2948,75857,2286,319,81408,23,3749,115,0,3892,159,11259,247,17,11679,65,5194,120,18,5401,70,4307,116,11,4495,86,7846,291,30,8261,104,12742,329,28,13202,157,12514,296,49,13018,261,9556,245,87,10148,551,7440,262,78,8327,1067,4400,273,23,5763,1655,1366,322,0,3349,4208,80383,2603,344,87528,66,7889,263,11,8229,462,22929,533,34,23959,188,10623,256,26,11094,147,8933,250,31,9359,207,15136,540,53,15930,202,23813,638,67,24718,307,23568,561,100,24528,442,18545,493,151,19632,905,13966,458,136,15462,1736,8296,435,42,10513,2490,2537,464,3,5498,7155,156237,4889,660,168939
CED107,84,4766,352,4,5202,773,10254,877,5,11905,271,4797,393,0,5466,177,4132,549,5,4863,259,8767,1292,16,10339,268,8418,1226,14,9927,427,9102,956,15,10502,606,9406,814,15,10835,799,7939,646,6,9389,886,3941,380,9,5207,612,783,117,0,1514,5161,72293,7604,90,85149,53,4442,323,0,4820,373,10005,806,5,11188,164,4501,297,0,4967,114,4005,290,7,4417,236,9347,655,19,10259,271,8948,635,6,9860,441,9582,677,15,10711,593,9821,604,8,11025,791,8079,519,5,9399,1116,4147,383,5,5652,1288,999,229,0,2513,5447,73884,5410,80,84821,137,9209,676,3,10021,1144,20255,1684,10,23097,438,9302,691,4,10432,294,8141,836,22,9285,495,18114,1943,37,20598,545,17366,1858,20,19786,868,18682,1635,27,21208,1196,19225,1414,25,21864,1593,16014,1163,12,18790,1999,8092,762,9,10863,1897,1780,349,0,4029,10609,146182,13011,176,169971
CED108,150,7344,622,3,8118,884,13582,1284,3,15754,302,5696,499,3,6497,210,6428,546,10,7200,320,13252,1125,30,14723,322,14534,1026,19,15899,480,10311,747,12,11544,811,8326,563,30,9729,1006,5287,355,42,6687,878,1926,194,9,3011,461,284,82,3,834,5825,86973,7037,175,100009,83,6987,619,8,7700,420,13450,1278,5,15150,147,5506,420,7,6074,138,6036,453,13,6638,276,14582,1163,21,16045,345,14407,1083,17,15845,580,10343,724,17,11667,888,8662,517,82,10152,1345,5715,436,68,7565,1326,2016,242,9,3594,1054,352,229,6,1636,6593,88064,7154,249,102064,233,14335,1237,11,15819,1303,27032,2564,14,30909,443,11200,916,10,12573,352,12467,994,20,13833,598,27838,2284,53,30767,667,28933,2106,39,31748,1056,20653,1470,28,23212,1698,16993,1076,112,19886,2353,10999,790,106,14252,2202,3939,441,26,6605,1510,639,309,8,2474,12417,175031,14194,421,202071
CED109,42,4066,159,6,4275,325,8301,388,11,9022,115,4090,158,4,4366,92,3893,139,4,4127,116,8124,426,14,8682,93,8683,422,13,9219,181,9330,407,19,9932,320,8371,332,20,9043,418,6334,247,15,7010,690,3549,228,6,4475,787,978,192,6,1961,3192,65721,3104,105,72115,19,3729,162,9,3919,124,7866,329,6,8319,71,3955,138,5,4158,52,3881,140,3,4074,100,8703,453,10,9267,132,9435,398,25,9992,207,10035,401,17,10653,328,8936,308,20,9598,540,7100,283,18,7942,1083,4072,329,0,5484,1484,1224,425,5,3139,4145,68928,3358,121,76556,64,7797,325,7,8194,448,16170,715,16,17344,182,8044,289,8,8526,142,7768,280,8,8203,218,16820,884,28,17953,231,18119,820,37,19203,393,19361,806,33,20593,655,17308,640,35,18641,952,13439,527,30,14950,1776,7617,562,3,9958,2269,2206,617,11,5104,7332,134648,6463,225,148670
CED110,98,3750,318,3,4169,865,8599,731,12,10206,307,4306,364,3,4978,195,3428,381,8,4016,332,7076,922,42,8367,319,7483,841,21,8663,485,8549,767,22,9824,852,9940,764,20,11572,1223,10284,683,15,12200,1234,5383,467,7,7090,886,1262,239,0,2392,6793,70056,6483,161,83489,44,3668,317,4,4034,475,8829,746,5,10051,176,4290,334,5,4801,116,3523,256,3,3894,244,7736,632,22,8637,328,8432,636,23,9415,490,9861,647,20,11024,883,11508,699,20,13116,1128,10905,703,14,12750,1596,5861,556,7,8014,1861,1362,456,3,3682,7345,75975,5971,118,89410,145,7414,629,14,8201,1339,17424,1481,21,20262,486,8598,699,9,9781,316,6949,637,15,7914,573,14813,1550,61,17000,647,15911,1475,47,18079,971,18418,1418,40,20848,1738,21456,1468,36,24690,2351,21196,1383,27,24951,2823,11245,1024,10,15109,2749,2621,696,4,6077,14133,146034,12456,278,172902
