CED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
CED101,13388,2674,2057,31,9,18156,11526,3536,3209,36,14,18316,3856,1915,6110,182,38,12103,967,832,1617,0,5,3423,77,213,441,0,0,735,973,288,743,50,11,2067,143,84,78,10,3,312,38,13,47,0,3,97,6055,3342,9034,245,58,18739,397,156,291,12,0,859,1070,419,1052,50,10,2607,32435,10132,15649,375,95,58674
CED102,13296,1726,3593,78,4,18692,9412,2169,7483,30,15,19117,3556,1449,14743,244,64,20051,196,224,706,0,0,1123,97,135,294,6,0,531,1125,319,1693,60,21,3212,167,54,235,28,15,502,16,13,65,5,0,107,5157,2195,17738,333,101,25520,398,98,482,9,4,989,1140,310,2016,93,34,3595,29404,6504,31312,542,157,67913
CED103,13515,2294,3087,7,13,18918,11491,3001,6768,15,18,21291,3689,2633,15784,77,42,22222,470,600,530,0,5,1599,137,232,367,0,10,746,1179,398,1561,16,25,3177,245,164,214,6,22,651,37,28,64,0,0,122,5755,4047,18519,103,101,28526,387,164,736,0,3,1286,874,385,1425,23,17,2729,32026,9902,30524,153,148,72751
CED104,17367,1206,671,53,28,19324,18126,1313,1182,15,10,20643,3531,763,1510,23,14,5843,69,140,69,0,0,278,65,120,167,0,4,354,1086,127,218,4,9,1447,126,18,31,26,4,201,18,5,24,0,0,49,4888,1185,2010,53,36,8179,519,542,355,5,5,1419,845,166,214,13,9,1240,41750,4399,4422,141,90,50805
CED105,11270,1305,1741,39,5,14360,9612,2522,3214,66,24,15438,4527,1619,7205,103,62,13519,1421,901,1706,0,6,4031,157,304,448,0,5,910,1859,421,865,40,34,3224,637,105,271,12,13,1047,81,23,65,5,3,172,8685,3373,10564,160,117,22906,562,138,262,11,6,972,2657,660,1625,41,36,5017,32786,8004,17406,316,190,58694
CED106,15449,1082,4653,15,4,21200,14604,701,5160,45,3,20523,3085,462,9060,65,21,12690,30,3,229,0,0,266,24,42,214,0,4,284,770,94,1045,9,6,1926,84,26,154,6,5,264,19,4,53,0,0,73,4012,632,10745,80,34,15499,448,124,708,0,9,1285,640,74,776,17,6,1513,35152,2616,22044,154,56,60024
CED107,22026,864,188,232,58,23369,19920,421,95,108,34,20579,7828,2230,881,66,26,11022,1410,441,187,0,3,2033,226,205,77,4,0,519,2654,292,99,35,29,3113,455,63,30,63,42,661,87,18,6,0,0,114,12666,3252,1285,167,95,17464,1010,226,76,24,21,1356,3657,503,217,220,29,4628,59270,5267,1859,748,236,67381
CED108,11024,721,157,8,5,11914,20898,2652,546,7,17,24117,10227,2217,1521,22,30,14019,3742,1085,530,0,8,5372,256,153,83,0,0,488,2035,265,185,0,11,2494,394,62,28,0,5,487,92,25,21,0,0,142,16749,3806,2367,20,46,22998,456,183,59,0,4,703,3492,705,364,4,11,4582,52628,8066,3488,44,91,64321
CED109,13078,3736,3661,67,19,20563,11869,2827,4172,26,23,18913,2498,1732,7168,92,34,11528,107,419,502,0,0,1027,39,54,165,0,0,270,679,282,870,30,6,1866,80,154,45,19,0,298,11,4,34,4,0,58,3417,2654,8791,145,45,15050,312,138,540,10,0,994,867,454,1050,24,9,2399,29545,9807,18208,277,94,57922
CED110,23239,2212,1626,858,137,28081,15949,1126,683,52,27,17837,6071,2343,3250,66,31,11773,760,384,372,3,0,1515,634,416,351,0,7,1401,2736,491,566,42,30,3871,380,87,103,237,54,858,72,37,37,6,8,155,10652,3761,4678,351,125,19573,810,494,263,48,18,1637,2891,627,646,387,50,4594,53544,8219,7900,1693,360,71721
CED111,16165,1784,2773,190,13,20926,14563,1677,2315,68,18,18636,4093,2313,6214,150,44,12811,1350,1408,1222,0,3,3993,89,187,180,3,4,462,1373,445,894,49,29,2784,117,40,99,24,10,298,34,19,35,0,0,97,7061,4413,8646,225,94,20433,372,209,461,11,9,1067,1247,515,984,44,27,2813,39403,8584,15180,544,164,63880
CED112,16076,2096,979,115,14,19283,19617,1139,461,14,19,21255,8200,1828,1465,41,29,11566,669,742,343,0,8,1761,210,237,180,3,5,627,2086,323,234,11,17,2662,309,70,19,79,3,485,57,30,14,22,0,123,11531,3233,2250,157,61,17225,514,819,193,12,12,1550,2181,671,343,87,15,3301,49920,7960,4230,391,115,62618
CED113,21438,1366,678,404,105,23991,19442,1433,735,47,45,21701,3912,1726,2139,36,22,7831,893,246,89,10,0,1239,208,186,77,0,0,469,2712,500,515,50,52,3823,890,112,158,135,89,1384,51,28,17,3,4,106,8668,2793,2995,232,170,14856,1049,166,85,42,45,1390,2980,395,393,182,63,4013,53575,6162,4880,908,433,65954
CED114,22848,1133,212,285,115,24589,19078,514,90,62,37,19773,6435,3220,1048,64,14,10791,1104,264,71,0,0,1443,263,208,65,0,5,537,3224,467,182,33,30,3940,910,109,81,162,53,1317,95,43,31,6,4,172,12030,4314,1475,268,107,18198,1691,232,63,37,44,2073,4576,697,262,262,106,5905,60222,6888,2109,909,409,70532
CED115,12443,972,1659,12,14,15103,9901,1504,2489,14,13,13925,5125,1577,7567,55,61,14384,1309,1300,864,0,11,3485,237,318,333,0,3,895,1666,309,741,17,21,2748,574,95,251,4,16,940,76,26,68,0,0,168,8982,3622,9813,81,110,22611,505,121,177,14,6,820,1978,536,1617,33,28,4187,33811,6755,15761,147,171,56642
CED116,26918,1812,654,859,140,30376,16745,735,224,43,26,17769,6200,1681,885,44,12,8814,689,329,108,0,7,1129,520,325,103,5,4,950,2830,308,212,51,12,3404,613,56,44,224,46,978,67,32,11,5,4,113,10914,2725,1356,319,81,15392,875,558,202,43,39,1712,3014,509,220,298,105,4137,58453,6337,2657,1558,388,69384
