CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED101,1712,1310,1524,1357,1277,1148,841,583,439,10194,27632,20052,22582,22077,20680,20480,14994,8670,4391,161551
CED102,1893,1583,2577,1895,1578,1330,1045,934,828,13662,27434,21890,35020,27195,21974,19215,14672,9384,4486,181273
CED103,1561,1142,1826,1568,1188,1127,793,533,541,10275,32509,21586,32658,31263,22832,20994,15705,8510,4382,190447
CED104,1302,897,576,849,1087,812,627,540,462,7146,28659,19202,12431,19899,22489,19919,15488,9385,4018,151481
CED105,4346,2733,3291,2804,2261,1863,1268,820,711,20087,38575,26970,31542,24779,21414,20071,13857,7420,3526,188150
CED106,1294,913,729,938,1036,887,678,554,525,7555,32151,20400,15878,24649,24432,19478,15330,10472,5490,168278
CED107,3432,2140,2451,2381,2254,1945,1599,969,439,17609,33103,19700,20560,19770,21183,21835,18775,10852,4029,169796
CED108,4690,2577,2831,2668,2105,1529,985,551,333,18270,46702,26378,30714,31709,23184,19772,14138,6581,2464,201646
CED109,1676,1080,1211,1255,1396,1124,848,701,663,9959,25515,16710,17925,19169,20561,18602,14921,9956,5095,148446
CED110,3047,1958,1981,1978,1978,2065,1816,1247,677,16744,28434,17671,16939,18037,20803,24656,24921,15092,6073,172620
CED111,1934,1756,1490,1359,1400,1249,904,675,454,11223,27353,21950,21676,19998,20338,19649,15450,9874,4550,160841
CED112,2809,1754,1491,1579,1591,1363,1133,898,672,13293,30929,19188,18977,19675,20392,19749,17571,10906,4779,162176
CED113,2661,1757,1963,1872,2059,2171,1593,848,405,15318,29389,17601,20016,20167,22895,24219,19800,9876,3453,167415
