CED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
CED209,859,30,3,0,0,896,411,22,0,0,0,429,285,13,0,0,0,302,608,27,4,0,0,635,768,28,3,0,0,804,2743,122,5,3,0,2879,3945,155,7,5,0,4111,5385,127,5,0,9,5529,2272,48,0,0,0,2324,1653,38,0,0,0,1696,1086,23,0,0,0,1114,1208,35,4,0,0,1247,21231,670,35,10,13,21960
CED210,853,64,11,5,0,932,417,22,8,0,0,453,353,27,6,0,0,389,673,73,19,3,0,762,908,108,33,6,0,1050,2972,286,87,3,3,3345,3411,261,57,0,4,3730,4137,186,58,0,4,4386,1693,65,15,4,4,1771,1287,33,16,0,5,1341,806,28,5,0,0,836,1053,68,15,4,0,1140,18553,1219,329,20,18,20140
CED211,1158,117,24,0,0,1300,353,36,9,0,0,404,344,36,8,0,0,386,521,49,22,0,0,592,632,83,41,0,0,757,1954,269,162,0,4,2385,2427,419,203,0,3,3053,4388,580,131,0,3,5107,3133,355,35,0,0,3523,3002,237,27,0,4,3266,1764,92,27,0,0,1880,1201,122,30,0,0,1353,20881,2398,703,0,17,24003
CED212,944,104,16,0,0,1062,397,51,8,0,0,453,319,53,4,0,0,383,637,89,11,0,0,739,853,136,21,0,0,1001,2585,500,71,0,0,3156,3345,629,50,0,0,4029,5316,528,28,0,3,5878,2708,169,6,0,0,2888,2105,87,4,0,4,2199,1361,52,4,0,0,1420,1399,124,8,0,0,1542,21960,2530,238,11,13,24752
CED213,1010,99,21,0,0,1133,370,39,8,0,0,419,306,41,5,0,0,349,530,49,3,0,0,587,713,89,16,0,0,815,2026,234,35,3,0,2295,2689,278,42,0,0,3008,4134,238,58,0,0,4433,2214,76,28,0,0,2326,1852,61,15,0,0,1921,1492,48,12,0,0,1557,1197,82,17,0,0,1293,18531,1326,261,13,7,20128
CED214,896,203,68,5,0,1172,261,55,25,0,0,339,238,55,30,0,0,319,368,93,71,0,0,540,479,126,153,3,0,757,1511,511,592,5,3,2629,1683,712,610,8,3,3011,2684,1102,514,10,0,4299,1460,525,160,3,3,2158,1457,388,98,4,0,1944,978,221,52,8,3,1258,911,218,119,3,0,1257,12927,4204,2500,46,13,19693
CED215,946,142,25,0,0,1112,236,53,16,0,0,306,222,38,9,0,0,271,389,65,13,0,0,468,498,100,28,0,0,628,1840,404,109,0,0,2356,2909,648,156,3,6,3720,5987,1007,147,0,6,7149,3183,590,62,0,0,3837,2613,580,29,0,7,3236,1921,355,21,4,0,2304,1473,222,38,4,0,1730,22224,4196,657,12,16,27112
CED216,982,35,9,0,7,1033,650,21,14,4,0,687,673,16,6,0,0,694,1407,32,21,5,0,1468,1947,34,25,5,4,2013,4567,60,32,0,7,4669,3458,37,6,9,5,3516,2415,21,8,4,6,2449,762,6,0,0,0,770,571,5,3,0,0,582,400,4,0,0,0,409,1173,20,7,0,0,1209,19012,294,138,31,28,19503
CED217,826,225,78,0,0,1136,158,47,39,0,0,248,162,53,31,0,0,246,181,71,49,0,0,302,260,87,58,0,0,415,676,271,232,10,0,1201,670,314,409,9,0,1407,1379,618,652,17,0,2665,1017,537,281,11,3,1842,2092,797,197,3,8,3098,4572,908,138,3,4,5625,987,277,129,3,0,1389,12987,4212,2298,65,17,19578
CED218,1086,82,3,0,3,1169,355,35,4,0,0,396,329,45,4,0,0,378,525,65,3,0,0,599,786,75,11,0,0,872,2673,330,43,0,0,3046,3791,480,53,0,3,4332,6440,462,15,0,4,6921,2786,119,10,0,3,2913,1887,89,0,0,4,1978,1112,56,7,0,0,1182,1821,150,13,3,0,1987,23584,1994,171,8,15,25767
CED219,969,31,9,0,0,1015,422,21,0,4,0,445,353,22,5,0,0,376,709,40,17,0,0,764,1068,55,10,0,0,1140,3808,232,66,0,0,4106,5809,174,73,0,3,6063,6749,95,27,0,10,6882,2024,23,3,0,0,2051,1403,10,6,0,0,1422,798,12,0,0,0,812,1693,37,17,0,0,1751,25806,752,229,7,16,26814
CED220,594,238,265,5,4,1100,105,35,55,0,0,198,71,45,59,0,0,175,109,61,115,0,0,290,141,79,186,0,0,408,416,235,866,10,0,1521,379,255,1074,9,0,1711,768,553,1497,7,5,2827,529,416,650,3,0,1597,1096,682,569,4,0,2351,3171,1003,445,3,3,4629,619,250,304,4,0,1185,7994,3849,6082,46,12,17985
CED221,934,53,5,0,0,990,360,31,0,0,0,390,294,25,9,0,0,327,566,45,3,0,0,618,823,71,8,0,0,902,3202,293,40,0,0,3537,5395,525,23,0,4,5937,9384,496,17,0,9,9898,3538,124,0,0,0,3661,1794,60,0,0,0,1857,949,35,0,0,5,992,1851,110,4,0,0,1962,29089,1858,110,5,13,31080
CED222,1056,164,77,0,0,1300,288,43,32,0,0,361,258,44,25,0,0,322,408,83,59,0,0,546,551,120,93,0,3,770,1495,370,364,0,0,2231,1696,529,445,0,3,2672,2809,934,462,0,3,4206,1856,540,149,0,0,2546,2077,445,154,0,0,2676,1466,266,91,0,0,1822,1140,242,117,0,0,1492,15096,3776,2056,8,14,20947
CED223,894,26,8,4,8,935,523,18,5,0,0,541,493,14,0,4,0,515,1042,50,0,0,0,1096,1628,79,18,3,7,1729,4290,98,11,13,5,4412,3965,34,9,8,6,4026,3184,11,10,3,3,3217,1060,3,3,4,9,1081,854,8,0,6,0,865,561,8,0,3,3,574,1160,25,0,3,0,1188,19663,362,72,55,40,20189
CED224,793,243,92,0,0,1127,228,95,24,0,0,347,168,70,34,0,0,271,356,136,47,4,0,541,463,173,84,7,0,729,1327,485,383,10,0,2206,1596,720,517,6,0,2842,2961,1251,697,5,0,4919,2325,812,294,4,6,3443,2917,665,170,4,0,3756,1933,358,81,0,0,2376,1056,303,149,0,0,1506,16136,5309,2569,38,13,24067
CED225,1024,93,36,0,0,1154,315,22,10,0,0,350,266,40,10,0,0,306,418,49,22,0,0,485,544,68,41,0,0,649,1529,261,130,0,0,1917,1867,350,197,0,0,2412,3367,667,212,4,0,4252,2769,365,95,0,3,3236,3008,244,59,0,0,3310,2239,142,31,0,0,2412,1150,158,41,0,0,1343,18488,2451,875,9,5,21827
CED226,974,233,125,0,0,1336,147,49,31,0,0,226,110,36,33,0,0,176,131,51,60,0,0,245,179,69,91,0,0,338,570,231,355,0,0,1156,474,202,587,5,0,1271,1002,431,819,3,0,2246,690,370,379,4,0,1440,1478,564,304,0,3,2355,4916,904,208,4,5,6028,1007,231,148,0,6,1393,11669,3373,3151,22,15,18221
CED227,805,31,0,0,0,841,302,38,0,0,0,334,292,22,0,0,0,308,474,23,3,0,0,504,773,43,0,0,0,814,2788,185,10,5,6,2987,4841,253,12,3,3,5111,8458,228,16,0,5,8707,3799,67,0,0,3,3870,2320,38,0,0,0,2364,1315,24,0,0,0,1338,1638,58,0,0,3,1703,27799,1003,45,6,20,28882
CED228,929,71,8,0,0,1008,313,36,5,0,0,355,279,33,13,0,0,321,566,58,15,0,0,643,834,97,21,0,0,950,3120,346,82,0,0,3555,5598,459,73,0,5,6129,8675,399,24,0,4,9107,2736,115,3,0,0,2858,1512,85,8,0,0,1608,881,43,9,0,0,936,1836,129,18,0,0,1983,27286,1875,279,4,16,29458
CED229,253,269,446,4,0,974,45,56,119,0,0,224,28,52,119,0,0,199,35,64,187,0,0,285,41,87,315,4,0,452,152,252,1289,19,0,1715,124,239,2034,22,7,2432,304,509,2814,35,0,3662,223,397,1294,9,5,1924,415,736,1057,17,0,2228,1310,1484,843,12,3,3655,334,321,606,6,0,1269,3264,4476,11119,135,21,19015
CED230,1177,15,4,3,6,1209,895,7,7,3,0,914,974,14,0,11,0,998,1893,33,13,3,0,1951,2322,49,19,7,4,2403,4556,66,27,4,6,4667,2616,24,5,4,0,2654,1735,19,3,4,3,1765,509,3,0,5,0,516,373,0,0,0,0,377,290,0,0,0,0,293,1158,19,8,6,0,1196,18504,255,95,64,21,18937
CED231,690,221,83,0,0,993,209,53,40,0,0,311,154,48,38,0,0,243,251,113,51,0,0,412,314,126,111,0,0,551,935,444,468,3,0,1853,1105,549,640,5,0,2296,1935,930,661,6,0,3531,1377,643,199,0,0,2216,1836,710,160,3,7,2709,1996,494,81,0,0,2582,932,286,120,0,0,1336,11748,4617,2642,24,8,19039
CED232,908,16,5,0,3,928,367,22,0,0,0,393,308,16,3,0,0,326,532,30,5,0,0,561,788,50,0,0,0,842,2743,137,21,0,0,2902,4493,200,10,0,3,4709,7435,180,6,0,3,7635,3441,58,0,0,0,3496,2562,33,0,0,0,2597,1652,14,0,0,4,1675,1658,44,0,0,0,1699,26883,800,55,5,14,27756
CED233,118,302,467,3,0,893,22,65,89,0,0,170,17,37,104,0,0,153,29,73,196,3,0,300,35,118,295,0,0,454,108,319,1436,5,0,1872,98,331,1930,11,7,2369,182,643,2475,23,6,3324,172,469,1099,19,0,1758,279,998,964,10,0,2245,533,1357,790,13,0,2695,92,338,475,0,0,904,1676,5044,10312,88,15,17136
CED234,1033,228,73,0,0,1341,237,58,18,0,0,313,213,32,14,0,0,255,303,60,35,0,0,405,412,82,58,0,0,547,1090,266,249,0,0,1605,1154,333,366,0,3,1850,2263,660,432,0,0,3354,1682,550,157,0,0,2393,2795,597,113,0,3,3515,3133,411,52,0,6,3601,1119,224,100,0,0,1449,15432,3498,1668,4,12,20626
CED235,883,34,14,0,0,927,524,16,0,0,0,550,502,13,9,0,0,523,995,36,8,5,0,1041,1370,49,16,0,0,1437,3719,93,32,0,5,3854,3837,46,21,3,5,3909,3312,42,8,0,7,3374,1180,8,0,0,0,1196,839,5,5,0,0,854,592,8,0,3,4,603,1200,28,8,0,0,1235,18951,372,130,16,22,19493
CED236,943,25,4,4,5,970,576,16,0,0,0,596,561,25,0,5,0,599,1211,55,0,7,3,1272,1810,40,0,4,0,1854,4665,90,3,8,3,4764,3657,36,0,4,0,3705,2678,21,0,11,4,2714,791,10,0,0,0,804,580,5,0,0,3,588,496,3,0,6,3,507,1174,21,0,5,0,1203,19140,348,8,57,24,19574
CED237,940,85,19,0,0,1041,347,42,9,0,0,397,310,33,4,0,0,344,482,59,13,0,0,556,705,101,34,0,0,840,2366,344,103,0,3,2817,3505,556,106,0,4,4172,5539,516,55,0,4,6116,2296,148,18,0,0,2462,1416,107,13,0,0,1533,879,51,10,0,0,942,1569,150,20,0,0,1740,20351,2193,402,4,11,22961
CED238,1074,32,4,9,3,1119,603,20,4,0,0,634,675,14,3,0,0,699,1369,30,6,4,0,1417,1814,64,17,11,0,1908,4190,97,19,13,0,4323,3149,48,15,3,6,3217,2351,34,10,3,4,2406,858,13,0,3,0,868,642,4,0,0,0,659,589,6,0,3,4,600,1161,21,5,5,0,1194,18477,398,87,51,20,19040
CED239,633,186,71,3,0,896,185,63,32,0,0,278,161,46,32,0,0,242,253,108,49,0,0,412,367,156,114,0,0,642,927,529,490,6,3,1953,1134,788,678,0,6,2611,2128,1526,688,12,3,4364,1492,776,192,9,0,2469,1816,593,132,3,5,2552,1324,327,76,4,0,1730,786,296,105,4,0,1188,11203,5403,2673,45,14,19340
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,806,18,6,0,0,831,368,12,0,0,0,384,380,13,6,0,0,396,820,30,7,3,0,862,1407,50,9,0,3,1470,5304,130,27,4,0,5462,5908,55,12,10,4,5991,4983,32,5,7,0,5024,1584,7,0,0,5,1600,961,0,0,3,0,963,490,0,0,0,0,492,1274,23,0,3,0,1308,24302,360,82,29,16,24782
CED302,878,75,30,0,0,983,273,37,13,0,0,327,212,48,13,4,0,274,358,44,24,3,0,429,503,91,42,0,0,637,1535,401,153,3,0,2092,2223,630,189,4,0,3046,4802,475,141,4,0,5421,3338,137,32,0,5,3511,2904,81,22,0,0,3007,1700,39,16,0,0,1757,1086,107,24,0,0,1219,19808,2174,696,19,8,22708
CED303,863,54,37,0,0,955,374,31,14,0,0,419,323,26,12,0,0,359,489,71,22,0,0,578,728,72,25,0,0,818,2075,313,78,4,0,2469,3380,272,92,0,0,3739,6431,177,65,0,0,6674,2918,46,22,0,0,2981,2004,40,20,0,0,2067,1099,20,21,0,0,1136,1254,51,10,0,0,1314,21933,1167,397,9,11,23524
CED304,555,41,298,0,0,893,122,16,62,0,0,200,84,17,96,0,0,192,198,23,198,0,0,420,202,32,336,0,0,570,611,136,1357,0,3,2107,709,212,1625,0,11,2555,1502,332,1632,4,3,3463,1465,170,652,0,0,2293,2176,135,525,0,6,2838,2881,93,427,0,3,3402,659,43,324,0,6,1037,11172,1235,7547,11,25,19986
CED305,792,17,17,23,7,860,388,17,11,3,0,416,389,9,9,0,0,408,805,21,19,4,0,848,1164,28,30,3,5,1233,3770,80,53,14,3,3917,3794,70,37,8,0,3906,3741,41,23,6,9,3817,1392,16,10,4,0,1418,932,13,7,0,0,953,538,12,0,0,3,553,1138,20,7,4,6,1178,18852,334,221,75,33,19514
CED306,780,26,13,5,4,830,327,22,7,0,3,353,312,24,10,5,3,348,647,49,39,6,0,743,1017,55,44,12,3,1125,3535,122,77,20,4,3765,3980,99,59,7,11,4153,4098,46,41,13,9,4207,1558,15,12,6,3,1591,1011,9,8,8,8,1046,594,6,13,8,4,622,1202,25,24,9,5,1260,19058,502,334,96,48,20043
CED307,973,49,4,0,0,1026,325,39,0,0,0,361,319,39,5,0,0,361,520,64,3,0,0,588,785,135,3,0,0,926,2517,408,9,0,0,2934,4251,312,18,0,3,4583,6320,172,8,0,0,6509,2968,39,0,0,0,3013,2254,24,5,0,0,2286,1240,16,6,0,0,1265,1151,53,11,0,0,1210,23622,1353,74,3,10,25062
CED308,675,196,70,6,0,945,232,88,39,0,0,364,190,80,22,0,0,296,359,162,51,5,0,578,510,273,97,3,0,880,1526,1093,299,7,8,2929,2732,1129,315,6,7,4192,5378,715,268,0,12,6366,2581,236,82,0,0,2898,1909,153,81,0,6,2150,1345,95,48,0,3,1493,1231,258,96,0,8,1585,18659,4487,1456,24,48,24682
CED309,801,76,74,6,0,951,325,67,31,0,0,416,259,43,38,0,0,333,500,58,50,3,0,616,714,112,87,0,4,922,2051,359,224,3,0,2643,3135,424,273,3,0,3838,5077,332,219,5,7,5637,2524,97,81,0,3,2709,1794,40,77,0,6,1924,1048,28,37,3,0,1111,1266,85,96,3,3,1448,19488,1719,1271,29,32,22545
CED310,790,74,58,0,3,933,301,62,23,0,0,389,242,31,27,3,0,308,465,52,61,3,4,589,632,57,93,5,0,789,1921,206,243,3,0,2384,3168,281,256,4,5,3718,5465,206,218,5,7,5900,2348,72,70,4,5,2492,1604,39,65,0,0,1716,1063,20,43,0,3,1140,1256,62,88,7,0,1407,19269,1167,1248,45,29,21755
CED311,914,18,14,8,11,959,500,7,11,3,0,524,521,10,15,5,0,547,1017,29,17,11,3,1072,1382,34,19,0,0,1445,3425,41,22,12,8,3503,3275,52,22,12,3,3369,3214,51,17,15,5,3306,1159,18,6,3,0,1185,853,17,6,3,0,883,536,3,3,8,7,552,1137,12,6,14,3,1174,17926,290,160,100,45,18514
CED312,770,36,12,0,5,815,345,24,4,0,0,374,264,31,3,0,0,302,580,96,16,0,6,698,791,145,39,3,0,979,3171,392,91,0,5,3657,5453,350,44,6,11,5866,6451,160,21,0,7,6643,2364,37,12,0,0,2413,1519,20,7,0,0,1545,784,11,3,0,0,799,1482,74,19,4,0,1582,23983,1375,265,17,32,25669
CED313,615,71,211,0,0,899,163,21,66,0,0,256,142,31,61,0,0,231,193,51,137,0,0,375,277,75,214,0,0,565,780,270,982,5,6,2045,971,538,1360,3,3,2874,2139,716,1275,8,6,4140,2005,347,478,0,0,2827,2562,181,372,0,8,3127,2581,97,328,0,3,3009,725,109,255,0,6,1092,13160,2510,5735,11,27,21448
CED314,740,30,17,0,3,795,322,28,7,0,0,360,322,35,18,0,0,373,722,64,16,0,0,799,1129,96,32,0,0,1261,3949,259,61,4,5,4278,4172,134,18,5,0,4332,3617,55,15,6,3,3702,1265,15,7,0,8,1288,841,11,0,0,0,859,534,9,0,0,0,549,917,38,10,0,0,962,18536,783,210,16,21,19568
CED315,737,45,37,0,0,818,288,36,16,0,0,338,286,42,22,0,0,349,698,85,41,7,0,829,1218,104,48,6,0,1377,4215,175,110,5,0,4507,4680,98,82,9,8,4868,3831,52,78,0,7,3974,1192,12,26,0,0,1235,834,15,28,0,0,878,529,15,18,0,0,565,1050,33,29,5,0,1115,19558,707,537,32,16,20848
CED316,771,44,19,3,0,833,473,33,10,0,0,520,421,31,12,0,4,473,857,33,20,9,3,918,1356,58,29,4,4,1456,3994,108,50,22,7,4179,3336,44,30,10,8,3426,2354,26,20,5,6,2413,668,10,7,5,0,689,441,0,8,4,5,454,287,8,5,4,3,305,972,16,7,5,4,1003,15938,415,221,68,36,16673
CED317,819,15,0,25,23,885,434,9,0,12,0,459,439,16,3,10,3,470,886,17,11,23,0,932,1301,17,12,17,8,1355,3697,63,23,30,10,3816,3529,28,10,31,8,3598,2912,30,6,20,6,2979,931,5,0,10,6,947,588,4,0,4,5,598,425,0,4,17,6,450,1131,14,7,14,11,1182,17092,222,87,199,82,17678
CED318,728,59,79,21,10,901,247,25,61,9,5,345,264,51,77,3,7,402,553,117,194,13,0,880,848,135,242,9,3,1236,2783,289,371,22,6,3459,3742,160,221,19,9,4141,3821,89,125,19,10,4068,1362,30,38,8,0,1438,985,13,23,3,0,1021,575,9,31,8,3,634,971,60,89,13,11,1144,16874,1038,1548,143,62,19669
CED319,734,71,58,0,0,861,244,29,22,0,0,297,211,31,34,0,0,270,344,65,70,0,0,476,502,90,137,0,0,727,1526,479,495,0,0,2509,2375,603,477,0,0,3452,4761,426,314,0,0,5498,2909,126,68,0,3,3102,2206,59,46,3,0,2311,1156,34,33,0,0,1219,878,91,78,0,0,1047,17844,2100,1822,3,5,21783
CED320,854,42,12,0,0,909,398,22,4,0,0,424,308,21,3,0,0,337,640,49,10,8,0,702,923,69,13,4,0,1004,3566,182,28,4,8,3784,5357,122,24,0,4,5507,5850,72,18,9,6,5945,2167,26,4,3,6,2201,1224,11,4,0,0,1241,554,12,3,0,0,577,1382,39,7,0,0,1432,23224,660,130,31,24,24068
CED321,1110,19,3,15,17,1167,511,19,0,7,0,537,639,20,0,4,0,669,1241,14,3,8,8,1272,1605,22,0,11,3,1639,3371,27,6,20,6,3431,2343,14,3,16,3,2378,1679,5,0,10,5,1706,515,0,0,11,0,522,438,0,0,0,6,450,420,5,0,12,10,443,988,11,0,9,12,1013,14864,141,30,126,63,15223
CED322,644,174,116,3,0,934,229,90,36,0,0,356,183,68,33,0,0,280,281,145,69,0,0,497,426,208,137,0,0,769,1226,769,403,3,0,2406,1677,1156,524,6,5,3370,3561,1141,496,3,5,5199,2490,327,158,0,4,2978,2147,224,129,0,0,2502,1174,113,90,0,0,1379,1050,293,139,0,0,1487,15094,4710,2321,19,17,22157
CED323,625,142,288,3,4,1065,199,80,102,0,0,377,155,64,80,0,0,302,290,112,181,0,0,584,373,203,328,0,4,909,1101,691,952,5,6,2748,1712,714,957,0,3,3388,3127,643,849,11,3,4639,1634,209,294,4,3,2133,1416,207,248,0,5,1886,1249,154,202,0,6,1605,913,221,325,0,5,1459,12791,3436,4799,27,37,21096
CED324,849,86,41,0,0,972,237,33,17,0,0,286,196,26,26,0,0,249,318,64,53,0,0,436,455,122,81,0,0,663,1496,550,304,0,3,2358,2023,563,343,0,0,2928,3658,470,192,0,0,4321,2281,145,75,0,0,2499,2107,80,45,5,0,2232,1499,45,32,4,0,1584,981,114,62,0,0,1153,16101,2308,1259,8,6,19689
CED325,944,27,5,0,0,975,342,17,0,0,0,359,316,15,3,0,0,336,555,44,4,0,0,598,849,102,8,0,0,953,3434,278,18,0,3,3737,4780,247,7,0,0,5038,5828,158,11,0,0,6001,2357,37,0,0,0,2396,1581,27,4,0,0,1613,834,16,0,0,0,856,1200,54,4,0,0,1254,23018,1021,56,3,6,24112
CED326,800,56,42,4,0,908,311,31,21,0,0,367,239,41,22,0,0,308,474,74,28,0,0,579,714,113,48,0,0,879,2525,373,176,0,0,3073,4448,355,143,3,5,4956,6359,226,132,0,5,6727,2332,43,37,0,0,2418,1476,29,23,0,0,1537,810,16,28,0,0,858,1174,82,43,0,0,1300,21671,1449,757,14,22,23912
CED327,932,74,8,0,4,1018,348,38,0,0,0,384,287,44,7,0,0,336,520,114,8,0,0,644,895,203,13,0,0,1110,3332,632,39,0,3,4005,4857,464,19,0,5,5349,4998,210,13,4,0,5228,1748,41,5,0,0,1796,1131,38,0,0,0,1169,621,24,0,0,0,647,1243,101,9,0,0,1354,20923,1992,113,0,11,23038
CED328,873,31,119,0,0,1024,234,10,31,0,0,274,200,6,34,0,0,240,297,25,70,0,0,398,406,28,115,0,0,555,1299,78,497,0,5,1871,1698,147,570,0,0,2425,3652,195,500,0,3,4343,2831,84,169,0,0,3087,2987,77,128,0,0,3191,2448,33,90,0,0,2565,919,36,111,0,0,1073,17840,750,2437,0,15,21048
CED329,958,41,28,12,0,1046,570,14,10,0,5,594,469,19,13,0,6,508,975,27,7,11,0,1023,1368,29,31,9,6,1451,3359,96,66,18,4,3543,2954,71,46,14,12,3096,2802,88,49,4,3,2951,1143,36,20,0,0,1206,823,20,26,4,3,872,657,29,22,0,9,718,1127,35,24,3,3,1193,17198,522,336,82,58,18197
CED330,968,19,9,0,3,997,404,10,3,0,0,412,367,11,0,0,0,381,705,16,0,0,0,723,1141,15,3,3,0,1166,3639,52,13,14,0,3718,4915,67,14,7,6,4998,7073,49,20,10,7,7154,3289,8,8,5,7,3311,2095,5,0,4,3,2111,1125,6,6,4,4,1140,1842,16,9,0,0,1869,27567,267,86,55,24,27994
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,912,213,93,6,5,1229,303,86,40,0,0,429,262,74,52,0,0,392,452,166,124,0,0,749,672,268,193,0,0,1143,1926,867,524,3,14,3334,2818,1031,444,4,6,4302,3546,962,317,0,11,4837,1692,368,98,0,0,2159,1453,239,72,0,3,1766,1280,171,71,0,4,1528,910,194,104,0,3,1218,16233,4630,2142,26,61,23093
CED402,1155,34,3,7,0,1206,897,48,10,0,7,959,984,53,7,9,4,1047,2024,75,23,7,0,2134,2804,63,15,7,9,2892,5543,81,13,13,9,5664,3668,28,7,12,4,3723,2245,16,0,10,7,2282,675,5,0,5,7,690,482,3,0,5,0,490,364,3,3,8,3,373,1059,31,7,11,3,1106,21899,441,91,83,52,22567
CED403,995,214,69,3,0,1286,326,104,40,0,0,466,284,73,30,0,0,388,542,157,78,0,0,779,711,233,177,0,3,1115,2067,704,432,0,7,3212,2996,841,224,0,8,4070,4490,842,121,7,10,5462,2221,308,40,3,7,2578,1961,200,32,0,0,2196,1322,117,31,0,0,1467,915,180,70,5,3,1169,18823,3975,1341,16,39,24201
CED404,1074,76,9,11,7,1175,906,122,5,4,0,1040,960,106,0,0,0,1074,1837,210,9,13,3,2074,2276,213,5,11,3,2500,4325,208,16,16,16,4575,2993,67,0,16,6,3085,2140,43,7,13,5,2197,589,10,9,5,0,610,396,14,0,6,3,416,286,10,5,5,6,302,1039,57,7,5,3,1117,18818,1123,65,107,54,20165
CED405,948,197,48,0,0,1200,380,91,37,0,0,513,326,87,34,0,0,453,637,162,81,6,0,881,844,236,141,0,0,1219,2546,783,313,5,7,3654,3430,881,213,0,13,4536,4426,745,103,6,13,5287,1903,253,27,0,6,2185,1469,206,30,0,5,1712,859,146,9,5,0,1022,958,185,53,0,5,1197,18730,3986,1078,21,43,23865
CED406,1186,55,9,0,3,1254,654,32,0,0,0,688,670,46,4,0,0,715,1221,76,14,5,0,1314,1827,121,31,0,0,1980,6316,287,59,0,8,6672,6833,169,35,5,4,7043,4881,83,28,0,3,4991,1236,13,8,0,4,1259,875,8,5,0,0,885,432,8,4,0,3,452,1217,73,10,0,0,1301,27352,981,207,4,28,28568
CED407,1145,68,20,5,3,1238,632,59,11,0,0,705,582,43,17,0,0,648,1109,70,33,0,0,1210,1509,117,85,0,3,1712,5558,400,142,0,9,6097,6375,289,71,0,8,6749,4536,140,26,0,5,4714,1321,35,6,0,0,1362,926,18,0,0,0,951,473,12,6,0,0,493,1214,46,20,0,0,1280,25376,1305,434,4,26,27145
CED408,1294,34,6,3,3,1340,689,21,0,0,0,716,577,30,0,3,7,615,1178,34,9,0,0,1227,1471,36,11,5,3,1520,4671,90,12,7,4,4783,5159,60,5,5,6,5230,5193,31,0,6,13,5244,2114,10,0,4,6,2133,1647,0,0,3,4,1650,1125,4,0,5,0,1132,1132,20,0,0,4,1161,26243,378,52,23,45,26739
CED409,936,84,6,0,6,1027,654,83,7,0,0,746,679,114,3,0,0,801,1391,270,15,3,0,1673,2503,328,26,0,0,2858,7618,430,34,6,13,8096,5823,118,4,0,8,5959,3312,31,4,3,8,3353,848,17,0,0,5,865,526,7,0,0,0,536,321,8,0,0,0,328,1237,65,3,0,4,1312,25854,1554,99,14,45,27562
CED410,1107,180,72,0,0,1359,328,78,33,0,0,435,282,83,41,0,0,407,531,119,73,0,0,723,710,191,123,0,0,1025,2144,608,302,0,4,3061,2906,708,215,0,5,3830,3925,793,141,0,10,4870,2002,315,42,0,5,2360,1993,258,24,0,4,2270,1877,133,20,0,5,2038,983,199,39,0,4,1223,18787,3665,1118,9,34,23608
