CED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
CED127,948,33,10,0,4,994,310,14,9,0,0,331,257,16,9,0,0,279,513,20,10,0,0,546,602,32,14,3,0,646,1908,88,33,0,0,2037,2524,148,34,0,0,2707,4579,171,21,4,5,4779,3204,69,10,0,6,3290,2859,33,15,0,0,2913,1705,18,13,0,5,1737,1107,38,7,0,3,1161,20514,675,178,16,18,21405
CED128,708,76,60,0,0,847,175,27,22,0,0,219,175,20,15,0,0,215,235,38,29,0,0,300,427,49,61,0,0,541,1219,161,218,0,0,1603,1511,234,319,0,0,2068,2797,503,343,0,0,3648,2226,343,96,0,0,2664,2220,246,54,0,4,2522,1206,114,42,0,0,1371,1103,152,89,0,5,1350,14005,1965,1357,7,11,17345
CED129,1002,77,59,0,0,1132,233,26,17,0,0,277,165,27,19,0,0,207,271,30,25,0,0,323,397,43,23,0,0,460,1133,135,92,0,0,1361,1400,177,153,0,3,1735,2808,436,489,0,5,3739,2888,434,319,0,9,3643,5509,516,217,0,11,6258,6203,282,103,0,9,6594,1615,132,65,0,0,1822,23630,2303,1582,0,44,27549
CED130,907,15,0,3,8,930,442,9,3,0,0,455,474,10,0,7,0,491,979,17,4,0,0,996,1463,36,5,3,3,1510,3723,58,13,7,5,3803,3110,41,3,8,3,3171,2679,20,6,9,0,2715,996,7,0,0,0,1007,696,10,5,0,0,707,554,3,4,0,3,563,953,12,4,8,0,975,16970,251,49,48,25,17334
CED131,788,95,53,0,0,944,271,43,16,0,0,334,217,33,25,0,0,279,411,55,31,0,0,497,614,71,58,0,0,739,1794,236,187,0,0,2218,2573,372,230,0,0,3179,4381,420,306,7,0,5112,2464,197,102,4,0,2761,1792,163,95,5,0,2052,1266,122,101,3,5,1497,907,106,74,7,0,1088,17467,1905,1286,23,18,20697
CED132,579,130,358,3,0,1074,60,15,66,0,0,144,63,19,45,0,0,127,79,28,93,0,0,191,99,29,150,0,0,278,314,93,485,0,0,888,243,91,600,0,0,932,601,227,1425,0,0,2247,410,165,1265,0,0,1841,936,325,1466,0,4,2732,4074,916,1343,4,3,6337,550,110,428,0,4,1091,7992,2140,7730,6,10,17880
CED133,953,27,8,9,3,1005,472,14,9,3,0,503,485,26,11,0,0,528,925,43,16,14,7,1001,1269,53,18,5,0,1349,3626,151,52,21,5,3859,3452,124,29,16,3,3629,3512,84,22,15,5,3636,1284,7,9,4,4,1309,860,14,8,5,0,888,520,10,3,7,0,548,1057,49,9,10,0,1127,18420,616,200,124,23,19379
CED134,1047,24,4,3,10,1087,564,19,4,4,6,587,616,14,4,3,0,641,1174,12,5,10,4,1199,1433,20,11,10,8,1480,3272,52,10,8,4,3350,2661,32,4,3,5,2713,2091,24,4,5,15,2136,778,6,0,0,5,798,546,3,0,0,0,549,454,5,0,5,9,466,1088,15,3,6,4,1119,15724,234,50,62,61,16127
CED135,543,136,233,3,0,916,110,40,52,0,0,205,91,29,54,0,0,183,156,62,103,0,0,320,237,68,173,0,0,477,591,241,640,3,0,1487,691,340,1189,4,8,2228,1335,747,2266,11,6,4365,1073,590,946,10,3,2623,1633,555,448,7,0,2644,1595,294,241,3,0,2132,715,231,413,3,0,1361,8773,3328,6766,39,25,18929
CED136,820,48,12,3,0,882,348,34,7,0,0,384,318,35,5,0,0,353,651,44,17,3,0,713,892,90,8,0,0,991,3208,249,32,3,0,3503,4379,220,34,0,0,4632,5393,186,28,5,5,5613,2234,43,9,3,3,2290,1455,24,3,0,6,1479,744,19,6,3,0,763,1172,59,5,0,0,1235,21607,1041,160,26,18,22855
