CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED220,3214,6085,2458,1256,2532,582,64,16189,2181,4092,2173,1060,2748,600,56,12901,1214,2037,1256,784,2584,574,15,8472,501,627,290,158,1752,541,4,3877,33229,42080,14503,7879,28622,6379,390,133089
CED221,2579,4317,2012,1377,5286,805,107,16497,1293,2254,1339,997,3829,512,99,10318,615,828,489,417,2138,293,26,4806,153,166,86,68,986,130,9,1599,25569,32471,14131,11895,48865,7807,330,141064
CED222,3138,5447,2638,1782,6465,901,85,20453,2116,3552,2236,1663,5786,767,113,16232,1362,1983,1232,887,4297,695,37,10493,602,627,298,229,2698,452,8,4916,30401,36657,15831,11321,60020,9278,520,164027
CED223,3677,7747,3871,2236,3958,1515,23,23028,2470,5342,3701,2995,4889,1388,18,20809,1220,2218,1579,1493,3684,1034,8,11241,435,545,296,284,2124,527,0,4211,24425,37217,18133,13088,28435,10250,203,131751
CED224,3497,6438,2774,1343,4144,609,58,18861,1998,3875,2277,1386,4080,604,39,14254,1146,1801,1122,788,3227,604,12,8711,473,589,291,200,2201,345,6,4109,28135,37644,15569,9436,33936,5332,239,130279
CED225,3269,7209,3254,1788,3230,574,27,19354,2096,4704,3074,1959,3590,611,40,16078,1147,2157,1506,1053,2832,492,16,9207,472,579,303,207,1991,378,12,3945,27871,40217,18094,11005,27566,4859,209,129824
CED226,3432,7558,3631,1828,2713,521,107,19788,2284,5218,3123,1636,2597,448,75,15388,1302,2556,1718,932,2453,420,26,9411,575,880,435,249,2399,394,8,4939,32365,42245,18195,10322,27890,4600,510,136128
CED227,2645,5025,2252,1397,3408,680,75,15482,1334,2825,1884,1434,3108,566,66,11215,773,1229,824,698,2225,495,36,6279,224,260,160,95,1049,299,5,2078,25906,34954,15446,11983,33752,6864,279,129176
CED228,2567,4418,2208,1658,4986,806,165,16813,1341,2327,1543,1242,3846,602,149,11054,550,867,517,395,2075,371,29,4811,163,152,79,55,909,238,0,1600,25786,34996,15991,13773,51084,10335,500,152457
CED229,3661,6289,2132,891,3003,1081,103,17155,2250,4119,1816,891,3073,870,55,13062,1054,1639,843,493,2102,659,25,6808,354,398,177,100,1323,527,0,2886,36159,46473,13571,6998,33560,10409,574,147740
CED230,3894,7016,3671,2496,5313,1823,24,24243,2370,4682,3425,3118,5948,1768,20,21330,1246,2140,1608,1722,4418,1434,10,12568,565,662,391,307,2657,843,0,5421,24078,34101,17436,14295,36224,12459,249,138838
CED231,2920,5614,2656,1515,3748,659,41,17158,1755,3549,2242,1534,4071,533,31,13711,1092,1801,1142,928,3207,497,12,8678,467,562,260,154,2047,254,4,3748,27693,37116,14838,9536,32562,5927,323,127991
CED232,2810,5713,2937,1820,3172,770,30,17256,1492,3301,2454,1849,3089,608,36,12830,689,1248,926,825,1969,399,13,6069,179,235,107,106,939,175,0,1746,24531,34590,16722,12535,28008,5845,147,122380
CED233,2842,4970,1802,817,2901,1347,149,14827,1589,3208,1474,711,2479,914,61,10437,699,1229,676,334,1814,521,9,5285,265,297,140,78,1103,263,12,2145,44725,54897,14246,6734,49886,15687,1288,187469
CED234,3424,6977,3568,2181,4231,579,135,21095,2049,4479,3052,2152,4254,534,86,16604,1571,2838,1979,1427,3949,636,30,12429,702,867,493,289,2899,488,7,5747,29613,38687,18595,12530,38752,5458,489,144130
CED235,3212,6863,3526,2360,3838,1192,11,20997,2273,5268,3906,3002,4712,1243,8,20413,1143,2169,1683,1516,3446,978,10,10943,396,482,301,254,1996,525,0,3952,21645,33004,17222,13327,25959,8237,159,119550
CED236,3525,6434,3256,2147,4770,1505,11,21650,2210,4391,3015,2542,5385,1389,22,18959,1175,1980,1361,1401,4105,1212,7,11247,429,536,295,273,2247,661,3,4438,23320,32769,15802,12608,34583,11103,156,130338
CED237,2630,4525,2198,1788,6321,827,80,18367,1728,2795,1647,1420,5286,686,76,13644,984,1305,759,630,3122,612,17,7422,312,300,156,115,1567,470,0,2926,24097,30018,13338,11576,50054,7825,322,137224
CED238,3763,7222,3812,2437,4208,1425,16,22885,2457,5042,3637,3045,4791,1447,14,20434,1128,2177,1540,1571,3505,1058,0,10980,476,562,346,267,2221,663,0,4532,23810,34666,17594,13453,28464,10265,153,128398
CED239,2365,4602,2079,1241,3646,598,50,14583,1299,2404,1461,969,3128,502,31,9793,910,1342,831,649,2796,521,17,7062,544,618,298,209,2297,473,12,4452,28755,39758,14185,9033,33881,6872,263,132750
CED297,14,5,0,3,25,111,0,158,0,0,0,0,4,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,15,3,89,389,0,565
