CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED509,3273,6203,2752,1781,4028,859,60,18955,1753,3711,2532,2021,3568,627,49,14265,898,1696,1170,1126,2457,533,19,7899,355,386,226,171,1213,393,3,2747,27626,37105,15913,12908,32575,8272,252,134645
CED510,4108,7998,3465,1874,3467,475,39,21434,2287,5319,3506,2285,3946,425,31,17801,911,1857,1287,994,2536,441,19,8057,360,460,241,170,1544,284,3,3058,29803,39313,17629,11336,27224,3883,204,129394
CED511,4387,7730,3700,2438,5439,3186,48,26919,2523,4725,3178,3017,4864,2046,38,20403,1195,1880,1418,1494,3124,1170,9,10295,432,505,296,255,1513,538,4,3551,27537,38192,17767,14628,33706,20871,383,153080
CED512,3055,5448,2276,1476,4197,547,54,17050,1461,2952,1855,1385,3397,377,43,11464,710,1283,843,659,2251,370,18,6150,211,307,144,95,1064,248,6,2081,28804,36374,14861,11525,35544,5240,285,132628
CED513,3954,6605,2461,1305,4117,1163,127,19741,2107,4052,2223,1415,4008,868,69,14745,1020,1745,1072,804,2963,687,30,8317,520,616,308,193,2209,424,4,4271,36334,45369,15260,9817,38231,10318,1114,156439
CED514,3576,6188,2459,1594,4588,1056,107,19568,2031,4126,2442,1652,4278,805,82,15410,993,1704,1081,824,2961,772,30,8359,432,546,242,178,1835,790,4,4031,34162,42192,15509,11126,43146,10337,560,157039
CED515,3963,7570,3574,2127,3703,626,116,21671,2451,5356,3517,2572,4104,582,112,18700,1256,2341,1606,1268,3196,665,33,10366,553,760,417,268,2221,591,20,4830,32865,41256,18805,13579,34323,6615,512,147954
CED597,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
CED601,2338,4641,2183,1321,3104,667,14,14271,1411,3112,2261,1652,3297,733,13,12480,675,1412,991,969,2609,570,7,7244,261,398,211,143,1363,373,7,2749,17422,24968,11504,8260,23434,5414,180,91185
CED602,2481,4790,2400,1534,3551,773,22,15538,1489,3142,2427,2039,3911,832,13,13854,755,1328,1054,1123,2995,710,6,7965,284,335,199,163,1463,323,7,2769,16088,23832,11924,9226,23223,5619,147,90057
CED603,2407,4795,1890,922,2452,580,42,13082,1443,3323,1963,1162,2529,576,21,11031,740,1453,858,648,2142,473,14,6334,339,413,186,153,1348,260,0,2713,20940,28323,11008,6420,23876,5087,374,96021
CED604,2452,5137,2526,1319,2272,526,17,14241,1523,3588,2620,1693,2813,544,17,12792,758,1612,1091,932,2219,490,4,7117,289,399,213,157,1251,279,3,2601,18585,27740,12861,8016,18953,4432,101,90686
CED605,2687,5264,2628,1841,3693,967,12,17089,1588,3516,2526,2214,4006,920,10,14783,703,1332,1001,1018,2562,623,6,7243,224,292,142,148,1042,221,3,2075,16719,25093,12436,9767,22743,6067,194,93016
CED697,7,15,3,3,16,25,0,77,3,13,0,0,7,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,53,20,13,125,116,13,374
CED701,3285,4844,1950,1111,4059,2851,102,18204,1880,2988,1482,971,3538,2039,54,12944,449,612,309,278,1132,508,16,3299,76,57,25,23,281,79,0,534,23918,28678,11837,7667,26055,18704,1967,118829
CED702,2390,4115,1534,809,2914,1538,119,13420,1446,2438,1251,750,2579,1061,59,9580,466,723,420,253,1205,407,19,3482,98,114,38,31,344,114,6,738,19658,25911,9414,5934,24173,10575,1150,96814
CED797,4,6,4,0,54,34,0,106,0,0,0,0,20,11,0,40,0,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,22,44,12,9,237,155,17,494
CED801,3193,6982,3044,1391,2592,456,57,17714,1878,4520,2702,1612,2607,467,34,13816,1007,1935,1198,940,1942,447,12,7479,363,455,269,184,983,281,4,2548,27174,40665,16618,9304,23598,4889,254,122510
CED802,2793,5931,2425,966,1744,751,54,14675,1582,4088,2444,1113,1726,654,44,11638,907,1944,1275,723,1626,470,11,6961,431,597,297,176,1418,376,0,3293,31327,42793,15068,6720,22465,7900,464,126736
CED803,2369,4812,2067,988,2372,359,74,13037,1317,3084,1863,1134,2179,296,79,9947,598,1283,818,563,1365,202,20,4851,229,269,121,84,610,98,3,1408,27346,39455,15339,8683,28046,4630,317,123816
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
