CED_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
CED132,65440,72773,138216,33238,26422,59664,8835,14032,22865,2919,4106,7026,1805,1688,3491,46801,46247,93047,15813,23147,38959,3.9,3.6,3.7,71.5,63.5,67.3,68.8,61.2,64.8,11747,12066,23809,1956,3139,5098,22457,25201,47658,5247,7494,12743,4831,2735,7569,259,490,756,899,1447,2340,5987,4669,10662,60293,65235,125531,15090,16274,31367,35728,39399,75128,36044,38662,74714
CED133,69267,72283,141554,22634,14599,37237,9932,17688,27620,2267,2589,4853,2196,1706,3902,37032,36573,73612,27161,30511,57665,5.9,4.7,5.3,53.5,50.6,52,50.3,48.2,49.2,1779,2151,3933,869,1839,2710,6046,9840,15888,4392,7569,11956,18471,10791,29260,800,1435,2235,1188,2042,3227,20456,14266,34721,65381,67474,132850,10725,11527,22248,44446,44893,89346,27948,30632,58578
CED134,62824,64190,127011,27731,17210,44942,5946,13448,19390,2150,2482,4635,1692,1325,3017,37514,34470,71986,17452,22081,39537,4.5,3.8,4.2,59.7,53.7,56.7,57,51.6,54.3,1294,1616,2912,490,1281,1771,4187,8059,12245,3051,5395,8445,15336,8606,23945,608,1188,1801,832,1459,2293,16779,11257,28032,58090,58423,116515,9697,10270,19973,40300,39782,80081,23356,25040,48399
CED135,84216,80884,165100,31342,21851,53195,11388,13816,25206,6459,5112,11567,3516,3109,6621,52700,43887,96588,24986,31333,56316,6.7,7.1,6.9,62.6,54.3,58.5,58.4,50.4,54.5,11837,10454,22291,1280,1847,3124,19839,20207,40050,6949,7919,14877,8650,4799,13452,453,780,1232,1015,1466,2487,10123,7046,17177,76102,74430,150533,19425,17639,37062,42272,42930,85202,47295,43618,90911
CED136,67497,72392,139887,28271,16263,44534,8533,18245,26774,2683,3460,6144,2349,1861,4209,41836,39834,81665,22552,29375,51926,5.6,4.7,5.2,62,55,58.4,58.5,52.4,55.4,1523,1816,3334,629,1444,2073,4929,8293,13220,5017,7701,12722,21467,12799,34269,770,1505,2279,1043,1999,3041,23279,16306,39590,67513,70711,138226,12530,13468,25995,42118,43518,85639,33345,36296,69641
CED137,85129,87196,172328,33951,26374,60321,13130,17087,30217,5831,6047,11875,3336,2632,5969,56249,52141,108393,24344,30633,54974,5.9,5,5.5,66.1,59.8,62.9,62.2,56.8,59.4,11608,11803,23407,1498,2511,4010,22644,24944,47591,8338,9636,17975,8366,4369,12729,422,699,1115,1157,1726,2879,9943,6786,16733,71510,74629,146141,21438,21169,42605,40715,43987,84705,47640,47642,95279
CED138,66830,74321,141150,21521,13477,34999,11609,20496,32103,2553,3223,5782,1939,1718,3656,37617,38922,76539,24044,29978,54025,5.2,4.4,4.8,56.3,52.4,54.2,53.4,50.1,51.6,2497,3282,5784,1005,2136,3142,8623,13029,21657,5433,8858,14298,17101,8861,25962,554,1076,1623,1134,2092,3227,18786,12028,30812,62170,66856,129024,11924,13503,25424,40019,42502,82520,30518,34488,65010
CED139,64741,66575,131314,29199,16854,46053,7201,16249,23458,2043,2481,4527,1776,1427,3202,40224,37017,77235,19879,25260,45140,4.4,3.9,4.1,62.1,55.6,58.8,59.4,53.5,56.4,1500,1833,3331,647,1490,2130,4943,9051,14000,3651,6241,9892,17062,9635,26699,752,1327,2076,947,1715,2664,18758,12676,31438,62165,63836,126008,10823,11565,22385,41459,42147,83601,27319,29276,56594
CED140,59933,65946,125882,21975,13877,35854,8772,15410,24184,3436,4524,7956,1706,1363,3065,35894,35169,71065,21014,27184,48197,4.8,3.9,4.3,59.9,53.3,56.5,57,51.3,54,2951,3252,6201,889,1787,2674,8286,11431,19717,5292,8058,13357,15462,8154,23624,570,1052,1620,1223,2024,3249,17261,11232,28488,59232,63296,122528,9843,10355,20198,39784,42473,82258,25843,27871,53712
CED141,59149,64148,123302,23618,14044,37666,7909,16813,24724,2367,3144,5510,1863,1426,3288,35765,35421,71188,20968,26107,47074,5.2,4,4.6,60.5,55.2,57.7,57.3,53,55.1,2028,2342,4372,705,1573,2279,6503,9732,16228,4635,7021,11660,18346,9378,27722,585,1109,1694,1053,1981,3036,19986,12468,32451,60744,63726,124469,8662,9495,18162,42191,43928,86118,23666,25962,49620
CED142,102206,90026,192236,46098,33820,79916,14489,15808,30297,5950,6219,12175,3956,3272,7227,70489,59117,129607,21431,23797,45223,5.6,5.5,5.6,69,65.7,67.4,65.1,62,63.7,15504,14879,30390,2390,2857,5250,31621,30866,62484,9253,8876,18130,7967,3855,11820,505,592,1096,1115,1196,2310,9586,5646,15230,65915,58839,124751,32998,30652,63656,31266,27939,59204,64463,58730,123198
CED143,57774,63741,121517,28698,21104,49800,8683,14332,23016,2737,4029,6764,1437,1315,2761,41551,40778,82334,14390,20902,35287,3.5,3.2,3.3,71.9,64,67.8,69.4,61.9,65.5,7747,7769,15512,1495,2480,3983,17972,20817,38789,5129,7668,12796,6924,3139,10060,290,591,876,949,1637,2585,8164,5363,13524,56653,60857,117511,11724,12819,24541,35972,38977,74945,29197,31496,60691
CED144,74290,73237,147527,18875,14033,32903,9580,11338,20923,7257,5300,12547,3372,2200,5573,39083,32865,71952,29814,35314,65130,8.6,6.7,7.7,52.6,44.9,48.8,48.1,41.9,45,5716,4965,10677,804,1303,2108,12608,13876,26482,6057,7341,13393,8924,4801,13721,457,728,1182,1033,1558,2587,10405,7086,17493,72969,72156,145122,12425,11257,23681,48175,49328,97501,32121,29440,61563
CED145,57325,63574,120895,28456,22628,51086,8345,12603,20946,2719,3747,6465,1476,1476,2950,40996,40460,81451,13071,19266,32344,3.6,3.6,3.6,71.5,63.6,67.4,68.9,61.3,64.9,8826,9027,17855,1390,2229,3619,20102,23322,43430,4314,6398,10714,4841,2284,7127,223,382,607,780,1215,1992,5844,3879,9721,49974,53582,103559,13818,15660,29476,29339,32037,61374,31527,34385,65911
CED146,75184,78470,153652,24011,17489,41498,8581,12628,21215,7377,5441,12819,3014,2460,5478,42989,38020,81008,27908,35909,63815,7,6.5,6.8,57.2,48.5,52.7,53.2,45.3,49.2,3454,3644,7096,592,1073,1666,9684,12378,22058,5947,8000,13939,12697,7160,19853,520,1109,1635,1091,1819,2912,14308,10088,24397,81503,83038,164541,10433,10766,21203,54669,55851,110518,31219,32416,63635
CED147,65596,71147,136743,25896,14970,40868,8730,16957,25690,3623,4648,8275,1850,1432,3283,40104,38013,78115,22398,29860,52261,4.6,3.8,4.2,61.1,53.4,57.1,58.3,51.4,54.7,2374,2620,4991,725,1653,2376,6212,9397,15604,5171,8038,13213,19657,10697,30353,615,1358,1971,1085,2350,3436,21359,14399,35756,66410,69884,136293,10487,11482,21966,44477,46697,91172,28369,30745,59115
CED197,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
CED201,63472,67793,131267,30909,18201,49108,9068,18390,27458,1976,2789,4764,2010,1775,3783,43961,41154,85113,17458,24384,41839,4.6,4.3,4.4,69.3,60.7,64.8,66.1,58.1,62,4318,4424,8748,1106,2267,3380,11086,13581,24664,6153,8170,14323,13977,6837,20812,496,739,1232,823,1332,2161,15294,8906,24198,66571,69450,136018,7699,8109,15804,47079,49299,96387,23664,24742,48403
CED202,59145,63998,123145,25326,14159,39478,8441,17855,26296,2068,2875,4947,1817,1501,3315,37651,36389,74036,18082,24009,42095,4.8,4.1,4.5,63.6,56.9,60.1,60.6,54.5,57.4,2720,3311,6036,1307,2672,3975,7104,10543,17641,4687,6901,11586,14951,8428,23378,596,947,1546,717,1009,1730,16268,10388,26657,58127,61476,119603,10404,11060,21464,37319,39278,76599,27642,29720,57363
CED203,59697,64635,124328,24371,14004,38377,8540,18019,26559,2081,2922,5005,1664,1304,2969,36653,36255,72902,19479,24658,44138,4.5,3.6,4.1,61.4,56.1,58.6,58.6,54.1,56.3,2296,3058,5349,1296,2836,4137,6797,10535,17339,4742,6819,11559,15165,8383,23545,562,995,1559,758,1073,1826,16478,10453,26931,58767,62132,120895,9257,10251,19502,38227,39935,78168,26146,28928,55074
CED204,73005,72463,145470,31608,16636,48244,10454,16947,27400,2461,2607,5075,3082,2568,5651,47608,38758,86365,20777,29600,50375,6.5,6.6,6.5,65.2,53.5,59.4,61,49.9,55.5,3711,3732,7439,768,1735,2502,9310,11397,20713,6682,8067,14750,14026,7232,21259,640,870,1504,964,1377,2342,15627,9485,25109,74317,73888,148204,9885,9281,19162,49940,50601,100539,29472,28159,57634
CED205,71505,71992,143496,28949,15206,44152,10718,15236,25956,2738,2805,5538,3686,3252,6936,46095,36493,82587,21101,31464,52568,8,8.9,8.4,64.5,50.7,57.6,59.3,46.2,52.7,3967,3931,7902,670,1661,2334,8857,10953,19809,6603,7560,14167,11229,6882,18107,648,788,1438,903,1256,2162,12781,8923,21700,75179,74823,150001,12889,12719,25610,43607,43989,87602,37781,37444,75223
CED206,61545,64572,126114,30424,15619,46043,8508,19750,28261,2309,3391,5697,1514,1425,2939,42752,40188,82942,16484,22182,38665,3.5,3.5,3.5,69.5,62.2,65.8,67,60,63.4,2285,2968,5251,1101,2603,3707,7256,10951,18206,5519,8572,14087,18512,8578,27083,489,939,1433,857,1369,2225,19859,10886,30750,66008,67723,133733,6892,7249,14143,47019,47837,94855,21877,23475,45352
CED207,75477,79468,154944,30637,19932,50563,12586,19016,31598,2282,2756,5040,2978,2542,5511,48473,44241,92719,23742,32034,55770,6.1,5.7,5.9,64.2,55.7,59.8,60.3,52.5,56.3,10788,9737,20518,1874,3028,4903,19168,20780,39950,6996,8087,15083,7751,3866,11621,363,565,931,805,1367,2168,8918,5797,14721,70652,74471,145121,15270,14821,30092,45773,49811,95585,36738,36255,72994
CED208,63308,68030,131334,28219,20652,48877,10552,17713,28267,2343,2990,5331,2522,2051,4581,43635,43418,87051,16435,21519,37956,5.8,4.7,5.3,68.9,63.8,66.3,64.9,60.8,62.8,6558,8151,14709,1848,3724,5574,14645,17320,31968,5304,6278,11582,8299,4341,12639,411,533,946,687,926,1613,9394,5798,15192,59342,62608,121954,11862,12758,24618,38463,41497,79962,29187,30473,59657
CED209,57770,63725,121490,25868,14237,40111,8902,19363,28269,2157,3239,5395,1445,1291,2732,38371,38131,76504,16972,22890,39865,3.8,3.4,3.6,66.4,59.8,63,63.9,57.8,60.7,3101,3327,6428,1241,2943,4185,8921,12760,21684,5752,8229,13978,15119,7751,22866,424,758,1179,777,1161,1931,16319,9668,25981,57224,60756,117981,11531,12706,24240,33398,35296,68689,31396,34339,65737
CED210,63415,67301,130715,27287,15716,43004,9013,18610,27625,2155,2953,5111,2166,1696,3863,40615,38980,79596,19480,24975,44455,5.3,4.4,4.9,64,57.9,60.9,60.6,55.4,57.9,3420,3583,7006,1188,2505,3685,8721,11991,20709,5213,7190,12406,14293,8511,22802,550,835,1383,688,1085,1770,15524,10430,25955,60862,64462,125324,10621,11394,22017,39338,41950,81286,28294,30260,58553
CED211,64839,71023,135857,31172,18433,49596,9350,19490,28838,1973,2908,4879,1975,1767,3744,44464,42597,87061,18103,25755,43855,4.4,4.2,4.3,68.6,60,64.1,65.5,57.5,61.3,5540,5770,11318,1706,3166,4871,12791,16045,28834,6476,8312,14791,12231,6074,18305,426,676,1101,945,1391,2337,13610,8136,21744,67979,72595,140574,8790,9205,17999,46737,50222,96960,26000,27816,53811
CED212,61407,65923,127326,29279,16392,45666,8051,18155,26208,2069,3237,5305,1969,1661,3633,41370,39441,80812,16740,23081,39828,4.8,4.2,4.5,67.4,59.8,63.5,64.2,57.3,60.6,2099,2767,4872,970,2321,3293,7192,10747,17932,5753,8649,14401,16404,8529,24932,504,929,1433,881,1401,2282,17782,10858,28645,62994,66015,129008,8793,9615,18407,42005,43755,85760,25808,27986,53800
CED213,59699,65785,125484,23681,12551,36225,8423,17290,25707,2345,3288,5641,1245,1088,2342,35696,34221,69918,20560,27598,48159,3.5,3.2,3.3,59.8,52,55.7,57.7,50.4,53.9,2121,2540,4654,1044,2274,3318,7258,10573,17831,5554,8336,13886,16124,7613,23742,457,873,1333,864,1447,2316,17447,9938,27388,58515,62984,121501,8721,9230,17950,38519,41568,80085,25497,27586,53081
CED214,73947,73623,147573,29535,19320,48854,11866,15994,27859,2760,3097,5852,3566,3038,6609,47726,41449,89171,20724,27353,48073,7.5,7.3,7.4,64.5,56.3,60.4,59.7,52.2,56,5703,5573,11274,1221,2349,3566,13364,14692,28060,5778,6377,12152,9266,5316,14582,582,678,1259,901,1076,1973,10747,7071,17817,68765,68631,137396,12920,12497,25419,44434,45993,90421,33000,31124,64125
CED215,72031,73263,145295,36264,22416,58687,10013,17482,27496,2599,3357,5958,2743,2780,5523,51623,46035,97663,16797,23825,40629,5.3,6,5.7,71.7,62.8,67.2,67.9,59,63.4,7848,7734,15580,1515,2912,4431,14766,17778,32541,6888,7794,14683,11191,5560,16750,423,593,1010,862,1129,1988,12470,7272,19751,73569,75029,148600,14404,14080,28482,43250,44759,88004,38341,38504,76849
CED216,62529,65147,127675,23133,12490,35621,7228,16476,23698,2248,2804,5051,2073,1448,3518,34676,33210,67889,23041,26866,49907,6,4.4,5.2,55.5,51,53.2,52.1,48.8,50.4,1262,1768,3032,759,1834,2596,4543,7656,12197,4209,6804,11009,18326,9279,27605,607,1066,1672,795,1067,1862,19726,11408,31131,59074,61036,120115,9208,9703,18906,40017,40749,80763,24786,26571,51355
CED217,59452,66102,125553,28243,18277,46518,9449,17698,27145,1797,2686,4479,1819,1480,3302,41307,40133,81447,16283,23708,39995,4.4,3.7,4.1,69.5,60.7,64.9,66.4,58.5,62.2,7202,7195,14397,1931,3419,5349,17270,19387,36659,5534,7420,12952,6365,3240,9605,240,459,697,797,1383,2176,7401,5076,12476,59742,65025,124766,10529,11019,21548,39613,43693,83309,27650,29280,56929
CED218,69769,70508,140279,31531,18237,49768,9613,16944,26554,2606,3247,5854,2916,2750,5668,46661,41179,87846,19785,26128,45922,6.2,6.7,6.5,66.9,58.4,62.6,62.7,54.5,58.6,3268,3482,6752,782,1775,2553,10058,12934,22986,6038,7153,13194,12263,6514,18775,526,808,1329,1007,1417,2429,13795,8741,22533,72713,73999,146713,9621,9667,19291,49836,51218,101057,27425,27794,55222
CED219,62036,65414,127451,30107,16593,46704,7902,16117,24024,2403,3124,5524,2358,2321,4674,42781,38159,80933,15881,23824,39702,5.5,6.1,5.8,69,58.3,63.5,65.2,54.8,59.8,2067,2545,4613,709,1953,2658,5964,9141,15107,5466,7479,12951,16529,9062,25590,599,1006,1605,861,1298,2164,17989,11364,29355,65257,67257,132517,10163,10880,21038,40001,40850,80859,30269,32257,62520
CED220,63073,69622,132696,32196,24257,56452,9919,16736,26656,1965,2812,4780,2027,1806,3827,46111,45605,91714,14270,20963,35234,4.4,4,4.2,73.1,65.5,69.1,69.9,62.9,66.2,9520,9826,19348,2034,3663,5698,20940,23446,44383,5270,6691,11962,5122,2890,8017,263,407,671,666,1073,1741,6054,4372,10434,55138,59563,114701,14649,15918,30567,33596,37048,70643,33483,35842,69329
CED221,69417,71317,140732,35295,18946,54240,9931,18148,28074,2515,3142,5657,2698,2690,5386,50440,42914,93358,15579,25016,40596,5.4,6.3,5.8,72.7,60.2,66.3,68.8,56.4,62.5,3351,3653,7007,665,1610,2275,8173,11047,19216,7042,8672,15715,15135,9020,24157,664,974,1636,891,1354,2239,16685,11347,28032,75001,75372,150374,12284,12514,24801,42781,43010,85793,37895,38611,76513
CED222,81818,81686,163501,33566,20778,54345,13430,19047,32476,2778,3124,5906,3388,2723,6113,53164,45673,98836,24423,32159,56586,6.4,6,6.2,65,55.9,60.4,60.8,52.6,56.7,7568,6959,14520,1235,2106,3348,15084,16500,31581,6963,7614,14571,10501,5479,15985,492,651,1144,995,1318,2310,11980,7452,19431,77837,78409,156243,15056,13666,28724,50111,52534,102647,38004,35082,73090
CED223,64076,67465,131544,26650,15256,41910,8827,18264,27090,2667,3326,5992,1376,1087,2462,39517,37939,77457,20009,24845,44858,3.5,2.9,3.2,61.7,56.2,58.9,59.5,54.6,57,1688,2371,4055,1109,2558,3664,5922,9730,15649,5071,7973,13046,18166,9507,27671,585,1104,1692,881,1214,2096,19631,11824,31460,61530,63917,125446,9907,10582,20490,41235,42454,83685,26832,28634,55462
CED224,62305,67735,130046,31139,19282,50428,8605,18108,26716,1977,2778,4753,2031,1641,3668,43748,41810,85557,16316,23568,39878,4.6,3.9,4.3,70.2,61.7,65.8,67,59.3,63,4047,4845,8892,1317,2671,3983,11749,14878,26629,6276,7959,14241,11902,5661,17562,407,727,1127,885,1392,2275,13194,7777,20965,64930,69127,134057,8891,9494,18380,43706,46861,90573,26248,28022,54270
CED225,62505,67105,129616,29897,17989,47892,9092,18850,27947,2026,2972,4992,1905,1598,3504,42920,41410,84332,17458,23535,40990,4.4,3.9,4.2,68.7,61.7,65.1,65.6,59.3,62.4,6096,6536,12634,1867,3702,5565,13510,16719,30230,5999,7086,13075,11348,5006,16350,381,597,974,855,1326,2183,12579,6931,19509,65446,68938,134384,8309,8885,17193,46216,49037,95255,23813,25238,49049
CED226,64057,71559,135614,29286,20461,49745,10771,18537,29307,1990,2621,4607,2030,1804,3827,44074,43418,87493,18090,25989,44080,4.6,4.2,4.4,68.8,60.7,64.5,65.6,58.2,61.7,10468,10087,20558,2309,4005,6315,20571,23060,43638,5099,7063,12159,4666,2617,7289,275,387,660,642,1094,1733,5589,4099,9685,62503,68732,131229,11746,12419,24157,41210,45759,86967,30334,32663,62998
CED227,62625,66269,128898,33537,17934,51470,8460,18656,27119,2258,3286,5539,1859,2009,3873,46115,41889,88001,13594,21242,34839,4,4.8,4.4,73.6,63.2,68.3,70.7,60.2,65.3,3309,3675,6987,829,2023,2855,7838,11320,19154,6449,8555,15005,15680,8685,24370,506,916,1420,800,1288,2089,16994,10885,27877,66115,68476,134586,11763,12204,23971,34691,35764,70457,37609,39626,77234
CED228,75650,76309,151960,36377,20456,56835,11543,17986,29535,3035,3292,6326,3475,3580,7062,54437,45315,99753,16616,26574,43185,6.4,7.9,7.1,72,59.4,65.6,67.4,54.7,61,7481,6874,14352,1082,2068,3149,12033,14383,26413,7308,8223,15527,13167,7900,21068,636,830,1462,916,1289,2206,14719,10022,24741,77080,77188,154272,16545,16305,32848,41915,42423,84340,44306,44055,88358
CED229,71927,75238,147161,36074,28179,64256,11620,17630,29254,2484,3218,5707,2508,2261,4766,52687,51295,103981,14242,19213,33452,4.8,4.4,4.6,73.3,68.2,70.7,69.8,65.2,67.4,10537,11455,21999,2145,3829,5971,21910,24553,46465,6423,7710,14137,6772,3759,10521,360,463,824,789,1118,1915,7922,5345,13260,55866,58141,114007,19989,20985,40976,30245,32232,62472,42657,44036,86692
CED230,68492,70100,138587,27826,14757,42587,7837,17088,24927,2434,2973,5404,1869,1352,3222,39963,36171,76134,22723,28326,51046,4.7,3.7,4.2,58.3,51.6,54.9,55.6,49.7,52.6,1038,1413,2451,642,1755,2394,4079,7912,11994,3967,6777,10750,17159,9431,26594,665,1174,1836,822,1091,1909,18654,11694,30342,66107,66991,133102,9037,9484,18514,46261,46052,92315,25084,26562,51646
CED231,61667,66005,127671,29346,20010,49362,8868,16294,25162,2134,2957,5095,2244,1730,3970,42591,40988,83586,16416,22396,38810,5.3,4.2,4.8,69.1,62.1,65.5,65.4,59.5,62.4,5262,5943,11204,1567,3024,4590,13403,15917,29326,5437,6448,11891,10017,4542,14548,379,586,963,757,1240,1996,11146,6358,17505,60025,63446,123471,10418,10788,21209,40426,43279,83704,26677,27780,54457
CED232,59679,62552,122237,31107,16509,47622,7908,18501,26409,2250,3203,5453,1687,1679,3368,42952,39889,82846,14175,20076,34255,3.9,4.2,4.1,72,63.8,67.8,69.1,61.1,65,3024,3508,6536,1068,2613,3685,7520,11448,18962,5819,8006,13825,16380,7595,23972,458,813,1277,832,1264,2101,17672,9675,27346,63780,65198,128979,10086,10490,20571,39533,40218,79752,29386,30822,60209
CED233,91855,94323,186180,41495,33311,74808,16495,22611,39109,3519,4351,7866,4305,4142,8450,65808,64414,130227,18449,22937,41385,6.5,6.4,6.5,71.6,68.3,69.9,67,63.9,65.4,14996,16794,31791,2646,4028,6670,29654,31232,60885,7057,7563,14622,6317,3985,10298,491,517,1006,701,944,1649,7510,5444,12956,57535,59137,116670,33583,34967,68548,27496,29017,56514,60840,62503,123345
CED234,68864,74775,143636,29479,18153,47628,10939,19294,30233,2181,2756,4934,2431,2113,4549,45022,42316,87344,21550,29909,51459,5.4,5,5.2,65.4,56.6,60.8,61.9,53.8,57.6,7751,7469,15212,1755,2960,4715,16949,19142,36095,6538,8073,14613,8787,4263,13055,357,556,908,815,1459,2277,9960,6283,16242,69905,74273,144178,10362,10857,21223,47561,51020,98576,29193,30637,59829
CED235,57499,61894,119390,22118,11680,33799,7741,16485,24227,2289,2924,5214,1557,1211,2760,33704,32298,65998,20114,25795,45909,4.6,3.7,4.2,58.6,52.2,55.3,55.9,50.2,53,1466,2030,3500,887,2065,2952,4962,8297,13258,4241,6959,11203,17183,8631,25814,505,1056,1562,802,1156,1957,18487,10849,29337,55940,58447,114383,9018,9962,18982,35663,36880,72543,26026,28406,54437
CED236,64446,65737,130182,27000,14359,41359,7292,16714,24006,2374,2887,5260,1722,1295,3015,38379,35263,73639,20894,25705,46604,4.5,3.7,4.1,59.6,53.6,56.6,56.9,51.7,54.3,1169,1595,2756,678,1752,2432,4218,7685,11910,3990,6809,10799,16664,8748,25409,596,1028,1623,737,1088,1821,17996,10859,28851,62414,62969,125386,9379,9783,19163,42073,42039,84110,25955,27325,53283
CED237,67553,69353,136907,29561,16586,46154,9881,16713,26585,2374,2828,5199,2927,2380,5309,44747,38507,83248,19380,27495,46877,6.5,6.2,6.4,66.2,55.5,60.8,61.9,52.1,56.9,4283,4199,8482,834,1715,2545,8959,11373,20331,6095,7354,13450,12100,6612,18710,513,715,1224,865,1350,2216,13473,8674,22155,70693,71754,142451,9452,9131,18587,47350,48822,96174,27903,27538,55447
CED238,63163,65083,128248,26574,13955,40528,8346,18098,26444,2548,3106,5650,1265,1024,2288,38726,36188,74916,20261,24775,45032,3.3,2.8,3.1,61.3,55.6,58.4,59.3,54,56.6,1613,2221,3839,868,2125,2990,5476,9359,14836,4287,7089,11375,16330,8851,25177,568,1010,1575,735,1059,1795,17636,10916,28551,60832,62355,123185,8523,9225,17749,41981,42466,84447,24045,25964,50010
CED239,64299,68191,132484,29476,21237,50710,11206,17192,28397,2349,3145,5491,2558,1972,4531,45590,43542,89137,15552,21650,37194,5.6,4.5,5.1,70.9,63.9,67.3,66.9,61,63.9,7217,8483,15700,1766,3483,5248,15039,17613,32652,5485,6179,11667,8714,4201,12915,329,521,851,728,962,1686,9771,5678,15451,59046,61900,120947,13270,14053,27325,36562,39489,76056,32012,32933,64937
CED297,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
CED301,71684,75525,147208,31300,19863,51168,8492,16553,25045,3369,4838,8211,3014,2765,5778,46186,44020,90204,21165,27123,48289,6.5,6.3,6.4,64.4,58.3,61.3,60.2,54.6,57.3,1695,2093,3791,744,1862,2602,5480,9365,14841,5338,8290,13620,20275,12817,33089,1196,1746,2949,1122,1635,2763,22595,16206,38801,70481,73051,143526,15231,16309,31542,40832,41350,82180,39214,42571,81778
CED302,62533,67575,130111,30375,20112,50492,8973,16821,25792,2659,4222,6879,2221,1859,4079,44230,43010,87236,16200,22441,38641,5,4.3,4.7,70.7,63.6,67,67.2,60.9,63.9,4926,5224,10151,1388,2564,3953,12467,15948,28415,5847,7472,13320,12797,6666,19468,602,880,1479,844,1388,2226,14242,8936,23172,63558,67335,130894,11833,12406,24236,39661,42229,81893,31636,33555,65191
CED303,61891,67367,129257,27709,17129,44842,7944,16623,24563,2748,4176,6926,1974,1586,3562,40380,39509,79888,19313,25257,44577,4.9,4,4.5,65.2,58.7,61.8,62,56.3,59.1,2086,2351,4436,876,1886,2761,6621,10201,16820,5868,8839,14701,18837,9689,28525,768,1065,1831,1059,1668,2733,20666,12418,33080,62517,65931,128448,10703,11485,22184,39632,41297,80926,29857,32569,62425
CED304,80975,82155,163129,39998,29693,69687,12698,19577,32275,4270,5893,10159,2977,2483,5453,59938,57634,117576,15368,19540,34906,5,4.3,4.6,74,70.2,72.1,70.3,67.1,68.7,9259,9153,18414,2475,4091,6570,23122,25951,49069,7074,8171,15248,10077,5839,15920,720,768,1487,911,1200,2108,11711,7804,19514,61953,62507,124460,23990,25188,49179,31008,31338,62344,51537,53096,104626
