CED_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
CED111,65021,68464,133487,25008,15618,40626,9378,16115,25490,3821,4834,8653,2147,1717,3867,40348,38281,78633,21589,26780,48365,5.3,4.5,4.9,62.1,55.9,58.9,58.8,53.4,56,5087,5254,10337,1163,2278,3439,10452,13333,23789,5474,7215,12686,15665,7613,23278,581,1058,1645,1047,1932,2979,17292,10607,27901,63552,65489,129037,11059,11478,22539,43452,45102,88557,27232,28172,55406
CED112,62456,68791,131245,22709,14236,36940,8780,15540,24323,3897,5120,9019,2100,1599,3704,37490,36493,73981,21474,28234,49717,5.6,4.4,5,60,53,56.4,56.7,50.7,53.5,1700,1951,3644,635,1436,2065,5481,8929,14409,4650,7597,12247,18061,10913,28972,692,1282,1971,1171,1997,3169,19925,14189,34113,63037,67197,130237,10189,10982,21173,41270,43639,84908,27685,30473,58157
CED113,69030,68997,138025,30707,19885,50591,9626,17276,26901,2450,2946,5402,1528,1212,2741,44314,41318,85631,19844,23318,43159,3.5,2.9,3.2,64.2,59.9,62,62,58.1,60.1,3948,3954,7898,1298,2522,3815,8328,11771,20102,5445,7583,13028,17602,8848,26453,620,1123,1742,1001,1692,2694,19222,11663,30886,65814,65454,131265,11305,11577,22883,43518,42816,86336,29789,30578,60364
CED114,69066,71283,140349,31391,17412,48802,7758,18310,26072,2088,2609,4695,1806,1406,3208,43037,39743,82783,20110,25979,46089,4.2,3.5,3.9,62.3,55.8,59,59.7,53.8,56.7,1461,1835,3296,674,1684,2361,5311,9193,14496,4136,6668,10802,18056,9963,28022,629,1241,1865,910,1533,2440,19593,12735,32326,66011,67480,133488,11162,11640,22798,43897,44311,88210,28968,30695,59664
CED115,69523,72885,142411,17076,12462,29542,7017,9237,16249,6059,4623,10685,3020,2324,5346,33174,28645,61816,30867,38670,69540,9.1,8.1,8.6,47.7,39.3,43.4,43.4,36.1,39.7,1998,2113,4110,355,703,1055,7791,9196,16993,4740,6179,10921,9223,5431,14651,535,963,1501,975,1374,2347,10727,7770,18498,69833,71788,141617,8863,9232,18090,48187,49865,98053,26262,27115,53377
CED116,67584,70911,138495,21626,12827,34460,9091,16687,25778,2418,2957,5370,1770,1356,3132,34912,33826,68736,28609,32925,61536,5.1,4,4.6,51.7,47.7,49.6,49,45.8,47.4,2564,3012,5570,979,2190,3164,6909,10046,16956,5098,7982,13076,19935,9742,29677,667,1360,2028,1276,2263,3539,21886,13364,35243,63558,66136,129688,10678,11397,22076,42228,43616,85848,28457,30698,59154
CED117,61170,65217,126391,29038,25372,54413,8843,13212,22056,3489,4104,7596,2016,1698,3713,43390,44383,87773,14699,17998,32694,4.6,3.8,4.2,70.9,68.1,69.4,67.6,65.5,66.5,8098,10195,18287,1736,2959,4690,18018,21239,39255,5387,6319,11706,6523,3367,9890,372,528,901,845,1139,1987,7742,5033,12774,54357,57146,111505,14026,14991,29017,32964,35489,68452,32211,33758,65973
CED118,78078,78157,156237,33934,24418,58351,9677,15061,24738,6873,5651,12529,2654,2535,5188,53141,47670,100810,21278,26921,48198,5,5.3,5.1,68.1,61,64.5,64.7,57.7,61.2,8608,8337,16946,1208,1805,3006,15665,19016,34678,7060,7843,14906,11997,6670,18669,543,933,1482,1143,1643,2789,13683,9255,22939,79566,79985,159555,14941,14850,29789,47805,48327,96134,40491,40589,81079
CED119,58074,61052,119131,26887,17697,44582,7658,14840,22501,4181,4728,8909,1381,1117,2500,40109,38386,78496,16131,20617,36746,3.4,2.9,3.2,69.1,62.9,65.9,66.7,61,63.8,3662,4059,7717,963,1954,2923,9763,13001,22764,6000,7935,13935,15165,6260,21424,407,906,1315,1206,2071,3281,16781,9236,26019,62750,64954,127703,7700,7816,15510,45475,46993,92469,21197,21948,43139
CED120,66820,69311,136128,29958,18325,48284,8850,16903,25753,4303,5033,9332,1486,1283,2772,44602,41540,86144,18882,24391,43276,3.3,3.1,3.2,66.7,59.9,63.3,64.5,58.1,61.2,2007,2729,4737,715,1688,2402,5672,9780,15452,5020,8275,13300,21240,10116,31358,540,1267,1811,1212,2020,3232,22993,13410,36400,69447,70932,140381,10211,10621,20834,45712,46006,91716,28869,30738,59606
CED121,69644,70841,140489,29361,15867,45223,8053,17640,25691,2774,3627,6396,2224,1724,3953,42404,38862,81270,23790,28686,52473,5.2,4.4,4.9,60.9,54.9,57.8,57.7,52.4,55,1662,1892,3551,600,1367,1969,4931,8332,13266,4555,7223,11784,22518,12467,34982,796,1483,2276,1120,2072,3190,24428,16020,40448,67783,69775,137557,11819,12166,23990,43617,44322,87938,31386,33114,64493
