CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED101,2999,4271,7266,6264,7415,13683,5,12,24,1421,1787,3210,8,9,12,17373,19477,36854,47,57,100,6696,7058,13754,150,216,370,144,155,295,71,97,177,1002,1002,2008,386,480,867,484,617,1096,1012,1182,2189,85,120,207,58,86,148,1009,1361,2368,2293,2454,4746,137,153,286,38649,43742,82396,3899,3298,7201,5297,4933,10226,86,83,173,6,3,10,237,242,478,211,252,464,461,492,952,23107,20760,43866,195,116,319,77,120,202,23384,20996,44383,4434,4521,8953,168,182,354,79381,82527,161904
CED102,3947,5382,9330,3116,3437,6553,37,24,62,617,709,1326,4,6,10,17015,18306,35317,66,65,134,11403,11921,23326,175,222,402,77,102,184,66,87,152,698,718,1416,348,401,753,394,479,866,799,888,1685,70,95,167,86,111,195,620,725,1341,2241,2670,4911,31,42,74,37861,40998,78858,6206,4914,11126,7825,7036,14859,179,182,361,0,8,8,128,117,252,274,257,532,398,382,785,26956,25363,52319,268,211,485,97,157,256,27322,25741,53064,6545,6347,12890,225,271,490,90520,91250,181768
CED103,3553,4998,8549,5937,6897,12835,64,74,142,1736,2055,3790,158,192,348,18575,20980,39556,75,82,156,1795,1872,3669,108,150,258,80,87,168,133,155,291,948,994,1942,531,606,1137,792,937,1728,2882,3444,6332,33,49,88,135,169,305,1514,1924,3435,2517,2877,5391,48,56,109,38068,43601,81673,5035,4714,9757,3271,2913,6181,242,247,493,5,3,8,366,368,742,388,458,849,762,828,1594,36410,34318,70726,292,206,501,106,156,264,36808,34679,71488,5433,5285,10713,301,366,664,93477,97634,191109
CED104,1932,2547,4480,9582,10978,20552,8,9,15,1613,1830,3442,162,165,328,15923,17283,33204,74,80,155,889,901,1795,127,136,264,116,129,247,190,225,413,205,210,421,331,379,707,838,942,1782,1651,1889,3542,63,82,146,358,449,811,2031,2554,4593,1868,2108,3975,70,100,167,36106,40454,76560,3521,3638,7163,1349,1330,2680,155,172,321,4,0,3,322,325,645,330,383,713,657,705,1364,27444,24813,52252,264,226,493,91,149,241,27795,25187,52985,3022,2913,5937,151,205,358,74691,77153,151847
CED105,6650,7982,14637,2540,2907,5446,36,28,60,826,923,1755,8,13,17,15521,16432,31957,33,41,72,3863,3971,7837,131,179,302,191,191,383,69,82,152,397,411,809,338,355,694,449,574,1021,781,866,1648,48,74,119,129,144,278,826,894,1724,2061,2147,4206,87,76,162,28329,30313,58639,4238,3287,7529,31005,28565,59570,16,25,36,0,5,5,243,189,437,294,298,589,542,490,1032,15754,12620,28375,101,72,174,55,75,127,15912,12765,28675,9581,8453,18033,221,196,419,96501,92068,188568
CED106,2351,3624,5977,10171,11997,22173,9,10,17,910,1222,2132,6,0,6,13154,15000,28154,72,61,137,793,832,1625,54,86,138,55,60,116,147,231,381,271,274,551,354,427,785,537,660,1197,1877,2133,4011,46,43,92,238,316,547,2294,3141,5431,1694,2110,3808,51,63,116,32740,38669,71410,3673,3629,7307,1135,1130,2260,1589,1593,3187,0,0,0,430,390,818,385,445,825,818,829,1644,34724,33234,67960,281,242,523,77,134,211,35088,33611,68694,3700,4098,7805,319,344,660,81408,87528,168939
CED107,453,644,1101,14033,15973,30010,0,0,0,1005,1139,2144,337,346,675,20739,22378,43114,35,49,81,308,275,586,210,251,465,88,83,169,132,151,284,28,22,48,408,440,849,633,771,1403,2170,2418,4585,137,187,325,161,192,353,3083,3729,6809,1556,1661,3219,43,52,87,45093,50120,95212,638,576,1218,452,350,803,53,41,100,28,29,61,198,177,378,216,320,536,442,533,968,28982,25845,54824,249,197,451,69,122,188,29297,26161,55466,8618,6312,14931,90,80,176,85149,84821,169971
CED108,1397,1660,3063,6359,7412,13770,106,90,199,998,1178,2174,12,15,33,25258,27699,52954,245,250,489,1372,1483,2856,290,383,671,666,733,1395,82,85,161,1224,1243,2465,1073,1163,2231,1601,1762,3360,1228,1470,2697,60,91,155,547,633,1176,1299,1425,2724,3862,4209,8072,86,116,208,46352,51437,97791,11139,10914,22055,9864,9566,19430,27,19,50,9,16,19,4209,3415,7626,397,473,869,4614,3900,8512,18335,16292,34633,140,110,246,97,105,203,18571,16508,35080,7869,7795,15669,175,249,421,100009,102064,202071
CED109,798,1388,2176,9299,11281,20586,14,6,21,777,902,1682,0,3,5,18657,21076,39729,30,42,76,7294,7690,14982,130,180,308,51,47,94,95,140,237,797,772,1563,202,256,459,565,687,1254,985,1181,2164,49,90,142,23,33,61,1115,1572,2687,1482,1689,3178,50,53,103,41629,47698,89323,494,503,1000,1330,1320,2650,152,159,309,7,5,6,74,62,142,124,165,290,208,231,435,23221,20837,44058,194,153,352,68,154,223,23489,21140,44632,3917,3995,7914,105,121,225,72115,76556,148670
CED110,624,905,1535,12672,15287,27964,0,0,0,899,999,1893,7,7,15,14715,17397,32116,43,58,101,216,219,431,442,579,1018,60,66,126,142,217,357,35,39,80,429,470,894,891,1143,2037,2171,2593,4767,229,338,570,498,625,1121,2306,3187,5493,1807,2289,4101,47,60,109,37624,45575,83200,425,385,815,284,267,551,87,81,168,49,60,110,338,294,626,469,652,1116,856,1000,1856,35048,33383,68432,298,215,514,163,291,457,35507,33891,69393,7924,7188,15115,161,118,278,83489,89410,172902
