CED_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
CED101,39,2494,781,435,2228,0.9,1919,2.8
CED102,36,2383,812,480,2156,1,1933,2.6
CED103,37,2600,941,470,2484,1,2120,2.6
CED104,42,2817,961,550,2933,0.8,2604,3
CED105,33,2108,557,400,1544,1.1,1450,3.2
CED106,41,3100,1060,550,3150,0.9,2637,2.8
CED107,40,1647,760,300,1967,0.7,1498,2.4
CED108,34,2200,748,380,2027,0.9,1862,3.1
CED109,42,2750,990,500,2664,0.9,2132,2.5
CED110,47,1625,629,350,1524,0.8,1220,2.3
CED111,39,2167,782,390,2253,0.8,1740,2.5
CED112,41,1954,717,390,1919,0.8,1506,2.6
CED113,43,1820,882,320,2186,0.8,1729,2.4
CED114,42,1300,748,250,1816,0.7,1388,2.4
CED115,38,1950,520,370,1529,1,1400,3
CED116,49,1733,661,350,1601,0.7,1305,2.3
CED117,38,3000,1246,500,3264,1,2384,2.3
CED118,35,2500,931,450,2483,0.9,2324,3.1
CED119,39,2600,997,490,2725,0.8,2392,2.9
CED120,38,2167,854,400,2262,0.8,1964,2.8
CED121,39,1750,734,350,1960,0.8,1596,2.6
CED122,36,2862,1039,550,2725,1,2192,2.4
CED123,35,2167,866,395,2177,0.8,1865,2.7
CED124,51,1625,600,330,1448,0.7,1177,2.3
CED125,34,2200,805,400,2097,0.8,1901,3
CED126,43,3033,1018,600,2908,0.9,2420,2.7
CED127,42,2167,838,400,2253,0.8,1858,2.6
CED128,36,2167,602,410,1786,1,1591,3.1
CED129,38,2990,1024,560,2928,0.8,2713,3.1
CED130,41,1395,692,280,1685,0.7,1302,2.4
CED131,37,2000,868,400,2303,0.8,1801,2.4
CED132,39,3033,1395,561,3594,1,2648,2.3
CED133,46,1517,633,320,1543,0.8,1232,2.4
CED134,40,1300,760,250,1829,0.8,1413,2.4
CED135,34,2167,813,420,2140,1.1,1914,2.7
CED136,39,1733,722,365,1859,0.8,1493,2.5
CED137,35,2500,955,510,2456,1.1,2165,2.5
CED138,46,1950,697,435,1764,0.8,1371,2.4
CED139,40,1300,738,260,1810,0.7,1375,2.4
CED140,44,2153,762,400,2087,0.8,1596,2.4
CED141,43,1950,744,375,2001,0.8,1532,2.5
CED142,33,2700,1229,560,3029,1.1,2221,1.9
CED143,40,3300,1321,625,3643,0.9,2866,2.5
CED144,36,2167,626,400,1745,1.1,1540,2.9
CED145,38,3500,1510,650,3991,1,2860,2.2
CED146,34,2200,671,420,1986,0.9,1872,3.3
CED147,41,2080,731,410,1981,0.8,1604,2.6
CED197,52,0,1687,0,0,0,1499,0
CED201,40,2000,796,400,2194,0.8,1881,2.7
CED202,40,1500,734,295,1876,0.7,1445,2.4
CED203,42,1452,732,300,1860,0.7,1433,2.4
CED204,37,1800,690,350,1879,0.9,1668,2.9
CED205,32,1833,623,369,1768,0.9,1678,3.2
CED206,40,1950,811,380,2204,0.8,1879,2.7
CED207,39,2400,736,440,2218,0.8,1829,2.6
CED208,37,2100,883,381,2390,0.9,1842,2.4
CED209,40,1820,818,400,2161,0.7,1805,2.6
CED210,38,1700,763,320,2039,0.8,1529,2.4
CED211,40,2070,832,392,2308,0.8,1876,2.6
CED212,40,1896,818,360,2169,0.8,1715,2.5
CED213,48,1950,754,375,1964,0.7,1494,2.3
CED214,36,1850,715,350,1886,0.9,1629,2.6
CED215,35,2100,935,392,2422,0.8,2156,2.8
CED216,45,1300,647,250,1598,0.7,1240,2.3
CED217,43,2800,1066,490,3194,0.8,2374,2.5
CED218,35,1900,742,380,2065,0.9,1923,3.1
CED219,35,1733,777,341,2008,0.8,1736,2.8
CED220,37,2450,1210,420,3179,0.9,2197,2.2
CED221,32,1900,788,380,1988,0.9,1887,3.1
CED222,37,2000,696,382,1892,0.9,1668,2.7
CED223,45,1408,745,271,1794,0.7,1376,2.3
CED224,40,2167,891,406,2440,0.8,1962,2.6
CED225,41,2167,927,400,2583,0.8,2105,2.6
CED226,40,2938,1054,451,3113,0.8,2329,2.5
CED227,34,2000,852,375,2170,0.8,1973,2.9
CED228,32,1814,801,355,2033,0.8,1888,3
CED229,36,2167,1236,421,2963,0.9,2070,2
CED230,45,1083,665,230,1590,0.7,1220,2.3
CED231,39,2167,931,387,2515,0.8,1952,2.4
CED232,36,2000,881,381,2303,0.8,2092,2.9
CED233,31,2100,1044,400,2622,1,1837,1.9
CED234,41,2383,768,441,2272,0.8,1913,2.7
CED235,46,1500,667,290,1676,0.7,1289,2.3
CED236,43,1300,687,255,1682,0.8,1324,2.4
CED237,36,1812,694,369,1872,0.8,1669,2.9
CED238,45,1300,722,254,1770,0.7,1347,2.3
CED239,35,2026,903,400,2382,0.9,1924,2.4
CED297,48,2167,2543,0,0,0,2250,0
CED301,35,1517,760,320,1860,0.8,1570,2.7
CED302,38,2167,904,425,2427,0.8,2086,2.7
CED303,43,1950,786,420,2131,0.7,1763,2.6
CED304,34,2167,1132,420,2947,0.9,2111,2.1
CED305,39,1517,845,280,2122,0.8,1728,2.5
CED306,40,1625,820,320,2097,0.8,1665,2.5
CED307,38,1918,882,375,2310,0.8,2055,2.8
CED308,39,1950,768,440,1957,0.8,1675,2.6
CED309,43,1900,757,440,1933,0.8,1592,2.5
CED310,43,1940,743,445,1907,0.8,1576,2.5
CED311,40,1500,738,260,1915,0.8,1515,2.5
CED312,34,1733,768,375,1908,0.8,1680,2.8
CED313,34,2167,1094,430,2840,0.9,2182,2.3
CED314,38,1517,754,303,1887,0.7,1487,2.5
CED315,35,1517,834,300,2042,0.8,1649,2.5
