CED_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED221,92,340,937,869,582,391,80,7,0,3298,182,541,1477,1405,1011,696,134,15,5,5461,3942,8530,22615,24112,16619,10042,1959,138,11,87972
CED222,80,354,907,856,835,496,134,16,0,3671,132,608,1911,1434,1112,796,194,35,15,6227,3361,9885,25751,21162,17511,11786,2967,276,24,92720
CED223,139,252,565,495,520,452,170,20,0,2620,185,237,462,517,617,505,243,88,22,2884,4842,5783,13382,14128,15794,14755,5252,950,109,74992
CED224,87,250,551,663,642,501,160,26,0,2877,104,289,787,914,928,630,164,37,8,3861,3850,6385,16066,19784,19202,12712,3467,385,33,81888
CED225,89,238,517,551,588,474,152,15,4,2630,82,225,554,676,653,453,168,36,8,2854,3740,6826,15725,18586,18172,13228,4044,482,39,80830
CED226,94,242,427,325,428,380,139,23,6,2064,113,295,715,673,695,480,174,39,11,3200,3868,8820,17387,16221,18147,13516,4799,814,75,83665
CED227,134,310,923,768,643,394,107,15,0,3298,135,356,1049,1132,842,562,139,41,9,4272,4572,7541,20522,21517,16928,10255,2440,309,37,84125
CED228,72,326,788,708,516,363,86,4,0,2871,136,567,1614,1397,809,434,85,11,5,5055,3703,8681,25299,27578,15633,9712,1946,132,11,92694
CED229,47,261,973,612,480,351,115,21,4,2874,59,324,1474,1067,673,436,216,39,6,4305,1972,7982,33575,23082,16502,11155,4205,679,60,99209
CED230,145,274,606,467,394,449,161,26,0,2523,188,284,699,517,651,591,227,132,20,3313,4131,5759,14428,13087,14696,14845,4921,929,119,72910
CED231,52,181,628,554,492,407,130,24,4,2476,89,252,787,729,681,455,147,23,0,3178,3248,7164,19450,18476,16677,11230,3053,300,20,79615
CED232,137,247,746,760,658,449,127,8,0,3135,128,282,752,845,701,446,126,38,5,3327,4473,6524,16221,19697,17554,11592,2963,432,32,79482
CED233,53,369,1330,678,390,312,94,22,0,3251,105,691,2136,931,505,295,87,25,4,4782,2955,16334,52641,24644,13309,8638,2779,456,25,121778
CED234,76,234,532,596,724,520,158,28,0,2860,94,329,866,861,789,551,182,47,13,3733,3810,7720,16190,18507,18355,13532,3963,661,52,82794
CED235,117,267,581,479,552,510,151,19,0,2685,172,180,480,446,531,477,204,60,22,2565,3745,4793,11842,12013,13372,12480,4221,703,75,63235
CED236,156,301,629,511,587,501,148,29,6,2859,186,263,585,561,634,506,201,66,26,3022,4532,5930,13662,13048,14886,13469,4349,660,86,70626
CED237,65,274,720,723,594,417,93,3,0,2892,114,407,1117,1065,828,577,136,26,8,4264,3276,7692,19430,19699,14993,10435,2252,156,11,77938
CED238,144,252,486,423,471,388,165,16,3,2345,188,214,491,413,544,486,269,113,32,2746,4566,5415,13231,13034,15131,14771,5359,992,126,72622
CED239,36,267,802,641,495,337,88,11,0,2680,71,357,1182,814,517,329,72,23,8,3371,2436,8347,27305,20978,14458,8983,1911,180,14,84604
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,4,16,44,56,44,5,0,0,170
CED301,140,427,951,677,580,420,112,17,0,3323,252,482,1103,949,732,501,117,37,7,4175,5383,8225,20010,19096,16850,11983,2542,301,25,84422
CED302,117,303,643,715,667,422,106,16,0,2991,137,313,741,872,743,440,131,40,14,3435,4943,7335,16351,20446,18844,11976,2885,343,32,83160
CED303,206,313,666,707,733,548,168,20,0,3377,175,306,606,762,782,554,168,24,9,3400,5335,6369,12968,16150,17662,13990,3476,341,21,76324
CED304,142,451,1147,606,515,337,108,5,0,3316,134,584,1416,937,661,394,123,29,7,4292,4437,14176,35265,23351,19162,11971,3228,493,36,112122
CED305,257,354,797,662,565,449,148,13,0,3243,224,280,607,532,522,405,141,36,11,2756,5190,6639,15959,16417,16153,13131,3292,367,46,77191
CED306,276,408,826,687,665,493,150,28,0,3523,247,374,666,604,674,514,187,60,18,3350,5371,7254,15981,15992,16651,13693,3805,505,43,79293
CED307,180,350,737,731,773,503,147,9,0,3436,159,287,623,776,735,468,112,16,3,3188,5535,7060,15121,18329,19289,12454,2719,265,8,80789
CED308,156,417,875,849,792,581,161,21,0,3853,233,462,1095,1061,984,679,226,53,10,4797,5447,8555,19372,19780,19558,13981,4040,503,34,91263
CED309,168,301,705,736,692,488,134,14,0,3239,191,296,700,723,705,490,151,53,6,3318,5303,6237,14375,16950,18214,14067,3776,405,27,79359
CED310,195,333,730,629,626,441,121,11,0,3102,271,343,736,727,732,539,162,44,12,3568,5876,7058,15271,16639,17672,13326,3564,426,31,79859
CED311,197,320,605,527,479,415,105,13,0,2658,237,304,656,677,685,512,199,88,17,3372,4689,5760,14076,15276,15802,13078,3550,712,65,73017
CED312,199,437,1032,890,757,534,122,15,0,3989,247,552,1291,1089,896,604,162,20,4,4867,5382,9015,20836,20123,17800,12106,2835,204,14,88320
CED313,126,347,973,651,539,342,97,15,4,3098,109,442,1103,886,652,359,112,30,11,3696,4727,12139,30104,23469,19084,11242,2701,333,33,103835
CED314,231,350,752,621,556,439,151,23,4,3139,186,315,580,555,497,361,136,55,13,2710,5373,7467,15859,15025,14833,11745,3337,537,70,74247
CED315,227,409,809,627,540,401,113,22,0,3140,212,359,697,578,531,414,128,24,0,2937,5555,8959,17957,16184,15324,11691,2978,277,11,78929
CED316,119,237,487,497,494,408,110,14,0,2371,191,236,482,469,528,403,126,59,16,2509,4071,4744,10648,11327,12773,11247,2871,380,33,58090
CED317,211,337,678,631,559,493,163,21,0,3096,276,285,678,568,644,558,284,102,23,3420,4769,6005,15187,14790,16319,14943,4879,819,71,77781
CED318,154,335,674,724,737,519,168,19,0,3333,220,285,702,648,634,491,145,57,7,3182,4700,6192,16643,17718,18824,14676,4171,518,42,83482
CED319,122,323,792,674,549,457,141,20,0,3080,123,337,818,759,612,375,85,33,9,3155,4286,7980,21081,20310,17268,11088,2680,291,27,84995
CED320,173,380,828,657,693,467,118,12,0,3333,225,453,937,810,822,554,132,36,9,3989,5475,7595,16855,16457,16833,12373,2875,255,24,78752
CED321,249,260,485,437,417,392,159,20,0,2420,246,270,618,576,639,537,288,117,18,3316,4388,5422,12554,12492,14204,13236,4898,1073,109,68370
CED322,122,282,770,774,634,387,113,9,0,3101,177,357,879,929,815,537,156,33,9,3894,5076,6973,16519,18329,17661,12327,3703,405,33,81035
CED323,136,428,994,779,639,470,150,24,4,3635,170,508,1218,1025,819,624,243,69,15,4689,4422,9166,21793,18012,17467,13427,4632,698,56,89674
CED324,93,335,738,682,510,358,83,6,0,2813,136,443,1222,972,635,452,130,35,0,4027,3797,9101,21763,20327,15895,10258,2668,342,14,84164
CED325,148,415,1013,918,782,437,119,10,0,3843,224,498,1121,1131,856,597,137,22,7,4593,4653,7955,19644,20980,17529,11249,2546,215,16,84778
CED326,191,357,784,729,686,452,149,16,0,3365,190,345,917,968,734,485,141,34,9,3827,5180,7394,17531,20865,18539,12397,3044,310,29,85290
CED327,150,375,800,765,635,474,118,12,0,3328,227,548,1212,1187,866,556,149,17,0,4766,4647,7619,17918,20251,16026,11125,2679,219,3,80495
CED328,164,323,482,499,501,337,113,33,3,2451,149,317,517,645,547,310,106,26,3,2620,5797,10126,15944,19245,18832,11009,3477,525,43,85005
CED329,160,236,498,490,560,462,113,17,0,2545,177,214,486,585,628,516,227,68,18,2922,4192,4152,8905,11237,14229,12538,3798,600,48,59694
CED330,237,373,776,819,769,614,186,16,0,3780,256,374,887,970,1005,681,200,55,18,4440,5907,6754,15543,18267,19329,14081,3723,561,45,84215
CED397,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,19,27,27,17,6,0,0,99
CED401,115,429,1027,768,710,487,176,21,0,3730,99,432,970,699,542,356,140,33,13,3279,4210,11319,29141,22572,17653,12799,3860,462,45,102059
CED402,168,280,599,500,595,477,173,29,0,2824,186,237,511,480,591,524,236,95,22,2887,4953,6049,13888,14483,16738,15514,5102,889,78,77704
CED403,151,296,691,605,679,530,198,32,3,3181,88,240,495,520,467,329,122,60,18,2329,4584,8302,18769,18997,17852,13900,4007,548,47,86998
CED404,177,279,568,499,565,477,192,22,9,2787,144,210,446,439,499,543,214,102,14,2606,4187,5770,14690,14286,16395,15718,4728,774,66,76615
CED405,120,364,870,726,713,580,188,38,0,3599,111,263,621,607,605,449,138,48,8,2859,4165,7926,19262,18040,17425,14178,3408,414,38,84855
CED406,145,346,809,792,739,534,134,16,0,3524,108,220,497,496,544,363,88,26,5,2349,4631,6938,16366,17291,16545,13294,2935,214,17,78243
CED407,132,388,859,706,715,555,169,12,0,3543,103,271,673,658,563,414,111,33,9,2829,4511,7927,17813,18786,17044,12859,2849,245,14,82052
CED408,140,301,609,635,710,561,210,25,0,3196,153,175,324,469,545,455,214,88,15,2434,4924,6093,12445,15953,18725,15651,5081,799,70,79738
CED409,142,364,894,690,537,437,116,12,0,3189,156,396,927,739,598,510,118,33,6,3484,4293,8204,18801,16674,14711,11648,2241,192,20,76777
CED410,104,349,734,638,740,585,177,34,0,3372,92,285,593,612,516,345,148,47,10,2634,4494,8655,19588,20601,19182,14365,4460,654,53,92054
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22
CED501,201,335,841,679,600,386,88,19,0,3138,227,386,945,920,818,544,129,21,7,4004,5302,7618,18131,18888,17221,11776,2334,172,14,81452
CED502,168,404,897,866,669,450,131,13,0,3595,222,495,1248,1251,873,607,151,29,4,4869,4337,7733,18899,21690,15604,10864,2717,230,18,82087
CED503,213,287,664,535,541,442,124,17,4,2812,218,286,613,642,612,482,167,61,11,3101,4587,5609,12268,13651,14526,11972,3196,401,34,66257
CED504,168,413,1054,917,766,563,203,29,6,4111,188,513,1219,1122,900,659,200,35,7,4830,4135,8186,20063,18929,16405,13172,3745,362,27,85030
CED505,161,293,572,489,444,336,158,36,3,2494,165,301,759,794,810,490,205,82,11,3620,4860,8038,18701,19162,18581,13207,4829,931,84,88387
CED506,245,371,879,832,699,576,178,16,0,3793,256,385,956,912,914,760,293,76,13,4561,4838,7663,24626,25405,24525,21002,6095,802,69,115034
CED507,171,285,575,568,618,432,134,9,0,2795,193,222,496,609,575,443,177,58,13,2793,5045,4988,12662,15915,16575,13081,3894,488,49,72696
CED508,202,381,827,710,660,496,128,12,0,3417,183,372,979,1021,835,532,200,30,7,4156,4430,7670,19485,20153,17624,12942,3552,345,20,86216
CED509,197,425,933,825,723,522,169,18,0,3817,203,418,864,951,859,574,192,39,11,4123,5260,7300,17560,19313,17785,12975,3526,450,30,84202
CED510,179,348,608,679,652,552,184,13,0,3216,184,294,581,715,760,613,192,35,3,3379,5562,7301,12942,17999,19611,15681,4368,378,23,83876
CED511,241,346,660,598,608,497,156,15,4,3117,243,274,551,534,614,605,266,94,23,3195,4549,6249,15986,16867,18492,17022,5635,1025,106,85925
CED512,216,468,1068,907,808,506,102,16,0,4083,220,442,901,1056,853,510,104,25,4,4113,5681,8285,18736,21048,19397,11863,2532,219,13,87779
CED513,108,340,987,801,570,475,157,27,0,3467,106,405,1276,973,679,487,169,40,5,4134,3337,9046,29763,23987,17857,12971,3819,454,31,101262
CED514,159,482,1046,802,600,453,169,26,0,3740,156,522,1448,1054,775,504,181,36,17,4694,4302,10974,27469,22148,16757,12651,3854,417,41,98609
CED515,172,300,579,634,615,499,202,33,0,3027,211,409,785,955,914,638,221,57,11,4199,5580,8542,15117,20122,19898,14709,4650,543,38,89199
CED597,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
CED601,93,217,467,356,373,308,104,8,0,1930,82,157,318,285,269,224,84,33,10,1450,2804,4409,11165,9639,10233,8692,2414,294,36,49690
CED602,99,213,453,352,394,301,88,10,0,1903,67,109,245,236,257,241,100,53,17,1318,2884,4025,9442,8752,10057,9113,2451,342,32,47108
CED603,40,172,580,412,322,282,92,29,0,1922,55,120,469,246,241,184,60,17,4,1396,2309,4988,16075,11399,10421,8115,2390,304,13,56014
CED604,98,157,482,405,390,305,90,11,0,1934,50,98,291,241,260,191,85,29,5,1243,2466,3936,11483,11509,10968,8837,2361,256,22,51833
CED605,102,214,440,403,360,312,95,10,0,1943,79,142,315,305,324,304,145,44,16,1669,2503,3957,9814,9660,10523,9867,2769,415,43,49555
CED697,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,58,76,70,53,12,0,0,277
CED701,112,169,508,467,399,339,116,10,0,2118,139,230,548,459,425,310,134,22,0,2276,2447,4499,13478,12120,10992,9197,2720,256,12,55722
CED702,110,187,630,555,395,317,91,8,0,2297,111,265,703,562,411,309,113,20,8,2500,2623,5139,16928,14206,11606,8459,2503,227,23,61707
CED797,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,4,0,0,39,0,17,42,59,79,62,11,0,0,282
CED801,169,291,598,520,457,343,115,12,0,2504,69,159,429,366,238,165,46,18,4,1488,4206,7143,18889,18942,16683,11360,2929,342,21,80503
CED802,161,315,459,367,320,217,89,18,0,1950,78,198,467,276,231,122,44,11,8,1438,4681,11275,22796,17438,14497,9161,2666,389,48,82944
CED803,149,341,732,618,506,253,95,10,0,2696,70,215,686,495,286,137,42,8,3,1933,4165,8174,23492,23504,16701,8288,1929,174,9,86430
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
