CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
CED101,79381,82527,161904,4658,4176,8829,9638,9184,18828,4739,4376,9119,5688,5271,10955,11433,11201,22634,10723,11393,22120,9847,10864,20717,9935,10620,20555,7174,7886,15058,3868,4828,8694,1670,2723,4397,168,182,354,78990,81664,160654,391,859,1253,720,822,1542,23,15,38,5,18,31,750,855,1607,45042,45232,90272,31133,33944,65075,39816,39566,79379,36084,39158,75245,64632,67344,131975,1426,1284,2712,9149,8696,17846,3970,3834,7801,2779,2737,5521,2965,4000,6962,42076,44358,86436,3276,2885,6163,10434,10739,21174,2774,3114,5889,2333,3015,5356,824,1242,2062
CED102,90520,91250,181768,5109,4731,9839,9053,8575,17623,4386,3875,8259,7238,6444,13685,17718,17388,35102,13741,13503,27240,10632,11421,22049,9367,9941,19307,7045,7702,14746,4344,5068,9415,1893,2595,4488,225,271,490,89062,89620,178685,1460,1624,3084,608,652,1256,19,24,42,20,25,45,644,698,1341,42462,40597,83060,43634,46388,90025,34748,32320,67070,50135,53178,103320,66912,67896,134804,1483,1413,2892,8486,8050,16535,3627,3394,7015,3924,3451,7376,5206,6447,11650,51662,52368,104027,3446,3031,6477,9000,8481,17478,2377,2333,4710,3275,4370,7643,1355,1937,3289
CED103,93477,97634,191109,5413,5144,10562,11363,10633,21991,4811,4464,9277,6371,5999,12367,15974,16755,32724,15457,15879,31336,11003,11905,22907,10047,11098,21146,7503,8360,15864,3817,4732,8549,1722,2661,4384,301,366,664,91825,95846,187669,1649,1788,3439,440,415,857,24,18,37,14,10,29,471,452,924,44522,43258,87783,45684,50898,96578,42037,40801,82838,47411,52668,100080,70367,71499,141865,1763,1611,3379,10892,10216,21100,4334,4061,8394,3653,3536,7184,4769,6564,11326,58513,61658,120170,2901,2738,5637,7120,7971,15089,2145,2398,4543,1639,2103,3739,687,973,1663
CED104,74691,77153,151847,3566,3452,7021,11371,10286,21658,5501,5041,10545,4607,4065,8678,6169,6289,12459,9381,10543,19926,10909,11609,22513,9703,10296,20000,7465,8128,15590,4454,4969,9420,1564,2463,4029,151,205,358,74055,75893,149949,635,1258,1893,515,454,967,17,9,26,7,12,18,535,476,1007,47204,46986,94190,25946,28496,54440,50809,50600,101410,22036,24425,46459,65993,67275,133265,1317,1312,2634,11078,10023,21099,4868,4592,9462,2489,2347,4836,2119,3338,5454,42302,44570,86875,3061,2938,6001,8813,9641,18455,2325,2457,4786,1091,1204,2294,314,406,718
CED105,96501,92068,188568,6812,6487,13294,12969,12347,25324,6120,5571,11694,8233,7092,15331,16705,14910,31615,12867,11978,24845,10834,10637,21467,10106,10023,20129,6823,7081,13911,3607,3820,7435,1415,2117,3529,221,196,419,95082,90846,185930,1414,1224,2643,473,482,955,17,24,47,16,18,33,508,522,1032,40699,40155,80856,48273,45148,93424,23591,22008,45601,64173,62217,126388,69397,70069,139460,1675,1505,3176,11471,11033,22503,4694,4607,9307,3912,3586,7494,4243,4796,9040,43570,41967,85534,3732,3308,7036,10707,9698,20408,3530,3325,6852,4557,4954,9507,2861,3356,6214
CED106,81408,87528,168939,4340,3892,8229,12282,11679,23959,5700,5401,11094,4861,4495,9359,7677,8261,15930,11515,13202,24718,11508,13018,24528,9483,10148,19632,7142,8327,15462,4755,5763,10513,2150,3349,5498,319,344,660,80191,85527,165716,1220,2000,3221,209,181,396,13,13,27,8,9,17,238,201,439,43394,43680,87072,35928,41491,77420,48965,49381,98346,29921,35270,65193,66609,69698,136304,1613,1518,3129,11931,11374,23311,5277,5084,10365,2977,2878,5859,2746,4406,7160,52363,56388,108746,2566,2907,5480,4584,6151,10732,1751,2041,3794,895,1089,1980,307,467,774
CED107,85149,84821,169971,5202,4820,10021,11905,11188,23097,5466,4967,10432,4863,4417,9285,10339,10259,20598,9927,9860,19786,10502,10711,21208,10835,11025,21864,9389,9399,18790,5207,5652,10863,1514,2513,4029,90,80,176,80773,82439,163212,4377,2388,6757,6540,6165,12707,106,105,211,144,126,266,6785,6396,13177,71032,71045,142080,7966,7980,15943,73601,75169,148774,4147,4292,8441,74788,76363,151146,1491,1438,2921,10923,10291,21217,3690,3674,7360,1159,1485,2644,1942,3567,5514,25711,31852,57565,4957,4677,9631,20927,18769,39698,5616,5276,10891,3395,2847,6238,284,220,506
CED108,100009,102064,202071,8118,7700,15819,15754,15150,30909,6497,6074,12573,7200,6638,13833,14723,16045,30767,15899,15845,31748,11544,11667,23212,9729,10152,19886,6687,7565,14252,3011,3594,6605,834,1636,2474,175,249,421,99344,100854,200198,666,1208,1870,3838,4260,8100,70,89,159,98,95,192,4004,4442,8446,49780,49544,99324,43659,45733,89392,46642,46127,92767,46136,48464,94600,79180,80332,159514,1986,1856,3847,14259,13692,27951,4696,4686,9380,2552,2688,5246,3297,4942,8240,43610,45771,89381,4290,4284,8566,13820,13330,27154,4232,4269,8501,3183,3783,6961,1003,1424,2427
CED109,72115,76556,148670,4275,3919,8194,9022,8319,17344,4366,4158,8526,4127,4074,8203,8682,9267,17953,9219,9992,19203,9932,10653,20593,9043,9598,18641,7010,7942,14950,4475,5484,9958,1961,3139,5104,105,121,225,71292,75248,146545,820,1306,2126,918,884,1808,26,14,47,25,23,39,966,920,1890,53223,55007,108230,16198,18737,34938,54026,55687,109710,15081,17544,32625,65146,68726,133868,1406,1314,2727,8596,7966,16565,3678,3615,7296,1734,1838,3575,1870,2977,4850,35761,39371,75136,3550,3033,6581,12065,12951,25022,2627,3145,5776,1634,2036,3666,361,466,822
CED110,83489,89410,172902,4169,4034,8201,10206,10051,20262,4978,4801,9781,4016,3894,7914,8367,8637,17000,8663,9415,18079,9824,11024,20848,11572,13116,24690,12200,12750,24951,7090,8014,15109,2392,3682,6077,161,118,278,80301,86428,166732,3187,2984,6175,5821,6054,11878,89,93,182,127,135,261,6039,6278,12318,67107,71496,138603,10308,11730,22036,72668,78401,151064,4438,5174,9614,73718,79657,153367,1257,1241,2495,9342,9203,18542,3346,3438,6789,1000,1385,2386,1939,3809,5747,27030,32208,59243,5383,5355,10744,20135,21696,41826,6338,6409,12752,3537,3282,6822,352,341,692
