CED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
CED101,9554,19382,7967,7101,11733,6174,4014,5345,1433,72702
CED102,11017,24197,8809,8166,11889,7307,4419,7154,1841,84802
CED103,14618,35651,8375,7052,13275,6972,2531,4383,1649,94497
CED104,13836,25471,7315,5831,10639,5314,1870,3428,1055,74757
CED105,5419,12122,7431,6938,8463,5207,5675,7456,1974,60680
CED106,16300,32630,4622,5646,10018,5593,1272,2782,1415,80277
CED107,10395,13771,11573,9989,8872,5978,6617,8469,1367,77039
CED108,7116,16228,8761,8773,12299,6236,11733,8640,1985,81783
CED109,13186,19129,8890,6880,11442,6244,2729,3626,1294,73421
CED110,8173,13991,9039,10597,8078,6650,3359,7680,1241,68809
CED111,9224,20910,9862,9367,9173,5614,3904,5611,1095,74762
CED112,8007,12672,10636,9656,9149,6734,4781,7438,1201,70283
CED113,14248,16089,11517,9741,10786,5999,4775,8070,1675,82890
CED114,13045,12242,11076,9202,8944,6441,5939,11072,1603,79567
CED115,4911,10234,6605,5930,7960,4819,7282,7140,1587,56472
CED116,8601,13066,10497,9274,7283,5934,3163,6653,1126,65606
CED117,16160,34717,6256,6039,9725,5108,1817,3108,1130,84060
CED118,12371,26734,9888,8787,14660,7172,7667,6510,1825,95618
CED119,11784,20005,10013,7990,12294,5783,3066,4023,1037,75998
CED120,12063,13664,13494,9500,11558,6889,6886,7787,1536,83372
CED121,7961,11626,13524,10198,8833,6537,8722,8518,1402,77317
CED122,14901,30981,9395,8340,12051,6838,3560,5324,1689,93090
CED123,10008,15284,12009,9827,14018,7229,9521,7899,1740,87551
CED124,7809,10388,9180,8575,6819,5705,3996,6906,1145,60520
CED125,9763,16984,11418,10078,13527,7869,9549,8472,1966,89635
CED126,15321,21475,9578,7218,9792,6586,2455,4211,1155,77801
CED127,9738,16318,10641,7752,9328,4993,4256,5473,1092,69590
CED128,6447,10987,7866,5903,10225,5178,6849,6099,1565,61120
CED129,16993,30965,8506,7188,14126,7472,2849,4131,1437,93666
CED130,10878,11899,9145,8394,7372,5686,4847,9813,1201,69235
CED131,9720,25105,10080,11157,9904,6894,4014,6358,1165,84404
CED132,19558,38838,4924,5381,10553,5556,1127,2198,1421,89557
CED133,9036,12318,9272,9883,7936,6175,4226,9619,1248,69710
CED134,11686,10963,9113,8774,7363,5157,6636,7930,1353,68969
CED135,10106,29007,8319,8220,12443,6627,6115,7007,2122,89968
CED136,7750,11769,12991,10797,9596,7226,7093,8846,1385,77461
CED137,16392,34870,8782,8129,13870,7984,3477,6664,2247,102421
CED138,10062,15957,10665,9912,7713,6733,3057,7390,1388,72886
CED139,11906,12519,10483,9966,7771,6258,5120,8683,1335,74032
CED140,9476,16683,9144,8045,9046,5872,3014,5573,1147,67993
CED141,7419,14609,10511,9079,9081,6058,4042,6169,941,67897
CED142,22643,50143,9114,9818,12993,7555,2504,5398,2218,122384
