CED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED101,41,261,2909,12673,10615,4017,873,1040,32435,55,213,691,1541,252,66,3,153,2974,10,381,876,2796,2382,414,31,271,7153,62,600,1568,4337,2626,479,34,428,10132,83,726,1109,242,29,11,4,237,2443,27,359,3792,1135,54,0,4,328,5701,37,588,4044,1051,52,7,0,390,6160,0,265,485,169,3,0,0,84,1011,8,43,142,60,25,25,9,21,334,156,1984,9572,2661,160,42,16,1055,15649,4,64,154,66,19,3,0,54,375,3,21,24,24,15,6,0,11,95,268,2925,14234,19760,13428,4548,931,2591,58674
CED102,68,281,3449,13071,7590,2980,858,1113,29404,33,142,1488,1493,200,25,4,147,3540,0,143,500,1337,704,106,23,151,2961,43,287,1984,2830,899,135,24,294,6504,72,677,1637,293,52,19,9,263,3031,47,621,4098,599,34,0,6,385,5797,95,1728,8262,1291,61,3,5,776,12224,45,2125,5733,1242,66,3,0,604,9814,4,82,160,90,41,25,9,36,449,268,5236,19885,3512,262,58,32,2059,31312,32,136,189,69,17,10,4,95,542,4,30,51,22,14,3,3,39,157,412,5974,25557,19496,8779,3181,916,3597,67913
CED103,43,259,2124,11032,11576,4917,1222,851,32026,45,229,839,1956,177,54,12,155,3466,17,283,2016,2535,1126,199,21,229,6428,60,509,2855,4494,1305,248,35,381,9902,49,558,811,266,24,14,7,146,1880,60,1360,5921,782,30,27,9,370,8547,66,2694,7227,1331,39,0,4,514,11879,90,3358,3559,529,14,0,0,402,7957,10,43,103,30,32,21,10,20,270,275,8016,17621,2935,143,59,28,1452,30524,3,31,47,40,3,0,0,22,153,14,28,38,12,7,29,0,21,148,395,8851,22682,18517,13034,5260,1291,2722,72751
CED104,60,378,1764,10252,19265,7310,1911,813,41750,0,174,532,463,41,10,3,55,1275,10,129,425,1992,436,41,11,90,3126,6,306,953,2456,476,48,14,144,4399,10,216,433,266,18,4,0,59,997,68,113,440,41,0,0,3,29,693,24,547,1397,303,4,0,0,100,2364,0,17,71,17,0,0,0,4,114,6,48,107,30,24,16,8,21,260,106,937,2440,662,39,23,11,207,4422,8,25,57,27,9,3,6,11,141,3,27,31,7,10,7,0,9,90,187,1671,5243,13397,19797,7388,1944,1183,50805
CED105,66,385,3644,13019,8951,3126,987,2616,32786,37,197,379,693,176,27,3,170,1683,7,293,807,2816,1714,175,17,486,6316,47,493,1183,3515,1889,200,23,656,8004,162,857,2110,447,74,8,3,421,4076,57,273,3969,882,15,0,4,494,5698,74,308,2696,533,16,6,0,368,4005,13,208,1686,567,33,0,0,273,2789,4,78,317,189,100,48,23,76,835,308,1725,10781,2626,238,57,35,1632,17406,5,22,131,87,16,8,4,39,316,7,24,71,26,14,3,0,40,190,432,2651,15812,19261,11115,3389,1050,4992,58694
CED106,24,165,1088,8171,15249,8128,1704,623,35152,0,41,128,208,28,10,3,11,430,7,90,335,1360,283,36,9,58,2187,9,135,469,1564,318,49,9,72,2616,16,316,1173,747,42,11,5,107,2410,59,544,3032,945,28,5,5,170,4792,19,1515,5163,2364,62,4,4,341,9462,80,1333,2909,733,23,0,0,157,5237,0,25,53,7,11,25,12,7,139,173,3738,12317,4796,172,39,19,781,22044,3,67,46,12,6,0,0,15,154,0,17,10,8,5,0,0,6,56,219,4124,13941,14562,15745,8214,1730,1501,60024
CED107,187,936,5872,23729,19796,4102,998,3648,59270,31,539,2177,1142,126,7,12,428,4460,5,208,232,214,47,9,0,105,805,34,752,2402,1348,171,15,9,530,5267,32,381,892,165,26,5,8,187,1694,3,22,47,3,0,0,0,34,115,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,20,9,10,6,0,0,8,47,34,420,949,188,38,4,6,222,1859,56,129,97,107,95,31,12,221,748,18,50,31,53,37,7,11,30,236,329,2288,9362,25428,20139,4160,1042,4647,67381
CED108,80,486,2997,23344,17131,4252,833,3513,52628,20,152,556,1270,218,25,8,221,2465,22,228,672,2836,1270,93,15,467,5597,40,382,1227,4102,1486,120,25,687,8066,29,354,113,40,6,0,3,97,644,0,52,326,29,0,0,0,62,469,9,160,1354,240,3,0,0,156,1916,0,0,0,0,0,0,0,7,5,6,27,206,94,36,17,8,50,448,39,596,1998,401,52,17,13,377,3488,0,6,14,21,5,0,0,4,44,3,11,26,18,15,7,0,17,91,164,1478,6260,27892,18685,4398,865,4591,64321
CED109,25,172,1562,10189,11536,4426,836,797,29545,34,203,953,1447,113,19,0,141,2916,5,280,1282,4102,813,110,13,292,6888,45,475,2234,5552,925,128,16,440,9807,23,980,1235,356,40,4,0,196,2831,10,757,4891,1039,17,0,4,341,7058,73,861,4074,1078,22,5,7,444,6560,20,264,962,306,10,0,0,70,1637,3,25,38,26,14,14,0,5,124,128,2889,11205,2806,94,18,8,1060,18208,10,61,114,42,15,5,3,25,277,9,8,31,18,10,0,0,10,94,211,3612,15136,18613,12580,4570,861,2329,57922
CED110,233,1103,5960,23613,15868,3175,726,2873,53544,23,371,2696,1777,158,19,12,430,5491,7,165,791,1369,184,35,4,175,2726,35,528,3487,3150,347,55,19,603,8219,50,821,2641,868,52,3,6,478,4917,8,111,826,198,11,6,0,84,1230,17,206,709,349,16,0,0,67,1361,3,14,150,98,0,0,0,8,276,8,34,24,20,26,3,3,6,115,79,1181,4348,1528,101,11,12,646,7900,248,535,335,127,44,6,4,396,1693,38,99,92,55,23,5,4,53,360,625,3438,14222,28476,16376,3254,763,4568,71721
CED111,44,391,3543,17309,12765,3414,740,1198,39403,25,334,1418,973,98,14,5,201,3074,12,410,1700,2784,266,22,8,312,5514,37,740,3124,3753,365,38,13,508,8584,45,962,3014,946,112,26,14,360,5480,18,371,2106,435,19,3,0,287,3243,24,468,2326,961,37,0,3,232,4057,12,243,1114,657,37,0,0,95,2168,3,51,74,43,33,9,4,15,234,104,2096,8640,3045,235,45,25,991,15180,27,129,206,86,25,16,4,47,544,9,29,40,30,7,4,7,30,164,228,3390,15555,24225,13403,3520,785,2777,63880
CED112,112,702,4472,18703,18479,4177,1082,2187,49920,37,399,2311,1557,109,20,6,396,4844,9,252,814,1572,192,15,12,247,3113,48,653,3127,3128,304,33,22,643,7960,18,386,1341,556,55,6,0,243,2601,4,46,355,77,5,0,0,36,511,9,66,546,115,4,0,4,52,799,0,10,122,11,0,0,0,5,154,0,23,87,25,7,6,0,5,156,31,530,2453,784,70,12,6,343,4230,45,108,94,26,6,0,0,110,391,11,27,22,25,13,3,3,12,115,249,2027,10164,22671,18873,4228,1115,3299,62618
CED113,307,1295,5546,20921,17423,4036,1091,2956,53575,17,310,1860,1049,89,4,6,261,3599,19,204,1085,1000,109,9,4,137,2563,34,516,2947,2052,200,10,16,397,6162,56,757,1285,424,67,7,16,272,2881,18,174,460,81,8,4,0,64,804,0,220,682,47,0,0,0,55,1008,0,17,61,3,0,0,0,3,86,0,23,28,21,6,3,4,6,92,81,1195,2507,576,90,15,20,395,4880,115,250,233,70,33,12,10,187,908,48,98,93,60,32,12,20,70,433,576,3349,11322,23679,17771,4087,1159,4007,65954
CED114,131,696,6077,26509,18812,2931,597,4475,60222,18,714,3865,962,74,7,7,611,6262,4,159,214,134,19,8,0,85,624,18,873,4078,1095,95,19,7,698,6888,10,314,1031,309,14,6,3,244,1936,4,9,81,4,4,0,0,17,119,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,3,8,4,3,0,0,0,23,11,328,1148,319,25,4,3,265,2109,87,213,172,102,47,7,11,270,909,16,44,70,77,61,19,12,108,409,268,2153,11544,28101,19044,2983,632,5810,70532
CED115,44,321,2421,13372,11348,3421,997,1883,33811,21,146,336,603,62,15,8,187,1370,10,287,1282,2796,585,67,9,342,5386,31,439,1610,3402,649,75,16,531,6755,64,584,1298,461,28,9,7,280,2735,23,398,4755,482,13,0,4,592,6263,4,245,1554,500,9,0,0,267,2587,75,577,2023,396,8,0,4,417,3506,4,56,295,146,57,48,12,60,677,176,1861,9927,1982,121,56,22,1615,15761,7,17,60,27,9,4,3,28,147,7,19,65,31,16,8,0,32,171,260,2658,14085,18814,12144,3563,1032,4089,56642
CED116,170,885,5958,24116,19531,3957,910,2931,58453,12,293,2009,1207,110,14,7,333,3970,5,190,832,1030,122,13,8,166,2361,13,482,2834,2237,233,33,16,498,6337,22,276,865,453,46,14,10,187,1871,0,16,152,75,0,0,0,10,250,0,69,186,80,6,0,5,24,367,0,0,0,0,0,0,0,0,0,0,32,55,40,22,4,3,8,173,30,396,1251,647,72,17,12,229,2657,81,343,628,159,46,9,3,292,1558,17,78,115,44,22,3,5,104,388,308,2173,10791,27198,19909,4012,941,4059,69384
CED117,53,331,2820,7760,4625,1012,227,438,17263,34,443,4076,3880,971,110,22,252,9785,66,418,2161,3649,1419,228,42,300,8271,100,857,6231,7528,2392,342,64,546,18055,339,2353,4017,966,138,25,18,550,8410,339,2260,5842,589,34,4,5,419,9490,298,2255,4082,818,33,3,0,403,7901,33,403,587,144,5,0,0,52,1215,11,96,103,41,16,6,0,30,302,1020,7363,14631,2554,221,31,35,1451,27315,48,282,401,188,41,10,10,115,1100,15,43,32,17,10,7,7,23,151,1238,8884,24115,18040,7294,1401,338,2572,63884
CED118,57,385,2560,15407,23032,5701,1019,1988,50140,10,171,868,1140,369,44,10,184,2794,12,216,881,3207,1178,113,16,349,5978,19,385,1750,4346,1547,155,29,533,8771,95,175,138,143,22,3,0,110,695,0,4,210,41,0,0,0,29,277,28,441,3511,535,36,3,0,412,4974,0,16,150,45,3,0,0,19,237,10,31,142,72,29,18,5,28,331,136,672,4143,841,102,23,9,597,6513,0,4,20,16,16,6,0,10,67,4,16,25,26,45,11,0,19,148,220,1455,8494,20639,24739,5892,1055,3139,65640
CED119,38,250,1213,13378,17031,4855,819,752,38334,10,90,399,670,187,28,4,67,1448,7,142,795,2860,499,67,4,152,4528,13,225,1191,3534,685,91,11,218,5976,11,385,711,311,17,0,4,80,1525,3,147,2606,257,3,0,7,118,3139,0,405,1645,252,0,0,0,97,2400,0,34,112,55,0,0,0,4,214,5,26,43,32,16,9,0,12,141,23,990,5116,898,37,15,11,317,7413,5,37,40,18,5,0,0,18,121,3,11,14,11,0,6,3,16,62,83,1519,7572,17837,17755,4961,848,1324,51905
CED120,150,829,3594,17745,24417,5696,1547,2625,56598,26,306,934,707,101,10,6,165,2251,0,123,304,353,122,30,3,68,1002,21,427,1242,1055,223,46,7,228,3255,4,154,403,51,19,3,0,54,683,0,29,38,0,0,0,0,12,79,0,7,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,34,39,19,36,15,9,6,157,4,221,488,74,55,14,13,76,940,56,149,88,44,13,6,8,71,434,0,21,44,37,26,6,3,19,157,234,1651,5458,18951,24729,5761,1580,3013,61379
CED121,124,809,5934,23859,20832,3774,878,2432,58650,3,403,1838,1266,111,13,3,317,3960,3,169,578,447,66,3,0,115,1377,8,574,2414,1708,180,16,4,433,5331,10,360,482,123,25,0,6,118,1122,0,11,60,37,0,0,0,6,108,0,3,34,41,4,0,0,0,81,0,0,0,0,0,0,0,0,0,0,31,51,16,18,4,0,8,125,11,398,631,214,44,10,6,126,1436,50,226,140,38,12,3,4,115,581,20,38,50,32,22,5,4,8,178,210,2048,9172,25848,21084,3804,897,3115,66181
CED122,46,182,1419,7162,6441,2504,719,551,19029,62,193,1275,1696,435,97,20,169,3949,17,326,923,2962,1442,213,34,283,6194,78,517,2196,4654,1875,308,56,454,10139,231,1401,3661,1254,147,37,21,496,7245,154,2620,10011,2368,86,13,14,1086,16354,128,2833,6948,1827,65,28,6,825,12672,63,1356,3570,1377,61,5,0,362,6792,8,34,54,21,23,8,6,8,161,581,8240,24253,6853,378,88,51,2776,43222,12,132,200,87,31,0,3,44,512,11,22,45,13,11,3,8,33,148,726,9098,28118,18768,8734,2913,839,3861,73050
CED123,75,464,2543,20078,19133,4520,1192,2418,50419,27,209,715,1441,197,29,9,248,2888,12,256,1030,3804,925,53,9,535,6622,42,463,1748,5248,1119,81,19,784,9506,51,327,1114,152,19,3,0,199,1867,18,104,1218,164,5,0,0,174,1688,21,308,1787,176,0,0,3,321,2622,0,238,552,43,0,0,0,47,884,0,38,106,55,34,8,8,19,258,94,1012,4781,589,61,9,9,762,7318,3,28,83,26,14,0,3,17,173,3,22,26,24,13,7,3,16,114,214,1991,9176,25963,20340,4624,1230,3995,67525
CED124,249,1022,6486,23874,17497,3377,858,3041,56406,14,291,1946,1445,94,7,0,361,4168,0,81,308,341,78,10,0,58,870,14,370,2255,1784,174,19,8,422,5042,30,482,1265,299,24,7,9,234,2354,9,57,339,78,0,0,3,36,520,0,29,299,73,5,0,0,34,425,0,4,36,48,0,0,0,12,107,3,10,17,7,12,6,0,5,61,42,580,1958,511,43,8,8,317,3469,140,388,354,99,28,6,8,330,1363,23,63,61,46,13,9,0,57,270,464,2432,11111,26316,17760,3419,882,4164,66549
CED125,66,488,1998,19765,25272,5403,1174,2490,56654,12,83,1213,1495,222,15,11,243,3294,15,329,1256,1664,627,82,11,441,4420,29,407,2469,3155,848,98,19,682,7716,32,168,642,149,13,0,0,108,1112,0,17,304,146,0,0,0,40,505,4,136,1127,285,0,0,0,100,1657,0,28,117,31,0,0,0,7,190,0,64,184,49,44,20,9,27,395,41,408,2374,667,58,20,15,284,3859,0,18,67,13,3,0,0,10,109,0,11,21,15,16,7,0,22,101,135,1332,6930,23611,26197,5522,1214,3487,68428
CED126,99,570,2018,10906,14464,5606,1368,924,35952,30,215,439,231,82,27,7,69,1099,23,411,954,1845,347,61,10,167,3812,51,626,1390,2078,430,83,17,237,4916,106,687,1332,717,112,26,11,179,3169,48,1059,4509,671,21,12,7,277,6600,70,960,2833,636,12,4,0,193,4703,0,157,230,122,0,0,0,18,533,11,81,125,44,28,18,8,22,336,242,2937,9028,2196,179,57,19,690,15334,13,61,125,46,3,5,0,44,303,9,22,41,27,10,3,0,14,124,410,4215,12594,15247,15088,5748,1407,1904,56629
CED127,123,724,4744,20012,16547,4710,1283,1603,49749,21,273,872,1126,102,13,10,155,2563,4,86,302,609,85,9,4,66,1173,26,362,1173,1734,190,18,12,223,3733,20,369,500,120,24,3,4,88,1143,8,62,190,30,0,0,4,32,323,0,19,29,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,5,49,77,35,31,9,6,9,211,27,492,797,195,57,17,11,133,1730,31,61,48,23,16,6,0,83,263,10,22,29,20,20,11,5,28,144,218,1660,6794,21981,16825,4756,1315,2075,55619
CED128,89,428,2494,16914,13053,4003,945,2218,40148,8,137,679,703,97,23,4,138,1786,6,181,590,2445,1113,224,28,347,4935,12,320,1269,3148,1215,240,34,492,6728,38,530,909,203,33,10,6,225,1956,26,211,2297,289,22,0,5,309,3156,16,243,2113,230,0,0,3,320,2922,18,120,420,108,0,0,0,59,723,3,35,196,128,61,23,11,53,517,97,1133,5927,968,121,33,19,968,9270,9,55,14,16,4,4,0,43,141,9,31,59,17,21,7,0,30,176,217,1969,9764,21063,14418,4289,995,3753,56459
CED129,22,209,1175,9397,25063,9089,1651,1012,47621,4,56,370,459,58,10,5,39,998,0,45,806,2928,981,135,24,131,5047,3,99,1175,3383,1034,149,28,165,6042,19,166,634,371,9,0,0,66,1268,0,83,732,401,6,0,0,45,1273,4,501,1833,636,22,5,0,137,3135,0,228,846,222,10,0,0,71,1374,10,27,55,24,29,14,11,16,195,33,1004,4100,1665,82,15,13,341,7248,0,0,0,0,0,0,0,0,3,3,12,18,26,21,13,5,13,102,63,1329,6464,14473,26206,9263,1692,1526,61020
