CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
CED101,6,9,23,39,77,104,140,145,116,648,5,8,17,25,76,210,288,285,156,1079,135,820,828,813,929,854,571,379,314,5641,0,0,8,14,53,91,161,169,159,658,323,448,573,750,977,1306,1203,792,551,6921,11515,7300,8529,8326,7109,5709,3090,1190,421,53190,828,640,720,706,670,560,432,349,311,5216,13347,9639,11188,11375,10843,10566,7852,4815,2721,82340,21,67,205,406,1129,2341,3173,2707,1502,11557,1466,1300,1335,1371,1279,1198,958,607,261,9769,27,40,72,189,427,909,1219,924,462,4270,0,0,3,3,9,50,133,430,648,1278,33,87,166,423,890,1943,2265,1551,618,7976,31,29,74,130,365,1033,1694,1612,1025,5996,27,23,44,67,146,225,314,328,207,1374,21,12,27,49,120,388,549,539,277,1992,318,1292,1379,1364,1567,1462,925,565,420,9292,5,13,14,29,89,217,358,373,258,1358,871,849,1001,1281,1686,2354,2085,1293,817,12239,23348,15598,17556,16463,13809,11236,5928,2240,791,106971
CED102,10,11,18,27,55,80,146,153,123,630,0,7,16,17,55,129,209,200,100,727,111,771,1264,899,897,788,518,402,249,5908,0,0,3,24,43,68,131,176,112,564,278,436,806,858,1035,1204,1132,791,506,7047,11540,7990,13408,9985,7469,5392,3104,1294,389,60578,895,732,1262,950,802,656,539,468,516,6809,13288,10294,17347,13478,11380,9884,7659,5053,2596,90979,7,51,234,441,1031,1979,2698,2546,1313,10303,1244,1244,1780,1479,1171,957,780,503,227,9399,24,21,106,199,457,766,1041,829,360,3811,0,0,9,3,9,44,161,487,688,1409,36,65,216,496,911,1785,2360,1720,708,8306,32,45,86,149,387,988,1499,1568,914,5679,24,21,45,76,129,218,322,335,253,1412,9,18,43,52,113,276,434,461,209,1612,229,1178,1996,1593,1567,1301,863,619,373,9721,3,8,14,38,83,180,334,394,239,1295,776,779,1365,1570,1793,2230,2003,1350,809,12685,23334,17408,27674,20402,14666,10559,5947,2534,764,123292
CED103,7,8,26,36,58,89,108,129,116,575,8,7,15,21,47,143,224,224,124,815,163,1200,1306,969,882,785,462,299,196,6258,0,3,5,19,33,62,100,121,137,485,402,505,823,968,1012,1351,1240,768,481,7566,13918,7812,13138,12249,8228,6309,3702,1317,412,67082,739,552,894,782,578,583,411,325,353,5217,15758,10429,16718,15848,11871,11007,8277,4706,2658,97269,14,64,218,396,901,1963,2605,2304,1502,9959,1532,1417,1829,1597,1237,1123,879,572,261,10453,28,33,97,238,484,898,1089,943,404,4210,0,0,4,5,14,41,113,389,591,1159,25,57,211,564,868,1816,2162,1452,574,7731,43,36,48,151,351,968,1606,1547,999,5756,17,26,59,79,122,210,269,305,210,1300,17,21,35,43,105,277,401,446,252,1600,383,1821,2082,1645,1524,1366,803,468,279,10380,3,10,18,38,65,186,256,305,261,1142,1031,952,1416,1742,1855,2509,2232,1274,752,13766,28136,16678,25908,24335,15863,12003,6965,2403,762,133051
CED104,8,9,16,35,51,68,99,117,108,513,13,8,8,12,47,106,252,280,156,882,238,1248,769,816,948,719,448,299,214,5713,3,0,0,12,38,50,103,137,109,459,443,558,458,721,1057,1238,1142,696,487,6817,11822,6502,4473,7810,7651,5758,3360,1300,364,49035,616,379,288,436,550,402,353,300,307,3631,13734,9100,6269,10531,11592,10244,8063,4949,2459,76949,10,52,117,390,1128,2196,3203,2867,1368,11338,1791,1502,1039,1331,1610,1320,1150,670,273,10676,17,43,52,168,541,942,1320,1167,447,4700,0,0,4,0,15,40,107,456,639,1264,33,76,92,371,791,1462,1916,1385,452,6583,38,39,41,88,351,943,1701,1786,915,5914,21,26,38,77,99,170,241,282,186,1131,22,14,14,30,95,227,459,537,270,1682,509,1890,1275,1383,1565,1262,787,473,301,9449,3,11,10,25,75,136,295,290,233,1083,1089,1064,791,1193,1866,2251,2042,1223,764,12285,24146,14292,9034,14879,15141,11319,6439,2584,647,98494
CED105,19,10,21,44,65,104,142,158,88,647,11,5,12,27,74,166,226,192,94,813,126,631,698,648,763,891,495,307,185,4733,4,5,4,16,34,93,137,162,80,531,366,392,593,712,960,1326,1073,600,408,6434,15495,9825,11505,8500,6592,4859,2486,905,281,60461,2080,1187,1456,1293,1062,888,636,399,453,9449,18810,12647,14879,11959,10606,9991,7051,3815,2108,91870,26,78,244,532,1184,2386,2811,2036,1057,10358,1922,1623,1298,1090,973,1038,883,469,199,9494,32,32,82,142,327,644,828,622,275,2983,0,0,4,10,26,54,168,424,493,1187,46,107,272,677,1370,2697,2801,1661,545,10175,59,44,74,123,425,1006,1480,1181,662,5059,44,25,50,87,162,268,332,347,178,1495,17,20,24,57,150,362,493,431,184,1734,281,997,1140,1174,1350,1481,858,487,255,8025,3,8,12,30,91,233,354,362,175,1264,977,821,1076,1305,1761,2444,2007,1057,630,12073,31092,20978,24695,17904,13604,10100,4959,1883,536,125739
CED106,5,10,15,37,46,68,64,108,106,455,11,14,4,21,49,81,172,277,170,791,211,1256,861,745,834,595,406,315,310,5526,3,6,0,9,35,49,89,165,175,523,457,536,511,746,1012,1086,1212,828,639,7033,13700,7269,6192,10431,9225,6082,3728,1765,592,58981,616,426,391,471,568,474,385,319,366,4010,15551,9869,8229,13177,12970,10059,8249,5740,3350,87191,17,67,109,319,859,1675,2538,2763,1711,10054,1721,1464,1066,1350,1545,1207,991,673,368,10379,24,43,66,214,528,950,1314,1260,641,5032,3,0,3,0,9,28,142,489,854,1532,27,79,101,355,678,1136,1521,1245,553,5698,35,30,36,101,335,847,1593,1944,1376,6306,21,20,26,66,90,161,217,281,207,1086,21,18,23,41,86,145,355,501,313,1505,423,1886,1400,1199,1438,1024,689,481,418,8965,3,6,3,12,72,136,227,355,305,1133,1102,1022,850,1312,1785,1989,2128,1496,1004,12691,27762,15530,12145,19583,17493,11788,6859,3225,1036,115428
CED107,12,17,34,54,99,126,190,204,127,849,21,14,28,64,213,415,636,475,155,2013,438,1721,1957,1720,1747,1566,904,408,268,10733,3,4,17,34,87,133,206,216,146,850,577,552,841,993,1120,1330,1121,685,426,7656,12271,5679,5984,5523,5457,4747,3080,1257,383,44373,1674,860,870,874,965,854,764,501,283,7633,16000,9379,10240,9854,10697,11011,9394,5647,2513,84739,34,111,353,761,1941,4065,5311,3886,1619,18084,2835,2063,2197,2138,2137,2247,1922,1075,335,16952,30,34,98,178,572,1130,1679,1290,380,5394,3,0,10,7,22,54,194,546,559,1388,61,142,236,495,1121,2035,2573,1717,506,8891,49,58,95,172,537,1347,2300,2105,1017,7677,26,34,62,82,176,284,405,401,215,1700,49,31,65,129,359,876,1274,978,329,4097,964,2707,3032,2790,2942,2688,1626,737,386,17877,3,8,30,58,141,313,499,485,264,1807,1512,1087,1338,1550,1984,2461,2098,1219,624,13862,24816,12488,12423,11400,11169,9558,6178,2508,664,91219
CED108,19,15,37,92,102,140,261,196,94,963,8,7,20,61,203,397,443,317,95,1541,307,1237,1354,1123,1241,1018,592,297,256,7426,4,10,14,44,79,114,201,162,86,711,616,514,856,1043,1214,1403,1140,619,518,7916,18430,8984,11430,10931,6315,4199,2165,618,185,63261,2327,1189,1420,1347,1010,745,516,302,242,9101,22834,12698,16027,15832,11650,10069,7495,3586,1631,101812,38,108,349,835,1861,3172,3739,2357,822,13287,3121,2370,2285,2156,1880,1713,1339,682,186,15736,41,41,94,207,428,818,997,675,193,3496,6,7,3,10,21,71,173,441,505,1240,66,155,486,1411,2312,3577,3556,1791,436,13801,70,62,112,292,674,1426,1988,1424,576,6623,56,33,69,169,208,337,506,396,161,1938,39,26,45,115,354,679,853,619,167,2889,709,1993,2202,1880,2029,1727,1009,510,335,12382,11,12,36,76,167,293,476,375,140,1589,1592,1107,1414,1857,2163,2510,2038,1020,708,14412,36965,18971,22366,22358,13094,8483,4198,1230,305,127966
CED109,13,11,16,26,47,66,105,154,144,582,10,11,14,14,66,152,254,317,200,1039,132,861,1022,907,873,762,509,374,296,5738,3,3,5,18,37,57,109,209,189,625,297,410,575,732,864,1063,985,762,646,6332,10543,6028,6570,7008,7042,5335,3229,1453,472,47689,795,540,606,627,693,564,463,403,450,5149,12232,8230,9258,9967,10642,9573,7924,5480,3131,76435,22,64,188,430,1093,2328,3336,3189,1885,12539,1250,1168,1323,1441,1296,1184,1072,668,300,9704,31,37,85,212,480,881,1365,1233,570,4891,0,0,0,4,9,43,134,493,715,1394,29,65,140,246,564,1243,1645,1342,567,5828,31,31,32,96,323,926,1736,1859,1252,6286,24,19,29,54,101,150,269,334,264,1242,21,15,28,40,123,276,499,603,345,1948,334,1264,1541,1418,1505,1355,849,586,409,9266,7,9,15,32,74,155,288,433,343,1353,794,733,927,1101,1434,1826,1773,1274,956,10815,21562,12735,13176,13837,13889,10415,6004,2723,831,95171
CED110,8,16,23,34,76,145,268,354,257,1187,14,21,24,77,218,636,961,797,287,3045,456,1587,1658,1645,1871,1975,1297,688,436,11621,3,3,9,27,81,151,251,363,254,1143,565,513,651,864,1252,1742,1630,982,645,8845,10786,5274,5048,5331,5693,5710,4293,1853,512,44505,1483,870,844,888,932,1003,933,673,406,8036,14075,8690,8615,9395,10999,13095,12738,8008,3682,89293,34,106,334,826,1974,4681,7086,5411,2355,22809,2239,1686,1692,1844,2002,2315,2378,1362,447,15965,36,37,71,203,522,1336,2501,1968,709,7389,7,3,11,8,33,96,316,783,960,2215,46,107,194,406,908,1818,2899,2134,695,9212,48,55,74,170,491,1550,3136,3017,1599,10146,31,33,51,80,161,303,592,738,451,2438,31,33,45,140,420,1191,1923,1505,523,5813,915,2525,2697,2699,3155,3362,2412,1186,604,19568,10,8,22,56,155,365,671,758,437,2482,1396,1021,1094,1446,2147,3118,3091,1716,972,15999,21256,11199,10212,10498,11101,10826,8326,3580,893,87891
