CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED101,12280,8599,9336,8517,7168,6136,3273,1233,433,56977,1071,1039,1119,1324,1632,2256,2089,1196,500,12233,37,93,128,166,320,628,914,740,341,3372,5,9,20,38,93,307,453,452,265,1652,1114,1144,1271,1536,2049,3196,3462,2389,1111,17263,888,667,799,655,615,585,409,237,126,4974,14283,10410,11398,10703,9829,9918,7143,3859,1666,79214,11767,7569,8893,8836,7669,6418,3599,1446,525,56724,725,1273,1312,1517,1840,2451,2315,1576,837,13845,23,143,217,250,487,777,986,852,605,4337,0,9,36,69,181,352,526,593,441,2213,754,1427,1565,1833,2515,3581,3822,3017,1880,20395,828,640,720,706,670,560,432,349,311,5216,13347,9639,11188,11375,10843,10566,7852,4815,2721,82340,24056,16169,18228,17345,14842,12560,6876,2679,955,113702,1801,2307,2430,2847,3471,4707,4400,2766,1338,26078,59,237,347,414,809,1405,1898,1591,947,7710,7,30,55,108,278,654,982,1047,706,3863,1864,2573,2836,3371,4557,6774,7280,5411,2991,37655,1712,1310,1524,1357,1277,1148,841,583,439,10194
CED102,12202,9656,14653,10930,7705,5776,3262,1446,435,66066,909,1002,1485,1579,1693,2099,2086,1312,492,12657,28,81,208,211,320,558,761,670,365,3205,0,9,20,44,107,225,385,443,284,1513,937,1086,1712,1838,2114,2881,3241,2421,1141,17373,1001,849,1313,944,772,681,511,468,314,6857,14142,11596,17679,13718,10591,9330,7014,4333,1890,90294,11768,8285,13892,10573,8115,6038,3607,1538,485,64301,604,1102,1870,1602,1943,2209,2191,1659,750,13928,23,167,293,302,396,717,896,826,431,4054,0,10,27,54,131,262,428,560,409,1892,624,1278,2187,1958,2475,3189,3515,3044,1593,19868,895,732,1262,950,802,656,539,468,516,6809,13288,10294,17347,13478,11380,9884,7659,5053,2596,90979,23973,17941,28546,21500,15820,11814,6863,2986,925,130362,1515,2110,3356,3183,3631,4303,4280,2966,1241,26585,46,244,494,521,713,1281,1657,1495,800,7252,0,17,54,93,241,487,819,998,694,3405,1561,2370,3900,3802,4584,6067,6755,5467,2733,37248,1893,1583,2577,1895,1578,1330,1045,934,828,13662
CED103,14724,9196,13192,12661,8215,6371,3789,1266,451,69863,1158,1257,1629,1742,1730,2275,2088,1262,541,13692,45,104,169,182,321,558,826,660,294,3166,0,7,22,43,81,239,352,406,244,1393,1212,1372,1822,1969,2135,3071,3260,2329,1082,18249,815,591,936,781,615,547,382,212,187,5059,16753,11155,15946,15412,10963,9989,7435,3800,1721,93177,14240,8112,13658,12927,8914,7108,4332,1564,544,71406,744,1553,1799,1834,1864,2376,2354,1571,833,14925,31,201,338,253,390,671,795,796,509,3977,0,7,27,57,118,271,383,458,422,1742,778,1759,2161,2141,2376,3314,3534,2819,1761,20646,739,552,894,782,578,583,411,325,353,5217,15758,10429,16718,15848,11871,11007,8277,4706,2658,97269,28963,17313,26847,25582,17131,13479,8119,2833,994,141267,1901,2813,3423,3578,3595,4649,4440,2836,1374,28615,80,307,508,437,714,1224,1616,1452,803,7146,0,13,48,97,193,510,732,864,669,3134,1986,3136,3984,4113,4511,6385,6793,5146,2846,38898,1561,1142,1826,1568,1188,1127,793,533,541,10275
CED104,12825,8136,4785,7421,8047,6209,3528,1474,352,52779,1375,1346,975,1345,1915,2284,2320,1503,482,13539,40,95,98,167,323,587,920,734,328,3284,0,6,10,27,77,190,383,485,236,1414,1413,1442,1078,1539,2310,3060,3626,2718,1050,18241,687,517,293,405,538,402,271,241,158,3517,14924,10103,6159,9363,10894,9672,7424,4435,1559,74539,12173,6835,4740,8292,8299,6486,3899,1514,460,52703,898,1685,1029,1537,2174,2439,2439,1736,826,14772,47,189,205,227,450,667,985,888,491,4148,0,13,15,37,117,243,389,509,376,1693,949,1887,1241,1799,2744,3358,3812,3132,1690,20610,616,379,288,436,550,402,353,300,307,3631,13734,9100,6269,10531,11592,10244,8063,4949,2459,76949,25000,14974,9523,15712,16346,12691,7429,2986,813,105485,2272,3027,2004,2881,4090,4728,4757,3242,1316,28311,86,285,295,395,775,1256,1901,1620,817,7434,0,17,25,64,185,432,771,994,615,3105,2360,3331,2324,3340,5051,6413,7433,5856,2745,38856,1302,897,576,849,1087,812,627,540,462,7146
CED105,16075,11464,13563,9798,7515,5851,2890,1140,324,68622,1373,1229,1137,1285,1625,2294,1961,1006,409,12317,39,77,115,180,335,625,822,597,249,3039,4,4,14,46,135,335,507,439,179,1657,1412,1312,1266,1507,2089,3253,3281,2046,841,17012,2270,1543,1833,1514,1202,977,626,417,255,10642,19762,14320,16663,12823,10806,10078,6806,3605,1415,96276,15798,10089,11887,8953,7143,5481,2935,1102,392,63777,897,1227,1305,1382,1775,2403,2080,1149,586,12810,39,132,197,258,438,805,883,671,375,3803,3,9,29,73,192,413,516,492,301,2034,933,1368,1541,1716,2410,3620,3481,2315,1263,18649,2080,1187,1456,1293,1062,888,636,399,453,9449,18810,12647,14879,11959,10606,9991,7051,3815,2108,91870,31874,21552,25448,18752,14655,11333,5827,2243,711,132400,2267,2451,2447,2665,3407,4695,4034,2155,997,25126,78,210,314,441,773,1432,1706,1267,624,6837,5,16,40,114,320,746,1029,930,482,3691,2349,2679,2806,3224,4497,6875,6771,4359,2104,35660,4346,2733,3291,2804,2261,1863,1268,820,711,20087
CED106,14554,8626,6174,9572,8815,6286,3615,1714,541,59897,1328,1311,998,1280,1828,2085,2076,1527,701,13136,36,102,133,131,284,487,774,815,436,3196,0,7,7,28,66,152,319,438,307,1317,1365,1426,1134,1432,2175,2721,3166,2786,1446,17652,677,486,345,463,471,415,299,235,161,3541,16600,10538,7652,11475,11461,9421,7077,4731,2147,81091,14080,7587,6493,10962,9915,6757,4370,2069,754,62995,824,1632,1139,1482,2054,2130,2433,1987,1062,14739,29,209,196,228,353,539,776,914,666,3910,0,8,10,35,81,166,283,452,488,1531,856,1850,1345,1745,2488,2831,3495,3354,2227,20184,616,426,391,471,568,474,385,319,366,4010,15551,9869,8229,13177,12970,10059,8249,5740,3350,87191,28632,16214,12670,20535,18731,13040,7989,3785,1298,122890,2159,2947,2131,2764,3879,4208,4514,3511,1769,27877,66,313,330,353,638,1029,1551,1729,1105,7106,0,12,13,61,149,317,597,893,796,2851,2218,3272,2478,3176,4663,5556,6661,6137,3668,37836,1294,913,729,938,1036,887,678,554,525,7555
CED107,13182,7131,6736,6191,6169,5300,3449,1390,307,49860,2021,1670,1667,1752,2204,2718,2757,1573,418,16781,137,211,300,357,596,1095,1447,972,338,5451,4,21,33,99,228,622,882,800,290,2989,2165,1907,1999,2206,3028,4430,5087,3349,1047,25221,1758,1280,1579,1513,1288,1091,841,470,161,9980,17105,10319,10318,9917,10488,10823,9383,5208,1514,85055,12700,5967,6366,6010,5958,5265,3443,1434,452,47602,1503,2102,2311,2151,2452,2953,2798,1800,798,18880,114,418,602,643,871,1192,1458,1137,523,6958,3,30,88,181,451,749,939,776,453,3670,1627,2552,3001,2971,3778,4894,5190,3715,1782,29508,1674,860,870,874,965,854,764,501,283,7633,16000,9379,10240,9854,10697,11011,9394,5647,2513,84739,25881,13099,13102,12208,12121,10562,6891,2827,759,97459,3532,3779,3981,3901,4653,5670,5556,3372,1217,35661,251,631,897,996,1470,2290,2907,2107,859,12410,6,51,124,275,686,1371,1822,1576,743,6661,3790,4458,5005,5178,6808,9329,10280,7057,2828,54729,3432,2140,2451,2381,2254,1945,1599,969,439,17609
CED108,19235,10368,11296,11967,7339,4800,2344,700,173,68232,2137,1695,1696,2145,2265,2627,2093,902,225,15796,123,210,252,367,613,975,1006,566,179,4285,8,17,43,88,221,519,725,575,159,2358,2272,1924,1986,2590,3104,4119,3827,2044,568,22438,2365,1392,1412,1315,1096,780,472,249,92,9170,23867,13681,14690,15878,11541,9704,6645,2999,834,99840,18883,9282,11922,11559,6894,4806,2536,751,291,66923,1529,1850,2155,2149,2465,2721,2341,1090,443,16742,80,344,434,564,833,1074,1196,794,307,5633,7,28,94,207,444,726,910,645,350,3408,1620,2225,2678,2920,3748,4523,4439,2532,1102,25786,2327,1189,1420,1347,1010,745,516,302,242,9101,22834,12698,16027,15832,11650,10069,7495,3586,1631,101812,38119,19653,23219,23528,14230,9605,4884,1453,459,135151,3673,3543,3847,4293,4735,5353,4436,1993,672,32540,208,559,681,933,1449,2047,2198,1357,491,9923,17,45,136,293,667,1238,1633,1220,506,5767,3893,4148,4665,5510,6852,8637,8273,4576,1668,48227,4690,2577,2831,2668,2105,1529,985,551,333,18270
CED109,11392,6933,6851,7088,7197,5527,3135,1433,420,49981,963,934,1084,1298,1608,2124,2165,1427,586,12183,52,86,115,157,341,569,849,760,392,3314,4,5,15,31,61,249,466,543,352,1726,1012,1016,1212,1482,2012,2944,3480,2734,1328,17223,885,541,604,632,700,558,383,299,219,4810,13286,8485,8668,9204,9918,9023,6997,4470,1960,72011,10780,6290,6932,7471,7573,5901,3645,1660,571,50820,630,1233,1445,1540,1856,2145,2472,1880,955,14163,30,153,237,293,393,702,917,959,634,4322,0,5,31,42,127,262,419,577,514,1980,652,1393,1713,1874,2375,3112,3811,3425,2109,20464,795,540,606,627,693,564,463,403,450,5149,12232,8230,9258,9967,10642,9573,7924,5480,3131,76435,22167,13220,13782,14560,14770,11429,6780,3092,990,100797,1591,2167,2530,2832,3464,4264,4642,3312,1546,26347,77,234,353,448,738,1275,1770,1721,1025,7633,4,7,46,75,192,509,883,1122,866,3706,1671,2411,2926,3358,4390,6051,7291,6158,3436,37685,1676,1080,1211,1255,1396,1124,848,701,663,9959
CED110,11064,6233,5420,5502,5831,5707,4540,1904,442,46647,1631,1448,1492,1582,2097,3008,3618,2165,690,17731,103,195,224,372,568,1134,1866,1301,518,6288,3,14,45,98,263,651,1274,1142,468,3962,1740,1658,1765,2047,2932,4798,6762,4608,1675,27975,1564,1085,1133,1093,1042,1055,885,572,273,8704,14362,8977,8324,8643,9800,11556,12188,7083,2390,83333,11181,5542,5333,5724,6229,6368,4835,2078,629,47921,1289,1886,1882,2036,2584,3360,3789,2537,1115,20484,112,370,478,560,844,1452,1932,1460,770,7973,5,27,78,187,413,910,1248,1245,757,4881,1404,2276,2435,2787,3835,5730,6970,5252,2643,33333,1483,870,844,888,932,1003,933,673,406,8036,14075,8690,8615,9395,10999,13095,12738,8008,3682,89293,22247,11772,10754,11225,12061,12071,9372,3987,1076,94566,2919,3334,3373,3617,4683,6371,7410,4708,1807,38212,209,566,704,931,1410,2589,3796,2766,1284,14257,10,41,120,289,676,1566,2523,2389,1228,8843,3138,3934,4206,4836,6765,10524,13729,9858,4319,61308,3047,1958,1981,1978,1978,2065,1816,1247,677,16744
