CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED101,1701,1452,3153,4278,3957,8234,1508,1422,2923,568,621,1196,6364,6014,12378,3174,2853,6028,1381,1522,2904,702,751,1446,5265,5124,10385,376,278,660,385,553,939,597,268,866,690,961,1646,21,7,24,2061,2067,4133,2449,2830,5278,772,891,1661,307,375,680,568,888,1454,11,3,15,4103,4991,9093,6197,7068,13265,364,359,729,389,523,913,14,13,22,775,894,1665,3289,3625,6912,168,182,354,23746,24367,48107
CED102,1691,1563,3249,4080,3749,7829,1316,1326,2640,518,500,1023,5920,5581,11501,2806,2524,5331,1389,1421,2808,647,642,1290,4847,4593,9443,574,392,962,758,909,1666,602,323,926,1118,1576,2696,16,13,25,3058,3217,6276,2985,3135,6123,1437,1427,2861,403,398,802,779,1146,1927,15,12,24,5619,6119,11741,8699,9352,18058,744,657,1405,801,982,1786,9,13,24,1558,1656,3215,5097,5059,10160,225,271,490,28044,28082,56124
CED103,2050,1788,3837,5868,5424,11291,1260,1312,2571,590,541,1126,7720,7293,15016,3531,3330,6860,1441,1238,2677,822,826,1651,5801,5403,11198,265,278,547,489,749,1238,417,224,637,971,1656,2622,3,10,13,2140,2914,5054,3702,3797,7500,1480,1669,3145,434,427,858,1095,1486,2578,15,18,36,6725,7390,14116,8876,10326,19201,350,382,734,601,792,1384,5,4,16,954,1176,2132,3487,3572,7054,301,366,664,29188,29918,59106
CED104,1645,1536,3176,5889,5213,11100,821,772,1588,878,766,1640,7589,6760,14350,3802,3494,7298,1253,1420,2672,1489,1392,2881,6544,6318,12861,191,219,412,163,251,416,684,263,942,523,953,1478,6,4,13,1566,1688,3257,2566,2709,5278,440,600,1046,373,362,737,678,1088,1769,11,14,21,4075,4775,8850,5641,6471,12113,153,145,297,293,374,668,3,8,12,452,527,979,1722,1996,3725,151,205,358,23755,23815,47569
CED105,1900,1654,3557,4846,4539,9389,1579,1571,3153,1590,1635,3226,8053,7776,15830,3780,3751,7532,1433,1281,2716,1213,1288,2503,6463,6337,12800,646,524,1168,698,855,1549,662,284,944,739,1083,1823,14,16,30,2756,2760,5525,3086,3387,6468,1164,1069,2238,438,412,850,509,650,1156,14,20,32,5212,5539,10747,7993,8326,16316,861,652,1514,694,771,1464,22,18,38,1578,1438,3016,8575,7421,15997,221,196,419,34786,33148,67933
CED106,1954,1784,3733,5610,5256,10871,760,756,1514,1846,1836,3680,8228,7854,16083,2962,2437,5400,1006,1160,2172,3211,3247,6461,7186,6860,14049,177,177,353,245,382,629,303,168,472,591,1207,1803,4,0,5,1320,1943,3265,3347,3493,6839,670,874,1542,369,360,731,856,1238,2095,12,12,25,5257,5976,11236,6582,7935,14509,208,239,456,377,593,974,0,10,9,590,842,1439,2002,2355,4357,319,344,660,26865,27962,54830
CED107,1901,1725,3626,5178,4775,9953,1794,1748,3547,559,566,1129,7546,7102,14646,3369,3066,6434,1376,1568,2940,1062,1019,2082,5810,5649,11466,171,235,406,129,294,423,850,579,1426,786,1307,2091,12,13,23,1942,2428,4372,665,1162,1828,252,453,708,140,254,399,613,1166,1780,5,4,6,1680,3038,4722,3632,5475,9106,117,124,237,190,368,559,3,10,16,306,502,810,7520,5467,12980,90,80,176,26812,26003,52812
CED108,2337,2043,4386,6745,6309,13061,2160,2230,4393,1221,1267,2485,10149,9826,19976,3962,4000,7967,2125,1931,4052,1050,977,2027,7150,6924,14076,409,408,817,474,806,1276,564,392,955,842,1379,2221,10,10,26,2298,2991,5289,2129,2649,4771,691,931,1624,323,355,677,616,922,1540,10,15,28,3770,4873,8642,6076,7895,13976,568,480,1051,493,675,1172,16,17,34,1079,1175,2252,6731,6860,13585,175,249,421,33698,34973,68670
CED109,1688,1517,3210,4165,3729,7899,1294,1271,2563,444,427,873,5914,5439,11351,2932,2735,5667,1249,1305,2555,696,741,1436,4878,4785,9666,171,204,374,168,266,429,857,292,1145,587,886,1471,7,6,16,1787,1650,3435,1520,2038,3560,321,457,776,252,314,558,559,922,1487,5,9,15,2664,3731,6399,4452,5389,9842,108,122,226,245,449,693,5,6,9,356,571,932,2910,3246,6153,105,121,225,20304,21073,41376
CED110,1624,1539,3159,3947,3838,7788,1487,1498,2980,993,1006,1999,6438,6354,12792,2790,2831,5621,1430,1435,2866,994,911,1902,5211,5188,10401,225,261,487,195,368,567,644,451,1092,758,1361,2117,16,16,29,1833,2458,4295,581,1139,1719,271,561,829,107,220,328,492,1081,1573,5,9,16,1459,3008,4462,3295,5477,8766,116,134,246,188,390,575,15,4,23,317,531,847,6527,6119,12650,161,118,278,23574,25321,48893
