CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
CED101,0,0,19,122,497,421,553,482,111,131,165,191,45,8,45,2794,5,7,11,20,86,36,41,34,9,3,7,4,0,0,3,270,0,3,22,31,69,50,70,36,3,11,4,9,3,0,3,318,0,0,14,59,126,105,100,48,7,3,22,4,7,0,5,510,0,3,15,23,59,57,45,37,6,9,5,5,10,0,9,278,0,0,0,8,62,74,82,92,17,20,22,8,4,0,6,396,0,0,3,20,83,109,244,150,40,22,22,21,8,0,29,749,81,208,574,384,311,217,382,213,50,22,42,42,10,7,71,2611,4,0,16,36,36,64,91,85,17,11,20,8,5,4,12,404,0,0,9,431,975,533,423,298,80,89,50,62,46,18,95,3101,103,258,646,1120,1188,1434,1231,720,243,249,194,230,80,19,157,7875,386,1495,4322,5308,9975,10897,13719,7509,1877,2270,2559,2386,786,160,1423,65075
CED102,0,4,32,154,605,476,663,605,197,172,245,307,89,16,74,3630,5,5,14,16,90,32,69,72,24,17,16,9,4,0,7,374,0,0,10,37,83,72,131,78,13,17,16,16,7,8,15,495,0,7,17,46,87,58,92,41,12,20,15,6,3,0,11,408,0,0,6,22,52,35,56,33,12,10,18,14,6,4,7,264,0,0,0,8,82,126,125,136,41,33,19,27,11,0,13,612,0,0,4,17,118,200,529,317,93,59,41,65,14,9,57,1524,38,118,423,291,331,301,534,379,79,70,62,49,27,10,107,2825,5,0,20,35,50,70,125,115,31,37,19,35,17,11,16,591,0,0,5,457,828,489,426,386,121,149,142,158,63,9,120,3358,100,360,1044,1798,1627,1622,1690,1564,758,946,1086,1229,291,30,435,14585,313,2571,7574,7382,10973,11121,15812,11354,3533,4258,5200,5271,1493,278,2882,90025
CED103,0,0,28,123,478,438,648,621,138,226,283,367,120,32,59,3566,3,3,11,33,118,53,48,41,18,7,8,10,0,0,3,363,0,7,26,79,152,123,230,144,29,35,29,43,42,3,13,958,0,6,22,75,141,166,240,112,57,26,28,45,42,0,10,978,0,9,23,97,382,378,322,158,58,43,78,66,38,8,33,1689,0,0,3,11,251,363,251,229,57,56,66,74,33,3,28,1433,0,0,4,32,95,136,313,157,51,43,36,41,15,4,24,942,83,224,644,509,483,502,702,381,64,76,43,74,36,10,106,3938,0,10,37,51,61,112,171,135,40,38,45,52,48,10,19,815,0,0,7,408,367,138,197,197,58,78,108,127,69,12,28,1789,93,196,552,897,1161,1185,1375,1266,481,550,531,517,240,41,159,9251,450,1506,3401,5055,12333,14619,21958,14437,4029,4360,4482,5296,2311,596,1748,96578
CED104,0,0,19,151,298,257,295,230,71,55,65,68,32,8,28,1583,4,11,21,33,204,48,40,13,7,6,10,0,0,0,9,398,3,5,27,72,147,111,207,96,17,15,19,14,6,7,12,759,0,10,31,137,206,403,682,274,97,83,51,82,46,17,19,2160,0,9,19,84,463,485,463,158,35,18,28,48,13,5,34,1852,0,0,0,9,194,189,103,36,13,9,14,7,7,0,11,592,0,0,3,20,41,60,107,57,16,9,6,16,11,0,3,359,150,439,1257,869,936,843,1420,616,76,70,49,54,35,11,184,7009,6,6,41,78,89,111,247,123,21,21,18,19,6,9,17,806,0,0,9,183,171,74,76,53,6,14,14,16,7,7,7,646,124,221,497,696,816,861,1101,563,120,132,102,126,35,9,87,5477,521,1563,3411,4109,8319,9590,13615,6565,1413,1283,1150,1266,534,205,899,54440
CED105,0,3,6,98,499,461,395,284,48,73,103,175,21,12,44,2230,32,13,27,32,78,32,7,16,0,0,0,0,0,0,32,274,0,3,0,30,19,18,43,13,12,9,10,13,0,0,5,168,0,0,8,24,31,28,37,10,4,0,0,0,0,0,3,148,0,3,10,18,141,250,286,148,21,37,15,21,10,0,25,988,0,0,0,3,46,40,68,87,34,44,50,50,9,0,31,463,0,0,0,9,67,78,125,90,32,16,14,12,5,3,20,471,30,100,267,131,97,48,73,39,12,11,11,4,4,0,76,905,0,0,6,8,22,24,51,41,3,6,18,8,11,0,9,198,5,3,21,1975,4617,2929,2199,1716,406,384,325,371,175,84,567,15774,102,212,932,1881,1866,2264,2506,1654,566,491,507,447,201,48,572,14243,321,1193,4252,8451,13051,13361,18087,12177,3193,4283,5175,4652,1413,368,3444,93424
CED106,0,0,21,113,255,183,385,319,119,97,104,143,39,13,25,1822,11,20,13,31,127,53,53,25,4,5,3,7,0,0,9,359,3,18,34,94,148,149,309,160,32,43,48,42,34,18,7,1132,6,14,58,252,613,865,1212,465,141,93,145,117,55,45,54,4137,0,5,31,104,207,229,214,77,13,10,30,16,11,6,8,977,0,0,0,19,354,446,259,162,31,28,49,44,28,0,15,1441,0,0,10,22,67,67,206,150,38,28,36,29,21,0,12,679,206,446,1038,935,924,1075,2006,957,137,116,121,133,70,32,162,8358,7,8,64,113,118,187,347,213,47,55,68,65,48,32,29,1391,0,6,13,245,184,102,118,78,19,29,22,39,20,0,29,888,178,263,463,803,842,910,1566,811,239,242,228,195,90,46,124,7008,711,1570,3067,4958,10182,11941,19527,10737,2625,2702,2847,3127,1599,546,1275,77420
CED107,0,0,5,25,98,103,155,199,30,46,64,101,22,5,36,885,19,10,11,7,22,3,8,7,0,0,4,3,0,0,9,96,5,0,6,7,3,8,26,9,0,6,0,0,7,0,4,89,0,0,15,27,51,75,168,63,22,13,14,24,25,0,6,506,0,3,4,4,24,20,47,44,7,21,13,13,0,0,4,213,0,0,0,0,8,5,6,11,0,0,0,0,0,0,6,44,0,0,0,5,14,28,76,74,14,23,11,24,7,0,21,295,156,467,1202,699,362,270,357,187,32,27,26,27,8,7,195,4029,0,6,29,42,41,50,94,45,9,13,13,8,3,0,14,369,0,0,0,5,21,19,35,52,8,16,7,14,14,0,26,219,73,146,280,269,217,221,336,232,76,43,68,113,52,5,131,2268,437,1111,2172,1724,1600,1365,2474,1855,432,520,532,585,261,43,832,15943
CED108,0,3,26,494,3949,4012,4034,2331,483,421,521,671,246,36,286,17525,66,19,43,38,197,66,25,10,6,4,0,0,0,0,8,485,0,0,8,20,42,35,36,52,21,19,7,10,3,0,0,262,0,0,19,28,124,121,118,86,6,18,10,11,16,3,4,558,0,0,18,36,193,333,706,352,71,37,39,50,11,3,22,1878,0,0,0,0,10,37,17,17,4,6,8,34,4,0,4,147,0,0,4,8,48,64,129,75,15,14,13,12,0,0,8,394,47,248,945,433,274,128,198,85,22,18,12,11,7,5,92,2528,0,6,14,28,19,44,107,60,14,9,15,14,3,6,9,340,0,0,0,117,227,132,106,56,10,15,13,12,7,0,13,708,115,389,1063,1277,2028,2836,3213,1523,498,477,368,341,120,44,518,14808,375,1147,3226,3772,10704,14729,24592,14316,3329,3079,3285,3540,1199,269,1837,89392
CED109,0,3,20,50,240,163,210,154,46,34,37,27,21,6,19,1032,11,7,11,28,97,44,60,41,11,9,11,5,0,0,9,351,0,3,21,31,58,26,56,17,3,0,3,6,4,0,3,229,0,3,20,117,140,121,191,79,32,12,26,35,20,0,4,814,0,0,9,17,20,23,23,9,4,0,0,5,0,9,0,110,0,0,0,7,47,31,30,12,0,3,0,0,0,0,3,139,0,0,4,8,28,82,131,117,22,15,20,20,11,3,7,464,166,385,987,713,597,450,864,620,126,88,111,98,43,22,126,5396,0,4,25,42,53,70,97,82,27,21,25,31,21,18,20,524,0,4,4,129,161,64,46,38,0,8,7,19,7,0,21,509,126,327,750,1159,922,1032,1223,915,230,238,203,179,83,20,130,7547,533,2120,4646,4106,4930,4754,5906,3706,838,705,671,689,342,136,857,34938
CED110,0,0,7,27,137,106,167,183,71,52,61,56,13,6,37,934,9,6,7,19,32,8,19,5,0,0,0,0,0,0,9,98,0,3,9,12,8,5,16,9,0,3,5,3,0,0,9,85,6,6,40,87,101,105,235,43,25,18,20,11,16,5,20,721,3,0,4,6,17,4,15,27,11,0,0,6,0,0,0,99,0,0,0,0,7,12,12,7,3,9,4,12,0,0,4,66,0,0,0,3,26,37,79,62,32,27,15,15,16,4,33,340,295,842,2005,1092,700,477,798,355,46,59,38,63,27,10,332,7160,0,7,28,89,82,52,119,72,25,4,13,13,17,6,12,546,0,0,0,12,19,13,22,35,6,7,6,13,3,0,23,175,82,253,373,363,318,251,596,504,131,147,156,209,71,77,124,3653,599,1830,3277,2612,2459,1742,3262,2138,555,678,696,808,300,137,938,22036
