CED_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED311,2616,2921,6932,7539,7712,5975,1402,231,19,35357,1524,764,2126,1854,2051,4202,6165,3125,926,22745,363,355,912,867,861,884,724,410,202,5575,4501,4042,9967,10263,10625,11070,8293,3773,1151,63674,1340,3767,9383,10363,11043,8351,1883,316,15,46453,3052,1604,3453,3947,3728,3558,1324,289,34,20987,162,240,865,637,722,914,238,38,8,3824,135,148,374,331,305,256,107,75,12,1748,4689,5760,14076,15276,15802,13078,3550,712,65,73017,283,411,554,466,503,515,58,0,0,2791,449,173,270,227,229,253,60,0,0,1666,734,584,824,689,730,765,120,0,0,4451,5426,6349,14899,15970,16533,13851,3671,717,66,77474,3260,1170,2825,2669,3306,7214,12563,6388,1665,41059,767,897,2320,2493,2542,2418,1722,880,321,14363,9454,8412,20042,21131,22384,23481,17955,7981,2051,132892
CED312,3367,4888,10592,10201,9189,6079,1234,78,12,45636,2275,1151,3011,2545,2449,3675,6603,3965,1306,26981,366,488,1058,839,626,459,408,386,277,4911,6002,6527,14670,13586,12261,10216,8246,4433,1586,77529,1090,4788,13061,13279,12087,7518,1214,60,3,53092,3484,3186,5586,5368,4508,3597,1301,114,12,27148,683,791,1632,1108,947,839,272,26,0,6305,121,251,558,369,255,155,49,8,5,1770,5382,9015,20836,20123,17800,12106,2835,204,14,88320,355,639,831,539,497,393,46,3,0,3300,868,355,451,309,259,253,70,5,0,2570,1222,991,1285,847,752,643,116,9,0,5870,6604,10009,22116,20976,18555,12752,2949,216,16,94189,5024,2004,4195,3696,3856,5887,11809,7438,2203,46109,760,943,2088,1665,1298,914,770,658,397,9491,12390,12953,28400,26327,23706,19552,15531,8307,2612,149788
CED313,2957,7114,15830,11913,9829,5728,1198,138,7,54708,1668,1485,1997,1880,1682,2500,4157,2746,1429,19543,246,515,1053,650,485,393,339,306,284,4272,4868,9121,18881,14436,11994,8621,5694,3182,1725,78520,435,5155,20220,16429,13873,7335,1189,86,10,64719,3287,5333,7296,5394,4210,3088,1271,190,16,30076,957,1455,2172,1418,879,743,217,39,4,7885,51,200,420,227,131,71,27,17,3,1156,4727,12139,30104,23469,19084,11242,2701,333,33,103835,89,369,758,541,430,314,36,0,0,2548,647,640,500,299,182,180,62,9,0,2513,740,1006,1260,841,610,496,92,9,0,5057,5465,13150,31366,24311,19697,11743,2796,346,30,108894,3896,2879,3428,2725,2713,4343,7454,4863,2288,34595,470,934,2127,1373,1089,863,762,602,425,8644,9831,16967,36921,28411,23497,16946,11007,5809,2738,152134
CED314,3163,3930,8155,7882,7957,6022,1523,189,28,38855,1989,846,1992,1707,1750,3248,6569,4904,2237,25241,216,273,529,465,440,431,403,390,255,3400,5363,5051,10680,10055,10145,9704,8490,5490,2518,67496,1196,4278,10294,9797,10389,7530,1483,177,17,45162,3824,2751,4418,4549,3828,3536,1600,293,32,24848,255,285,880,479,470,570,193,29,3,3170,93,156,265,195,144,109,58,37,14,1066,5373,7467,15859,15025,14833,11745,3337,537,70,74247,235,356,496,355,320,249,29,8,0,2054,627,258,305,227,197,196,63,3,0,1879,864,617,800,583,519,449,88,12,0,3937,6232,8086,16660,15610,15349,12194,3428,548,73,78182,4203,1440,2861,2581,2860,5278,11755,8773,3527,43276,467,578,1119,938,920,887,813,687,393,6810,10911,10107,20638,19124,19134,18365,16001,10007,3998,128275
CED315,3460,4651,9170,8754,8306,6092,1442,112,10,41998,1861,1129,2031,1627,1718,3159,5531,3460,1280,21795,362,456,931,770,688,533,470,298,216,4727,5684,6234,12137,11158,10708,9785,7442,3874,1502,68519,1186,5129,12029,11205,10855,7354,1329,73,0,49168,4019,3257,4515,4059,3678,3496,1374,171,7,24563,248,378,1054,660,611,722,231,15,0,3918,94,196,361,262,187,116,51,15,0,1278,5555,8959,17957,16184,15324,11691,2978,277,11,78929,238,407,599,440,455,333,36,0,0,2510,642,300,326,237,213,200,64,8,0,1989,883,707,926,676,670,530,100,8,0,4501,6437,9668,18885,16860,15991,12221,3079,283,13,83434,3921,1901,3079,2680,3082,5589,10554,6414,2017,39230,808,1345,2038,1565,1362,1140,962,610,328,10159,11170,12909,23996,21107,20429,18953,14598,7302,2357,132822
CED316,2500,2578,5691,6237,7133,6158,1369,153,14,31828,1388,696,1666,1669,2148,5695,11483,7114,2450,34306,209,207,469,421,510,597,704,738,351,4204,4093,3481,7824,8326,9793,12445,13557,8003,2816,70337,920,2606,6470,6994,8153,6131,1100,105,5,32483,2880,1818,3313,3628,3818,4168,1483,209,19,21341,155,191,574,469,571,778,242,30,6,3012,121,120,290,240,228,167,44,31,7,1253,4071,4744,10648,11327,12773,11247,2871,380,33,58090,312,389,546,386,474,503,60,7,0,2671,568,213,285,224,246,347,87,6,0,1966,879,599,833,605,717,850,148,5,0,4639,4949,5345,11477,11931,13488,12092,3014,389,38,62729,3023,1195,2538,2707,3823,9776,21973,14194,4175,63408,428,425,954,826,1043,1180,1394,1317,598,8171,8399,6965,14974,15459,18363,23051,26382,15905,4813,134312
CED317,2566,3006,7538,7649,8474,7325,2064,277,27,38919,1868,876,2149,1890,2037,4854,8392,4453,1490,28012,517,537,1202,1113,1138,1213,1101,635,311,7763,4951,4414,10892,10652,11642,13394,11563,5359,1822,74698,1467,4017,10263,9762,11053,9034,2341,379,20,48334,2903,1528,3515,3934,3987,4321,1927,324,25,22474,233,239,937,741,907,1284,478,49,12,4887,166,215,462,351,373,294,131,70,13,2081,4769,6005,15187,14790,16319,14943,4879,819,71,77781,239,359,553,432,505,456,67,5,0,2609,368,190,286,218,240,332,87,11,0,1731,605,551,839,653,742,787,153,12,0,4334,5375,6553,16027,15437,17062,15725,5037,833,71,82116,4123,1685,3552,3249,3716,8541,17031,9109,2669,53678,1103,1160,2749,2504,2717,2718,2505,1352,534,17344,10602,9395,22323,21200,23499,26983,24568,11289,3280,153142
CED318,2882,3360,8970,9545,10038,7626,1919,181,17,44538,1932,1126,2349,2138,2058,3842,6719,3584,1224,24978,443,676,1741,1175,1138,1289,1059,577,231,8327,5258,5163,13057,12852,13236,12756,9701,4348,1472,77843,888,3259,9990,11018,12136,8316,1690,152,10,47454,3404,2387,5103,5404,5403,4851,2026,298,25,28899,267,345,1132,984,1004,1302,380,45,4,5454,142,201,419,311,281,214,71,33,6,1673,4700,6192,16643,17718,18824,14676,4171,518,42,83482,256,456,773,560,630,540,76,8,0,3295,575,237,334,318,301,313,106,11,3,2202,830,691,1109,878,925,854,185,17,0,5500,5531,6882,17751,18594,19749,15528,4355,536,45,88981,4153,1971,3675,3390,3711,7104,13394,7221,2102,46712,935,1420,3603,2594,2659,2708,2395,1202,402,17917,10616,10277,25027,24574,26116,25346,20147,8958,2549,153612
CED319,2614,4369,10972,10214,8960,5676,1244,99,4,44149,1446,651,1632,1725,1596,2877,5404,4391,2314,22029,125,219,570,424,333,266,276,326,451,2987,4186,5235,13176,12362,10888,8816,6922,4814,2769,69163,509,3668,13763,13761,12163,6928,1152,70,3,52013,2957,3362,5251,5089,4071,3206,1209,169,9,25322,776,802,1712,1245,902,871,292,32,6,6631,43,146,359,212,133,90,29,18,3,1035,4286,7980,21081,20310,17268,11088,2680,291,27,84995,145,325,602,443,405,327,37,0,0,2290,571,302,286,212,196,189,56,0,0,1821,714,629,891,658,602,514,94,3,0,4108,4998,8609,21974,20968,17874,11600,2775,295,23,89109,3349,1241,2572,2556,2629,4852,9689,7503,3599,37979,270,464,1132,885,720,562,553,564,643,5789,8615,10306,25673,24411,21222,17016,13009,8361,4264,132873
CED320,3445,4073,8861,8710,8857,6319,1215,80,14,41568,1907,942,2588,2270,2459,4770,9305,5504,1703,31456,276,303,699,593,501,381,480,392,281,3913,5626,5316,12156,11580,11811,11478,11001,5978,1993,76940,1057,3862,10085,10451,10946,7134,1173,65,7,44775,3580,2851,4913,4652,4559,4092,1363,145,7,26165,707,674,1458,1057,1076,985,291,20,3,6286,135,210,402,296,247,153,48,26,10,1530,5475,7595,16855,16457,16833,12373,2875,255,24,78752,391,534,667,503,495,377,54,0,0,3024,762,296,356,263,245,265,62,7,3,2259,1158,830,1028,765,735,639,115,9,5,5282,6638,8428,17880,17222,17567,13012,2989,262,32,84034,4200,1821,4358,3756,4173,7927,17106,10653,2960,56967,578,615,1333,1130,996,764,887,732,431,7473,11413,10863,23571,22109,22743,21705,20989,11653,3422,148473
CED321,2338,2752,6091,6371,7255,6454,2021,351,28,33661,1320,733,1789,1473,1832,4034,7337,4483,1695,24703,344,362,891,762,851,908,851,612,322,5898,3995,3850,8777,8607,9937,11402,10208,5445,2050,64262,1351,3611,8432,8304,9864,8331,2575,517,37,43024,2692,1439,3151,3437,3507,3879,1835,408,51,20400,176,213,680,507,559,786,322,53,0,3304,164,158,284,245,274,238,168,98,18,1655,4388,5422,12554,12492,14204,13236,4898,1073,109,68370,216,279,315,290,364,292,38,4,0,1798,243,141,214,152,167,199,60,9,3,1177,455,417,528,438,531,491,104,11,3,2968,4847,5840,13075,12930,14734,13723,5000,1080,113,71343,2750,1129,2539,2327,3178,7121,14426,8748,2852,45064,752,827,2052,1749,2032,2126,1857,1188,525,13113,8347,7793,17667,17004,19945,22964,21288,11018,3493,129515
CED322,2986,4013,8969,9784,9296,6619,1691,135,9,43507,1491,730,1399,1740,1760,3343,7100,4774,2068,24413,170,267,652,594,493,435,455,541,606,4203,4645,5015,11026,12111,11549,10393,9248,5455,2686,72127,605,2904,9690,10898,11067,6676,1379,79,3,43296,3538,3151,5053,5996,5368,4553,1938,263,15,29874,858,750,1398,1150,998,967,354,54,7,6529,74,165,380,294,233,134,36,13,7,1341,5076,6973,16519,18329,17661,12327,3703,405,33,81035,165,255,417,343,427,357,51,5,0,2025,553,273,253,286,223,269,89,4,0,1966,726,533,666,632,651,630,137,8,0,3989,5798,7515,17189,18964,18314,12956,3846,412,33,85025,3383,1379,2201,2479,2807,5480,12561,8835,3373,42491,360,505,1293,1108,1017,825,895,943,928,7865,9540,9390,20682,22547,22137,19258,17301,10190,4332,135381
CED323,2753,5208,11437,9231,9134,7037,2119,263,16,47207,1654,1032,2217,2061,2322,3969,7705,5701,2092,28755,276,583,1366,954,866,907,822,722,524,7020,4688,6821,15026,12238,12327,11906,10648,6694,2639,82980,511,3462,11775,10567,10758,7412,1742,164,7,46396,2998,4172,7397,5731,5297,4737,2372,448,31,33183,813,1288,2055,1392,1164,1104,436,68,8,8325,96,241,568,324,251,175,80,18,13,1773,4422,9166,21793,18012,17467,13427,4632,698,56,89674,170,441,721,565,601,507,74,4,0,3087,594,424,532,312,281,328,114,21,0,2614,766,862,1257,877,880,840,189,24,0,5697,5188,10026,23046,18892,18343,14265,4821,721,59,95377,3693,1986,3625,3209,3846,6727,14049,10677,3642,51461,593,1092,2825,1963,1751,1830,1662,1345,830,13886,9469,13104,29506,24064,23941,22824,20539,12745,4527,160714
CED324,2343,4827,10965,10140,8127,5050,1149,103,0,42712,2168,1154,2272,2398,2055,3313,5453,3648,1852,24315,134,272,639,449,305,242,217,206,165,2635,4646,6260,13876,12994,10488,8605,6813,3959,2016,69662,403,3358,13152,13144,10656,6274,1092,87,0,48172,2522,4494,6592,5779,4176,3131,1310,216,9,28230,808,1021,1503,1106,859,695,230,28,4,6261,64,229,517,302,204,147,32,15,0,1509,3797,9101,21763,20327,15895,10258,2668,342,14,84164,130,439,843,527,501,326,46,0,0,2819,605,545,493,324,230,217,57,0,0,2468,739,983,1333,849,730,548,97,3,0,5280,4534,10090,23099,21181,16619,10802,2768,346,14,89450,4493,2363,3776,3444,3205,5491,9705,6624,2901,42004,290,599,1392,943,678,516,431,350,231,5436,9320,13053,28267,25568,20504,16805,12906,7322,3142,136891
CED325,2998,4280,10191,10668,8941,5504,1073,69,5,43733,2724,1182,3015,2842,2592,3693,5346,3244,1271,25910,251,298,715,643,425,314,247,182,89,3152,5965,5762,13919,14153,11960,9511,6671,3491,1361,72790,703,3725,12395,14004,12242,7301,1218,60,7,51641,3161,3287,5253,5499,4134,3062,1048,121,4,25570,692,754,1515,1166,885,739,242,23,0,6018,95,188,481,317,263,155,44,10,0,1549,4653,7955,19644,20980,17529,11249,2546,215,16,84778,301,555,865,616,487,384,52,0,0,3257,907,427,421,367,259,247,75,6,0,2711,1209,981,1283,976,748,636,130,5,0,5968,5862,8937,20931,21954,18274,11884,2674,219,13,90746,5958,2494,5343,4942,4422,6224,9617,5890,2001,46895,528,626,1428,1202,857,651,479,306,145,6222,12351,12060,27701,28094,23551,18753,12770,6412,2161,143858
CED326,3220,3992,9278,10781,9778,6515,1368,117,19,45055,1898,799,2194,2383,2268,3970,8078,5528,2328,29451,172,214,533,501,410,314,306,361,374,3185,5287,5001,12001,13668,12457,10799,9756,6011,2718,77692,820,3567,10774,13776,12555,7536,1259,70,5,50375,3474,2915,4850,5573,4689,3794,1427,197,14,26930,757,754,1516,1202,1078,944,318,31,4,6608,127,161,388,307,219,115,38,15,10,1382,5180,7394,17531,20865,18539,12397,3044,310,29,85290,284,480,637,496,529,402,50,0,0,2888,826,276,353,302,223,241,65,9,3,2297,1110,758,998,800,753,644,110,7,5,5183,6292,8153,18526,21662,19297,13039,3150,324,31,90476,4276,1461,3187,3422,3618,6463,14189,9905,3756,50271,331,453,1032,1017,841,624,611,620,562,6095,10899,10065,22745,26100,23752,20124,17954,10850,4344,146832
CED327,2994,4002,8975,10175,8148,5518,1170,61,0,41034,2830,1361,3504,3294,2787,3890,6003,3047,1110,27820,374,389,970,863,587,360,319,228,162,4248,6190,5747,13455,14324,11522,9767,7485,3334,1271,73104,856,3511,11079,13049,10683,6902,1241,68,0,47394,3108,3166,5171,5776,4297,3316,1168,125,3,26133,573,685,1197,1033,765,733,221,18,0,5220,117,257,474,394,282,166,49,13,0,1747,4647,7619,17918,20251,16026,11125,2679,219,3,80495,369,727,1024,736,583,427,58,0,0,3922,918,428,486,388,307,243,58,6,0,2832,1290,1155,1508,1119,884,672,114,9,0,6751,5939,8778,19430,21374,16911,11790,2793,226,3,87244,6124,2378,5001,4680,4313,6186,10862,5873,1778,47187,810,816,1931,1744,1196,768,620,419,241,8545,12872,11971,26359,27794,22424,18741,14277,6517,2025,142974
CED328,3614,5411,8289,9894,9557,5563,1600,188,13,44131,2520,1274,1492,1849,1771,2512,5150,3793,1762,22119,137,167,362,246,195,140,172,175,205,1788,6267,6853,10138,11991,11523,8211,6920,4157,1975,68036,532,3493,10309,12906,13306,6934,1454,123,10,49064,3715,4980,4082,4939,4443,3248,1709,356,24,27498,1493,1531,1359,1214,979,769,294,42,0,7685,52,126,193,197,108,58,23,3,0,761,5797,10126,15944,19245,18832,11009,3477,525,43,85005,99,333,466,366,393,267,46,4,0,1978,985,613,335,236,201,162,62,3,3,2607,1082,954,797,600,599,428,111,7,3,4584,6874,11072,16746,19848,19433,11437,3589,532,47,89586,5723,2715,2610,2502,2459,3982,8958,6930,2805,38685,259,457,714,501,405,287,292,309,301,3521,12854,14246,20066,22853,22301,15704,12841,7780,3154,131801
CED329,2366,2128,4604,6111,7628,6755,1630,187,19,31428,1480,638,1525,1730,2363,5525,10043,5739,1978,31026,234,192,497,575,610,664,642,548,320,4272,4073,2952,6632,8415,10604,12945,12317,6474,2315,66731,801,2149,4965,6364,8265,6204,1365,170,9,30298,2788,1533,2949,3975,4801,5089,2009,332,18,23493,502,327,731,668,879,1046,341,55,12,4552,107,149,258,227,293,193,82,34,11,1352,4192,4152,8905,11237,14229,12538,3798,600,48,59694,244,330,408,323,429,474,53,6,0,2270,384,159,242,172,228,353,84,7,4,1635,628,491,653,500,652,826,140,13,0,3909,4816,4641,9558,11735,14888,13363,3937,608,51,63604,3223,1189,2640,2971,4177,9797,19475,11484,3402,58350,538,418,1041,1139,1257,1364,1321,991,504,8577,8575,6246,13236,15838,20320,24529,24731,13086,3951,130524
CED330,3537,3513,8050,9352,9908,6754,1583,175,17,42893,2124,981,2302,2356,2357,4267,6729,3571,1103,25787,317,268,636,640,618,477,439,351,286,4034,5979,4763,10987,12354,12879,11503,8756,4098,1408,72718,1194,3580,9732,11869,12837,8456,1638,191,3,49508,3836,2335,4185,4980,5051,4373,1700,286,19,26757,735,647,1258,1097,1056,1028,320,37,3,6185,137,195,361,329,387,224,67,46,19,1760,5907,6754,15543,18267,19329,14081,3723,561,45,84215,244,388,511,366,442,325,44,6,0,2333,633,247,256,225,195,234,69,12,0,1874,883,637,769,599,641,561,116,16,0,4206,6791,7387,16308,18862,19974,14644,3839,575,51,88427,4658,1613,3249,3387,3832,7012,12821,7142,1883,45598,665,579,1238,1292,1255,1013,855,655,437,7991,12114,9579,20793,23538,25053,22669,17514,8374,2365,142012
CED397,0,0,5,5,0,4,0,0,0,15,0,3,3,0,0,0,0,0,0,11,4,4,12,3,0,0,0,0,0,29,6,3,23,7,3,5,0,0,0,53,0,0,19,23,25,6,3,0,0,77,0,3,0,3,0,3,0,0,0,10,0,0,3,4,0,3,0,0,0,10,0,0,0,5,3,0,0,0,0,11,0,3,19,27,27,17,6,0,0,99,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,24,29,29,17,6,0,0,103,6,4,11,4,3,6,3,0,0,26,10,8,57,76,45,16,6,0,0,219,11,15,87,111,79,34,14,0,0,358
CED401,2697,6362,14612,11050,8928,6532,1749,149,20,52094,2349,1989,2843,2403,2238,3996,6814,4748,2995,30388,225,400,844,621,478,443,383,325,273,3986,5268,8758,18298,14078,11637,10974,8946,5221,3285,86467,403,4114,17957,14866,11956,7861,1622,112,3,58892,3519,6503,9505,6661,5063,4357,2004,317,27,37953,234,464,1172,791,467,493,188,21,0,3836,62,232,508,254,161,97,39,18,8,1375,4210,11319,29141,22572,17653,12799,3860,462,45,102059,100,480,974,634,549,397,44,0,0,3173,717,811,695,374,283,272,74,8,3,3233,810,1290,1662,1006,831,675,120,13,3,6405,5028,12610,30806,23571,18483,13468,3975,472,42,108463,4818,4221,4791,3775,4009,7088,12302,8333,4610,53958,415,825,1865,1399,1137,973,774,566,401,8362,10262,17661,37468,28746,23631,21531,17058,9366,5061,170787
CED402,2691,2974,6784,7435,8581,7628,2061,308,28,38488,1524,629,1789,1625,1835,4013,8068,5503,2459,27441,247,207,498,494,611,624,656,509,337,4187,4466,3810,9063,9558,11021,12263,10790,6325,2818,70113,1287,3573,8606,9011,10924,8973,2284,281,26,44962,3297,2081,4228,4715,4971,5561,2388,489,33,27766,209,223,744,500,553,710,301,46,3,3298,166,172,311,255,278,272,135,71,14,1674,4953,6049,13888,14483,16738,15514,5102,889,78,77704,161,311,434,305,368,331,36,3,0,1956,329,177,234,201,220,274,54,3,4,1490,487,484,671,502,589,605,91,6,4,3444,5446,6534,14557,14987,17322,16120,5199,899,85,81149,3530,1218,2935,3006,3474,7143,15572,10282,4027,51184,547,481,1105,1071,1306,1354,1358,968,536,8720,9518,8232,18602,19058,22107,24621,22129,12144,4645,141056
CED403,2815,4622,9789,9923,9356,7283,1867,199,23,45885,1881,868,1538,1595,1597,3773,8353,6090,3752,29444,87,163,331,284,244,266,301,335,231,2242,4790,5656,11656,11802,11195,11322,10518,6623,4012,77574,464,3072,11673,11874,11893,8125,1516,124,10,48744,3790,4759,5896,6245,5316,5056,2209,364,27,33663,287,359,955,706,501,605,235,32,4,3679,41,113,247,175,135,108,50,25,13,911,4584,8302,18769,18997,17852,13900,4007,548,47,86998,99,316,497,387,399,299,62,0,0,2065,656,411,331,265,215,261,65,12,0,2218,754,728,830,648,618,560,126,6,0,4279,5341,9027,19600,19646,18469,14465,4132,558,50,91285,4110,1757,2527,2402,2725,6353,14879,10826,5808,51386,204,330,670,560,535,539,561,571,366,4335,9645,11117,22796,22610,21728,21355,19570,11952,6226,146999
CED404,2282,2919,7013,6980,8291,7488,1910,259,25,37173,1648,848,2121,1746,2091,4693,8651,5537,2203,29532,295,292,786,685,776,851,829,599,301,5419,4225,4054,9918,9418,11162,13027,11387,6396,2524,72120,1035,3428,9267,8997,10519,8999,2132,273,18,44661,2788,1919,4148,4401,4782,5425,2124,364,31,25986,209,266,957,636,748,1036,356,73,7,4290,154,156,322,245,345,261,110,66,13,1676,4187,5770,14690,14286,16395,15718,4728,774,66,76615,197,374,558,424,528,519,50,3,0,2653,286,203,259,195,236,350,74,4,0,1611,484,578,814,620,770,870,122,7,0,4257,4669,6349,15508,14905,17169,16585,4850,777,72,80876,3619,1535,3472,3075,3926,8723,17010,10693,3710,55756,649,719,1942,1800,2068,2113,1716,1204,507,12715,8932,8606,20911,19779,23161,27425,23577,12680,4290,149352
CED405,2550,4223,9850,9264,9155,7229,1546,139,14,43966,1573,703,1701,1751,1927,4132,7744,5748,3168,28442,95,166,400,370,312,281,296,328,177,2426,4215,5087,11947,11381,11391,11648,9593,6210,3359,74832,525,3536,12385,11546,11805,8478,1409,114,5,49813,3367,4000,5680,5596,4985,4951,1781,267,21,30648,206,271,913,702,457,626,173,21,4,3368,68,119,282,199,175,112,42,16,3,1022,4165,7926,19262,18040,17425,14178,3408,414,38,84855,136,340,568,437,512,416,46,0,0,2451,567,327,309,277,266,245,62,3,7,2068,699,667,877,721,778,660,109,3,7,4511,4867,8589,20135,18758,18202,14840,3521,419,41,89367,3610,1465,2631,2702,3339,7219,13937,10068,5138,50106,230,368,841,722,662,619,551,549,299,4832,8709,10426,23605,22182,22201,22680,18002,11039,5474,144307
CED406,2829,3778,8325,8916,8554,6902,1362,79,10,40754,1637,706,1908,1919,1927,3752,8091,4692,1934,26571,145,133,312,344,277,266,259,270,229,2234,4612,4623,10546,11183,10759,10918,9713,5040,2167,69560,741,3140,10032,10671,10721,7599,1180,48,0,44122,3641,3372,5116,5806,5154,4934,1560,139,11,29727,193,311,1008,650,499,640,163,20,0,3486,58,119,215,163,176,126,36,12,3,903,4631,6938,16366,17291,16545,13294,2935,214,17,78243,215,440,562,431,424,344,42,0,0,2454,738,339,315,257,222,219,67,7,0,2165,949,780,882,689,648,561,102,7,0,4624,5583,7713,17253,17983,17193,13857,3039,222,22,82862,3684,1377,2778,2917,3208,6267,14795,8673,3223,46918,298,293,661,693,587,524,493,454,345,4340,9561,9384,20690,21594,20987,20647,18324,9348,3583,134124
