CED_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED301,3474,4500,10417,9641,8757,6011,1100,110,3,44020,2239,1151,3099,2564,2585,4059,6388,3755,1291,27123,359,382,827,690,596,445,379,412,291,4382,6077,6036,14340,12897,11937,10511,7873,4275,1583,75525,1123,4396,12791,12707,11534,7367,1150,98,11,51168,3414,2848,5076,4903,4003,3530,1096,166,10,25045,719,724,1667,1127,1041,913,250,24,3,6475,129,254,477,361,270,173,47,27,6,1737,5383,8225,20010,19096,16850,11983,2542,301,25,84422,383,643,797,587,506,364,37,0,0,3316,869,366,437,284,226,218,63,3,0,2467,1249,1008,1232,876,724,585,98,0,0,5778,6632,9237,21244,19971,17574,12569,2641,306,27,90204,4956,2074,4709,4116,4294,7060,11933,7012,2131,48289,718,823,1688,1441,1173,924,801,706,426,8713,12311,12130,27644,25532,23050,20558,15375,8025,2592,147208
CED302,2956,3887,8509,10589,9638,6013,1277,128,14,43010,1870,686,1465,1839,1793,3083,5774,4073,1854,22441,131,145,354,319,285,212,198,245,229,2126,4956,4713,10335,12752,11720,9306,7253,4445,2099,67575,620,3227,10663,13755,13332,7589,1207,88,3,50492,3452,3185,4162,5428,4541,3448,1365,209,9,25792,824,791,1256,1050,794,835,278,30,0,5859,48,131,275,211,171,108,42,22,15,1018,4943,7335,16351,20446,18844,11976,2885,343,32,83160,137,327,494,385,399,342,42,0,0,2120,760,292,246,245,175,169,67,4,0,1958,891,623,739,630,577,512,106,3,0,4079,5833,7954,17093,21069,19420,12489,2995,355,27,87236,4164,1486,2231,2526,2738,5024,10238,7293,2942,38641,260,342,754,677,605,447,373,420,353,4233,10257,9792,20080,24271,22768,17960,13603,8065,3319,130111
CED303,3072,3158,6735,8429,9318,7117,1532,135,5,39509,1637,507,1265,1458,1768,3851,7948,4996,1836,25257,121,119,298,315,305,277,304,366,502,2594,4828,3783,8294,10200,11396,11248,9781,5494,2338,67367,918,3179,8114,10620,12007,8504,1410,82,0,44842,3595,2448,3478,4385,4468,4282,1679,223,10,24563,749,624,1143,942,976,1056,346,25,3,5882,72,119,232,202,215,144,36,15,3,1048,5335,6369,12968,16150,17662,13990,3476,341,21,76324,175,312,380,315,358,331,64,0,0,1935,620,167,209,175,161,213,68,12,0,1619,787,482,589,490,523,547,129,8,5,3562,6124,6854,13566,16636,18183,14535,3610,352,27,79888,3710,994,1871,2165,2716,6261,14402,9367,3084,44577,249,264,593,601,614,550,593,619,704,4789,10088,8112,16030,19409,21510,21351,18597,10338,3815,129257
CED304,2804,8219,18158,11294,9701,5889,1406,156,14,57634,1822,1370,2122,1875,1740,2489,4102,2739,1276,19540,188,612,1432,887,606,539,309,238,172,4977,4818,10199,21712,14051,12039,8918,5819,3136,1468,82155,403,6083,23352,16552,13881,7829,1444,135,6,69687,2906,6077,8812,5255,4139,3252,1486,324,19,32275,1079,1786,2637,1315,1001,821,257,23,3,8924,47,225,467,228,137,77,34,5,4,1232,4437,14176,35265,23351,19162,11971,3228,493,36,112122,86,454,876,621,545,374,48,0,0,2999,626,596,504,268,203,189,69,3,0,2457,712,1049,1379,886,744,560,123,3,0,5453,5151,15226,36642,24239,19905,12533,3351,497,38,117576,3878,2696,3740,2912,2941,4381,7461,4926,1983,34906,360,1145,3061,1982,1492,1185,684,459,272,10646,9388,19064,43440,29124,24340,18103,11490,5882,2292,163129
CED305,2880,3426,7860,8026,7896,6116,1335,141,15,37682,1446,631,1819,1470,1494,3619,5921,3740,1436,21573,364,617,1237,1009,1038,891,623,453,235,6458,4688,4672,10910,10501,10430,10623,7877,4331,1687,65714,1503,4232,10922,11396,11528,8550,1657,124,6,49923,3360,1972,3627,4061,3613,3476,1296,193,25,21619,211,260,1013,674,732,897,258,18,9,4076,115,174,390,295,278,209,80,28,7,1574,5190,6639,15959,16417,16153,13131,3292,367,46,77191,218,269,434,353,328,324,42,0,3,1970,443,186,227,197,164,215,50,0,0,1489,659,459,661,554,496,535,87,0,3,3458,5850,7091,16623,16974,16647,13667,3384,372,50,80652,3224,1134,2783,2339,2549,6026,11615,7139,2387,39194,804,1508,3969,3711,3757,3104,1598,887,404,19731,9876,9735,23372,23023,22950,22793,16593,8398,2847,139576
CED306,3031,3710,8170,8281,8577,6563,1599,171,19,40118,1294,665,1773,1553,1560,3853,6570,3912,1563,22748,324,465,1016,814,747,820,678,468,251,5583,4647,4846,10951,10651,10891,11229,8848,4553,1826,68446,1482,4755,10725,10693,11733,8748,1792,186,11,50121,3577,2053,3960,4373,4021,3897,1673,241,19,23807,177,243,919,646,654,856,254,46,4,3809,124,195,381,283,247,189,88,36,11,1556,5371,7254,15981,15992,16651,13693,3805,505,43,79293,214,255,468,335,349,337,54,0,0,2006,449,154,241,182,160,224,71,3,0,1489,660,412,709,511,511,564,126,6,0,3496,6021,7663,16688,16504,17167,14252,3927,513,45,82789,2929,1197,2748,2480,2740,6464,12778,7605,2510,41447,646,906,2115,1730,1646,1806,1470,946,421,11690,9605,9762,21554,20714,21549,22525,18170,9058,2978,135925
CED307,3349,3675,7720,9514,9909,6189,1210,97,3,41667,1755,598,1521,1717,1750,3135,5951,3417,1136,20977,135,137,315,316,267,180,185,164,161,1853,5235,4404,9561,11546,11934,9508,7342,3672,1294,64501,838,3391,9679,12122,13316,7699,1143,67,0,48261,3783,2868,3810,4860,4749,3708,1256,162,3,25201,842,685,1366,1109,1039,944,285,26,0,6305,70,113,262,241,182,108,31,7,4,1021,5535,7060,15121,18329,19289,12454,2719,265,8,80789,205,375,462,321,355,272,27,3,0,2022,804,246,231,223,179,174,39,4,0,1907,1012,625,691,550,532,444,75,4,0,3928,6551,7687,15811,18876,19818,12901,2791,276,8,84717,4009,1173,2288,2471,2723,5139,10856,6437,1811,36899,279,294,652,605,560,353,330,273,226,3575,10842,9149,18751,21955,23099,18392,13976,6980,2042,125192
CED308,3353,4637,10116,10253,10398,7192,1870,165,8,47981,1992,1001,2392,2312,2471,4152,8131,5349,1876,29675,322,383,890,703,671,489,491,426,280,4661,5663,6015,13402,13271,13531,11831,10494,5943,2156,82308,849,3919,11508,12492,12786,8136,1611,123,4,51431,3715,3483,5726,5708,5339,4577,2028,311,17,30913,774,939,1682,1234,1163,1070,353,50,4,7254,110,220,458,340,272,206,43,14,9,1671,5447,8555,19372,19780,19558,13981,4040,503,34,91263,280,437,675,487,568,458,76,0,0,2988,751,388,420,335,277,340,102,12,0,2630,1034,823,1100,828,840,803,178,10,0,5620,6478,9377,20473,20607,20401,14782,4220,512,36,96880,4388,1896,3499,3337,3839,6731,14377,10189,3115,51375,607,752,1792,1410,1297,884,934,779,402,8854,11474,12023,25762,25355,25535,22399,19533,11483,3555,157112
CED309,3096,3390,7577,8909,9729,7489,1660,139,11,41991,1381,566,1472,1840,1885,4201,8786,5762,2239,28134,195,238,532,573,508,529,523,505,443,4040,4666,4191,9585,11319,12119,12218,10964,6407,2689,74166,790,2774,8123,9772,11053,7184,1284,93,4,41075,3473,2617,4530,5729,5771,5427,2096,260,12,29909,966,676,1355,1189,1172,1293,364,36,5,7054,78,172,361,267,219,163,40,23,8,1314,5303,6237,14375,16950,18214,14067,3776,405,27,79359,180,216,363,292,352,325,49,3,0,1774,540,206,249,231,244,252,82,7,0,1815,723,426,610,520,594,577,129,8,0,3593,6024,6664,14986,17472,18805,14643,3911,412,36,82950,3147,1017,2159,2702,3002,6987,16027,10808,3797,49654,380,493,1058,1164,1020,978,991,937,668,7695,9557,8175,18201,21341,22832,22607,20928,12162,4499,140296
CED310,3552,3826,8033,8801,9477,7094,1655,140,7,42596,1396,659,1644,1735,1924,4319,8969,6216,2354,29213,264,260,579,525,514,499,512,460,344,3951,5206,4744,10253,11060,11914,11914,11136,6813,2708,75756,943,3214,8771,9800,10885,6907,1245,84,0,41854,3875,2897,4693,5415,5397,5025,1916,264,15,29504,941,787,1467,1146,1161,1243,341,50,0,7137,118,157,345,279,227,141,65,27,8,1361,5876,7058,15271,16639,17672,13326,3564,426,31,79859,177,226,407,303,366,314,40,0,0,1829,609,225,260,246,229,305,108,12,0,1988,792,453,664,553,591,615,147,12,0,3818,6668,7509,15933,17188,18262,13941,3717,435,32,83674,3251,1217,2391,2446,3044,7177,16155,11679,4124,51495,492,498,1146,1018,1020,953,980,830,558,7480,10407,9224,19468,20654,22324,22067,20844,12951,4711,142647
