CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED101,27632,20052,22582,22077,20680,20480,14994,8670,4391,161551
CED102,27434,21890,35020,27195,21974,19215,14672,9384,4486,181273
CED103,32509,21586,32658,31263,22832,20994,15705,8510,4382,190447
CED104,28659,19202,12431,19899,22489,19919,15488,9385,4018,151481
CED105,38575,26970,31542,24779,21414,20071,13857,7420,3526,188150
CED106,32151,20400,15878,24649,24432,19478,15330,10472,5490,168278
CED107,33103,19700,20560,19770,21183,21835,18775,10852,4029,169796
CED108,46702,26378,30714,31709,23184,19772,14138,6581,2464,201646
CED109,25515,16710,17925,19169,20561,18602,14921,9956,5095,148446
CED110,28434,17671,16939,18037,20803,24656,24921,15092,6073,172620
CED111,27353,21950,21676,19998,20338,19649,15450,9874,4550,160841
CED112,30929,19188,18977,19675,20392,19749,17571,10906,4779,162176
CED113,29389,17601,20016,20167,22895,24219,19800,9876,3453,167415
CED114,32121,19248,20603,19608,21083,23197,20114,11829,4659,172468
CED115,30964,23671,24713,22039,22165,22252,16127,7893,3553,173374
CED116,26116,15451,15809,16747,19123,25040,26147,14795,5377,164611
CED117,22022,14881,28593,25347,21450,15944,11415,6132,2612,148412
CED118,45154,24624,29664,37616,24831,18217,13086,6147,2056,201393
CED119,30047,18375,16817,20978,20846,17703,13512,7781,3119,149178
CED120,35944,20644,21679,21916,22389,20693,16881,8833,3093,172074
CED121,33148,20439,22316,21095,21460,21319,18654,10848,4355,173639
CED122,27364,22797,36579,27612,22597,18221,13651,8786,3761,181374
CED123,40113,24394,28890,27789,23136,19071,14661,7334,2469,187851
CED124,25031,14572,12722,14735,18719,24551,26434,15599,5522,157897
CED125,47801,25490,32079,31729,23358,20668,15399,6725,1768,205028
CED126,28123,18015,14531,19377,23024,19656,15541,11039,4859,154157
CED127,26441,16675,15901,17443,20156,19781,16804,8774,2977,144947
CED128,35656,22962,24687,23728,21611,20617,14920,7852,2945,174975
CED129,40610,23135,19721,31566,26305,19453,15538,8664,2920,187908
CED130,29601,19011,18549,17476,19049,21015,18816,11468,4182,159169
CED131,27117,23390,26159,21614,20401,18809,14710,8520,4259,164976
CED132,27311,16105,26389,28311,22511,17817,14510,8565,4012,165524
CED133,28934,17188,17121,18290,21358,25624,24443,12696,4826,170486
CED134,31394,17183,20851,17721,18708,21313,17348,10115,3774,158405
CED135,38733,23888,41261,35884,21810,18972,13270,7132,2891,203834
CED136,34216,20092,22501,20848,20926,21135,19547,11275,3568,174109
CED137,29150,25159,44854,31374,22976,20457,14958,8466,4089,201473
CED138,27511,15535,17204,20349,21654,24076,23354,13244,5743,168662
CED139,31336,20655,19663,18154,18869,20593,18144,10811,4424,162649
CED140,26187,16284,15591,18439,19939,20551,18467,11709,4891,152067
CED141,27096,16755,16463,17929,19207,19516,17726,11473,4232,150396
CED142,16024,27022,67170,38927,22602,17466,11641,5564,1848,208260
CED143,26525,15803,19643,21751,22493,17509,12494,8265,3554,148040
CED144,34620,23362,29470,25640,22438,20165,14064,8400,3989,182150
CED145,21270,13144,28724,22405,18711,14495,11845,7802,3779,142172
CED146,44957,28434,26966,28686,25207,22041,13643,6378,2295,198618
CED147,31350,19619,19594,19971,21051,21112,18880,12049,4465,168092
CED197,0,0,0,4,18,8,3,0,0,32
CED201,27136,18947,20172,22267,21481,20347,15666,8803,3576,158406
CED202,28035,17903,18856,18562,19553,19146,16785,8813,3520,151172
CED203,27449,17042,18435,18266,19055,19848,17753,9900,4034,151778
CED204,33591,23302,26520,25061,22943,21249,15102,8043,3250,179062
CED205,44671,25359,32226,29639,21407,17859,10619,4918,1475,188166
CED206,29098,18219,19128,20375,21482,20038,15827,8400,2652,155217
CED207,28089,26755,26092,24236,23388,19755,16060,12358,6300,183028
CED208,23437,16915,29524,24989,21337,16060,10942,7566,4005,154775
CED209,28920,16985,18251,19769,18393,17591,17247,9440,3814,150407
CED210,27528,19515,23674,20446,20170,18746,15420,8992,3754,158246
CED211,29738,18915,20573,23945,22319,19292,15747,10225,4843,165593
CED212,29563,17710,19995,21726,21847,19147,14762,8569,3569,156891
CED213,23972,15387,13857,15851,19797,20392,20867,13895,5443,149453
CED214,28108,20675,35124,27408,21715,18184,13548,7518,3397,175681
CED215,43585,19303,28604,36196,24062,16963,11631,6014,2518,188878
CED216,26069,15855,17441,16920,18394,22248,21361,11462,3990,153743
CED217,26895,18353,14831,19375,23844,19751,15327,9337,4738,152454
CED218,37419,22984,26086,28182,23619,18516,13101,5922,1863,177697
CED219,36961,19700,24922,24377,20489,17015,13203,5857,1893,164413
CED220,20097,18688,31318,22138,19247,16124,12848,8457,3878,152797
CED221,45640,24018,30571,31253,21916,16385,10219,4778,1593,186373
CED222,31629,25545,34376,27903,23827,20368,16119,10453,4907,195133
CED223,27472,17001,17018,17939,20340,23007,20794,11232,4208,159014
CED224,29270,17562,19649,23743,23274,18806,14216,8696,4100,159312
CED225,28487,17994,18995,22215,21930,19330,16039,9186,3934,158096
CED226,25388,23244,20670,19731,22662,19685,15310,9385,4930,161006
CED227,39616,20603,25998,26630,20801,15402,11146,6243,2074,168519
CED228,48990,24389,35948,36406,21287,16646,10900,4781,1596,200949
CED229,19470,17356,40480,28339,21256,17054,13002,6786,2884,166633
CED230,28725,17244,19618,17863,20357,24213,21313,12562,5418,167318
CED231,24493,17456,23796,22430,20775,17113,13683,8666,3748,152160
CED232,35925,18730,20364,23900,21429,17224,12793,6055,1749,158157
CED233,16377,36270,67254,31676,18511,14681,10376,5270,2140,202554
CED234,28339,20863,20588,23244,23325,20961,16515,12398,5739,171977
CED235,25086,14139,15559,15758,17651,20985,20410,10939,3947,144472
CED236,28495,17729,18584,17581,20039,21639,18940,11239,4435,158678
CED237,33487,20913,26423,26450,20944,18287,13566,7405,2925,170389
CED238,25756,15816,17034,16824,19774,22865,20420,10976,4528,154002
CED239,24345,18080,33761,25970,18895,14528,9765,7042,4440,156833
CED297,0,9,52,140,182,158,16,0,0,565
CED301,41932,24444,27644,25532,23050,20558,15375,8025,2592,189137
CED302,31684,20046,20080,24271,22768,17960,13603,8065,3319,161796
CED303,28393,18199,16030,19409,21510,21351,18597,10338,3815,157650
CED304,23422,28455,43440,29124,24340,18103,11490,5882,2292,186553
CED305,31735,19607,23372,23023,22950,22793,16593,8398,2847,171310
CED306,30318,19366,21554,20714,21549,22525,18170,9058,2978,166241
CED307,32340,19993,18751,21955,23099,18392,13976,6980,2042,157528
CED308,36189,23491,25762,25355,25535,22399,19533,11483,3555,193305
CED309,29950,17730,18201,21341,22832,22607,20928,12162,4499,170240
CED310,29677,19628,19468,20654,22324,22067,20844,12951,4711,172323
CED311,32927,17865,20042,21131,22384,23481,17955,7981,2051,165824
CED312,42313,25347,28400,26327,23706,19552,15531,8307,2612,192098
CED313,26666,26799,36921,28411,23497,16946,11007,5809,2738,178795
CED314,32016,21014,20638,19124,19134,18365,16001,10007,3998,160293
