CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
CED130,0,5,5,11,0,0,6,76,0,0,0,0,0,0,19,27,7,12,169,328,22,0,6,593,0,7,15,26,31,24,30,34,3,0,0,7,3,0,9,197,13,42,33,3,4,4,6,0,0,0,3,0,0,0,4,113,0,3,0,4,6,10,21,6,0,6,4,10,5,4,3,79,0,0,0,3,6,10,28,10,0,12,8,12,0,0,3,90,0,6,9,5,6,0,3,4,0,0,0,0,0,0,7,33,0,3,15,15,19,14,22,22,21,30,13,20,0,0,5,194,0,0,0,0,0,0,48,71,62,91,124,120,24,0,9,548,9,118,43,19,19,10,13,4,0,0,6,0,4,0,7,259,21,28,112,285,276,209,201,124,17,18,17,19,15,9,77,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,39,42,0,13,8,17,3,3,8,129
CED131,18,46,16,23,9,0,9,250,0,0,5,4,0,8,17,31,0,7,5,9,0,0,0,77,0,7,23,26,50,36,75,78,4,8,0,4,0,5,7,337,18,251,136,35,11,12,18,23,10,5,3,7,8,0,33,575,0,0,4,9,13,22,33,31,4,7,9,6,18,6,6,167,0,0,3,5,40,56,156,74,13,14,19,22,4,4,9,418,0,0,5,5,10,0,11,9,3,0,0,3,0,0,0,46,0,5,31,48,69,28,89,54,21,21,44,36,17,3,6,479,0,0,0,0,0,0,50,64,56,81,119,83,12,0,4,476,16,74,26,7,19,13,22,18,0,8,4,0,5,0,6,216,8,28,114,305,330,272,328,172,25,19,28,31,14,28,65,1775,3,51,280,145,63,32,19,6,6,3,0,6,0,0,15,637,0,0,0,4,8,9,56,168,53,43,55,69,26,3,7,490
CED132,61,82,26,52,29,9,19,1406,0,0,15,10,3,25,26,8,0,4,0,0,0,0,3,107,0,16,51,55,174,142,170,184,20,28,28,21,11,0,11,897,40,226,212,58,32,34,82,181,32,26,40,26,14,6,28,1039,0,8,16,73,244,377,532,265,72,98,109,168,73,67,67,2160,0,0,7,96,261,347,557,257,55,61,54,108,26,28,49,1912,3,19,81,122,55,29,26,17,0,0,3,3,3,0,17,381,3,15,108,278,566,234,380,175,48,54,59,49,22,19,25,2037,0,0,0,0,0,15,168,119,52,104,210,128,25,4,19,833,14,75,29,31,29,31,69,45,16,13,8,6,0,5,11,378,32,53,200,444,570,638,672,386,42,74,73,62,45,35,55,3376,0,16,27,23,13,16,18,6,6,3,0,0,0,4,4,136,0,0,9,16,24,33,43,72,15,22,24,14,18,9,3,294
CED133,0,0,0,0,0,3,6,38,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,11,0,12,28,18,30,25,44,24,9,4,0,0,0,0,7,195,35,106,47,8,12,9,14,19,4,6,6,7,0,0,7,294,0,7,0,5,8,16,47,26,4,3,16,19,0,7,0,165,0,0,0,3,10,8,14,13,6,5,8,16,5,0,3,94,0,0,5,0,3,0,0,0,0,0,0,0,0,0,8,15,0,10,30,33,23,9,27,21,27,41,38,31,26,0,11,318,0,0,0,0,0,0,7,9,14,15,23,35,8,0,0,119,28,195,47,49,40,17,45,21,0,0,5,4,0,0,18,462,12,30,187,511,503,290,257,101,28,18,20,18,11,18,138,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,4,0,14,15,5,3,6,4,0,0,0,56
CED134,3,0,5,6,0,0,0,28,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,16,0,3,13,10,14,22,29,30,3,0,4,9,6,0,5,146,3,39,22,8,3,5,0,5,0,0,4,5,0,0,8,103,0,0,0,0,4,7,5,5,0,0,3,6,0,0,0,40,0,0,0,0,0,11,29,14,9,4,3,13,10,4,4,96,3,7,6,13,3,5,9,4,5,0,0,0,0,0,0,49,0,4,10,10,15,10,27,11,13,0,10,11,0,0,8,108,0,0,0,0,0,4,137,212,122,164,101,45,5,0,12,811,11,95,29,13,8,6,11,4,3,0,0,9,0,0,6,198,7,20,83,163,219,156,189,90,3,11,15,8,9,12,53,1040,0,0,9,5,0,0,4,0,0,0,0,0,0,0,0,21,0,0,0,0,0,6,30,77,30,19,19,16,12,0,7,217
CED135,82,87,65,116,37,18,46,2588,0,0,11,23,24,321,365,281,44,27,12,26,13,6,19,1172,4,6,29,37,40,34,32,37,10,3,16,3,3,0,7,259,17,177,215,61,22,21,44,45,18,4,3,15,0,5,39,686,0,0,5,4,19,55,82,53,11,13,10,10,4,0,3,282,0,0,3,148,638,971,1378,528,88,82,50,82,19,7,64,4063,32,187,862,1186,1000,788,701,259,46,78,70,71,63,15,168,5524,0,5,43,127,327,175,405,232,89,80,81,60,17,6,39,1682,0,0,0,0,4,140,943,755,350,825,1583,1254,332,19,113,6319,4,48,12,11,9,7,13,8,5,0,7,0,0,0,0,124,7,6,59,181,335,508,555,306,53,49,68,52,19,37,68,2300,0,0,16,7,14,24,0,7,0,0,3,0,0,0,4,75,0,0,0,18,66,155,399,829,281,244,315,277,158,50,37,2835
CED136,0,0,0,0,6,0,0,37,0,0,3,0,0,9,11,0,0,0,4,0,0,0,0,36,0,13,35,37,31,18,49,51,0,8,0,0,0,0,5,241,16,86,62,22,6,6,9,6,3,4,4,0,0,0,7,234,0,0,0,0,3,14,21,7,0,0,0,3,0,0,0,55,0,0,0,5,11,17,45,39,6,3,8,5,0,0,0,143,0,0,5,11,9,0,6,0,0,0,0,0,0,0,5,39,0,15,37,67,42,14,22,25,5,20,28,23,0,0,13,303,0,0,0,0,0,0,29,29,29,39,49,26,5,0,6,208,19,190,43,24,13,7,16,13,0,0,0,0,0,0,5,344,11,30,160,331,437,274,316,155,40,17,30,36,8,6,85,1926,0,7,14,12,3,0,0,0,0,0,0,0,0,0,0,36,0,0,3,8,6,15,28,54,12,10,11,5,12,0,0,158
CED137,67,58,64,74,27,18,21,1116,0,0,9,16,11,75,54,31,6,5,0,10,0,0,11,219,0,12,45,57,122,115,193,188,17,20,19,25,4,10,13,839,99,1342,1691,377,79,84,121,259,45,54,31,40,17,3,207,4458,0,4,3,11,51,88,170,93,21,23,34,35,11,6,13,556,0,0,6,347,1080,1589,3276,1700,380,347,397,386,124,23,267,9926,12,85,375,367,253,133,118,75,10,13,17,30,11,12,77,1586,4,26,79,190,437,227,401,323,190,211,185,190,45,7,74,2577,0,0,0,0,0,55,590,707,486,1230,2543,1965,458,9,200,8243,6,36,6,7,10,23,29,28,9,0,3,0,0,0,0,159,8,18,85,256,335,459,498,282,37,33,52,53,27,33,80,2247,0,4,21,36,16,15,9,3,0,0,0,5,0,0,4,104,0,0,3,22,57,109,140,255,58,77,65,82,26,36,19,942
CED138,0,0,5,0,0,0,0,54,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,4,17,49,45,45,33,96,45,0,0,12,6,5,0,15,364,26,108,40,13,21,14,60,113,15,20,22,25,8,0,31,515,0,5,9,9,29,78,145,90,13,22,20,30,12,0,20,471,0,0,3,8,20,15,22,13,0,12,5,6,0,0,0,90,0,0,7,11,0,5,0,0,4,0,0,0,0,0,0,32,0,5,47,39,37,21,19,7,0,3,7,3,0,0,12,212,0,0,0,3,0,0,14,21,21,17,15,4,0,0,3,95,35,208,57,34,41,39,59,24,9,15,18,13,7,0,23,579,23,55,318,683,885,675,723,332,59,44,45,46,32,22,180,4122,0,3,3,11,0,4,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,10,8,4,0,0,0,0,0,0,23
CED139,10,10,3,4,0,0,9,91,0,0,0,0,0,9,23,16,106,123,153,309,74,0,13,849,6,11,7,20,11,15,35,33,0,4,0,9,5,0,4,167,13,47,30,0,3,6,0,21,0,0,3,8,0,0,6,149,0,3,0,3,0,4,18,3,0,0,0,0,0,0,0,40,0,0,0,4,10,5,25,14,0,0,5,0,0,0,4,76,0,0,12,27,14,8,25,12,0,0,0,8,0,0,13,108,0,6,23,25,21,6,32,34,20,15,23,27,11,0,10,252,0,0,0,0,0,3,64,68,32,53,35,12,7,0,0,285,11,133,33,13,10,12,12,4,0,6,4,4,0,0,14,257,13,16,77,198,229,172,156,118,13,16,28,19,9,13,76,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,5,10,34,57,13,11,5,20,6,3,0,161
