CED_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
CED101,1947,424,45,22,2100,199,6,4739,1779,811,123,66,2571,330,12,5688,2709,2601,623,352,4399,719,33,11433,2107,3221,1134,581,3089,567,27,10723,2179,3211,1020,491,2546,376,19,9847,2032,2968,1106,553,2869,383,21,9935,1184,1932,938,438,2337,317,26,7174,645,880,409,221,1481,233,9,3868,261,255,121,84,775,170,3,1670,14836,16298,5525,2805,22166,3299,153,65086,1921,548,67,25,1638,185,4,4376,1695,1140,235,121,1808,255,3,5271,1838,2912,1228,1270,3291,639,16,11201,1010,3043,2251,2247,2310,520,18,11393,917,3143,2349,1983,2030,422,19,10864,938,2900,2216,1723,2411,381,48,10620,615,1757,1626,1289,2260,308,35,7886,471,927,705,612,1742,363,13,4828,329,381,187,117,1243,470,6,2723,9730,16728,10860,9399,18730,3541,167,69163,3867,967,109,50,3738,382,8,9119,3478,1952,357,187,4378,582,14,10955,4547,5509,1851,1626,7686,1361,51,22634,3113,6258,3384,2834,5395,1088,43,22120,3095,6355,3371,2477,4577,799,39,20717
CED102,1595,360,40,14,2137,238,5,4386,1776,948,154,104,3729,504,28,7238,3845,3922,864,407,7303,1336,38,17718,2926,3842,1217,612,4283,835,21,13741,2316,3185,1001,466,3046,585,32,10632,1823,2645,925,476,2938,529,33,9367,1168,1748,766,381,2514,442,29,7045,701,852,362,211,1743,459,14,4344,260,234,108,49,911,327,0,1893,16401,17729,5439,2722,28604,5252,211,76363,1556,499,59,21,1528,205,10,3875,1629,1333,293,156,2588,434,8,6444,2829,4476,1632,1441,5754,1211,41,17388,1439,3583,2298,2278,3103,778,26,13503,1048,3340,2309,1776,2309,594,37,11421,915,2456,1937,1581,2527,474,57,9941,680,1667,1390,1169,2325,433,41,7702,512,1009,711,592,1752,472,21,5068,283,303,168,122,1135,593,0,2595,10891,18660,10798,9125,23017,5189,248,77945,3148,861,100,33,3664,446,11,8259,3408,2280,445,255,6318,939,40,13685,6675,8400,2500,1850,13060,2546,80,35102,4366,7422,3513,2891,7390,1618,51,27240,3364,6529,3317,2245,5352,1174,68,22049
CED103,2286,408,19,23,1923,147,13,4811,2213,1093,155,69,2527,294,15,6371,3987,4266,894,360,5545,897,28,15974,3161,5037,1667,729,4102,713,44,15457,2420,4009,1295,521,2263,453,38,11003,2171,3415,1222,457,2314,417,53,10047,1273,2246,1025,479,2127,281,66,7503,651,932,474,233,1306,213,16,3817,258,285,130,99,775,179,7,1722,18410,21690,6875,2964,22888,3592,274,76701,2204,551,48,19,1496,142,11,4464,1985,1405,265,92,1942,282,23,5999,2978,5000,1757,1429,4700,850,38,16755,1532,4268,3055,3047,3304,645,29,15879,1117,3547,2832,1975,2007,391,34,11905,958,3091,2528,1837,2217,366,100,11098,607,1928,1853,1461,2107,314,82,8360,484,1026,801,588,1506,303,26,4732,335,359,214,171,1224,364,3,2661,12199,21189,13365,10609,20494,3655,346,81855,4482,958,73,32,3415,292,24,9277,4201,2505,413,166,4469,580,37,12367,6962,9272,2649,1789,10240,1744,68,32724,4695,9312,4721,3775,7409,1359,75,31336,3535,7563,4135,2494,4270,842,73,22907
CED104,2885,522,51,12,1896,132,12,5501,2129,718,93,27,1541,104,5,4607,1984,1778,401,158,1651,180,11,6169,1907,3647,1319,548,1690,256,11,9381,2376,4575,1620,529,1530,260,15,10909,2099,3910,1359,562,1538,204,28,9703,1217,2532,1320,663,1508,183,42,7465,717,1250,669,379,1215,210,21,4454,188,301,124,87,645,209,3,1564,15500,19239,6957,2970,13208,1737,148,59759,2744,638,58,10,1505,93,4,5041,1875,965,134,48,947,91,5,4065,1403,1950,832,781,1107,205,17,6289,785,3049,2690,2445,1301,258,14,10543,855,4052,3157,2199,1087,242,15,11609,850,3442,2630,1891,1256,178,53,10296,535,2111,2122,1650,1427,223,65,8128,437,1036,979,883,1329,287,19,4969,249,304,187,155,1128,434,3,2463,9721,17548,12782,10065,11086,2012,196,63406,5632,1161,102,17,3399,217,16,10545,4008,1686,226,71,2483,191,6,8678,3389,3730,1236,940,2755,382,29,12459,2692,6693,4012,2991,2983,517,26,19926,3229,8627,4775,2733,2619,504,25,22513
CED105,1539,507,60,22,3432,552,15,6120,1619,884,179,115,4493,907,23,8233,2917,2557,635,442,8211,1899,35,16705,2104,2494,860,527,5357,1482,41,12867,1869,2092,719,469,4571,1089,29,10834,1717,2147,749,477,4153,830,26,10106,1042,1368,576,363,2886,568,24,6823,512,630,271,159,1623,410,3,3607,140,143,73,43,738,272,0,1415,13471,12824,4117,2626,35473,8008,201,76716,1558,718,132,48,2654,460,4,5571,1420,1272,366,248,3134,627,10,7092,1660,2518,1361,2238,5646,1456,35,14910,744,2005,1606,2627,3815,1168,22,11978,705,1949,1585,1971,3530,875,27,10637,750,1920,1544,1666,3364,747,38,10023,587,1252,1057,1062,2528,571,28,7081,350,592,421,416,1608,431,9,3820,187,205,92,67,1075,482,4,2117,7950,12425,8181,10348,27344,6811,173,73236,3098,1229,191,73,6084,1007,17,11694,3048,2158,551,368,7627,1539,39,15331,4580,5074,2002,2678,13857,3351,69,31615,2850,4493,2467,3156,9172,2644,61,24845,2573,4040,2298,2442,8098,1959,54,21467
CED106,2977,450,38,15,2082,134,9,5700,2173,819,82,28,1597,147,17,4861,2230,2246,444,159,2267,308,21,7677,2386,4170,1543,582,2449,340,39,11515,2572,4845,1600,520,1669,253,47,11508,2106,3765,1324,511,1468,248,67,9483,1384,2464,1061,497,1472,196,59,7142,868,1518,659,291,1207,191,21,4755,317,424,182,115,934,169,3,2150,17013,20695,6930,2721,15141,1988,294,64790,2904,610,28,16,1714,116,18,5401,1962,1090,143,37,1125,125,11,4495,1675,2526,936,791,1967,336,30,8261,1063,3690,3046,2858,2171,343,28,13202,1090,4222,3477,2469,1420,289,49,13018,905,3333,2592,1633,1352,249,87,10148,635,2231,2113,1461,1543,255,78,8327,535,1335,1213,932,1422,300,23,5763,387,503,291,213,1540,420,0,3349,11156,19532,13851,10417,14250,2432,318,71957,5881,1053,67,29,3793,248,26,11094,4139,1907,229,63,2725,270,31,9359,3909,4772,1379,951,4231,638,53,15930,3450,7863,4590,3444,4621,683,67,24718,3660,9067,5081,2992,3089,542,100,24528
CED107,2284,440,44,20,2216,457,0,5466,1528,793,122,63,1769,577,5,4863,2602,2873,669,308,2515,1359,16,10339,2291,3177,987,420,1777,1264,14,9927,2465,3465,984,446,2132,994,15,10502,2408,3322,1053,618,2579,840,15,10835,1605,2486,1204,724,2669,694,6,9389,715,1078,585,451,1914,466,9,5207,199,240,111,71,740,161,0,1514,16094,17883,5747,3120,18312,6812,89,68043,2167,628,68,38,1717,356,0,4967,1186,1292,299,228,1095,313,7,4417,1431,3166,1541,1820,1598,680,19,10259,794,3098,2219,2011,1077,656,6,9860,1085,3850,2387,1378,1308,682,15,10711,1109,3539,2353,1619,1765,626,8,11025,666,2111,1967,1804,2239,605,5,9399,471,990,862,849,1948,528,5,5652,229,310,176,121,1370,304,0,2513,9140,18985,11864,9878,14113,4755,70,68816,4451,1065,112,59,3931,812,4,10432,2714,2085,421,295,2865,890,22,9285,4037,6041,2206,2123,4113,2041,37,20598,3082,6276,3206,2427,2854,1923,20,19786,3553,7313,3368,1830,3435,1678,27,21208
CED108,1894,712,107,37,3180,573,3,6497,1762,1030,186,97,3512,605,10,7200,2990,3077,808,517,6000,1302,30,14723,2674,4245,1522,893,5369,1178,19,15899,2081,2939,993,606,4073,840,12,11544,1775,2299,769,507,3717,634,30,9729,974,1252,647,455,2894,424,42,6687,390,477,220,176,1486,253,9,3011,101,86,30,23,488,101,3,834,14640,16117,5278,3306,30713,5905,167,76130,1826,870,177,95,2631,469,7,6074,1380,1438,430,279,2596,492,13,6638,1747,3447,1940,2527,5063,1297,21,16045,999,3258,2691,3456,4224,1208,17,15845,938,2728,1903,2028,3265,785,17,11667,818,2149,1605,1603,3331,564,82,10152,589,1283,1050,1092,2971,505,68,7565,373,551,344,311,1679,325,9,3594,128,131,53,36,1027,257,6,1636,8798,15852,10195,11427,26785,5916,239,79215,3722,1582,281,129,5810,1045,10,12573,3141,2469,614,379,6113,1103,20,13833,4735,6522,2751,3046,11061,2595,53,30767,3668,7502,4210,4351,9591,2387,39,31748,3020,5670,2897,2637,7336,1629,28,23212
CED109,1978,284,17,11,1893,174,4,4366,1588,550,81,23,1730,145,4,4127,2759,2400,434,189,2429,462,14,8682,2342,3219,972,420,1821,431,13,9219,2550,3545,1054,397,1951,417,19,9932,2226,3062,969,393,2033,333,20,9043,1389,2174,874,369,1916,271,15,7010,713,1127,525,288,1539,268,6,4475,275,304,168,103,878,238,6,1961,15815,16678,5092,2195,16198,2749,92,58815,2012,450,39,13,1494,156,5,4158,1620,989,137,73,1105,150,3,4074,1851,3162,1112,1046,1627,459,10,9267,947,3070,2149,2155,1238,408,25,9992,1047,3587,2516,1750,1354,385,17,10653,971,3141,2136,1370,1648,301,20,9598,664,2068,1749,1309,1814,316,18,7942,528,1108,939,756,1773,382,0,5484,344,473,274,152,1361,533,5,3139,9997,18048,11049,8618,13405,3091,107,64316,3991,735,50,25,3390,328,8,8526,3207,1538,217,92,2831,301,8,8203,4616,5560,1546,1225,4057,920,28,17953,3292,6287,3121,2573,3060,840,37,19203,3600,7140,3568,2145,3301,803,33,20593
CED110,2138,393,53,28,1905,460,3,4978,1351,669,99,54,1422,408,8,4016,2204,2275,537,258,2092,964,42,8367,1950,2825,891,446,1652,881,21,8663,2303,3294,976,517,1913,802,22,9824,2471,3608,1275,715,2695,791,20,11572,1983,3448,1771,993,3208,784,15,12200,912,1606,899,642,2377,643,7,7090,279,340,190,147,1084,359,0,2392,15588,18458,6685,3801,18345,6086,141,69113,2116,559,77,37,1617,391,5,4801,1153,1023,266,186,984,275,3,3894,1267,2574,1311,1350,1432,679,22,8637,891,2996,1967,1783,1102,656,23,9415,1323,4025,2235,1372,1382,665,20,11024,1507,4330,2651,1657,2232,714,20,13116,984,2994,2835,2154,2960,806,14,12750,668,1398,1288,1204,2625,829,7,8014,367,420,261,199,1747,685,3,3682,10277,20317,12888,9946,16089,5699,108,75324,4258,954,125,62,3525,850,9,9781,2503,1694,362,250,2408,683,15,7914,3467,4851,1846,1603,3533,1638,61,17000,2836,5821,2859,2228,2757,1531,47,18079,3625,7317,3214,1890,3303,1468,40,20848
