CED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED111,2456,1947,1586,1063,321,45,10337,70,613,765,669,630,518,145,33,3439,2163,6685,5143,4110,2848,1920,736,185,23789,800,1919,2479,2805,2352,1534,606,185,12686,2333,4390,4003,4223,4137,2479,1296,424,23278,345,237,244,257,288,176,70,21,1645,158,192,309,519,724,656,313,106,2979,2830,4815,4558,4994,5150,3313,1678,555,27901,50,90,115,107,166,184,116,40,877,1245,1209,1058,1011,1036,1036,1228,981,8799,7335,18073,16579,15649,13780,9568,4828,2019,87823
CED112,936,691,641,506,157,26,3644,53,325,456,384,377,347,102,17,2065,644,3397,3522,2652,1818,1598,627,150,14409,573,1957,2501,2736,2099,1580,651,155,12247,2552,5547,5427,5339,4914,3121,1616,459,28972,403,351,292,313,291,234,78,17,1971,197,280,420,605,678,630,280,81,3169,3155,6180,6141,6251,5879,3981,1972,554,34113,48,89,109,136,136,170,129,28,852,1160,1222,1277,1260,1243,1512,1675,1307,10656,5659,13822,14939,14111,12203,9688,5321,2241,77989
CED113,1821,1767,1460,1011,334,45,7898,43,424,737,888,845,696,156,22,3815,818,4365,4106,3805,3303,2587,935,181,20102,382,1737,2333,2939,2794,1952,712,178,13028,2185,4952,4672,4966,4978,3097,1262,341,26453,279,306,277,268,308,230,61,15,1742,142,223,260,479,691,546,265,80,2694,2604,5478,5210,5712,5979,3872,1594,436,30886,30,86,95,114,145,179,98,19,774,1424,1739,1647,1789,2103,1862,1357,736,12658,5341,15264,15942,17019,16629,12171,5181,1606,89158
CED114,776,583,516,292,97,8,3296,45,354,484,526,501,349,91,6,2361,694,3683,3534,2615,1924,1390,544,110,14496,419,1796,2006,2170,2160,1460,634,161,10802,2424,5665,5041,5107,4956,3212,1277,343,28022,321,346,276,341,341,190,51,7,1865,145,240,315,471,545,477,193,55,2440,2893,6252,5631,5915,5839,3878,1524,406,32326,41,95,95,73,111,139,105,40,695,1783,1994,1882,1989,2276,2296,1904,1006,15127,5913,15142,14412,13876,13326,9793,4899,1740,79111
CED115,1121,516,324,213,62,7,4110,65,278,255,199,136,88,26,10,1055,2076,6088,3604,2260,1466,1093,348,66,16993,937,2485,2504,2192,1620,824,280,67,10921,1423,2859,2794,2712,2475,1534,679,173,14651,251,253,282,302,263,114,26,4,1501,144,313,417,518,519,311,94,32,2347,1818,3425,3497,3530,3260,1956,791,210,18498,68,167,147,173,167,136,60,16,944,1773,2394,2088,1862,1844,1455,1061,750,13230,6880,16571,13219,10740,8816,5766,2637,1123,65756
CED116,988,956,1206,1183,420,75,5570,21,350,500,498,745,796,238,17,3164,540,2861,3072,2823,3184,3042,1155,289,16956,300,1317,1967,2368,3045,2643,1167,269,13076,2078,4753,4563,4928,5818,4679,2234,624,29677,274,281,278,280,427,366,95,30,2028,147,233,286,453,815,958,503,147,3539,2505,5270,5126,5659,7063,6001,2836,797,35243,32,77,89,107,173,281,181,59,997,1401,1483,1465,1650,1846,2148,1839,986,12826,4822,12079,13205,14054,17259,16097,7841,2492,87841
CED117,5375,3850,2531,1504,427,54,18287,53,957,1123,1093,796,542,119,13,4690,2548,13128,9682,6819,3922,2304,739,115,39255,809,2350,2599,2641,1747,1082,361,113,11706,837,2225,1930,1895,1577,839,439,153,9890,133,141,157,205,145,90,33,3,901,84,190,293,465,462,322,140,35,1987,1058,2548,2380,2563,2189,1249,605,193,12774,52,155,166,151,118,121,57,11,827,765,1584,1236,1006,857,789,628,434,7315,5410,25146,22562,18117,12150,7596,2930,942,94854
CED118,7753,2691,1254,648,169,27,16946,93,591,1001,654,388,224,59,0,3006,2236,9438,11769,5725,3122,1793,516,82,34678,1088,3081,4025,3178,2021,1115,341,64,14906,1922,3723,4059,3788,2792,1557,663,169,18669,296,215,273,273,236,139,41,10,1482,181,285,473,683,553,413,170,38,2789,2399,4220,4811,4740,3583,2104,878,209,22939,72,247,405,256,185,155,84,7,1410,1468,2566,2367,1485,1112,999,704,368,11063,7572,24329,32130,18718,11663,7040,2742,764,104951
CED119,2427,1701,1197,637,204,31,7717,75,453,667,637,572,424,90,9,2923,1615,5372,5929,4419,2893,1821,579,139,22764,693,1956,3086,3470,2482,1498,588,149,13935,1905,3578,4034,4280,3702,2294,1270,372,21424,181,155,211,274,246,166,63,21,1315,139,194,404,669,752,683,346,88,3281,2229,3925,4644,5223,4695,3141,1678,481,26019,27,84,139,146,195,191,116,43,953,537,667,806,683,657,682,811,688,5533,5240,13930,17689,16282,12690,8391,4068,1539,79834
CED120,1134,889,771,591,194,27,4737,59,410,499,494,462,372,88,16,2402,886,3655,3677,2912,2016,1592,590,130,15452,763,2412,2766,2852,2247,1577,561,125,13300,2977,6669,6245,6054,4851,3034,1259,260,31358,329,317,283,334,279,197,56,14,1811,232,288,408,615,738,642,247,56,3232,3536,7277,6941,7000,5873,3875,1563,332,36400,47,80,102,144,160,150,97,29,798,1141,1386,1407,1392,1421,1385,1189,774,10084,6491,16287,16520,15682,12944,9547,4272,1435,83177
