CED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED101,17,18,104,176,352,822,1414,1356,813,5074,7,21,158,130,223,379,490,397,254,2056,300,500,1272,969,727,801,764,766,730,6827,3772,10901,22548,22056,20645,20434,14956,8654,4385,128344
CED102,9,22,143,199,354,927,2082,2484,1191,7411,10,49,226,234,273,482,719,819,476,3289,357,808,2276,1473,1105,1012,1014,1103,1038,10179,3539,13590,34970,27166,21931,19166,14629,9366,4487,148833
CED103,8,13,66,140,201,475,915,930,637,3384,11,35,205,172,161,298,273,276,229,1664,241,510,1560,1232,815,791,704,630,599,7084,3547,12318,32633,31238,22807,20959,15653,8500,4374,152031
CED104,19,8,38,37,99,229,470,520,370,1787,3,4,51,73,101,97,122,155,110,718,159,159,309,445,451,385,445,640,681,3671,3801,8662,12426,19891,22478,19906,15467,9364,3978,115973
CED105,27,93,520,954,1348,1867,2030,1628,815,9285,23,118,628,709,1015,1389,1110,788,433,6216,834,1329,2955,2427,1813,1585,1286,958,780,13967,5357,15172,31441,24689,21343,20004,13821,7403,3522,142752
CED106,3,9,32,46,95,175,385,343,290,1382,4,7,91,113,92,131,147,97,91,770,204,240,543,616,520,499,590,676,727,4616,3501,9319,15868,24642,24416,19463,15307,10465,5490,128467
CED107,71,53,177,248,414,928,1641,1314,845,5687,3,11,55,54,61,67,121,96,38,501,621,833,1984,1872,1705,1532,1566,1311,625,12048,4625,9259,20546,19763,21168,21824,18768,10850,4024,130828
CED108,54,86,319,495,688,1310,1875,1287,569,6687,10,53,209,305,408,469,480,337,154,2427,850,998,2365,2198,1607,1277,1175,839,557,11861,5825,13750,30664,31671,23141,19745,14106,6564,2458,147932
CED109,11,3,41,67,148,307,874,1139,696,3296,7,12,42,42,63,101,176,219,158,821,255,251,843,787,748,629,666,836,887,5907,3466,8186,17918,19164,20548,18587,14896,9941,5090,117799
CED110,78,62,227,331,415,919,1718,1521,1062,6320,10,25,118,97,101,120,88,79,48,685,636,634,1584,1518,1431,1605,1750,1632,1184,11978,4438,7867,16918,18022,20782,24639,24914,15080,6071,138728
CED111,26,32,131,199,259,614,1253,1620,1046,5180,9,19,80,105,99,122,196,255,223,1107,456,609,1047,861,804,748,860,1041,943,7361,4417,12314,21658,19991,20330,19640,15428,9866,4550,128198
CED112,68,30,152,201,362,764,1307,1131,781,4791,6,14,36,46,63,77,126,92,67,520,500,465,1042,1034,969,892,1129,1322,1107,8461,4542,9120,18965,19663,20384,19735,17560,10895,4778,125646
CED113,53,29,149,182,338,656,1252,1223,677,4558,4,12,45,38,40,54,103,98,64,460,544,607,1593,1442,1538,1721,1500,1046,600,10596,3996,8386,20003,20166,22890,24207,19795,9874,3452,132760
CED114,67,61,255,377,506,1025,1921,1910,1124,7245,9,25,111,115,180,177,154,145,91,1016,726,743,1770,1646,1716,1904,1821,1514,870,12723,4510,8948,20575,19591,21065,23187,20103,11826,4659,134466
CED115,45,105,541,1153,1641,2599,2648,1922,1071,11724,20,131,676,841,1561,2391,1869,1129,739,9362,684,811,2047,1800,1587,1579,1320,990,650,11465,4946,12328,24622,21944,22061,22159,16083,7872,3552,135560
CED116,59,38,126,193,321,772,1754,1390,883,5536,10,11,19,49,41,71,86,77,53,420,559,550,1322,1277,1348,1458,1621,1444,751,10334,3889,7015,15807,16739,19111,25031,26138,14784,5376,133890
CED117,9,14,54,94,150,374,873,1301,801,3664,3,12,93,69,89,170,260,406,309,1411,197,477,1367,1064,845,732,723,592,406,6395,2227,8884,28580,25333,21446,15927,11407,6126,2610,122548
CED118,26,49,170,257,388,684,1195,992,465,4221,3,40,148,155,232,315,297,227,147,1561,440,824,2210,1951,1170,875,782,609,323,9192,4872,12740,29640,37577,24797,18181,13059,6145,2056,149073
CED119,20,9,42,81,136,274,611,682,433,2290,6,7,33,67,59,77,115,126,72,557,224,229,508,564,425,392,452,630,687,4107,3963,8707,16812,20974,20832,17689,13489,7773,3115,113357
CED120,51,32,158,216,321,752,1351,1027,549,4457,4,5,40,67,74,88,100,98,52,524,466,454,1146,1151,1078,1067,1070,967,685,8071,5120,9692,21672,21905,22379,20682,16871,8835,3089,130240
CED121,80,67,225,289,410,968,1582,1199,810,5627,10,10,51,51,68,107,104,72,49,521,520,666,1630,1443,1230,1040,1152,1211,806,9693,5193,9934,22311,21089,21450,21311,18642,10840,4356,135130
CED122,13,20,120,124,207,433,1016,1309,754,4004,0,29,141,106,109,183,254,335,233,1399,438,952,2611,1800,1302,1083,1052,988,709,10927,3806,14104,36541,27602,22574,18192,13621,8774,3753,148970
CED123,57,48,221,273,482,969,1599,1092,450,5187,9,19,91,133,167,172,201,185,87,1066,644,890,2231,1949,1446,1092,1050,999,700,11006,5483,12835,28868,27777,23119,19050,14650,7326,2469,141569
CED124,59,37,157,232,344,916,1829,1597,1025,6197,6,7,20,20,37,46,60,67,45,320,482,390,875,977,1074,1406,1792,1619,946,9563,4054,6082,12719,14730,18710,24550,26421,15597,5520,128384
CED125,42,48,253,382,593,1095,1517,997,383,5309,11,20,156,184,235,394,384,255,119,1753,635,732,1672,1687,1144,979,943,743,285,8821,5726,12860,32030,31680,23325,20645,15375,6716,1768,150131
CED126,15,18,37,103,114,206,457,597,398,1940,5,8,34,76,121,109,97,98,87,621,249,228,563,642,670,622,664,900,847,5389,3558,8197,14527,19374,23006,19647,15527,11027,4859,119715
CED127,36,27,124,116,212,452,834,670,450,2908,7,15,38,38,37,49,74,69,49,379,319,271,636,656,720,701,708,718,481,5214,3876,7624,15899,17434,20151,19770,16804,8769,2971,113305
CED128,43,140,712,1097,1327,1703,2204,1816,803,9849,21,129,724,844,1079,1406,1246,939,520,6909,637,726,1779,1687,1315,1184,1050,772,474,9631,5027,11390,24606,23672,21563,20571,14882,7844,2940,132498
CED129,14,18,33,71,125,278,726,692,409,2364,6,20,57,90,109,145,158,116,119,815,218,242,626,777,551,459,546,519,411,4343,4595,10719,19705,31556,26283,19429,15511,8656,2914,139369
CED130,73,69,245,283,423,965,1712,1569,873,6206,12,33,98,74,83,102,118,98,36,655,1036,985,1754,1559,1674,1729,1684,1509,801,12734,4940,8707,18538,17462,19040,21006,18814,11461,4179,124145
