CED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
CED101,32435,98613,2974,6561,7153,20415,10132,26981,2443,4409,5701,12422,6160,14190,1011,2189,334,809,15649,34018,0,0,0,0,0,0,374,829,375,829,95,213,58674,160654,3634,..,62314,160654
CED102,29404,89919,3540,8795,2961,8583,6504,17379,3031,5913,5797,12481,12224,27579,9814,22895,449,1096,31312,69960,77,95,0,0,4,3,465,997,542,1099,157,333,67913,178685,6248,..,74159,178685
CED103,32026,98347,3466,8454,6428,17093,9902,25548,1880,3154,8547,16544,11879,26491,7957,16386,270,609,30524,63182,8,15,0,0,3,11,139,286,153,307,148,286,72751,187669,6548,..,79297,187669
CED104,41750,130013,1275,2241,3126,8163,4399,10404,997,1679,693,1246,2364,5330,114,245,260,593,4422,9093,19,37,60,92,0,0,62,142,141,281,90,163,50805,149949,2659,..,53463,149949
CED105,32786,114138,1683,4419,6316,20640,8004,25062,4076,8967,5698,14672,4005,10613,2789,8546,835,2600,17406,45397,0,0,0,0,8,6,305,838,316,846,190,491,58694,185930,4572,..,63265,185930
CED106,35152,111018,430,990,2187,5234,2616,6226,2410,4296,4792,9823,9462,21343,5237,12203,139,348,22044,48017,3,0,8,10,0,0,150,319,154,332,56,124,60024,165716,4681,..,64706,165716
CED107,59270,149983,4460,7184,805,1399,5267,8588,1694,2487,115,166,0,0,4,13,47,94,1859,2757,204,278,145,234,44,51,365,858,748,1429,236,462,67381,163212,7794,..,75186,163212
CED108,52628,168136,2465,6482,5597,17685,8066,24175,644,961,469,861,1916,4522,5,18,448,1140,3488,7505,0,0,0,0,11,22,33,118,44,141,91,250,64321,200198,3227,..,67551,200198
CED109,29545,90361,2916,5858,6888,16227,9807,22081,2831,4788,7058,12969,6560,12323,1637,3016,124,285,18208,33385,68,103,10,20,0,0,191,408,277,535,94,184,57922,146545,4278,..,62205,146545
CED110,53544,135304,5491,9441,2726,5530,8219,14968,4917,8091,1230,2040,1361,2152,276,470,115,234,7900,12991,726,1301,772,1175,85,105,116,234,1693,2812,360,654,71721,166732,7233,..,78952,166732
CED111,39403,110810,3074,5673,5514,11851,8584,17523,5480,9737,3243,5486,4057,7369,2168,4118,234,527,15180,27231,49,77,166,245,11,5,317,647,544,981,164,335,63880,156882,4524,..,68402,156882
CED112,49920,137130,4844,8031,3113,6284,7960,14319,2601,4141,511,895,799,1347,154,276,156,314,4230,6968,196,296,124,199,6,10,61,122,391,623,115,244,62618,159287,5687,..,68303,159287
CED113,53575,137346,3599,6119,2563,5067,6162,11185,2881,5046,804,1486,1008,1765,86,136,92,206,4880,8642,263,475,412,684,100,163,133,295,908,1615,433,801,65954,159590,10062,..,76012,159590
CED114,60222,150547,6262,9779,624,960,6888,10736,1936,3545,119,205,35,48,0,0,23,46,2109,3849,385,660,276,407,56,100,194,424,909,1586,409,808,70532,167528,8006,..,78541,167528
CED115,33811,115145,1370,3260,5386,15914,6755,19172,2735,5924,6263,13802,2587,6316,3506,7893,677,1934,15761,35864,3,14,0,0,7,6,137,313,147,338,171,406,56642,170922,4141,..,60782,170922
CED116,58453,142451,3970,6608,2361,4381,6337,10989,1871,2950,250,423,367,542,0,3,173,335,2657,4255,373,571,964,1487,90,107,130,280,1558,2451,388,581,69384,160728,19647,..,89037,160728
CED117,17263,48005,9785,23729,8271,21071,18055,44795,8410,15057,9490,16824,7901,14666,1215,2362,302,581,27315,49495,0,0,15,25,0,0,1087,2218,1100,2242,151,278,63884,144809,6830,..,70715,144809
CED118,50140,159087,2794,7185,5978,17615,8771,24803,695,1297,277,754,4974,11543,237,606,331,844,6513,15038,0,0,5,6,7,11,51,146,67,158,148,387,65640,199471,3395,..,69031,199471
CED119,38334,118066,1448,3272,4528,11411,5976,14683,1525,2623,3139,5821,2400,4513,214,415,141,319,7413,13689,11,11,45,70,0,0,64,132,121,212,62,121,51905,146775,2433,..,54339,146775
CED120,56598,160878,2251,3640,1002,2050,3255,5686,683,969,79,102,16,18,0,0,157,390,940,1479,118,177,172,244,18,25,119,230,434,671,157,298,61379,169013,5237,..,66612,169013
CED121,58650,155774,3960,6541,1377,2408,5331,8950,1122,1624,108,196,81,144,0,0,125,256,1436,2222,219,299,265,389,32,43,67,135,581,860,178,326,66181,168135,5725,..,71910,168135
CED122,19029,58070,3949,10079,6194,17400,10139,27480,7245,14763,16354,31678,12672,26303,6792,15260,161,353,43222,88353,0,0,0,0,5,16,508,1028,512,1042,148,282,73050,175222,7996,..,81051,175222
CED123,50419,149090,2888,6053,6622,16190,9506,22247,1867,2923,1688,2853,2622,4640,884,1565,258,616,7318,12601,0,0,100,132,11,18,57,147,173,298,114,246,67525,184481,3686,..,71205,184481
CED124,56406,138518,4168,6731,870,1654,5042,8381,2354,3561,520,790,425,717,107,187,61,130,3469,5388,480,781,655,1014,36,80,182,355,1363,2234,270,479,66549,154996,9624,..,76174,154996
CED125,56654,178391,3294,7297,4420,10622,7716,17921,1112,1925,505,828,1657,3213,190,349,395,882,3859,7204,0,8,96,126,4,8,11,19,109,158,101,196,68428,203872,3151,..,71580,203872
CED126,35952,110666,1099,2059,3812,8295,4916,10359,3169,5905,6600,13223,4703,9219,533,1079,336,795,15334,30226,34,73,67,97,7,11,191,440,303,616,124,278,56629,152141,4181,..,60814,152141
CED127,49749,132473,2563,4546,1173,2266,3733,6812,1143,1689,323,495,51,75,0,0,211,468,1730,2733,89,139,84,105,14,39,73,146,263,432,144,256,55619,142703,4984,..,60611,142703
CED128,40148,131764,1786,4304,4935,16215,6728,20519,1956,3849,3156,7148,2922,6866,723,1725,517,1504,9270,21084,87,102,0,0,6,15,37,100,141,219,176,465,56459,174052,3388,..,59850,174052
CED129,47621,154779,998,2067,5047,14121,6042,16185,1268,2150,1273,2889,3135,6791,1374,3056,195,494,7248,15380,0,0,0,0,0,0,3,6,3,6,102,256,61020,186602,3111,..,64127,186602
CED130,57650,141288,4286,6827,717,1207,4998,8033,1265,1943,89,152,25,47,5,4,40,79,1421,2226,334,515,317,450,62,88,117,259,833,1311,311,549,65209,153406,7901,..,73112,153406
CED131,45661,119983,4615,8206,6436,13463,11048,21680,3819,5942,2580,4177,2078,3477,1480,2397,320,633,10264,16625,21,36,27,26,19,19,243,445,306,528,147,228,67431,159040,5439,..,72867,159040
CED132,21633,65565,2088,5140,5165,12409,7250,17549,5385,10313,11075,21303,12343,23694,12181,22958,109,283,41097,78557,0,0,10,17,3,7,150,330,168,355,133,228,70291,162256,8012,..,78297,162256
CED133,59127,147639,3728,6049,1740,3299,5467,9352,2277,3669,256,458,36,57,0,10,202,382,2775,4573,970,1740,927,1426,110,158,265,606,2273,3934,342,667,69987,166156,7123,..,77109,166156
CED134,55601,139426,3624,5856,304,532,3933,6390,2240,3369,21,26,7,6,0,0,41,89,2302,3491,737,1315,187,309,337,573,142,314,1396,2505,773,1463,64003,153277,9295,..,73302,153277
CED135,27215,86066,2321,5137,8628,25026,10956,30162,5300,11654,10285,23509,11671,28826,7808,18622,301,852,35368,83465,15,36,0,0,12,12,249,658,276,706,235,495,74050,200903,8117,..,82162,200903
CED136,57532,152960,5326,9175,2668,5247,7993,14418,1182,1695,255,401,492,844,0,3,174,379,2106,3317,352,467,296,516,33,42,87,158,769,1188,168,312,68567,172199,7218,..,75780,172199
CED137,23683,73173,1942,4774,4421,12232,6362,17007,5584,11571,8028,18328,19166,42886,14731,32487,193,458,47702,105725,0,0,0,0,0,4,603,1321,610,1327,305,574,78673,197805,8502,..,87171,197805
CED138,47328,123668,6877,13120,5512,11538,12384,24654,3435,5658,2008,3531,771,1327,674,1157,258,500,7140,12172,814,1388,1223,1772,257,279,160,307,2454,3747,339,590,69648,164828,7362,..,77017,164828
CED139,57453,143839,2727,4180,365,590,3094,4766,3333,4928,170,220,50,66,3,6,50,83,3608,5313,214,331,161,264,35,59,220,465,626,1116,295,555,65073,155597,7436,..,72507,155597
CED140,44990,119172,5072,8432,3373,6641,8450,15076,4199,7394,1123,1984,1880,3416,480,883,240,517,7931,14181,158,224,400,627,6,5,83,149,646,999,177,312,62190,149743,7574,..,69763,149743
CED141,51294,132773,3825,6199,2118,4172,5938,10368,1878,2833,245,366,647,1055,258,450,158,317,3182,5025,154,263,120,174,14,19,88,208,378,659,77,140,60872,148966,4219,..,65091,148966
CED142,2323,6185,4451,9573,14683,34244,19134,43819,2506,4118,8671,14376,28895,51341,37344,70390,97,214,77517,140443,0,3,0,0,68,64,579,1138,645,1205,512,789,100138,192443,17576,..,117716,192443
CED143,24185,76204,2036,4846,3582,8715,5614,13565,6452,13255,13176,25099,6768,12424,2585,4549,321,716,29306,56038,0,0,10,25,8,5,265,561,281,588,119,205,59502,146602,6028,..,65526,146602
CED144,28152,94417,2612,6700,7251,22347,9866,29046,10973,25876,6401,15463,4397,10500,1152,2658,389,1168,23315,55662,5,8,0,0,0,0,304,698,308,705,166,392,61802,180233,5132,..,66936,180233
CED145,10747,33306,3609,9545,8440,22106,12053,31648,6696,13477,15633,29492,11330,19230,5614,9560,129,315,39401,72068,0,0,0,0,5,7,840,1640,845,1645,157,260,63204,138929,9295,..,72494,138929
CED146,49417,172062,2197,5363,5196,14471,7395,19838,719,1217,605,957,329,807,238,447,547,1483,2447,4903,0,5,0,0,4,8,19,43,24,53,187,510,59461,197365,2703,..,62161,197365
CED147,54189,146666,3959,6830,3249,6891,7211,13720,2044,3358,177,322,103,168,0,3,218,516,2553,4365,366,503,167,229,4,6,90,195,628,940,99,188,64676,165875,3885,..,68565,165875
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
CED201,48988,136854,5209,9543,3039,7090,8254,16640,711,1172,409,645,274,435,182,277,66,152,1643,2683,0,0,0,0,3,7,50,98,58,101,40,77,58979,156345,2973,..,61956,156345
CED202,54345,134838,5311,8810,635,1189,5950,9998,1234,1750,87,132,4,4,0,0,24,46,1356,1934,104,166,94,133,49,55,93,201,337,553,114,238,62106,147563,6546,..,68649,147563
CED203,57125,139253,3636,5577,518,974,4149,6556,478,746,19,48,0,0,0,0,22,29,524,822,147,220,105,225,57,73,105,208,413,730,130,252,62336,147608,5715,..,68054,147608
CED204,50127,150067,5721,12847,2579,7410,8305,20260,2149,4367,314,583,116,229,0,0,36,79,2612,5260,0,6,118,152,10,12,23,63,158,231,107,192,61305,176003,3177,..,64484,176003
CED205,51152,169464,2692,6849,2784,7270,5477,14117,1179,3051,4,7,158,325,0,0,41,89,1383,3472,58,60,84,91,24,21,11,21,172,202,68,185,58258,187441,3363,..,61618,187441
CED206,54610,147959,2172,3434,878,1703,3049,5139,260,405,11,19,0,0,0,0,57,107,335,536,86,115,148,189,6,7,37,79,272,388,80,163,58351,154178,3669,..,62023,154178
CED207,45337,128329,5612,11678,4820,13271,10434,24950,6371,13967,1734,3031,2519,4204,1512,2825,53,114,12193,24137,0,0,0,6,0,6,28,75,33,86,58,104,68053,177607,7103,..,75150,177607
CED208,36381,97738,9218,18297,8452,18778,17667,37075,5028,7767,1645,2617,3181,5209,464,675,48,109,10359,16377,0,4,4,5,87,91,382,774,477,866,53,96,64941,152153,6668,..,71610,152153
CED209,53574,138997,2968,4936,932,1895,3906,6829,219,353,46,81,9,13,0,0,17,22,289,471,95,146,211,327,9,18,27,52,342,534,69,138,58180,146965,11303,..,69480,146965
CED210,53164,134564,6893,10834,1656,3314,8541,14147,1884,2916,183,273,348,529,151,257,16,29,2587,4000,48,62,283,393,30,30,139,322,494,806,114,211,64909,153727,4710,..,69617,153727
CED211,52559,141042,6048,11297,2468,6048,8511,17343,519,1018,731,1190,1020,1670,73,125,54,126,2404,4127,0,0,0,0,18,19,31,71,46,95,56,110,63578,162708,3979,..,67557,162708
CED212,49899,133826,7419,12223,2376,4863,9789,17083,1329,1932,199,299,121,189,33,42,61,114,1744,2575,28,48,349,427,32,33,33,102,450,609,64,117,61942,154215,3713,..,65654,154215
CED213,53011,129837,5379,8593,1829,3806,7204,12397,1489,2421,146,232,43,76,0,3,42,83,1719,2806,68,123,427,595,58,64,34,63,589,840,59,102,62589,145983,24167,..,86757,145983
CED214,41594,118799,5249,11343,8229,21265,13470,32613,5412,10176,1990,3413,2743,4476,1628,2621,88,209,11865,20902,13,20,80,105,47,47,243,533,389,706,107,212,67422,173231,7483,..,74909,173231
CED215,51705,153454,5268,11645,6454,16280,11726,27927,2151,3657,312,491,539,844,275,425,23,68,3302,5482,8,13,65,90,3,5,81,162,162,273,66,127,66959,187263,5264,..,72223,187263
CED216,58462,138683,2762,4065,385,697,3147,4767,2482,3469,36,61,0,0,0,6,18,45,2537,3577,313,442,389,599,60,88,73,158,835,1282,175,325,65153,148630,11368,..,76523,148630
CED217,34904,100033,7988,15900,6489,16144,14467,32051,5172,8690,2481,4337,2535,4103,324,517,36,84,10545,17724,0,0,5,3,4,6,361,684,369,699,73,167,60361,150667,5907,..,66270,150667
CED218,49680,157284,3918,9126,2475,6720,6389,15847,423,774,139,239,174,319,0,0,23,46,758,1374,68,78,67,75,0,0,12,36,145,192,43,112,57028,174812,2577,..,59611,174812
CED219,53590,154186,3220,5725,634,1351,3855,7079,1214,1938,0,0,21,26,0,0,42,97,1280,2062,32,49,33,53,16,31,26,77,105,213,44,130,58876,163667,3362,..,62235,163667
CED220,23130,66016,8338,17268,5968,14075,14309,31336,9144,15482,9585,15251,7898,12497,5522,8571,25,52,32163,51851,0,0,0,0,6,7,427,718,438,727,90,175,70131,150110,12023,..,82152,150110
CED221,53446,171840,3899,9391,1218,3240,5117,12627,634,1173,29,47,0,0,0,0,30,67,694,1289,0,4,0,0,0,3,3,14,12,23,59,139,59323,185924,2221,..,61540,185924
CED222,48140,140385,7231,16767,6038,17037,13270,33807,5704,12154,948,1734,1431,2469,430,808,64,138,8577,17301,61,69,91,98,15,15,48,97,210,277,83,156,70270,191923,5930,..,76202,191923
CED223,59447,141940,4238,6110,242,451,4481,6565,564,934,95,278,76,179,32,72,26,48,791,1520,332,502,211,321,69,86,121,256,738,1171,201,442,65662,151640,10211,..,75867,151640
CED224,36625,107358,9170,17411,6556,16011,15723,33423,6720,11777,879,1417,1380,2180,364,604,15,46,9355,16031,91,114,201,245,7,7,149,241,449,604,58,114,62211,157525,4443,..,66648,157525
CED225,47188,129659,4599,8176,3919,9158,8516,17336,2510,4477,560,918,1033,1659,326,500,42,85,4471,7639,0,0,0,0,20,19,40,88,68,106,61,121,60296,154858,4427,..,64730,154858
CED226,34000,100223,8223,17471,5006,12612,13225,30081,5895,10445,5072,8471,4234,7103,648,1017,21,55,15876,27086,0,0,0,0,10,14,208,431,218,443,81,171,63401,158010,8123,..,71525,158010
CED227,52407,157672,3274,5822,1310,2993,4584,8811,336,543,19,30,0,6,3,7,25,46,381,633,25,35,134,156,3,9,20,37,182,240,48,113,57607,167474,2802,..,60406,167474
CED228,58475,182065,4717,11213,1517,3746,6234,14962,1158,2231,22,42,445,696,0,0,23,53,1651,3018,40,58,3,3,14,20,8,28,65,108,46,116,66476,200274,4238,..,70712,200274
CED229,9795,28036,8200,18943,7827,18963,16029,37904,10012,16894,14562,23339,9329,15221,22663,39056,54,118,56623,94633,3,0,7,9,47,49,718,1189,775,1249,186,316,83402,162136,19180,..,102583,162136
CED230,63053,150614,3722,5684,144,274,3868,5958,2477,3648,34,42,0,0,0,3,13,22,2527,3717,804,1326,408,775,92,125,205,406,1502,2636,269,488,71227,163409,9688,..,80918,163409
