CED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
CED101,6370,22169,18562,5888,3027,56022,2652,58674
CED102,10037,29898,16910,4838,2474,64166,3748,67913
CED103,8090,32445,21388,5474,2566,69965,2787,72751
CED104,1973,15452,20297,6925,4958,49599,1208,50805
CED105,6703,20640,16589,6048,3578,53553,5138,58694
CED106,4499,23680,21656,5900,2748,58485,1539,60024
CED107,3553,21286,23476,8971,5492,62784,4603,67381
CED108,4941,22225,21721,7086,3713,59690,4627,64321
CED109,3786,20852,20874,6251,3817,55576,2349,57922
CED110,4093,27470,23928,7667,4009,67160,4559,71721
CED111,5522,22806,21923,6879,3953,61080,2798,63880
CED112,3613,21570,22011,7456,4696,59348,3271,62618
CED113,2375,20680,23903,9228,5800,61987,3967,65954
CED114,3711,22801,24233,8783,5203,64729,5801,70532
CED115,6294,19966,15905,6360,3907,52431,4217,56642
CED116,2843,24950,25110,7891,4545,65340,4050,69384
CED117,10666,32379,14458,2699,1037,61238,2646,63884
CED118,3553,22656,25003,7520,3738,62475,3163,65640
CED119,2287,15426,21379,7029,4445,50562,1337,51905
CED120,1938,15625,23038,9886,7897,58391,2989,61379
CED121,2932,20442,24325,9408,6016,63124,3062,66181
CED122,11395,32238,18894,4509,1984,69015,4040,73050
CED123,4609,22532,23193,8022,5178,63539,3989,67525
CED124,2749,23295,23200,8100,5030,62377,4177,66549
CED125,3964,21985,25605,8460,4922,64941,3484,68428
CED126,3055,18272,21919,7116,4352,54705,1920,56629
CED127,2721,17687,19981,7503,5645,53524,2090,55619
CED128,4831,17947,18355,7019,4517,52672,3785,56459
CED129,1857,18530,26229,8265,4618,59496,1517,61020
CED130,3606,21644,21846,8029,4791,59914,5296,65209
CED131,5372,24669,24308,6811,3407,64567,2860,67431
CED132,10061,34221,18110,3753,1585,67723,2564,70291
CED133,3046,24318,24485,8610,4633,65091,4889,69987
CED134,3708,20445,20140,7512,4533,56341,7663,64003
CED135,10081,32258,18826,5002,2573,68732,5317,74050
CED136,3067,22816,25719,8860,5181,65639,2925,68567
CED137,10533,36230,20861,4920,2322,74873,3799,78673
CED138,3435,25126,24234,7537,4175,64501,5152,69648
CED139,3669,21187,22298,8442,5026,60618,4451,65073
CED140,4436,23320,21046,6624,3674,59094,3090,62190
CED141,3122,20867,22941,7355,4182,58470,2406,60872
CED142,36311,43875,10699,1479,551,92916,7221,100138
CED143,5383,25704,19350,4801,2386,57622,1880,59502
CED144,7634,24329,16855,5433,3100,57354,4449,61802
CED145,11373,28814,15208,3076,1422,59899,3305,63204
CED146,3589,16702,21194,8847,5553,55889,3577,59461
CED147,3338,20740,23976,8502,5290,61849,2820,64676
CED197,0,0,0,0,0,0,0,0
CED201,2198,17728,24458,8109,4580,57073,1904,58979
CED202,3040,20631,22301,8012,4898,58891,3214,62106
CED203,2846,20398,22494,8108,5009,58854,3487,62336
CED204,3032,18035,23022,8486,5188,57764,3538,61305
CED205,2517,16678,22687,8020,4679,54584,3676,58258
CED206,1621,15462,23463,9092,6512,56150,2201,58351
CED207,5116,24788,25227,7048,3251,65429,2618,68053
CED208,7603,28942,18660,4591,2219,62011,2928,64941
CED209,1378,17564,24857,7626,4410,55833,2343,58180
CED210,4387,23565,23277,6743,3678,61640,3264,64909
CED211,3097,22284,25396,6944,3818,61540,2042,63578
CED212,3198,20309,23768,7496,4067,58840,3106,61942
CED213,2288,21003,24161,7440,4310,59215,3380,62589
CED214,7067,27608,19443,5995,2738,62845,4578,67422
CED215,3423,24123,26529,6681,2903,63665,3290,66959
CED216,3086,20997,22844,8506,5146,60575,4580,65153
CED217,3618,22669,23438,5848,2722,58295,2069,60361
CED218,2003,15405,23215,8634,5007,54262,2766,57028
CED219,2130,17262,22616,8289,5220,55509,3368,58876
CED220,9711,31685,19210,4327,2080,67015,3115,70131
CED221,1590,15691,25402,8827,4760,56277,3044,59323
CED222,5532,25581,24687,7568,3708,67069,3201,70270
CED223,2599,19822,23856,9020,5714,61021,4640,65662
CED224,3565,22395,24294,6498,3279,60034,2178,62211
CED225,3025,20507,24284,6879,3761,58459,1840,60296
CED226,4605,25038,22795,6040,2921,61399,2000,63401
CED227,1364,15520,24435,8367,5227,54916,2683,57607
CED228,2690,22706,25619,7535,3950,62504,3973,66476
CED229,15789,41594,17095,2759,1164,78394,5006,83402
CED230,3712,22058,23681,9649,6372,65477,5747,71227
CED231,5955,25418,20556,5492,2736,60154,2692,62849
CED232,952,13256,23218,9015,6111,52552,2432,54983
CED233,35049,41658,12440,2121,750,92013,7161,99177
CED234,3492,21763,25064,7384,4329,62029,2000,64023
CED235,2578,20037,21882,8082,5000,57570,3859,61436
CED236,2962,19650,22072,9082,5956,59731,4828,64554
CED237,2895,18977,22799,7590,4100,56361,2757,59114
CED238,2864,20416,22909,9028,5954,61167,4067,65229
CED239,8173,29381,17776,4465,2189,61982,2957,64941
CED297,0,0,0,0,0,0,0,0
CED301,3302,22046,25492,9532,5512,65883,3989,69873
CED302,3278,19648,23946,7392,3924,58190,2023,60211
CED303,2714,18642,23394,8730,5112,58595,2121,60718
CED304,11366,37875,21929,5103,2417,78691,4248,82941
CED305,2796,19264,21643,8296,4766,56768,4937,61702
CED306,3071,20849,23078,8264,4317,59579,4936,64513
CED307,1808,15894,23461,8735,5408,55303,1741,57043
CED308,2650,24819,28353,9280,4728,69827,4211,74043
CED309,2532,22933,25480,8454,4738,64138,3323,67460
CED310,2605,23211,25159,8419,4957,64346,3415,67761
CED311,2534,19828,22002,8890,5384,58637,5739,64380
CED312,2703,20151,25165,9603,6165,63787,4643,68429
CED313,7162,32539,23166,5703,2690,71265,3533,74799
CED314,3365,21565,22554,7840,4480,59805,2981,62785
CED315,3900,21824,23113,7477,3623,59951,4184,64129
CED316,3749,25933,22195,7349,3905,63127,3754,66878
CED317,3747,23893,23571,8367,4872,64437,7604,72040
CED318,5916,26239,22547,6810,3268,64788,6259,71045
CED319,5083,25299,23268,6392,3043,63080,2543,65621
CED320,2869,22971,24294,9386,6299,65817,3610,69427
CED321,2908,21023,20807,8507,5451,58700,5873,64572
CED322,2651,21807,24518,7621,3968,60558,3203,63764
CED323,5828,31432,24481,7119,3675,72531,6078,78611
CED324,4105,22427,22285,6813,3455,59089,2447,61537
