SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR101,374935,234298,294875,274395,206283,146668,78244,30893,8191,1648787,34755,34359,40709,45592,50191,58836,53403,30552,10370,358757,1413,3067,4909,6425,10099,17223,22519,16799,6752,89206,72,221,595,1236,3023,7453,12501,12066,5848,43020,36239,37644,46212,53258,63316,83513,88427,59417,22964,490981,32254,23393,30547,26495,21973,17551,11517,7592,4420,175733,443422,295341,371633,354148,291570,247729,178179,97904,35578,2315505,364735,210029,290227,271838,208672,150936,87827,34693,11010,1629980,23588,41130,51523,50535,55272,61320,58985,37163,16862,396375,1059,5807,9038,9484,13722,20195,24421,20045,11132,114894,42,350,1036,2264,5075,9525,13277,13564,9465,54613,24694,47282,61601,62283,74076,91040,96677,70774,37460,565885,30255,19924,27478,24396,20095,16597,12274,8910,7928,167855,419687,277241,379308,358518,302842,258573,196780,114371,56401,2363716,739674,444330,585110,546238,414955,297604,166071,65587,19205,3278764,58345,75482,92234,96121,105465,120159,112388,67711,27229,755136,2468,8868,13942,15915,23827,37413,46939,36842,17883,204104,121,573,1629,3504,8101,16984,25777,25636,15310,97633,60929,84931,107811,115534,137390,174557,185105,130186,60425,1056866,62513,43323,58023,50890,42065,34142,23785,16504,12345,343586
SOSR102,76306,46772,46731,43404,40459,32155,19599,8242,2127,315797,10995,10637,11133,11908,13621,16622,16508,10112,3287,104826,739,1317,1808,2272,3533,6044,8248,6434,2327,32718,36,97,211,466,1254,3058,5347,5412,2305,18190,11771,12052,13154,14645,18408,25725,30116,21949,7924,155736,7768,5651,5050,4894,5033,4384,3287,2279,1301,39644,95844,64477,64933,62944,63902,62271,52997,32466,11358,511183,73888,40464,42870,42699,39945,33312,21774,9481,3182,307622,8173,13938,15220,14774,15817,18141,18724,12318,5623,122718,565,2588,3672,3822,5358,7514,9325,7639,4038,44513,24,177,512,1020,2321,4470,6294,6200,3958,24981,8759,16700,19397,19609,23497,30126,34349,26152,13620,192209,7223,4949,4739,4484,4500,4352,3700,3028,2308,39279,89870,62116,67003,66799,67947,67789,59820,38662,19106,539116,150193,87234,89598,86110,80407,65469,41376,17727,5309,623424,19164,24572,26348,26679,29445,34763,35232,22424,8909,227542,1300,3904,5474,6096,8895,13557,17574,14071,6364,77232,61,276,727,1483,3572,7534,11647,11609,6270,43168,20532,28757,32550,34261,41902,55853,64457,48105,21542,347949,14992,10596,9793,9378,9535,8736,6981,5306,3612,78923
SOSR111,14989,8190,8626,7659,6579,5166,3318,1361,311,56200,2351,1963,2373,2493,2623,2841,2954,1632,470,19706,190,249,429,509,740,1152,1514,1027,345,6154,11,14,71,122,278,611,1096,945,404,3551,2557,2229,2872,3118,3639,4599,5560,3608,1217,29412,1769,1025,1078,981,941,806,542,387,207,7738,19317,11448,12575,11760,11158,10567,9418,5354,1745,93341,15036,7177,8141,7539,6678,5512,3801,1559,461,55908,1846,2745,3277,3003,3044,3204,3224,2207,883,23431,150,605,882,869,1088,1475,1770,1246,649,8731,14,41,130,263,541,943,1225,1118,652,4924,2010,3382,4284,4133,4673,5618,6223,4570,2190,37086,1653,955,999,988,836,793,609,534,336,7706,18702,11518,13427,12664,12191,11927,10631,6664,2988,100703,30027,15364,16770,15197,13250,10679,7121,2920,775,112112,4192,4704,5648,5492,5672,6043,6178,3840,1357,43135,343,854,1312,1376,1822,2628,3280,2276,995,14888,27,55,198,385,815,1552,2323,2061,1061,8475,4570,5618,7158,7254,8318,10215,11780,8181,3410,66491,3419,1984,2077,1976,1778,1600,1147,922,545,15439
SOSR112,37774,21567,22616,19027,17298,14514,9830,4409,1242,148273,6199,5458,5814,5653,6425,7978,8311,5172,1710,52728,470,813,1077,1314,1849,3120,4412,3374,1283,17717,26,71,165,324,748,1770,3106,2827,1224,10262,6691,6343,7058,7289,9023,12876,15832,11374,4214,80702,5073,3857,4327,3684,3379,2637,1916,1372,703,26951,49544,31761,34000,29998,29699,30023,27579,17160,6165,255932,37506,18944,21578,18583,17379,15284,11264,5343,1773,147646,4684,7127,7793,7055,7571,9028,9546,6673,3090,62562,384,1557,2077,2105,2713,3925,4948,3997,2151,23859,26,116,339,650,1405,2588,3406,3266,2132,13923,5094,8798,10209,9804,11694,15538,17900,13936,7376,100346,4939,3139,2930,2650,2566,2330,2041,1680,1171,23452,47531,30882,34721,31037,31639,33148,31199,20961,10322,271442,75283,40507,44196,37605,34678,29792,21098,9753,3015,295919,10880,12586,13609,12709,13998,17008,17854,11851,4798,115289,854,2370,3159,3418,4570,7048,9362,7365,3439,41577,53,192,499,972,2152,4358,6514,6094,3354,24184,11783,15146,17270,17096,20717,28412,33730,25311,11594,181051,10014,6998,7255,6339,5945,4974,3949,3050,1884,50401
SOSR113,15825,8741,8997,8033,7888,7110,5223,2301,572,64698,2601,2210,2290,2442,2909,3989,4534,2762,784,24518,221,314,397,523,833,1618,2276,1660,605,8446,6,32,56,127,382,905,1607,1404,612,5131,2828,2559,2742,3099,4120,6511,8416,5824,1999,38099,2360,1583,1727,1536,1445,1284,1047,647,280,11907,21011,12877,13469,12667,13455,14909,14687,8769,2850,114705,15644,7266,8606,7888,7592,7618,5745,2556,813,63736,1974,2667,3146,3047,3431,4256,4762,3283,1467,28028,162,550,788,926,1295,1903,2527,1947,1038,11132,5,44,122,314,730,1267,1705,1560,1029,6773,2131,3264,4055,4283,5455,7428,8996,6790,3526,45935,2169,1210,1305,1175,1193,1134,1053,816,604,10661,19950,11737,13967,13349,14237,16171,15800,10173,4943,120331,31470,16008,17608,15926,15485,14725,10975,4858,1382,128431,4572,4880,5438,5492,6345,8247,9297,6044,2253,52553,374,864,1185,1455,2132,3527,4796,3609,1638,19578,12,77,183,443,1103,2169,3314,2967,1640,11902,4958,5819,6799,7384,9577,13943,17408,12617,5524,84035,4532,2794,3028,2710,2637,2413,2101,1467,882,22567
SOSR114,19016,9847,10279,9189,8682,7857,5666,2636,682,73857,2850,2261,2404,2628,3157,4259,4884,3129,1027,26605,244,307,392,544,853,1669,2559,1907,714,9190,13,33,55,117,351,874,1707,1650,690,5491,3101,2600,2851,3289,4362,6799,9152,6688,2436,41282,2597,1505,1646,1583,1503,1456,1246,783,371,12699,24715,13957,14775,14059,14552,16114,16064,10112,3490,127836,18803,8890,9825,9138,8775,8293,6330,3084,982,74120,2132,2983,3369,3273,3541,4613,5313,3808,1702,30728,176,558,860,1015,1233,1938,2689,2215,1152,11829,6,48,115,264,580,1275,1818,1705,1094,6913,2316,3587,4342,4554,5349,7825,9819,7732,3950,49468,2532,1383,1481,1384,1305,1401,1196,1027,662,12362,23649,13865,15643,15076,15427,17520,17340,11841,5588,135946,37819,18743,20096,18321,17460,16149,12000,5721,1663,147973,4977,5245,5771,5902,6695,8874,10194,6935,2733,57330,420,867,1250,1554,2088,3603,5245,4128,1867,21016,19,82,166,382,927,2148,3524,3362,1784,12401,5412,6185,7191,7843,9711,14621,18970,14421,6384,90750,5129,2890,3126,2967,2810,2861,2445,1809,1031,25060
SOSR115,25701,13489,13347,12524,12723,11981,9357,3922,873,103918,3978,2997,3013,3583,4344,6609,7907,4501,1327,38257,247,380,477,703,1208,2529,4032,2854,913,13343,9,29,93,180,490,1427,2699,2317,905,8153,4234,3405,3585,4465,6034,10565,14635,9670,3143,59752,3800,2303,2215,2218,2271,2327,1996,1234,507,18869,33743,19197,19154,19205,21037,24867,25978,14829,4523,182530,25329,11546,12729,12493,12652,13090,9790,4119,1220,102973,2935,3728,4249,4483,5117,7006,8225,5066,2185,42993,219,722,1072,1200,1776,3067,4017,3164,1579,16818,7,54,162,353,868,1831,2673,2437,1436,9815,3163,4501,5481,6033,7763,11908,14916,10665,5205,69635,3425,1857,1878,1999,2004,2137,1940,1418,860,17525,31923,17905,20091,20532,22416,27136,26648,16202,7276,190127,51032,25036,26077,25020,25384,25065,19140,8045,2086,206887,6912,6730,7265,8066,9458,13615,16136,9565,3506,81250,467,1100,1552,1904,2984,5597,8042,6018,2493,30164,16,82,249,534,1355,3260,5371,4755,2346,17969,7399,7914,9066,10502,13799,22473,29551,20337,8349,129381,7232,4164,4095,4216,4276,4462,3935,2652,1360,36389
SOSR121,7299,3734,3232,3475,3869,3693,2719,957,203,29177,1081,805,728,953,1327,1948,2139,1077,247,10298,84,114,123,193,330,731,1045,645,144,3410,3,6,27,41,103,351,681,520,158,1895,1170,928,885,1187,1754,3029,3863,2239,547,15604,914,526,474,512,543,582,567,276,121,4510,9373,5182,4589,5172,6170,7305,7149,3465,876,49285,7071,3231,3085,3479,3874,3816,2660,874,221,28301,848,978,1070,1196,1503,2002,2088,1100,349,11128,73,177,259,314,539,804,1043,629,221,4065,0,14,52,105,225,475,629,494,215,2214,924,1175,1378,1610,2269,3284,3760,2222,789,17408,908,527,413,510,522,556,513,302,174,4422,8901,4927,4872,5604,6661,7646,6938,3394,1179,50123,14368,6959,6318,6954,7735,7508,5378,1822,422,57474,1929,1778,1803,2148,2825,3949,4230,2176,591,21425,153,296,381,505,867,1540,2092,1267,373,7472,7,32,80,141,329,827,1310,1011,373,4104,2090,2101,2266,2804,4025,6307,7625,4456,1343,33004,1818,1055,882,1020,1071,1134,1078,577,295,8929
SOSR122,3506,1808,1692,1702,2031,2127,1430,502,93,14890,449,407,398,488,682,1159,1200,620,121,5527,30,49,62,96,183,433,585,318,75,1827,0,3,13,33,78,265,418,281,93,1187,472,459,480,614,944,1861,2195,1226,291,8542,529,364,344,377,468,529,416,204,52,3281,4514,2632,2513,2693,3449,4513,4048,1935,435,26716,3310,1565,1591,1650,1931,2061,1365,432,97,14016,347,452,487,599,748,1114,1081,558,166,5549,16,97,139,155,300,508,570,320,105,2205,0,5,26,35,148,302,370,233,124,1244,366,551,649,795,1190,1921,2015,1114,394,8986,537,316,302,333,399,452,401,160,66,2969,4221,2435,2536,2774,3521,4429,3781,1703,560,25970,6815,3379,3280,3348,3967,4187,2797,935,192,28901,799,863,887,1089,1426,2271,2276,1180,286,11072,46,143,202,251,482,936,1153,640,178,4033,0,5,45,73,228,573,785,516,214,2429,845,1009,1131,1406,2137,3781,4216,2333,682,17533,1067,685,639,707,868,980,819,364,117,6249
SOSR131,42103,25205,17876,20600,26279,25964,16869,5605,931,181429,5125,4181,3628,4936,7877,11635,12113,5631,1179,56296,304,427,528,846,1760,3877,5466,3002,766,16979,22,28,48,212,617,1788,3092,2291,635,8740,5448,4637,4206,5992,10254,17298,20665,10924,2577,82017,5682,4123,3714,4078,4776,5226,3949,1872,457,33876,53225,33965,25797,30672,41314,48497,41486,18403,3967,297322,40045,20866,16763,20590,25723,24506,14926,4885,924,169228,3690,4949,4720,5965,8698,11332,10337,4772,1321,55775,196,774,1036,1432,2499,4236,4611,2580,855,18218,8,56,140,371,986,2085,2558,1692,676,8583,3896,5774,5898,7764,12174,17654,17509,9047,2862,82577,5294,3180,2738,3470,4253,4403,3394,1644,493,28866,49234,29820,25400,31819,42148,46562,35829,15570,4270,280662,82143,46073,34647,41185,52003,50469,31798,10492,1853,350656,8811,9130,8344,10898,16565,22966,22452,10397,2495,112069,506,1198,1565,2276,4256,8113,10076,5583,1622,35196,29,84,196,581,1606,3872,5652,3990,1318,17321,9348,10409,10107,13757,22426,34955,38179,19975,5437,164593,10971,7300,6450,7543,9026,9631,7340,3512,947,62736
