SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOSR101,2321728,2370429,4692155,145436,137101,282536,298438,283049,581491,134699,126263,260960,161261,151598,312861,372848,380373,753220,355068,359208,714279,292344,303563,595903,248601,260078,508680,179164,197997,377161,98211,114711,212920,35656,56496,92147,6223,6705,12928,2275296,2327922,4603224,46431,42499,88927,32149,32568,64713,798,759,1558,720,743,1459,33664,34068,67730,1268285,1265610,2533893,938197,993308,1931508,1262975,1251501,2514473,923731,988386,1912121,1840688,1885931,3726624,42819,40316,83127,279929,266057,545980,110442,108184,218627,76443,76797,153236,96358,133316,229681,1238575,1298609,2537176,94015,85315,179331,264204,264899,529101,72830,75684,148516,60026,71138,131160,26250,35312,61566
SOSR102,511714,539686,1051395,30104,28505,58608,65806,61409,127215,31358,29865,61221,33168,32295,65468,65018,67084,132100,63009,66866,129877,63970,68009,131981,62338,67897,130240,53069,59933,113009,32500,38695,71194,11359,19119,30484,532,567,1099,501932,527571,1029504,9782,12109,21893,22864,23478,46348,519,491,1013,475,517,989,23861,24491,48354,406895,425665,832558,81659,89678,171335,438736,460069,898801,48319,53586,101906,459623,484974,944596,9917,9321,19241,62214,58062,120274,23052,23149,46195,11987,13739,25725,15462,25271,40734,196953,221326,418285,31116,28223,59338,114709,119368,234076,30534,33835,64370,16227,17821,34046,2053,2335,4391
SOSR111,93461,100805,194269,6217,6046,12268,13109,12656,25767,5830,5786,11615,5631,5737,11369,12611,13452,26063,11775,12674,24456,11170,12199,23369,10584,11953,22528,9428,10644,20073,5358,6667,12026,1744,2995,4735,118,104,222,91421,98358,189780,2040,2452,4491,5544,6157,11699,101,122,221,143,137,283,5788,6414,12206,77608,83745,161354,10986,12126,23113,81747,88300,170052,6845,7558,14408,84190,91002,175198,1872,1861,3729,12293,11889,24183,3986,4226,8213,1509,2067,3574,2720,4854,7579,30781,36945,67721,6970,6758,13734,21819,22805,44628,6176,6668,12847,3351,3401,6753,488,542,1032
SOSR112,256476,271792,528266,16015,15070,31091,33575,32490,66068,16133,15430,31564,15690,15484,31179,34160,34789,68949,30114,31086,61202,29761,31675,61437,30070,33211,63281,27612,31243,58849,17168,20991,38158,6169,10326,16495,543,350,889,243595,261660,505257,12880,10130,23008,20917,21067,41983,302,322,629,431,456,886,21652,21846,43498,206466,219785,426253,33407,35047,68454,216503,233760,450260,20141,21252,41396,221976,240254,462235,4812,4467,9280,30932,29956,60881,10813,10858,21670,3942,5309,9248,7122,12734,19858,86310,102605,188918,15877,16018,31902,57962,60738,118704,16794,17785,34581,9900,9447,19345,1117,1160,2276
SOSR113,114887,120460,235348,6400,6063,12465,14629,13894,28523,6844,6076,12921,6059,5688,11747,13527,14011,27538,12695,13369,26065,13475,14248,27726,14920,16187,31109,14699,15806,30508,8781,10177,18958,2850,4943,7795,181,128,314,110754,116949,227703,4132,3510,7643,9279,9633,18908,174,150,323,223,201,424,9667,9980,19652,94206,98388,192592,12640,14179,26822,100969,106594,207560,5443,6344,11789,102148,108136,210285,1903,1813,3716,13373,12721,26100,4305,4151,8464,1150,1456,2613,2391,4957,7351,34566,40365,74935,7873,7357,15230,29184,30437,59622,8487,9266,17758,4994,4830,9825,356,324,679
SOSR114,128038,136091,264128,7912,7492,15405,16813,16164,32978,7272,7034,14304,6704,6841,13543,14836,15678,30512,14091,15089,29182,14575,15443,30018,16137,17551,33682,16084,17362,33452,10126,11850,21974,3493,5588,9082,203,144,349,123936,132077,256005,4103,4015,8120,9409,9981,19396,157,142,298,218,220,436,9785,10349,20133,104627,111745,216367,13975,15045,29021,111517,119497,231010,7351,7853,15206,113723,122021,235741,2316,2198,4515,15353,14779,30130,4743,4963,9705,1361,2220,3585,2524,5310,7830,38609,47760,86369,8343,8377,16723,32023,32733,64755,9164,9271,18440,5718,5098,10817,458,405,863
SOSR115,182822,190341,373167,10433,9983,20417,23324,21946,45266,10306,9663,19970,8937,8274,17214,19245,20161,39410,19259,20558,39818,21056,22442,43504,24898,27161,52059,25999,26657,52658,14844,16217,31054,4522,7276,11799,293,214,507,176510,185294,361807,6319,5044,11362,13507,13453,26959,201,165,369,279,273,551,13992,13888,27881,149835,155748,305579,19179,20902,40075,161696,169326,331025,7417,8323,15739,162997,171130,334129,3175,3057,6236,21146,19988,41136,6699,6740,13446,1757,2318,4081,3312,7196,10514,54820,67042,121859,11761,11844,23608,46335,45860,92188,14050,13495,27551,8154,6867,15016,561,482,1034
SOSR121,49359,50171,99534,2728,2596,5327,6659,6307,12960,2961,2865,5835,2222,2067,4297,4614,4887,9493,5179,5614,10791,6185,6661,12847,7311,7656,14965,7155,6937,14091,3468,3395,6863,879,1181,2060,75,48,121,48748,49592,98340,611,582,1192,3412,3528,6941,65,55,121,78,74,152,3554,3661,7216,41193,41631,82821,4727,5147,9878,44633,45318,89952,1591,1807,3401,44908,45607,90515,857,847,1700,6141,5821,11967,2052,2090,4141,517,588,1101,909,1985,2897,14775,18096,32877,3161,3050,6208,13135,12184,25326,3656,3340,6998,2016,1519,3531,131,93,221
SOSR122,26784,26017,52811,1218,1179,2399,3298,3040,6333,1425,1289,2720,1211,1149,2363,2541,2569,5110,2704,2780,5483,3455,3521,6977,4514,4443,8956,4047,3784,7832,1936,1704,3638,433,556,998,74,54,123,25104,24722,49823,1682,1297,2984,2029,2115,4146,47,29,74,43,39,79,2119,2182,4304,21462,20824,42287,2529,2686,5213,23354,22723,46070,836,1011,1852,23434,22881,46313,369,325,688,2943,2702,5647,891,868,1752,231,337,567,401,917,1314,7629,9013,16645,1586,1508,3099,6977,6180,13156,1985,1802,3779,1413,972,2387,104,68,178
SOSR131,297813,281081,578892,14209,13391,27598,39049,35862,74910,19501,17477,36983,14512,12412,26926,25966,25523,51485,30763,31893,62657,41370,42190,83560,48531,46604,95131,41523,35858,77380,18412,15588,33997,3969,4275,8247,490,411,907,289532,277164,566693,8285,3918,12201,13295,12329,25628,284,228,515,287,268,550,13868,12824,26690,242912,227480,470384,29166,30289,59455,258513,245307,503819,13458,14184,27640,264373,250908,515285,4129,4104,8231,35542,32645,68197,13241,12989,26228,3550,4356,7907,4191,9613,13798,93285,111938,205219,17356,15956,33315,76849,61401,138248,20013,14716,34728,11667,7109,18770,901,664,1568
SOSR179,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
