SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOSR201,2249962,2321946,4571908,137888,130438,268328,284132,269284,553419,130550,123939,254490,159101,150753,309850,369509,374823,744329,341920,348172,690091,284884,299755,584639,235469,251074,486538,171514,195853,367372,98459,119109,217571,36539,58750,95291,5196,5651,10845,2207520,2278075,4485591,42442,43871,86317,13546,13199,26747,537,465,994,411,399,809,14487,14065,28550,1328093,1351246,2679336,818448,869711,1688155,1345972,1368768,2714738,789279,841844,1631119,1806863,1869515,3676377,41514,39033,80545,267788,254064,521854,109066,107675,216742,77134,79231,156368,93122,130751,223877,1174120,1269518,2443632,175030,165201,340228,195324,175853,371176,82029,79574,161606,72530,93724,166250,24807,33081,57882
SOSR203,185240,199444,384686,11636,11244,22882,24310,22888,47198,11502,11222,22724,13182,13337,26521,28253,29006,57260,23217,25408,48619,21892,23990,45878,20264,23177,43437,17267,20280,37544,9980,12479,22463,3747,6409,10160,192,191,386,179756,192961,372715,5488,6481,11969,3132,3367,6494,114,113,231,82,69,156,3327,3551,6881,147997,160421,308417,27808,29413,57225,155247,168626,323871,20324,20969,41293,162968,177321,340290,3424,3302,6722,22746,21553,44297,8570,8782,17356,4616,5815,10432,6063,9647,15709,74084,88523,162603,21473,21773,43251,24757,24021,48780,10902,10950,21858,7402,8519,15921,1181,1197,2374
SOSR211,55734,58008,113743,4731,4660,9389,8830,8711,17538,3532,3307,6840,3580,3315,6895,8749,9567,18309,8331,8576,16906,6262,6452,12712,5102,5695,10801,4237,4741,8978,1908,2215,4127,473,772,1245,72,114,179,55004,57471,112475,725,537,1264,1204,1359,2561,44,32,75,25,46,70,1276,1434,2705,38006,39514,77521,14263,14929,29188,38535,40178,78713,13515,14050,27562,46205,47771,93973,1197,1298,2494,8030,7918,15948,2488,2490,4973,1021,1092,2114,1519,2878,4397,19341,22378,41722,5821,5602,11427,8363,7711,16070,3139,2986,6122,2061,2187,4244,469,613,1082
SOSR212,127610,136332,263938,8150,7773,15922,18005,16799,34802,7844,7459,15301,7348,7199,14544,16956,18137,35092,16279,17708,33992,15920,17253,33174,14907,16747,31656,12678,14476,27156,7016,8514,15533,2508,4267,6776,182,180,369,124668,132958,257628,2933,3373,6311,3220,3433,6654,88,78,160,94,97,194,3399,3609,7010,100853,108134,208983,18963,20416,39383,106184,113994,220177,13783,14623,28401,111038,119415,230454,2338,2319,4653,16717,15645,32360,5692,5788,11484,1946,2552,4493,3095,5746,8844,45726,56700,102422,15905,15731,31635,18281,17044,35323,7908,7479,15380,5279,5846,11118,966,936,1897
SOSR213,119833,128138,247964,7634,7365,14999,16009,14984,30999,7227,6650,13876,6568,6421,12991,15330,16132,31465,14189,15355,29546,14187,15619,29809,14426,16002,30432,13314,14966,28283,8077,9807,17882,2875,4824,7695,142,105,247,116694,124835,241532,3133,3300,6432,2608,2633,5243,79,85,159,55,63,117,2744,2779,5520,97471,104337,201814,15590,16796,32390,104031,111541,215571,8652,9671,18327,106877,114964,221835,2187,2077,4267,14879,13939,28818,5101,5095,10196,1511,1964,3472,2467,5265,7735,38728,49144,87872,16048,16420,32475,20170,18351,38521,8447,8046,16493,5688,6033,11722,573,599,1165
SOSR214,69636,74611,144245,3741,3611,7354,8276,7723,16000,3885,3558,7440,3493,3176,6666,7747,8018,15760,7306,7959,15263,7931,8815,16750,9134,10239,19371,9807,11027,20833,6179,7002,13183,2143,3493,5635,64,69,134,67691,72281,139975,1947,2328,4274,1276,1339,2620,42,59,103,29,31,58,1351,1430,2781,56114,60207,116319,8869,9596,18463,60863,65406,126266,4480,4821,9299,62204,66875,129080,1070,1046,2117,7610,7131,14743,2717,2664,5379,845,903,1750,1210,2568,3774,22243,28207,50447,9398,9663,19060,11936,11148,23087,5443,5174,10623,3701,3884,7584,330,298,629
SOSR215,108961,114116,223077,6412,6030,12443,14180,13332,27509,6022,5596,11617,5066,4661,9728,12085,12600,24683,12095,13057,25143,13106,14030,27137,14768,16084,30851,14484,15238,29721,8084,9109,17190,2668,4386,7047,122,92,215,106670,111152,217820,2293,2965,5261,1924,2008,3930,73,60,135,48,49,104,2047,2120,4168,88852,92974,181826,12352,13428,25780,96623,101406,198029,5292,5777,11065,97528,102474,200001,1878,1681,3559,13068,12325,25392,4270,4318,8587,1096,1470,2564,1862,4270,6131,34038,44168,78211,14390,14463,28854,18650,16068,34717,8338,7105,15443,5324,5097,10418,449,388,834
SOSR221,30390,30681,61068,1585,1573,3154,3808,3555,7357,1596,1517,3119,1274,1108,2381,2841,3026,5871,3272,3428,6696,3773,4039,7810,4753,4918,9666,4606,4355,8963,2248,2169,4418,640,993,1635,22,19,43,29887,30091,59979,499,591,1095,457,495,946,25,13,35,15,15,22,492,519,1012,24796,25047,49839,3387,3458,6849,27328,27559,54886,1127,1240,2366,27417,27715,55133,447,447,893,3545,3280,6823,1113,1155,2268,274,346,621,457,1041,1494,9502,12086,21587,4198,3981,8176,5406,4372,9778,2459,1850,4308,1365,1222,2588,70,79,150
SOSR222,18425,18313,36743,845,797,1645,2265,2163,4422,981,1032,2015,1041,1049,2090,2028,1983,4013,1929,2107,4036,2451,2472,4923,2933,3005,5932,2558,2208,4772,1104,1107,2210,291,399,689,61,51,108,16602,16442,33038,1826,1874,3704,314,299,611,12,11,22,8,13,18,332,325,653,14639,14530,29168,1871,2006,3881,15994,15900,31892,714,813,1527,16134,16010,32145,230,236,468,2020,1945,3964,627,664,1283,210,264,476,301,677,981,6057,7590,13657,2312,2137,4449,3037,2336,5371,1365,996,2358,812,644,1460,55,40,92
SOSR231,219099,205879,424976,9903,9530,19431,27686,25708,53392,13739,12667,26402,10476,8871,19341,19211,18518,37732,23343,23459,46805,30987,31342,62328,36209,34950,71155,31162,26705,57867,13561,11143,24700,2832,2983,5817,221,166,391,213498,204113,417607,5602,1766,7372,3146,2757,5909,104,64,163,80,71,146,3325,2897,6222,178657,167308,345964,22378,21975,44350,190385,181696,372089,9247,9341,18587,192735,183551,376283,2859,2698,5560,25172,23480,48656,9774,9701,19476,2533,3118,5653,2793,6770,9560,67347,86720,154064,30837,26624,57463,40864,25993,66852,16323,10537,26862,9237,6204,15439,673,522,1192
SOSR279,493,72,565,0,0,0,0,0,0,0,0,0,4,0,4,30,17,52,131,14,140,163,18,182,141,24,158,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,493,74,560,6,0,10,0,0,0,0,0,3,3,3,7,122,20,138,28,6,41,141,20,163,13,0,13,148,20,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16,86,36,3,38,47,3,49,5,0,5,4,0,4,0,0,0
SOSR301,1117451,1164455,2281905,71106,67009,138122,155369,146923,302293,73237,69997,143234,81562,81297,162862,170885,178365,349243,161399,170099,331495,143134,151730,294866,114867,123617,238479,85539,96197,181738,45899,54580,100479,14455,24644,39100,2727,2669,5401,1090024,1138727,2228754,27419,25723,53149,28862,30178,59040,1787,1777,3566,2000,2057,4055,32647,34013,66661,756664,777825,1534488,310375,336253,646626,853559,879832,1733394,206482,229835,436316,928216,966680,1894892,20283,19031,39316,146096,138531,284632,55003,56231,111232,29442,34930,64374,41909,66170,108077,557747,602757,1160505,61672,58226,119894,151101,162391,313492,37157,35578,72732,27399,32748,60147,6131,7331,13462
SOSR302,433482,467771,901259,24081,22411,46492,55951,53004,108962,26327,25619,51945,25810,27346,53155,55609,60732,116340,55763,61904,117666,56181,62314,118501,50395,57877,108267,46458,52461,98922,28223,31269,59493,8675,12833,21510,1420,1322,2743,419581,452587,872163,13903,15186,29092,8744,9006,17744,422,414,831,365,415,780,9531,9833,19356,294425,312148,606572,113877,129059,242937,359250,383317,742577,47752,56779,104534,355887,383384,739267,7458,6938,14394,52186,49667,101855,19101,20022,39120,8356,11071,19431,13564,24220,37787,197548,225083,422634,30656,30900,61554,72664,80116,152783,17014,16924,33938,9299,10423,19717,1131,1251,2380
SOSR303,215432,226611,442042,12969,12212,25184,29874,28503,58380,14387,14351,28733,15430,15044,30476,30432,31750,62184,26843,29942,56785,26990,29508,56493,24784,26644,51427,20136,21398,41534,10539,12124,22658,3049,5143,8188,808,580,1392,200826,215059,415878,14611,11552,26162,11669,12627,24297,2946,3299,6249,2828,2933,5761,17450,18856,36307,160731,167787,328518,37118,42853,79970,172417,181743,354163,23500,27612,51115,181142,191672,372813,3471,3268,6740,27406,26235,53647,9549,10444,19991,3503,5213,8715,6835,12348,19180,87194,100197,187392,14397,14028,28428,37478,38802,76285,8760,8526,17283,6995,7464,14460,1196,1599,2793
SOSR311,123709,131625,255327,7171,6697,13870,16916,16203,33118,7799,7393,15190,7089,7207,14297,14898,16017,30912,14058,15549,29608,14377,15863,30236,15333,16854,32185,14519,15561,30085,8811,10102,18914,2740,4188,6926,227,261,485,118486,126786,245275,5219,4836,10054,6493,6807,13300,819,757,1577,863,918,1778,8173,8486,16660,98523,104257,202783,16785,19072,35860,107228,114106,221337,8029,9259,17283,108446,115887,224338,1802,1813,3616,15637,14995,30629,4866,5078,9943,1192,1709,2902,2503,5194,7698,41654,48888,90544,8504,8693,17195,27534,29198,56725,6857,6654,13514,6242,6375,12618,519,481,1000
SOSR312,47989,50344,98334,2504,2433,4937,6059,5845,11905,2868,2694,5565,2518,2366,4888,5213,5381,10597,5294,5607,10901,5821,6176,11997,6412,7021,13432,6416,6794,13209,3763,4289,8050,1120,1729,2859,59,41,104,46616,49177,95786,1378,1173,2549,2302,2375,4679,105,108,213,195,226,423,2606,2709,5309,37835,39386,77227,7127,8196,15326,42741,44791,87529,2328,2922,5250,42541,44809,87352,624,638,1264,5571,5420,10995,1768,1863,3637,364,533,898,830,2038,2870,16235,18192,34426,3627,3578,7208,11352,12229,23585,2756,2754,5509,2327,2359,4694,177,150,325
SOSR313,82104,85185,167291,5768,5239,11007,12346,11943,24290,5380,4811,10191,4761,4934,9694,10981,11595,22568,9796,10778,20574,9436,10041,19472,9414,10245,19657,8493,8858,17347,4508,4846,9352,1220,1906,3125,358,231,586,77549,82048,159597,4554,3142,7695,5508,6050,11558,198,191,387,303,313,618,6013,6550,12568,64847,67828,132674,10579,11766,22343,70876,74306,145182,4470,5324,9794,70349,74173,144520,1402,1321,2724,11372,11059,22426,3327,3294,6620,644,1079,1726,1594,3525,5122,27380,32822,60194,5765,5463,11235,16912,17288,34198,4173,3838,8006,3235,3125,6365,271,240,513
SOSR314,86732,86369,173101,5200,4933,10133,12413,11754,24164,5310,4973,10286,4808,4516,9327,11424,11338,22766,10756,10908,21660,11039,10961,22000,10370,10425,20794,9004,9093,18100,4964,5246,10210,1444,2218,3665,749,282,1030,80184,83308,163494,6547,3059,9608,5269,5605,10870,462,470,931,636,665,1297,6366,6742,13107,64530,66085,130611,12526,13353,25879,71264,73056,144315,5938,6459,12397,71592,73661,145250,1392,1260,2651,11195,10643,21839,3260,3405,6659,669,988,1652,1478,3230,4705,28025,32528,60555,5883,5626,11510,17627,17247,34879,4431,3962,8398,3708,3584,7298,432,339,774
SOSR315,135183,133201,268382,7536,7157,14692,17675,16662,34333,7424,7035,14461,6788,6453,13237,16153,15939,32088,15530,15616,31146,16823,16429,33248,18441,18805,37241,17831,17221,35051,8729,8598,17329,2255,3290,5549,560,346,911,123168,126833,249996,12017,6372,18391,10369,10793,21162,1488,1533,3023,1417,1419,2830,13272,13744,27020,103804,104024,207835,16677,17979,34656,111371,113148,224522,8119,9325,17445,113314,115773,229085,1761,1724,3479,15951,15131,31083,4297,4454,8746,853,1327,2183,2041,4689,6730,40797,48016,88818,9342,9149,18491,31079,28892,59975,7742,6440,14180,6508,5760,12270,459,410,863
SOSR321,51089,50081,101173,2701,2446,5142,6800,6265,13066,2823,2546,5370,2288,2123,4414,4980,5127,10110,5361,5701,11060,6488,6641,13135,7598,8011,15605,7656,7097,14748,3701,3239,6942,696,890,1584,178,125,301,48509,48925,97437,2583,1153,3742,4697,4764,9461,513,486,1000,719,679,1393,5925,5927,11852,40365,39462,79823,6066,6468,12534,43242,43233,86471,2744,3022,5771,44220,44242,88462,625,554,1179,6069,5623,11696,1646,1621,3273,257,445,696,665,1635,2305,15014,17856,32873,3626,3540,7166,12727,11508,24237,3112,2475,5593,2705,2141,4839,155,109,262
SOSR322,24545,23504,48051,1222,1221,2446,2776,2680,5454,1047,940,1989,1029,1019,2048,2316,2358,4675,2333,2355,4691,2939,2898,5833,4264,4218,8487,4355,3809,8168,1932,1595,3525,334,400,733,108,52,159,23269,22729,46001,1274,770,2050,1702,1776,3479,1285,1322,2608,891,892,1779,3877,3987,7866,19587,18790,38377,2407,2573,4984,19667,18762,38427,2492,2749,5239,21479,20731,42210,219,254,466,2428,2345,4773,553,562,1117,127,183,307,303,650,952,6886,7914,14807,1759,1813,3574,6287,5525,11810,1556,1185,2736,1566,1110,2675,100,74,173
SOSR331,248595,224806,473398,10985,10394,21375,29939,27559,57500,14072,12865,26935,11420,9544,20966,24278,21775,46059,28372,26627,55002,36287,34321,70611,40822,37907,78733,34702,29466,64173,15041,11855,26888,2674,2492,5166,1207,563,1770,227625,218139,445767,20968,6667,27633,9820,8311,18131,817,592,1406,790,626,1416,11423,9528,20950,192350,175821,368170,26987,27980,54966,209120,195471,404587,8943,9408,18346,209623,195974,405599,2485,2336,4818,26901,24928,51824,8697,9039,17733,1702,2470,4170,2998,7160,10156,76839,88347,165184,16024,14547,30566,61313,48551,109861,13864,9352,23215,11786,7102,18885,790,552,1340
SOSR379,317,65,385,0,0,0,6,0,6,8,6,11,8,9,18,69,35,102,107,7,114,77,3,79,26,5,34,23,0,23,0,0,0,0,0,0,17,10,24,9,3,12,308,61,370,5,0,5,0,0,0,0,0,0,5,0,5,76,9,87,39,12,48,89,19,109,24,7,29,82,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,69,10,0,10,36,0,33,8,0,11,4,0,7,0,0,0
