SOSR_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR331,127,97,366,548,1107,2313,5833,6116,1735,18247,24,35,112,125,188,252,270,231,83,1336,2218,2447,6196,6593,8030,7976,6134,3056,669,43314,12444,20708,45246,54669,70430,78617,64044,26842,5157,378158
SOSR379,0,0,0,3,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,57,76,45,16,6,0,0,219,9,12,92,111,79,34,14,0,0,348
SOSR401,277,372,1542,2270,2457,3903,8449,11877,8303,39460,59,245,1204,1788,2249,2151,1837,1669,1299,12503,2187,3092,7311,6412,5557,5283,5485,5602,4047,44980,27967,82260,176965,166563,153896,146717,122282,72333,33231,982214
SOSR412,29,34,94,155,155,315,816,1097,682,3378,5,14,52,54,55,50,45,64,20,362,232,277,613,578,596,553,553,628,412,4442,2400,5796,12458,11528,12512,12173,9792,6219,2481,75351
SOSR413,34,36,147,159,188,355,994,1363,849,4124,5,10,42,35,41,46,50,52,28,313,263,284,686,644,711,727,755,639,354,5058,1975,4574,9935,9772,11113,12026,12147,7689,2987,72216
SOSR414,5,6,30,43,33,65,253,429,245,1114,0,6,25,49,45,22,21,9,10,190,41,50,154,165,153,185,259,305,179,1497,579,1378,3300,3333,3576,3992,4857,3104,1087,25204
SOSR415,29,28,111,138,191,491,1217,1907,1299,5418,6,4,44,48,84,73,59,76,53,445,353,305,815,784,927,1032,1153,1095,584,7045,2347,5309,12665,12636,14215,16263,16093,9795,4062,93384
SOSR421,14,13,41,54,56,119,376,456,363,1495,0,0,14,8,6,9,15,4,8,63,103,100,214,245,290,346,384,279,231,2197,656,1360,3157,3309,3849,4958,4817,2568,1164,25829
SOSR422,3,10,28,40,72,118,269,309,154,1004,0,4,3,3,9,13,15,10,9,72,78,71,164,172,246,361,357,224,74,1737,442,802,1881,1849,2425,3481,3327,1585,440,16223
SOSR431,34,35,136,193,304,595,1422,1440,518,4667,7,10,19,52,60,89,92,71,48,440,560,574,1472,1488,1879,2031,1646,899,238,10795,3530,6673,14114,17092,22216,25696,20107,8240,1709,119379
