SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SOSR101,19,28,487,4149,18935,16292,17863,12317,2991,2998,3684,4944,1560,317,1548,88119,416,370,498,929,3852,1245,1332,958,241,242,228,217,73,20,272,10905,30,150,407,1175,1930,1648,3071,1664,492,481,492,464,353,145,218,12728,29,134,605,2884,5864,7456,9656,3671,1173,1064,1104,1306,723,261,499,36435,19,85,442,1141,5036,6238,7520,4003,696,646,679,825,341,137,460,28270,0,3,36,188,2263,2807,2334,2063,565,594,652,747,258,37,282,12821,3,12,95,525,2453,3077,7193,5464,1654,1136,1025,1210,399,104,763,25119,2625,7669,23368,17752,17043,16029,29047,18635,3855,3691,3800,4029,1871,653,3456,153507,66,137,820,1538,1995,2962,5239,3970,1057,1110,1271,1607,1084,442,523,23817,14,40,189,12536,26505,16534,12540,9745,2457,2433,2283,2575,1310,378,3371,92915,3288,7955,20481,36577,41879,45906,50745,36530,14069,13741,13452,14585,5257,1362,7525,313359,11860,42198,105293,139132,245569,279408,415517,269237,75325,79440,85166,93550,35269,9928,44618,1931508
SOSR102,3,4,51,313,1380,992,1301,1268,271,294,337,390,160,39,169,6973,108,71,115,147,506,135,155,77,10,12,10,17,3,0,46,1408,7,17,43,112,81,61,154,108,29,38,29,15,19,7,9,737,6,31,134,418,574,754,1499,540,179,126,129,173,132,30,71,4810,0,12,63,85,182,132,249,156,45,50,33,53,31,6,37,1127,0,0,3,5,30,72,87,80,19,16,20,24,12,0,9,389,0,0,10,52,128,298,874,615,179,110,127,135,54,18,66,2675,1291,4429,12141,6780,4884,3333,6261,3050,431,361,351,446,238,117,1476,45584,18,39,173,386,370,503,909,616,114,113,110,149,122,53,74,3762,3,0,8,359,381,184,353,443,117,118,111,133,58,11,95,2376,667,1861,3863,4624,2926,2974,4447,3053,1009,742,948,1082,405,99,819,29517,3675,12627,24962,20739,18678,16243,28186,19002,4621,4565,4740,5282,2363,690,4961,171335
SOSR111,0,0,8,28,206,158,286,313,69,49,76,68,23,11,29,1329,18,7,11,15,36,13,14,9,0,0,0,0,0,0,7,131,0,3,13,6,9,10,12,11,0,11,0,0,0,0,4,80,0,0,20,42,64,105,318,104,24,15,32,42,26,6,10,820,0,4,3,9,18,18,39,53,25,14,14,5,4,4,0,207,0,0,0,0,0,9,18,33,7,8,21,25,0,0,0,124,0,0,0,6,19,39,108,84,33,42,31,11,9,5,23,409,204,587,1369,749,580,321,741,310,42,42,53,54,32,9,159,5242,3,9,22,57,41,65,108,70,11,8,16,14,19,3,9,444,0,0,0,19,18,21,54,67,10,15,20,19,14,0,4,263,81,193,312,326,315,235,854,747,173,175,207,309,82,71,92,4183,542,1515,2366,1952,2176,1743,4505,3480,799,881,1007,1066,347,143,582,23113
SOSR112,0,0,15,84,427,320,683,989,198,224,329,369,118,38,117,3911,44,26,40,25,123,26,44,17,5,3,5,4,0,0,17,387,5,12,22,45,32,29,62,36,4,7,10,12,11,0,13,298,6,16,65,178,187,303,579,215,64,53,66,70,42,39,33,1916,4,8,16,16,58,81,193,232,36,46,80,76,26,8,14,890,0,0,5,0,13,28,59,79,34,34,75,120,20,0,15,481,0,0,0,9,72,95,306,228,59,43,50,56,26,5,58,1019,635,1871,4357,2597,1498,1100,1605,746,112,109,122,163,56,23,686,15684,8,16,120,216,157,209,317,228,33,36,41,47,40,9,53,1533,0,0,0,41,62,57,156,194,74,143,136,98,41,5,82,1094,257,611,988,1035,936,817,1642,1165,355,288,389,457,195,136,415,9680,1607,4617,7764,6417,6017,5342,10797,8710,2492,2752,3378,4059,1382,482,2623,68454
SOSR113,0,0,9,40,217,169,261,342,90,70,95,109,50,17,56,1530,10,12,17,21,59,14,16,6,0,0,6,0,6,0,0,170,3,4,9,28,17,6,15,11,9,3,0,0,5,3,0,117,0,5,55,83,86,96,261,79,12,9,10,19,25,16,7,770,3,4,8,8,26,8,25,18,8,4,4,0,0,0,6,129,0,0,0,0,9,9,10,22,6,4,10,0,0,0,4,68,0,0,0,14,32,49,140,111,26,35,29,40,23,3,33,538,293,968,2315,1346,840,463,875,423,82,67,82,90,93,36,348,8311,7,12,44,76,95,76,155,100,18,25,43,33,37,10,27,752,0,4,0,24,35,21,52,60,6,9,9,13,10,3,27,279,131,334,529,511,377,337,535,404,161,129,193,284,123,22,137,4194,731,2347,4055,3235,2868,2093,3863,2642,693,669,828,1021,544,171,1058,26822
SOSR114,0,0,6,35,160,145,295,508,95,95,96,130,38,21,42,1678,18,4,3,11,39,9,14,14,9,0,3,0,0,3,7,140,3,5,16,30,23,15,21,14,13,3,3,3,0,0,3,141,0,11,39,85,105,129,315,131,15,33,40,47,22,13,12,990,0,4,7,13,16,24,58,65,15,14,13,23,7,3,5,274,0,0,0,0,4,7,18,11,5,12,25,22,7,0,3,114,0,0,0,9,26,42,152,106,25,22,16,26,19,9,17,481,327,1005,2372,1243,792,502,868,499,73,64,55,65,44,14,346,8274,7,9,48,71,86,89,150,84,22,26,11,29,15,13,10,682,0,0,0,15,30,19,41,32,11,10,8,23,8,3,5,218,123,297,441,499,376,324,689,434,79,103,100,243,91,52,112,3947,797,2304,3941,3084,2855,2293,4700,3496,742,862,868,1252,556,280,992,29021
SOSR115,0,0,17,57,231,150,241,271,83,73,89,130,43,15,40,1442,31,18,20,17,85,14,8,16,0,0,3,0,0,0,3,224,0,12,18,37,26,16,32,8,0,0,0,3,0,0,9,160,11,12,69,168,172,178,365,126,20,22,23,54,24,9,23,1272,5,7,21,12,31,35,29,40,15,3,12,9,0,0,3,235,0,0,0,0,11,10,21,29,9,18,28,58,14,0,10,204,0,0,3,7,43,35,172,97,33,27,30,20,10,10,25,519,540,1693,4067,2312,1534,898,1400,649,96,91,74,90,62,10,580,14078,8,21,84,188,128,152,256,156,26,30,33,42,14,4,33,1181,0,0,0,22,49,34,48,44,23,3,22,54,25,10,13,351,204,529,892,836,622,521,767,526,115,122,128,324,119,64,217,5985,1246,3805,6745,5332,4719,3390,5428,3293,786,798,934,1355,520,214,1513,40075
SOSR121,0,0,4,10,72,44,39,63,10,15,22,16,11,0,26,329,5,6,9,7,24,0,3,7,0,0,0,0,0,0,0,60,0,4,5,8,0,0,5,9,0,7,0,0,0,0,3,42,0,10,22,24,54,51,102,33,27,0,0,3,7,0,4,330,0,7,0,5,10,0,6,4,0,0,0,0,0,0,7,41,0,0,0,0,3,4,5,8,0,0,3,10,0,0,0,41,0,0,0,5,11,9,27,31,3,0,0,5,0,0,4,104,116,424,1063,581,425,275,355,189,10,26,17,18,7,5,147,3656,0,7,19,57,37,31,78,46,11,8,10,0,18,4,7,346,0,0,0,9,8,3,4,5,5,5,0,7,0,0,6,58,40,119,236,278,187,120,190,119,21,24,41,33,8,3,44,1457,277,916,1789,1451,1314,897,1300,778,157,157,168,168,84,24,385,9878
SOSR122,0,0,7,4,41,25,22,25,11,7,7,18,13,6,6,189,0,0,3,0,11,5,5,0,0,0,0,0,0,0,0,26,3,0,4,8,5,0,5,0,0,0,0,0,0,0,0,24,0,4,7,24,26,21,57,12,0,9,0,5,3,0,0,174,0,3,0,5,3,0,4,3,0,0,0,0,0,0,0,20,0,0,0,0,0,5,3,8,0,0,8,22,3,0,9,52,0,0,5,0,6,9,16,11,3,0,3,4,0,0,6,66,51,211,559,327,200,150,181,81,7,17,10,13,8,0,76,1900,0,0,19,30,33,23,35,24,0,0,0,8,0,0,4,180,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,14,25,69,145,119,91,61,66,41,9,8,14,35,10,7,56,755,141,483,997,806,709,476,596,332,78,81,83,164,49,16,215,5213
SOSR131,0,0,15,66,261,185,254,259,58,60,46,112,27,17,80,1434,11,26,39,36,143,28,30,13,0,3,0,0,0,0,16,350,3,17,35,49,46,55,53,16,3,7,7,3,5,3,19,320,8,22,100,215,276,367,656,210,39,37,63,62,35,16,41,2132,5,10,25,44,57,29,34,23,6,5,3,8,4,3,8,249,0,0,0,4,32,55,35,21,3,12,22,49,6,0,13,259,0,0,13,29,49,84,167,142,26,19,29,44,26,12,46,690,531,1899,5048,2969,2246,1519,2090,735,99,79,88,121,80,26,779,18316,11,31,180,278,283,284,470,218,55,53,40,37,67,12,60,2082,0,4,4,60,87,57,43,50,17,7,7,11,11,0,93,436,317,990,1688,1751,1285,886,1084,581,136,124,160,240,136,50,495,9919,1475,5477,10405,8691,8353,6242,7978,3751,757,741,813,1131,561,211,2867,59455
