SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR201,13,29,165,1921,9207,6881,13832,9663,2418,2432,2876,3893,1278,293,843,55738,730,905,1102,1152,4842,1584,936,535,123,116,96,91,32,16,282,12545,28,88,270,915,1878,1884,5583,2751,674,703,640,599,344,129,173,16661,25,125,465,2140,4220,4102,7738,2952,751,847,757,894,372,170,250,25800,58,311,1604,2825,7617,8717,18527,10541,2282,2543,3045,3476,1295,247,838,63929,0,4,13,101,1151,1684,1985,1827,443,480,607,533,184,52,152,9230,5,6,53,319,1529,1632,4663,3301,1111,942,1004,1176,398,91,416,16640,3154,11664,29117,19458,16840,11178,25560,14756,2493,2681,2572,2723,1124,502,3426,147233,54,162,571,1395,1632,2352,4423,3411,776,943,969,1139,668,303,439,19241,5,12,141,9512,25655,15735,13933,10163,2386,2326,2232,2739,1338,323,3052,89591,3113,10889,21096,29858,36658,41749,55101,34793,10490,9940,10502,12073,4295,1220,6344,288118,13195,65540,123944,112175,177251,180943,383749,259134,65333,69497,75494,86045,31472,9357,35028,1688155
SOSR203,0,3,4,60,282,272,548,570,159,143,236,305,60,12,67,2719,37,43,60,28,119,51,12,19,3,0,0,4,0,0,15,395,0,4,13,44,51,34,112,46,6,4,16,14,17,0,3,359,3,4,30,96,118,165,348,163,29,34,41,46,45,11,22,1145,0,8,25,26,65,71,276,345,51,99,93,111,64,13,17,1261,0,0,0,0,7,17,37,64,12,20,9,17,4,0,0,192,0,0,0,16,34,52,526,419,140,107,134,84,25,5,29,1582,341,1322,2903,1563,1044,614,1432,792,124,116,129,130,68,22,369,10975,6,4,37,99,88,122,269,178,30,34,22,44,22,9,25,980,0,3,0,51,121,72,127,156,42,57,51,41,28,7,33,794,197,587,879,764,589,695,2018,1292,377,357,401,354,130,49,237,8928,1047,4517,6193,4196,4009,3777,11065,8887,2270,2344,2740,3140,1257,275,1514,57225
SOSR211,0,0,3,31,180,177,664,642,173,103,84,104,39,25,20,2242,8,3,3,11,69,19,8,5,0,0,0,0,0,0,8,145,0,0,0,9,12,9,43,22,9,0,3,0,0,0,4,109,0,3,4,9,20,25,122,30,3,5,9,0,0,0,3,230,0,4,4,7,22,55,214,167,27,28,14,15,11,10,4,577,0,0,0,0,5,12,4,17,5,0,7,4,0,0,5,54,0,0,0,3,18,18,101,61,19,9,20,23,0,0,10,286,55,302,849,418,323,117,256,124,17,19,18,15,9,11,72,2597,0,0,7,17,16,20,50,48,7,8,15,4,7,0,5,209,0,0,0,32,81,79,163,136,14,57,74,77,9,0,28,758,63,301,512,510,561,705,2279,1322,284,300,338,284,89,39,179,7769,259,1114,2011,1506,1896,2144,8385,5772,1319,1182,1180,1257,386,179,615,29188
SOSR212,0,0,12,27,222,160,339,462,129,120,136,196,76,21,48,1955,16,14,19,17,61,12,21,11,0,6,0,0,0,0,8,175,0,4,8,18,15,17,46,22,9,3,6,0,8,4,10,177,0,8,12,51,66,101,305,145,32,33,20,71,11,19,7,881,0,7,17,18,50,41,161,235,43,37,51,52,12,14,15,753,0,0,0,4,5,9,42,76,12,26,39,74,15,0,14,322,0,0,0,6,18,51,145,97,44,26,40,31,15,0,16,497,261,954,2092,1067,812,433,1060,609,89,76,87,85,26,14,283,7949,3,5,22,63,62,63,157,127,21,21,21,27,24,12,13,646,0,0,0,29,79,75,134,117,32,38,60,79,20,12,45,723,120,392,547,534,485,663,1239,816,184,131,258,430,134,42,160,6131,748,3040,3965,2778,2970,2957,7757,5881,1528,1514,1806,2228,767,257,1195,39383
SOSR213,0,5,3,39,236,176,479,356,110,101,131,172,62,23,56,1947,18,12,21,28,96,23,25,11,0,0,0,4,0,0,6,244,0,0,8,21,16,21,65,30,7,8,0,4,5,0,0,189,0,9,12,46,86,106,280,109,15,19,40,27,23,12,13,792,0,6,28,16,40,31,162,98,42,36,31,10,10,3,13,540,0,0,0,0,0,16,28,49,27,21,70,89,20,0,5,324,0,0,0,4,20,48,120,128,24,21,43,33,6,4,18,456,356,1312,2492,1236,839,438,956,438,60,64,66,50,27,13,332,8678,4,8,41,81,52,55,149,95,11,20,16,15,11,4,8,566,0,0,0,17,53,50,85,87,27,63,46,43,12,4,78,569,128,450,642,448,483,361,838,521,120,87,93,119,84,68,165,4614,900,3739,4530,2793,2922,2223,5684,3735,872,935,1099,1103,490,180,1176,32390
SOSR214,0,0,5,12,75,57,187,214,63,40,57,88,32,8,26,870,12,10,12,11,30,7,14,3,0,0,0,0,0,0,4,114,0,3,0,14,15,5,21,16,0,0,0,4,0,0,4,88,0,3,16,51,41,50,93,45,11,13,5,8,0,0,7,344,0,4,21,18,10,10,38,63,12,17,8,8,5,0,3,217,0,0,0,0,0,0,19,26,19,21,34,59,14,3,3,195,0,0,0,7,12,24,70,74,18,4,17,8,14,4,13,257,261,907,1807,843,531,242,505,220,30,30,32,33,20,10,258,5724,4,5,26,48,37,35,63,50,18,11,5,3,4,0,6,304,0,0,0,12,9,19,23,29,12,3,10,13,8,0,9,156,71,311,337,280,191,172,330,194,30,45,53,65,38,41,95,2258,595,2468,3115,1874,1596,1155,2709,1887,424,438,510,660,221,89,721,18463
SOSR215,0,0,9,25,135,92,223,221,54,60,58,75,21,11,44,1023,17,11,16,16,55,14,24,3,0,5,0,0,0,4,5,165,0,0,5,16,5,12,16,20,0,9,0,5,3,0,4,98,0,6,22,82,72,98,153,53,20,10,19,18,0,0,6,551,4,13,25,23,32,22,73,52,16,12,13,18,3,0,7,301,0,0,0,0,4,3,12,26,5,3,17,20,8,0,7,100,0,0,3,3,16,35,144,101,16,27,30,20,8,0,23,428,320,1172,2599,1453,864,454,1032,401,56,53,39,45,35,3,396,8929,9,3,39,87,49,71,135,73,13,18,13,14,15,8,7,555,0,0,0,19,57,53,93,54,5,9,16,31,25,5,37,408,115,340,437,441,381,309,560,304,77,53,74,143,32,22,149,3447,771,3053,4220,3071,2636,1940,4024,2295,530,548,583,694,268,78,1064,25780
SOSR221,0,0,0,8,46,29,43,39,6,11,7,21,7,0,17,228,5,3,5,4,18,6,0,4,0,0,0,0,0,0,0,42,0,0,0,4,4,3,3,3,0,0,0,0,0,0,0,22,0,3,17,23,26,17,51,22,0,4,0,3,3,0,6,168,0,3,10,0,7,11,9,4,0,8,0,5,0,0,0,63,0,0,0,0,0,0,4,4,0,0,0,6,0,0,0,15,0,0,0,5,6,10,29,38,6,4,4,10,3,0,0,112,84,363,815,416,285,150,263,116,16,18,17,16,5,0,118,2678,0,0,10,20,26,26,32,38,0,7,5,5,0,0,7,167,0,0,0,4,4,3,15,10,0,0,4,0,3,0,4,46,28,72,132,137,112,75,132,60,19,19,26,32,4,15,41,907,202,823,1289,888,852,546,913,527,99,112,111,145,56,22,268,6849
SOSR222,0,0,0,0,16,18,44,61,13,7,16,17,9,6,3,195,5,0,0,7,10,3,5,0,0,0,0,0,0,0,0,20,0,0,0,3,0,3,8,4,0,3,3,0,0,0,0,21,0,0,3,14,21,11,33,3,0,0,0,0,0,0,3,88,0,0,0,6,0,3,0,4,3,4,0,0,5,0,0,24,0,0,0,0,0,0,3,0,0,0,10,24,7,0,0,44,0,0,0,0,6,8,22,8,9,0,3,4,0,0,4,55,48,178,415,204,149,81,144,68,15,12,7,18,8,0,55,1395,0,0,3,15,21,19,16,19,5,0,0,7,4,0,4,119,0,0,0,0,3,3,0,5,4,0,0,0,0,0,0,18,4,56,77,81,47,53,57,45,8,8,12,31,12,4,13,520,109,418,695,465,452,309,498,317,75,62,92,162,61,23,137,3881
SOSR231,0,4,11,36,161,100,174,339,115,79,98,164,56,53,75,1467,17,27,32,26,95,27,24,8,5,0,4,0,0,0,12,287,0,8,17,31,13,12,53,23,18,0,3,5,0,6,14,205,0,12,36,137,118,183,343,100,33,31,16,41,25,13,38,1128,0,14,49,48,41,35,52,27,3,6,8,10,5,0,18,308,0,0,0,5,3,17,30,47,9,19,39,35,7,0,6,220,0,0,4,4,24,42,145,195,46,36,28,49,31,9,70,675,398,1801,3980,2296,1693,926,1617,631,102,59,66,102,43,15,676,14429,10,16,78,186,136,142,223,104,22,25,30,32,20,7,36,1064,0,0,0,41,70,53,56,25,11,10,9,20,9,5,144,458,178,675,1135,955,724,530,706,379,84,91,100,211,63,74,476,6385,1131,5456,7701,5641,5106,3675,5906,3156,734,677,736,1084,428,239,2689,44350
SOSR279,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,8,6,13,4,0,0,0,0,0,0,0,41
SOSR301,6,8,85,679,3965,3398,7269,4883,967,988,1236,1721,470,158,521,26358,132,77,107,259,1105,414,445,252,64,66,50,67,19,5,63,3104,9,32,139,461,551,611,1419,674,186,182,203,223,141,59,103,4992,14,68,242,982,1851,3595,10360,3638,722,924,819,940,391,198,308,25052,22,80,251,373,877,1121,2675,1630,205,270,296,435,166,51,127,8577,0,0,18,58,1424,3367,2907,1890,472,474,657,735,313,35,244,12589,0,4,23,139,571,717,2197,1456,400,394,350,467,209,38,173,7147,1721,5613,16992,13144,11633,9095,23252,9729,1558,1412,1271,1483,812,335,2476,100517,41,95,423,813,809,1181,2510,1626,343,365,383,444,434,151,200,9804,0,17,44,2382,5218,2927,3270,2480,546,590,543,710,398,105,723,19958,655,1796,4871,7986,11492,14205,27210,17030,4734,4376,5302,6466,2539,569,2417,111647,4633,14843,32418,42555,70576,77329,172847,101332,21723,21840,24992,30214,12530,4159,14636,646626
