SOSR_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,15693,21334,37032,5232,6331,11562,5999,14077,20078,6095,27011,33108,17260,60229,77489,18793,38807,57597,53368,30236,83601,51663,38389,90056,65078,44311,109384,78055,38508,116564,62110,34938,97047,65649,28166,93820,148752,49624,198373,118564,7859,126422,100959,13709,114674,68800,3830,72631,219986,22680,242660,61040,9909,70952,12712,15510,28222,1175801,505471,1681267
SOSR203,730,1389,2117,362,585,945,380,1530,1908,494,3375,3873,1707,8826,10530,2216,5959,8181,6492,3800,10295,6094,4755,10844,7160,4824,11985,8291,3609,11905,6019,3074,9096,6177,2328,8508,13279,3370,16643,9811,623,10432,7967,766,8729,4728,253,4985,10665,1139,11805,5321,889,6215,1207,2034,3243,99109,53127,152239
SOSR211,309,358,667,97,102,200,125,297,424,192,725,915,522,1716,2239,715,1084,1798,1894,763,2658,1829,1113,2943,2138,1157,3296,2633,853,3493,2052,660,2707,2127,460,2590,4462,541,5005,2970,106,3074,1832,124,1954,1077,22,1100,1880,126,2006,1587,103,1696,377,431,810,28817,10744,39561
SOSR212,703,998,1697,262,356,622,267,976,1241,370,2009,2373,1250,5055,6307,1405,3509,4912,4297,2299,6600,3985,2758,6736,4717,2751,7465,5480,2145,7624,4011,1807,5817,4251,1268,5513,9352,1962,11321,7144,346,7484,5446,519,5965,3344,129,3472,7902,843,8747,4078,397,4468,949,1661,2607,69211,31771,100985
SOSR213,685,987,1674,277,369,647,303,1133,1436,380,2476,2857,1362,6428,7794,1604,4045,5643,5035,2579,7611,4544,3067,7610,5003,2862,7861,5659,1900,7565,4120,1541,5657,4280,1142,5415,8909,1635,10541,6203,225,6432,4588,350,4938,2556,84,2642,5414,580,5999,3929,305,4234,1021,1615,2636,65885,33324,99206
SOSR214,442,680,1123,231,298,532,172,724,897,275,1587,1858,903,4534,5434,986,2892,3881,3592,1735,5326,2882,1884,4768,3248,1762,5006,3485,1185,4670,2347,961,3309,2530,680,3210,4686,979,5671,3315,115,3435,2335,233,2569,1325,51,1379,2557,487,3039,2350,158,2511,692,1310,2001,38354,22260,60615
SOSR215,552,956,1517,316,427,746,286,1034,1316,324,2154,2477,1215,6610,7828,1320,3550,4869,4774,2233,7007,4120,2707,6827,4594,2570,7162,5144,1801,6941,3547,1342,4888,3851,923,4774,7736,1355,9086,5390,207,5600,3866,311,4178,2277,102,2378,4884,803,5685,3749,254,4003,1079,1696,2775,59031,31031,90066
SOSR221,173,331,501,87,130,217,96,287,384,94,638,735,366,1868,2230,365,903,1272,1372,606,1976,1131,816,1946,1240,766,2013,1454,451,1903,1041,394,1435,1048,248,1290,2058,400,2460,1453,66,1517,1038,81,1115,569,29,601,1323,251,1577,1077,73,1153,318,424,746,16307,8758,25063
SOSR222,103,156,266,48,74,117,44,177,218,50,391,440,193,928,1124,177,436,618,784,356,1138,620,385,1009,629,405,1033,776,290,1059,567,227,795,543,152,700,1149,250,1402,738,53,798,494,78,569,256,38,292,625,292,912,656,54,713,165,309,473,8617,5041,13656
SOSR231,1448,1479,2930,669,607,1268,567,1363,1932,575,2498,3072,2180,6137,8317,1962,3436,5399,6704,2711,9412,6183,3479,9659,7700,3465,11165,8967,2376,11345,6214,1846,8059,7334,1435,8771,14441,1969,16414,10694,286,10980,8219,568,8791,5203,131,5335,14871,1394,16267,8862,400,9263,2204,1917,4121,114997,37493,152487
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,5137,7505,12639,1941,2553,4496,2229,6279,8510,2572,12791,15365,7508,29648,37152,9778,22219,32003,26763,15359,42116,26991,20115,47106,33929,22955,56888,40662,19377,60039,32565,16420,48988,34450,13143,47593,78241,22400,100635,60320,4096,64417,50626,5703,56335,34921,1521,36441,101640,8294,109933,35235,5790,41027,4921,7262,12184,590436,243432,833862
SOSR302,2607,3458,6063,1016,1236,2252,984,2560,3541,1056,5543,6598,3459,14156,17617,4238,10842,15080,13350,7261,20614,12710,8977,21684,15865,9354,25220,18733,7493,26228,13799,5664,19469,14934,4608,19541,31780,7207,38992,23216,1698,24911,18069,2044,20116,11252,648,11898,30145,3518,33662,15877,2528,18407,2642,4096,6736,235731,102869,338606
SOSR303,955,1576,2533,376,559,936,424,1611,2035,589,3139,3722,1657,7341,8999,2131,5691,7821,6027,3952,9977,5882,5145,11027,7166,5488,12652,8568,4474,13041,6722,3568,10283,7143,2707,9850,14959,3933,18897,11010,734,11740,8294,923,9216,5236,249,5490,11313,1298,12614,9065,1160,10231,1119,2048,3167,108635,55599,164231
SOSR311,678,988,1669,322,355,678,286,1123,1417,396,2252,2642,1322,5987,7307,1551,3977,5528,5432,2309,7747,4473,2726,7197,4856,2782,7645,5214,2011,7229,3662,1586,5254,3805,1236,5045,7857,1951,9810,5648,348,5988,4437,506,4941,2718,114,2827,5965,712,6674,6152,576,6722,947,1764,2712,65717,33309,99027
SOSR312,277,394,668,130,162,290,146,486,631,160,1042,1201,677,2818,3493,726,1896,2622,2577,965,3542,2081,1192,3276,2274,1138,3415,2389,820,3206,1457,676,2135,1570,464,2032,3053,752,3803,2091,87,2175,1580,154,1736,901,27,928,1882,251,2127,1937,178,2119,375,814,1193,26278,14316,40590
SOSR313,377,586,961,173,218,391,194,546,735,226,1059,1283,776,2873,3648,999,2034,3026,2998,1392,4390,2507,1720,4232,2883,1756,4640,3266,1324,4582,2441,1068,3511,2512,949,3461,5303,1691,6992,3745,271,4022,3047,437,3485,1906,103,2014,4040,639,4684,3769,340,4106,540,1136,1684,41713,20131,61845
