SOSR_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,150275,32248,27472,5534,5845,6192,6748,2675,1212,5128,243330,181127,97496,83205,21884,23864,27405,29016,9419,2217,6970,482609,39475,10248,12923,3601,4095,4713,6636,2618,898,2877,88089,547,159,126,48,49,73,135,66,51,268,1514,221148,107902,96261,25533,28009,32185,35785,12106,3164,10112,572206,320,89,145,36,47,42,71,16,18,2129,2914,371747,140237,123874,31102,33900,38425,42606,14795,4384,17375,818448,152791,29605,26330,5477,5797,5769,6254,2638,1132,5086,240876,190728,94137,90478,23539,24482,25657,28028,10064,2678,6760,496539,61058,15277,18173,5141,5221,5550,8969,3898,1098,3973,128359,588,148,141,40,44,59,132,63,55,327,1592,252378,109564,108790,28721,29745,31262,37128,14021,3825,11061,626492,390,93,141,28,52,47,54,16,11,1514,2337,405555,139259,135261,34229,35592,37073,43435,16673,4974,17656,869711,303062,61851,53808,11009,11643,11961,13005,5311,2342,10211,484208,371857,191632,173681,45425,48352,53058,57048,19481,4894,13727,979149,100542,25526,31097,8748,9312,10260,15602,6518,1988,6847,216445,1131,302,268,83,90,131,274,132,105,595,3110,473530,217462
SOSR203,8513,1400,1210,222,195,239,271,144,39,359,12589,3040,2713,2814,776,845,1050,1240,448,59,188,13162,572,294,393,100,118,132,140,46,24,63,1888,19,4,6,0,0,3,0,0,3,8,56,3629,3017,3209,874,964,1186,1385,497,84,262,15108,22,0,8,0,0,3,3,0,0,76,116,12163,4416,4429,1098,1156,1430,1657,649,125,696,27808,9254,1354,1150,213,221,245,279,125,47,402,13283,3770,2506,2816,829,798,911,976,391,84,207,13291,925,372,482,135,161,152,214,90,18,105,2654,12,3,6,6,3,0,7,3,0,16,54,4707,2876,3299,965,965,1065,1200,485,99,325,16002,21,0,3,0,0,3,0,3,0,91,129,13986,4236,4457,1179,1185,1318,1481,608,152,815,29413,17764,2749,2363,433,418,482,546,268,88,761,25875,6808,5217,5627,1603,1648,1965,2216,843,138,400,26460,1494,667,874,233,275,283,359,140,43,166,4533,30,8,13,4,7,5,11,8,3,23,110,8339,5893
SOSR211,2749,555,512,104,88,58,61,32,16,126,4301,2086,2911,1883,451,395,401,427,101,46,131,8829,278,187,223,50,51,83,115,34,11,23,1061,8,3,8,0,0,0,0,0,0,5,27,2370,3107,2120,501,447,478,538,144,57,161,9923,4,10,3,0,0,0,0,0,0,17,42,5124,3672,2635,603,536,540,599,170,79,305,14263,2858,610,509,92,95,86,67,41,14,114,4483,2092,2242,2278,547,465,431,422,116,64,114,8780,382,300,346,72,92,115,165,54,18,64,1594,12,3,8,0,0,0,7,0,0,0,30,2488,2544,2628,625,552,551,586,170,84,173,10408,5,9,0,0,5,0,0,0,0,14,36,5345,3169,3136,714,653,640,657,206,105,306,14929,5604,1164,1021,197,183,145,124,68,34,243,8787,4176,5157,4163,998,854,832,847,220,116,244,17613,660,489,572,122,141,196,273,89,33,82,2660,23,7,15,0,0,0,5,3,0,5,62,4853,5650
SOSR212,6205,1037,893,124,127,123,167,75,39,298,9102,2052,1690,1615,481,430,559,618,207,65,155,7875,462,191,356,101,157,176,240,71,18,82,1864,15,10,6,0,0,4,11,7,0,17,72,2528,1899,1981,582,591,737,870,284,84,261,9812,11,6,0,3,0,0,0,0,0,28,49,8749,2936,2878,710,721,858,1039,355,125,588,18963,6609,1009,924,178,146,161,154,85,35,305,9597,2357,1653,1784,518,490,580,755,223,73,172,8612,595,258,279,118,159,194,278,96,18,84,2085,9,5,7,0,0,9,4,6,0,7,52,2962,1916,2076,642,645,783,1035,326,94,266,10747,17,5,5,0,0,0,4,0,0,39,76,9587,2930,3003,821,791,944,1191,411,132,606,20416,12816,2051,1814,302,273,287,318,159,77,601,18698,4405,3345,3402,1005,917,1142,1375,429,139,326,16486,1056,455,642,218,313,367,525,165,38,170,3950,28,18,11,0,3,11,16,13,3,22,126,5488,3810
SOSR213,6960,854,623,114,75,101,89,49,21,241,9132,1680,1223,1028,237,288,277,303,135,77,119,5363,208,76,127,46,56,109,90,36,8,22,785,8,3,4,0,0,0,0,0,0,3,27,1894,1310,1157,280,348,385,400,176,92,141,6174,25,0,0,0,0,0,4,0,0,258,286,8883,2161,1781,392,421,486,487,223,110,645,15590,7187,889,609,120,123,104,107,62,15,311,9529,2010,1142,1168,318,328,413,391,154,40,112,6080,333,132,172,40,65,91,115,47,9,40,1054,15,4,3,0,0,0,4,0,0,4,27,2357,1282,1352,359,397,506,507,197,52,155,7167,26,3,0,0,0,0,0,0,0,69,104,9571,2169,1963,481,517,611,619,266,69,538,16796,14150,1742,1234,230,194,203,197,112,35,551,18660,3684,2365,2194,554,619,695,698,287,116,231,11438,540,209,306,86,127,202,203,89,22,67,1840,21,8,3,6,0,0,0,0,3,5,55,4245,2587
SOSR214,4432,454,310,64,46,51,52,30,16,239,5684,914,526,500,116,144,163,209,58,24,76,2726,114,30,47,19,25,42,80,10,4,26,403,7,0,0,0,0,0,3,0,0,4,22,1038,558,546,136,167,205,293,76,34,101,3145,13,4,0,0,0,0,0,0,0,18,36,5481,1021,854,198,214,252,344,100,43,358,8869,4764,479,357,58,60,56,51,27,7,230,6080,1053,484,610,149,151,155,179,82,35,68,2963,162,45,58,14,19,46,83,20,5,22,480,10,0,0,0,0,0,3,0,0,4,19,1234,524,675,165,166,201,263,100,37,95,3463,14,0,0,0,0,0,0,0,0,31,51,6008,1007,1030,225,223,259,314,124,47,359,9596,9195,933,667,118,96,109,102,55,18,473,11768,1966,1008,1112,263,290,310,385,138,59,144,5687,281,73,106,32,45,84,167,29,11,49,883,25,0,0,3,0,0,6,0,0,3,38,2274,1085
SOSR215,6763,732,505,103,79,79,62,38,16,351,8716,1107,589,493,122,133,171,167,50,32,107,2961,180,74,63,36,49,36,103,27,12,42,611,8,0,0,0,0,0,0,0,0,8,22,1297,664,551,160,182,205,271,76,41,156,3591,15,0,0,0,0,0,0,0,0,20,43,8072,1391,1062,255,262,283,333,114,58,519,12352,7185,739,567,91,89,84,100,44,9,358,9266,1400,596,576,159,156,178,192,78,12,104,3452,203,100,90,20,32,32,71,30,7,52,641,11,3,0,0,0,0,0,0,0,5,22,1610,701,668,183,194,212,265,108,17,165,4121,23,0,0,0,0,0,0,0,0,18,46,8826,1429,1231,269,284,296,365,147,23,540,13428,13951,1466,1073,193,169,160,160,82,22,710,17983,2507,1180,1068,280,292,348,356,133,39,211,6408,385,171,150,62,81,69,176,50,15,97,1253,16,6,0,0,3,0,0,0,0,16,43,2908,1361
SOSR221,2142,170,157,19,20,18,30,7,4,99,2669,273,109,75,20,26,30,39,3,11,29,622,26,5,17,3,11,7,4,3,0,0,82,0,0,0,0,0,0,0,0,0,0,4,306,113,97,22,37,39,46,15,14,33,709,0,0,0,0,0,0,0,0,0,3,7,2451,288,253,44,60,55,73,23,17,130,3387,2033,210,169,23,18,18,21,10,0,101,2611,344,143,91,32,38,20,40,17,5,22,742,30,8,15,3,0,14,14,5,0,7,102,0,0,0,0,0,0,0,0,0,0,4,379,149,103,37,37,33,52,15,11,28,838,3,0,0,0,0,0,0,0,0,0,8,2413,364,270,57,52,50,72,35,5,136,3458,4170,384,326,41,36,40,46,23,7,201,5283,612,249,164,58,58,50,72,24,17,55,1363,61,14,36,6,13,15,17,6,0,4,180,0,0,0,0,0,0,0,0,0,0,8,678,262
SOSR222,1102,109,73,13,16,19,20,8,5,62,1431,169,60,56,17,12,10,31,18,10,9,394,12,9,5,0,4,3,10,0,0,4,43,0,0,0,0,0,0,0,0,0,0,5,176,66,62,17,16,16,41,23,10,16,435,0,0,0,0,0,0,0,0,0,0,3,1281,172,137,30,30,33,63,27,15,76,1871,1111,104,94,17,15,25,22,9,5,43,1443,190,61,81,19,18,33,59,25,5,8,495,16,7,9,5,0,3,12,8,0,0,59,4,0,0,0,0,0,0,0,0,0,7,208,65,91,23,18,40,76,31,5,7,561,0,0,0,0,0,0,0,0,0,4,8,1322,171,179,46,27,56,93,39,10,58,2006,2209,210,162,33,27,35,39,18,11,110,2871,356,118,139,36,31,40,90,43,16,13,886,27,14,10,4,4,7,22,6,0,10,98,5,0,0,0,0,0,0,0,0,0,12,384,129
SOSR231,12285,1234,758,122,104,114,148,76,48,731,15624,2746,600,512,147,145,165,304,105,62,170,4960,327,77,117,55,56,60,80,22,20,61,870,14,0,4,0,0,4,6,3,5,11,51,3087,678,633,206,203,230,393,134,83,241,5881,24,0,0,0,0,0,4,0,0,835,866,15400,1918,1393,327,307,342,548,204,134,1806,22378,12027,1328,908,165,132,144,173,77,41,633,15626,2717,697,720,189,185,182,282,116,52,157,5300,391,89,122,47,54,64,77,25,17,50,944,14,0,3,0,0,5,0,4,0,9,32,3125,788,850,246,234,250,357,143,69,220,6281,24,0,3,0,0,5,0,0,0,35,73,15178,2114,1755,410,372,396,531,222,110,885,21975,24315,2557,1663,284,236,255,323,155,87,1361,31245,5461,1296,1236,340,324,348,584,217,110,326,10264,722,166,239,107,105,125,163,47,34,109,1818,32,0,6,0,6,6,12,4,5,18,87,6216,1467
SOSR279,12,6,0,0,0,0,0,0,0,0,21,3,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,6,4,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,19,4,0,0,0,0,0,0,0,0,28,3,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SOSR301,90181,27099,17983,2937,2683,3022,3215,1681,857,3623,153280,41932,32420,26391,6285,6537,7693,8929,3229,803,2078,136299,6487,2805,3152,839,872,1173,1983,817,252,675,19071,85,52,50,21,15,31,31,27,21,67,395,48508,35268,29593,7149,7423,8898,10945,4073,1077,2823,155763,128,52,56,3,4,18,24,12,4,1026,1328,138817,62424,47629,10092,10118,11938,14187,5766,1938,7463,310375,91982,25854,18054,3040,2961,3107,3275,1692,811,3436,154216,47518,34071,30860,7282,7480,8407,9784,3773,1050,2235,152454,9748,4401,4668,1284,1242,1522,2898,1258,344,852,28232,117,57,46,16,12,9,45,25,12,80,422,57382,38530,35577,8584,8739,9937,12723,5061,1404,3164,181109,154,52,71,12,13,9,30,7,5,567,925,149518,64439,53700,11638,11722,13053,16026,6763,2216,7172,336253,182159,52962,36029,5985,5648,6128,6488,3373,1662,7061,307499,89452,66488,57245,13563,14020,16103,18712,7002,1846,4313,288757,16241,7209,7823,2123,2119,2695,4882,2081,602,1531,47297,200,101,96,41,32,43,70,50,33,147,815,105892,73803
SOSR302,45583,13360,8826,1565,1455,1493,1665,968,461,1884,77264,10463,6339,5934,1736,1840,2079,2311,904,209,604,32426,1313,468,541,165,171,207,395,202,40,141,3639,32,9,10,3,5,9,8,8,7,15,103,11806,6818,6489,1906,2014,2292,2713,1118,248,765,36169,61,17,11,4,5,4,5,7,3,328,449,57446,20194,15329,3478,3471,3795,4384,2088,714,2977,113877,49281,13843,9410,1814,1573,1687,1853,957,472,1882,82778,13578,7561,7614,2091,2238,2394,2743,1053,288,742,40305,1837,749,902,229,286,329,560,266,50,179,5390,54,18,11,5,5,0,3,4,3,16,120,15467,8326,8524,2330,2526,2724,3313,1331,342,936,45814,82,23,10,3,5,0,10,0,3,337,468,64828,22190,17945,4145,4100,4412,5175,2284,814,3157,129059,94864,27206,18238,3380,3028,3177,3514,1928,935,3766,160039,24040,13901,13548,3834,4081,4473,5057,1963,497,1344,72736,3154,1217,1443,394,455,537,954,472,85,320,9027,84,25,16,11,6,10,13,11,11,34,223,27272,15139
SOSR303,13459,2833,1914,299,308,354,400,208,107,521,20396,3414,3366,2930,643,790,1017,1358,484,113,288,14403,374,282,307,65,109,258,463,148,29,74,2102,9,9,9,0,0,3,6,6,0,14,60,3797,3651,3243,711,902,1274,1822,642,142,372,16560,22,13,9,0,3,12,0,6,3,100,158,17280,6495,5162,1013,1210,1636,2225,846,253,995,37118,14025,3165,2276,388,416,401,480,230,117,502,22005,4687,3844,3728,800,953,1107,1472,555,117,295,17559,587,431,514,121,200,320,610,150,27,95,3053,11,13,10,0,0,10,11,4,0,25,88,5285,4281,4250,926,1153,1438,2099,715,145,412,20699,27,5,7,3,0,0,3,3,0,96,151,19336,7453,6540,1318,1569,1839,2581,951,255,1013,42853,27483,6001,4193,686,725,755,879,438,226,1028,42406,8100,7206,6656,1444,1743,2118,2830,1044,228,584,31960,962,711,824,187,309,573,1068,294,54,163,5152,21,14,18,7,6,13,22,8,0,38,145,9084,7932
SOSR311,7195,1363,881,151,136,109,216,130,57,338,10575,1079,1453,1170,261,282,324,466,194,72,88,5395,94,129,126,20,42,71,125,51,21,34,710,8,4,0,0,0,0,7,0,0,9,38,1172,1581,1303,286,329,394,596,248,93,134,6141,16,7,5,0,0,3,4,6,0,37,68,8384,2953,2185,437,465,507,811,382,149,502,16785,7734,1476,992,164,171,159,226,140,49,382,11491,1584,1482,1454,343,366,364,501,252,86,109,6543,147,177,142,44,67,65,149,63,19,38,915,7,3,4,0,0,5,9,7,0,4,46,1747,1659,1595,385,438,439,663,315,106,156,7506,14,3,0,0,0,0,3,0,0,50,76,9495,3137,2596,550,614,594,887,461,156,589,19072,14933,2839,1878,313,307,266,439,273,103,713,22063,2665,2933,2622,603,650,690,973,446,159,199,11940,237,301,268,70,111,139,278,108,40,77,1620,17,7,6,0,0,5,15,12,0,13,80,2921,3240
SOSR312,3744,656,454,68,62,66,84,32,15,192,5370,431,378,406,69,90,60,79,27,10,18,1568,50,20,16,7,10,12,16,3,0,3,139,6,3,0,0,0,0,0,0,0,7,11,486,401,418,71,94,75,98,32,10,31,1716,5,3,0,0,0,0,0,0,0,34,41,4237,1060,871,144,160,140,182,59,24,252,7127,4032,640,536,84,85,69,82,38,12,217,5802,650,448,523,119,102,97,115,38,11,44,2152,53,30,39,12,12,17,19,17,6,5,207,4,0,0,0,0,0,0,0,0,4,13,708,483,561,128,108,107,135,51,19,53,2367,8,0,0,0,0,0,0,0,0,22,27,4750,1120,1102,213,196,182,215,94,27,293,8196,7782,1294,993,153,145,138,166,68,25,409,11171,1086,828,924,187,188,158,195,63,23,65,3718,98,50,57,18,23,25,31,22,6,9,344,7,5,0,0,0,0,0,0,0,6,21,1196,876
SOSR313,4582,990,780,116,133,129,151,89,55,217,7239,647,822,617,138,169,191,277,111,60,58,3083,42,30,22,11,13,22,49,14,10,17,225,5,0,0,0,0,0,3,3,0,0,18,695,847,640,143,179,208,324,126,72,74,3319,3,3,0,0,0,0,0,3,0,17,25,5280,1839,1417,270,312,340,472,221,130,306,10579,4704,1062,871,124,137,141,155,86,47,195,7515,915,847,882,193,192,218,327,141,48,67,3826,59,64,65,19,15,31,76,33,12,16,380,4,0,0,0,0,6,0,0,0,3,11,979,909,947,208,210,251,401,177,55,81,4224,8,3,0,0,0,3,0,0,0,8,28,5685,1983,1823,335,346,394,560,263,96,289,11766,9281,2052,1654,249,273,270,303,173,95,410,14751,1564,1668,1496,327,363,401,598,252,108,132,6909,98,90,91,27,26,53,124,47,20,26,595,7,0,4,0,0,6,3,3,0,3,29,1674,1763
SOSR314,5391,1111,703,104,100,118,150,78,41,255,8061,882,744,646,150,177,261,444,177,102,122,3700,132,53,86,10,38,64,158,50,52,42,678,13,0,0,0,0,0,11,6,8,12,44,1019,796,734,165,210,322,612,227,164,171,4423,9,0,0,0,0,0,4,0,3,23,43,6422,1908,1439,273,318,446,764,307,203,451,12526,5390,1160,802,124,131,152,176,88,27,247,8286,1108,763,756,217,236,305,465,153,91,98,4185,206,77,76,30,40,103,167,44,15,23,786,12,3,4,0,0,0,0,0,0,4,27,1326,839,829,247,269,413,636,199,114,128,5002,17,3,4,0,0,3,3,0,0,27,55,6731,1998,1636,379,405,568,815,290,142,405,13353,10781,2268,1505,232,236,269,323,163,63,499,16354,1995,1498,1399,370,410,570,906,330,188,221,7889,332,124,161,41,78,168,328,98,68,71,1465,22,3,0,0,0,0,14,5,12,18,78,2351,1633
SOSR315,9080,1406,861,143,116,113,165,77,37,452,12458,1019,642,609,147,160,224,404,178,50,112,3544,87,58,27,19,17,31,84,30,41,24,427,4,0,3,0,0,0,5,0,0,4,26,1112,708,645,163,177,252,489,213,92,136,3990,9,4,0,0,0,0,3,0,0,209,231,10197,2122,1503,313,296,370,661,289,125,797,16677,9220,1468,1039,164,129,131,179,99,39,512,12984,1379,743,757,196,197,265,457,192,47,137,4369,147,59,69,22,28,49,73,36,15,35,528,3,5,10,0,4,0,3,0,4,9,39,1523,804,838,225,224,311,537,225,66,178,4933,19,4,5,0,0,0,0,0,0,29,66,10770,2272,1884,385,354,445,714,323,105,726,17979,18302,2876,1897,311,247,245,345,175,75,961,25436,2396,1386,1367,341,357,486,858,373,100,243,7910,232,121,100,42,49,79,158,64,54,56,949,7,3,13,8,4,3,4,0,4,14,67,2638,1508
SOSR321,3743,470,276,54,52,43,45,33,18,167,4883,415,211,158,25,36,57,50,38,9,21,1027,38,8,9,0,0,3,14,4,6,5,89,5,0,0,0,0,0,0,0,5,3,7,459,214,164,27,42,65,67,42,19,29,1120,7,0,0,0,0,0,0,0,6,45,61,4207,688,434,80,92,114,115,71,40,242,6066,3740,519,309,52,51,42,68,37,14,182,5021,516,261,230,48,60,47,63,32,15,35,1306,36,8,13,9,9,6,10,0,6,11,117,5,0,0,0,0,0,0,0,0,0,12,556,273,250,57,63,51,78,34,17,50,1432,3,0,0,0,0,0,0,0,0,4,16,4303,797,561,108,114,97,146,73,33,242,6468,7481,991,581,104,99,89,112,63,25,351,9903,926,465,387,75,97,104,119,70,25,60,2322,74,21,24,9,9,10,28,6,9,18,202,8,0,0,0,0,0,0,0,5,6,19,1012,488
SOSR322,1570,147,100,17,16,15,24,9,3,74,1976,166,56,63,16,11,8,24,14,7,28,386,10,0,3,3,0,0,5,0,0,5,31,0,0,0,0,0,0,0,0,0,3,0,179,54,69,17,9,12,26,14,7,34,416,3,0,0,0,0,0,0,0,0,7,11,1755,202,165,36,25,25,52,25,15,113,2407,1490,196,97,25,27,18,32,20,3,87,1996,200,75,78,22,18,29,41,21,3,21,509,16,9,12,0,0,3,7,0,0,13,62,0,0,0,0,0,0,0,0,0,0,5,217,80,90,21,19,38,48,18,8,36,569,4,0,0,0,0,0,0,0,0,3,11,1714,274,184,53,40,51,83,35,8,121,2573,3062,348,197,42,37,31,58,26,10,160,3967,369,127,140,35,29,42,67,33,12,49,896,32,9,14,5,5,3,8,0,0,11,89,0,0,0,0,0,0,0,0,0,6,5,394,136
SOSR331,15957,2367,1187,150,159,149,178,128,62,862,21202,2191,830,554,101,127,145,391,188,107,162,4788,233,51,59,21,22,25,73,37,50,60,636,9,0,3,0,0,0,3,4,11,15,48,2437,885,608,128,148,177,463,226,168,238,5476,27,0,0,0,0,0,7,0,0,275,313,18421,3250,1806,284,310,326,646,353,227,1376,26987,15796,2487,1450,213,204,202,258,118,43,815,21588,2420,1009,786,204,177,231,362,144,62,154,5547,300,81,91,24,27,30,51,38,6,25,683,17,6,0,0,0,0,0,0,3,10,38,2735,1094,881,222,206,260,418,182,67,193,6265,27,4,9,0,0,0,4,0,0,86,128,18555,3591,2334,438,413,463,678,301,112,1100,27980,31753,4851,2640,363,366,350,437,244,102,1680,42790,4614,1839,1340,307,302,374,750,330,161,317,10337,536,137,152,42,43,61,128,69,55,90,1313,29,7,5,0,0,0,3,4,14,20,88,5172,1978
