SOSR_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,27,470,121808,122311,2022,10728,131691,144446,88495,76552,175033,340076,201098,42699,76028,319830,172877,27589,66801,267263,146377,17321,57480,221178,114067,7810,38411,160293,65459,2508,21593,89562,17585,391,10798,28773,808014,186073,699645,1693730,110,866,114495,115463,5249,15453,116596,137305,125995,80396,142383,348775,208502,39295,82018,329811,172390,25538,87523,285457,139445,14370,83989,237803,104148,6014,73772,183929,48263,1468,57600,107331,7875,194,32700,40767,811973,183592,791082,1786643,137,1332,236303,237777,7270,26186,248288,281745,214490,156951,317407,688845,409598,81992,158049,649642,345270,53120,154331,552719,285824,31689,141470,458979,218217,13826,112187,344225,113724,3980,79195,196898,25462,589,43496,69544,1619985,369662,1490720,3480372
SOSR203,3,88,10103,10198,183,1755,9617,11551,6493,7277,11936,25705,12200,3515,5760,21473,11509,2539,6168,20219,11232,1675,5958,18863,10773,815,4391,15979,6311,310,2337,8959,1622,32,1117,2765,60336,18023,57371,135721,4,180,9437,9625,378,2425,8794,11595,8572,7550,10680,26803,13106,3339,7383,23829,11654,2456,8427,22539,11533,1463,8798,21795,10105,648,8230,18982,4930,182,5994,11102,825,17,3363,4204,61111,18270,71103,150486,8,274,19538,19822,563,4181,18405,23147,15070,14830,22607,52511,25307,6852,13140,45300,23170,5002,14591,42761,22765,3140,14759,40665,20875,1465,12615,34963,11241,493,8325,20061,2443,48,4485,6972,121443,36294,128473,286208
SOSR211,3,30,3153,3179,69,471,2612,3155,2694,1871,3381,7946,4711,1038,1919,7668,3289,714,1782,5781,2922,381,1464,4766,2660,185,1146,3985,1188,69,514,1767,218,6,167,391,17751,4755,16140,38650,5,50,2960,3011,173,633,2169,2972,3894,1954,2950,8798,4610,1060,2295,7961,3104,625,2307,6026,2872,357,2124,5359,2380,143,1946,4465,813,42,1160,2012,89,4,459,554,17940,4858,18373,41172,7,76,6111,6196,245,1104,4780,6132,6590,3825,6332,16746,9322,2095,4220,15633,6387,1337,4085,11810,5797,735,3589,10123,5034,328,3093,8450,2007,109,1672,3785,306,10,630,944,35694,9616,34515,79824
SOSR212,0,49,7189,7243,107,845,5605,6556,4344,4333,6599,15279,8717,2469,3680,14865,8768,1832,3940,14538,8656,1261,3674,13597,8172,661,2793,11625,4418,213,1570,6197,1101,41,699,1840,44274,11709,35755,91734,8,99,6720,6823,231,1287,4871,6388,5723,4512,6273,16503,9461,2475,4518,16455,9073,1759,5305,16134,8760,1253,5525,15537,7676,527,5160,13368,3383,132,3980,7491,523,17,2185,2727,44840,12068,44526,101430,7,152,13907,14068,343,2133,10477,12946,10069,8852,12869,31786,18178,4944,8198,31316,17835,3593,9241,30671,17413,2518,9198,29132,15852,1189,7949,24993,7795,347,5550,13691,1624,58,2889,4567,89109,23776,80282,193169
SOSR213,5,67,6643,6713,113,984,4824,5926,4072,4030,5674,13777,7328,2232,3344,12904,7288,1807,3930,13014,8038,1262,4081,13383,8294,713,3416,12428,5197,218,1864,7276,1219,40,851,2116,41561,11350,34627,87539,7,140,6013,6161,219,1424,4111,5754,5367,4128,5401,14898,7823,2296,4242,14365,7799,1741,5156,14697,8240,1136,5662,15047,7967,569,5476,14010,3983,157,4606,8745,603,16,2438,3062,42008,11619,43114,96739,11,205,12656,12878,331,2414,8935,11677,9439,8159,11074,28681,15153,4530,7584,27269,15091,3541,9083,27714,16281,2404,9745,28429,16262,1281,8895,26437,9180,377,6469,16021,1820,57,3293,5175,83566,22970,77737,184278
SOSR214,0,41,3480,3524,35,490,2627,3156,1839,2049,3032,6919,3504,1177,1919,6598,3826,1075,2291,7192,4734,803,2732,8266,5964,552,2445,8959,3833,204,1446,5478,868,27,656,1549,24598,6419,20637,51647,5,80,3109,3184,82,723,1980,2784,2417,2145,2738,7302,3887,1223,2215,7330,4111,1122,2969,8206,5115,790,3530,9432,5879,447,3876,10202,2915,126,3161,6203,410,23,1731,2165,24818,6668,25314,56799,5,111,6591,6708,118,1212,4609,5941,4256,4197,5768,14227,7388,2399,4135,13923,7944,2198,5258,15399,9843,1590,6260,17696,11837,994,6327,19161,6744,328,4605,11677,1275,47,2391,3712,49416,13079,45946,108444
SOSR215,0,43,5448,5495,79,708,3696,4484,3064,3505,4246,10823,6066,2137,2727,10932,6494,1800,3533,11826,7771,1419,4199,13387,8447,880,3819,13144,4861,265,2031,7161,1091,33,853,1973,37873,10794,30555,79221,0,85,4989,5071,159,1068,2830,4060,4095,3677,3642,11415,6648,2149,3211,12004,6883,1837,4133,12859,8301,1334,5145,14785,7974,689,5252,13919,3669,187,4214,8068,539,19,2171,2725,38279,11047,35582,84911,0,133,10430,10565,235,1778,6528,8542,7162,7189,7887,22240,12716,4286,5939,22937,13375,3634,7675,24689,16080,2753,9342,28176,16420,1569,9075,27058,8533,453,6242,15232,1625,49,3027,4703,76154,21841,66137,164129
SOSR221,0,8,1427,1435,15,158,934,1102,736,831,978,2542,1677,579,689,2941,1900,511,987,3400,2458,490,1331,4277,2570,310,1269,4146,1295,77,631,2001,246,9,209,460,10894,2974,8451,22316,0,29,1358,1386,35,232,702,961,1011,875,869,2757,1852,573,696,3130,2109,544,1052,3706,2573,486,1356,4419,2392,225,1328,3941,938,60,932,1926,123,8,476,613,11028,3037,8776,22839,0,36,2785,2827,46,388,1628,2069,1751,1709,1843,5299,3525,1155,1389,6074,4007,1060,2046,7108,5030,978,2688,8692,4962,534,2599,8091,2231,136,1562,3930,370,16,688,1073,21927,6011,17220,45157
SOSR222,0,4,741,739,6,79,480,569,331,405,619,1361,824,292,389,1506,1027,329,572,1924,1295,285,811,2387,1325,142,698,2171,632,51,295,977,137,5,101,240,5576,1602,4706,11876,0,14,708,729,17,106,400,525,473,464,450,1388,949,312,407,1665,1073,348,557,1980,1485,250,749,2479,1136,120,665,1922,471,31,468,972,49,5,240,294,5653,1649,4651,11956,0,15,1449,1469,23,186,884,1100,807,872,1071,2743,1769,604,797,3171,2100,677,1124,3904,2774,537,1555,4869,2464,267,1370,4095,1101,81,764,1949,184,11,340,530,11229,3249,9354,23832
