SOSR_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,4,0,0,16,0,0,0,0,10,0,0,10,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,20,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,4,5,0,0,18
SOSR201,314,3849,33,4200,119792,6375,188,130550,1643,3143,56,4844,144065,9792,405,159101,56730,5654,812,63197,280113,25298,901,369509,170583,3827,2263,176671,145385,19159,699,341920,105471,3762,1322,110548,159898,13675,764,284884,19337,12422,309,32068,192429,10171,801,235469,3167,23375,158,26699,136492,7537,787,171514,548,6094,35,6675,85307,6216,262,98459,58,304,0,366,32338,3758,77,36539,357852,62424,4996,425269,1295823,101978,4870,1827940,413,6426,46,6879,111118,5772,173,123939,4134,6255,198,10587,131918,7901,351,150753,96370,10765,2467,109597,243172,21246,806,374823,204865,7185,5388,217431,113998,16237,509,348172,104312,10061,2291,116664,170534,11922,639,299755,10056,37194,615,47866,192492,9400,1314,251074,2686,40936,337,43954,142367,8433,1095,195853,625,7107,77,7810,103150,7816,325,119109,104,337,8,452,51098,7131,73,58750,423560,126261,11416,561238,1259838,95863,5285,1922221,725,10273,78,11076,230907,12150,361,254490,5777,9393,255,15425,275983,17686,754,309850,153101,16414,3277,172791,523282,46548,1704,744329,375442,11013,7650,394102,259386,35399,1206,690091,209785,13822,3612,227217,330426,25595,1400,584639
SOSR203,35,443,4,483,10335,677,11,11502,345,363,10,714,11597,861,15,13182,6558,623,159,7334,19186,1694,37,28253,12747,398,283,13426,8522,1238,34,23217,7499,538,121,8150,12556,1167,17,21892,1220,1627,16,2859,16375,1005,21,20264,179,2238,7,2423,13929,891,26,17267,30,511,4,546,8690,737,8,9980,0,21,0,21,3277,445,5,3747,28610,6753,595,35960,104465,8702,172,149299,65,739,0,811,9704,692,17,11222,789,760,57,1606,11015,704,13,13337,9820,1244,529,11588,15845,1544,26,29006,15483,724,650,16856,7283,1243,22,25408,7393,1445,239,9076,13805,1101,15,23990,627,4455,54,5129,17079,932,36,23177,163,3950,16,4117,15190,936,34,20280,44,670,3,718,10758,998,11,12479,5,30,0,38,5501,869,4,6409,34378,14010,1544,49940,106181,9010,179,165311,102,1184,6,1289,20037,1366,29,22724,1134,1120,59,2322,22606,1562,26,26521,16380,1868,688,18928,35036,3229,66,57260,28228,1123,931,30283,15808,2481,53,48619,14884,1979,360,17224,26360,2268,34,45878
SOSR211,23,132,0,151,3121,255,0,3532,164,126,8,292,3002,272,4,3580,2626,231,74,2927,5126,683,13,8749,4231,130,93,4452,3284,580,5,8331,1814,172,43,2030,3828,404,0,6262,320,408,15,737,4056,301,10,5102,69,427,0,492,3506,214,20,4237,12,67,0,80,1692,137,0,1908,0,3,0,4,426,37,3,473,9252,1690,228,11176,28041,2896,68,42177,32,296,6,333,2709,268,0,3307,395,207,24,627,2448,239,0,3315,4395,335,168,4907,3958,687,15,9567,4951,236,189,5377,2600,593,3,8576,1604,510,65,2182,3880,377,13,6452,148,1084,8,1240,4143,276,39,5695,42,764,7,814,3688,219,28,4741,6,101,3,112,1934,170,5,2215,0,0,0,4,702,72,0,772,11581,3539,469,15588,26046,2894,110,44639,53,429,0,488,5827,527,0,6840,556,336,36,921,5452,508,9,6895,7023,567,242,7834,9080,1373,25,18309,9185,363,277,9826,5883,1177,16,16906,3417,682,102,4212,7704,782,19,12712
SOSR212,27,277,4,308,6973,560,3,7844,243,200,4,447,6383,498,17,7348,4431,400,101,4927,10805,1178,47,16956,8926,276,216,9421,5736,1093,34,16279,5301,417,100,5822,9104,970,24,15920,867,1189,22,2073,11958,843,27,14907,136,1621,4,1765,10166,735,13,12678,19,320,0,337,6075,597,6,7016,0,12,0,10,2123,373,3,2508,19950,4717,439,25110,69319,6853,180,101455,39,519,0,558,6404,493,0,7459,495,455,25,977,5777,421,25,7199,6770,754,308,7831,9133,1137,38,18137,10995,480,493,11964,4685,1024,32,17708,5272,1010,145,6427,9939,862,25,17253,416,3224,47,3685,12264,775,18,16747,111,2692,12,2822,10834,800,20,14476,23,359,0,387,7319,807,6,8514,4,22,0,24,3537,694,3,4267,24121,9521,1032,34673,69900,7016,170,111755,63,799,3,862,13376,1055,3,15301,737,655,30,1426,12163,920,40,14544,11199,1151,401,12751,19934,2314,83,35092,19919,760,706,21381,10421,2114,71,33992,10574,1425,242,12244,19043,1830,47,33174
SOSR213,26,287,5,320,6455,448,8,7227,280,194,14,487,5652,422,4,6568,4545,356,117,5021,9109,1158,47,15330,7709,265,191,8165,5038,958,31,14189,4269,412,90,4767,8536,880,12,14187,709,1174,26,1914,11793,704,20,14426,129,1400,4,1541,11115,656,6,13314,19,272,0,294,7161,622,5,8077,3,13,0,16,2410,441,0,2875,17693,4372,452,22511,67258,6288,129,96190,57,513,3,574,5663,416,0,6650,648,375,24,1053,4979,381,6,6421,6729,635,368,7729,7469,915,27,16132,9269,449,515,10230,4283,828,18,15355,4215,1052,166,5439,9466,707,11,15619,347,3151,34,3534,11798,662,13,16002,80,2469,15,2559,11683,713,13,14966,30,399,0,432,8493,879,8,9807,0,33,0,37,3995,791,0,4824,21372,9071,1131,31571,67819,6287,98,105781,79,798,9,889,12113,866,7,13876,926,570,38,1537,10635,804,8,12991,11273,995,482,12746,16576,2069,71,31465,16976,712,710,18399,9313,1782,50,29546,8483,1460,261,10199,17996,1584,28,29809
SOSR214,12,162,0,177,3409,290,6,3885,135,117,4,254,3038,195,3,3493,2195,191,52,2437,4756,537,14,7747,3835,151,85,4077,2699,529,7,7306,2257,212,65,2533,4901,498,5,7931,419,598,12,1030,7548,547,10,9134,82,947,0,1032,8176,591,10,9807,15,189,0,210,5434,531,3,6179,4,9,0,12,1835,298,0,2143,8965,2580,216,11762,41787,4015,57,57620,34,266,6,305,2967,289,0,3558,286,217,25,524,2469,182,9,3176,3276,307,163,3751,3755,503,10,8018,4766,231,229,5231,2227,489,9,7959,2294,575,87,2960,5422,431,7,8815,240,1724,26,1992,7745,496,7,10239,62,1565,8,1637,8762,619,9,11027,17,248,0,267,6073,661,4,7002,3,15,0,15,2969,502,3,3493,10985,5138,547,16666,42387,4164,63,63279,45,429,6,482,6372,578,6,7440,423,330,28,779,5502,376,11,6666,5473,499,219,6190,8511,1036,22,15760,8604,384,316,9307,4927,1017,19,15263,4550,780,152,5490,10322,924,12,16750
SOSR215,32,239,0,267,5167,579,0,6022,194,152,6,356,4298,411,8,5066,3783,293,84,4153,7058,838,39,12085,6603,218,195,7013,4189,871,16,12095,3932,340,80,4359,7819,900,27,13106,712,1028,19,1765,12075,912,16,14768,135,1444,8,1592,11929,961,5,14484,33,293,4,327,7092,662,4,8084,4,20,0,27,2313,320,5,2668,15428,4031,405,19860,61942,6458,114,88373,41,435,7,482,4607,508,0,5596,443,313,17,765,3544,341,6,4661,5541,518,325,6382,5372,820,21,12600,7967,415,474,8850,3363,830,11,13057,3957,902,159,5022,8110,890,12,14030,365,2742,24,3136,12143,803,10,16084,91,2323,16,2432,11850,944,10,15238,28,360,4,385,7886,833,9,9109,7,23,0,31,3773,580,3,4386,18441,8023,1017,27481,60643,6542,87,94758,74,673,5,749,9768,1090,6,11617,641,463,26,1122,7840,752,14,9728,9329,809,404,10542,12428,1655,58,24683,14568,632,670,15863,7548,1698,30,25143,7889,1244,248,9377,15928,1793,37,27137
SOSR221,9,45,0,55,1380,155,0,1596,48,38,0,86,1095,87,0,1274,953,66,21,1046,1606,185,6,2841,1836,59,34,1931,1104,233,5,3272,1106,103,17,1228,2282,262,0,3773,207,326,5,539,3914,299,0,4753,38,371,0,408,3864,332,4,4606,12,78,0,86,1975,186,0,2248,0,6,0,3,534,101,0,640,4214,1094,83,5389,17749,1836,22,25004,8,106,3,121,1241,157,0,1517,103,65,5,173,858,68,0,1108,1340,119,77,1539,1302,183,0,3026,2165,62,101,2329,859,238,0,3428,1083,273,35,1391,2413,232,6,4039,103,812,8,928,3702,281,3,4918,37,577,5,617,3479,252,8,4355,7,80,0,87,1876,206,0,2169,5,7,0,11,802,177,0,993,4860,2105,242,7202,16537,1803,18,25559,17,155,3,177,2626,320,0,3119,150,110,5,259,1954,162,3,2381,2301,188,103,2585,2906,365,7,5871,4006,125,141,4266,1960,467,5,6696,2192,381,54,2625,4691,487,7,7810
SOSR222,4,21,0,26,794,161,0,981,25,20,0,46,837,148,7,1041,457,41,9,509,1280,216,27,2028,1009,37,33,1078,662,187,11,1929,732,65,13,810,1405,227,9,2451,136,177,10,320,2360,245,0,2933,24,236,4,262,2086,209,3,2558,8,29,0,38,949,118,3,1104,3,0,0,3,249,36,0,291,2381,635,72,3094,10623,1547,57,15315,0,74,0,71,812,148,0,1032,54,53,0,107,785,154,5,1049,711,68,34,812,962,178,26,1983,1225,70,70,1361,551,187,5,2107,679,145,35,864,1387,218,5,2472,69,472,6,552,2209,230,9,3005,13,338,4,359,1703,147,0,2208,4,40,0,47,945,113,0,1107,0,0,0,3,347,55,0,399,2766,1259,156,4181,9701,1433,46,15359,6,95,0,100,1607,309,0,2015,81,69,0,151,1624,303,14,2090,1164,113,44,1321,2243,395,53,4013,2236,106,101,2440,1211,374,10,4036,1410,210,50,1676,2785,448,11,4923
SOSR231,35,433,0,471,11828,1430,7,13739,274,306,3,588,8872,994,24,10476,5137,426,116,5678,10877,2592,61,19211,12527,363,320,13204,7265,2837,40,23343,9610,807,157,10566,17460,2927,30,30987,1983,2695,35,4708,28586,2894,16,36209,384,3190,22,3595,24967,2587,17,31162,48,580,4,629,11614,1305,12,13561,4,15,0,19,2416,397,0,2832,30007,8800,662,39469,123891,17957,198,181510,67,810,7,882,10460,1318,0,12667,484,553,23,1064,7085,696,25,8871,7557,812,377,8748,8272,1448,51,18518,14780,629,732,16140,5483,1825,14,23459,9050,2067,314,11430,17670,2233,13,31342,844,6481,66,7391,25143,2388,26,34950,195,4826,35,5054,19682,1950,19,26705,37,620,3,658,9317,1161,3,11143,7,35,0,42,2538,404,4,2983,33015,16825,1558,51402,105652,13429,160,170635,104,1241,12,1355,22289,2741,14,26402,762,858,30,1648,15962,1691,44,19341,12691,1234,494,14425,19144,4045,118,37732,27307,989,1050,29344,12749,4672,45,46805,18653,2874,471,21993,35135,5157,42,62328
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,5,0,0,5,9,19,0,30,23,0,0,23,18,84,0,131,18,0,0,14,27,116,0,163,0,3,0,3,39,100,0,141,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,45,109,336,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,0,17,0,0,0,0,3,8,0,14,0,0,0,0,7,13,0,18,0,0,0,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,19,49,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,11,0,0,7,13,38,0,52,25,0,0,25,20,96,0,140,18,0,0,14,36,128,0,182
SOSR301,266,2931,17,3211,66311,3619,92,73237,2452,2199,80,4732,71508,5102,216,81562,36256,3470,901,40630,117906,11681,665,170885,82220,2680,1902,86798,65084,9123,388,161399,49324,3439,928,53697,82109,7004,323,143134,8195,7960,157,16316,93269,4905,378,114867,1362,11105,69,12536,68883,3766,354,85539,191,2666,16,2875,40107,2814,101,45899,12,110,0,127,12670,1635,24,14455,180278,36570,4065,220923,617853,49652,2546,890969,476,5104,47,5626,60871,3408,96,69997,4997,4098,284,9377,67168,4533,217,81297,56881,6152,2360,65390,102261,10193,519,178365,101503,4467,3746,109717,52303,7796,288,170099,47500,8312,1539,57347,88245,5859,284,151730,3702,20634,297,24634,94022,4436,522,123617,928,19045,148,20117,71855,3825,394,96197,201,3276,27,3503,47236,3731,116,54580,29,167,4,198,20972,3438,33,24644,216215,71253,8443,295910,604936,47209,2470,950520,745,8033,61,8835,127186,7032,189,143234,7448,6303,365,14109,138675,9638,435,162862,93138,9622,3261,106020,220172,21870,1182,349243,183729,7141,5644,196515,117386,16916,680,331495,96819,11756,2470,111047,170352,12857,606,294866
SOSR302,72,1028,11,1108,23707,1479,34,26327,596,653,21,1267,22633,1810,95,25810,11908,1104,227,13238,37545,4501,321,55609,29478,977,604,31062,20974,3567,162,55763,19200,1296,394,20892,31904,3214,171,56181,3500,3043,59,6602,40879,2729,185,50395,603,4489,25,5115,38383,2748,203,46458,116,1084,8,1206,24638,2260,118,28223,9,48,0,57,7340,1255,22,8675,65482,13717,1350,80548,247998,23582,1313,353445,104,1722,11,1834,22288,1450,50,25619,1330,1237,65,2637,22715,1913,92,27346,19525,2060,724,22315,33817,4336,269,60732,37627,1492,1483,40604,17586,3567,145,61904,19597,3004,565,23165,35815,3188,150,62314,1511,8601,76,10193,44563,2918,198,57877,332,8099,56,8486,40885,2868,221,52461,88,1276,7,1373,26989,2813,91,31269,14,65,0,85,10337,2391,23,12833,80130,27562,2995,110680,254997,25437,1233,392353,177,2747,21,2939,45995,2931,83,51945,1929,1892,80,3903,45351,3725,185,53155,31435,3168,955,35551,71364,8839,586,116340,67106,2467,2092,71667,38562,7129,311,117666,38796,4300,959,44058,67720,6403,321,118501
SOSR303,68,633,8,714,12441,1211,27,14387,602,410,22,1033,12341,1936,124,15430,6883,737,247,7864,18804,3460,294,30432,12326,609,506,13448,10734,2571,88,26843,7587,818,239,8644,15984,2283,77,26990,1546,1738,46,3329,19446,1943,66,24784,242,1954,10,2206,16150,1713,69,20136,43,492,7,536,8942,1026,35,10539,3,23,0,31,2600,410,8,3049,29307,7426,1083,37814,117441,16545,786,172586,132,1106,16,1253,12034,1048,11,14351,1271,919,81,2265,11343,1352,82,15044,11040,1335,628,13005,15673,2875,197,31750,16241,1002,951,18190,9485,2209,54,29942,7637,2006,390,10028,17480,1937,52,29508,640,4345,62,5052,19754,1754,77,26644,144,3444,19,3603,16244,1483,65,21398,39,629,4,671,10301,1124,22,12124,11,38,0,48,4365,717,10,5143,37151,14825,2139,54122,116697,14510,563,185894,200,1740,20,1969,24473,2260,37,28733,1874,1330,101,3303,23683,3282,205,30476,17921,2073,880,20871,34477,6337,491,62184,28570,1614,1453,31641,20219,4783,140,56785,15221,2824,626,18675,33464,4224,130,56493
SOSR311,38,359,0,404,6810,575,4,7799,398,223,9,634,5888,560,19,7089,4231,420,151,4800,8787,1251,55,14898,6764,335,246,7341,5582,1103,31,14058,3602,479,126,4211,9045,1092,21,14377,638,1147,26,1816,12453,1038,32,15333,119,1150,5,1273,12255,955,39,14519,22,242,0,266,7760,773,16,8811,0,14,0,16,2333,389,4,2740,15810,4367,569,20751,70910,7740,223,99622,82,662,10,748,6142,494,11,7393,881,429,52,1364,5251,565,25,7207,6769,692,450,7917,6873,1146,78,16017,8862,498,567,9926,4607,986,31,15549,3684,1297,181,5168,9738,932,23,15863,327,2909,20,3261,12652,909,39,16854,77,1863,13,1956,12659,922,33,15561,19,333,0,359,8732,1004,9,10102,0,24,0,26,3533,623,3,4188,20714,8702,1299,30712,70173,7584,248,108725,121,1018,10,1153,12949,1072,18,15190,1274,653,68,1996,11141,1124,39,14297,11000,1110,606,12716,15659,2400,134,30912,15621,829,813,17269,10190,2086,61,29608,7289,1782,304,9375,18786,2030,50,30236
SOSR312,16,115,0,141,2524,208,0,2868,149,88,6,245,2097,173,0,2518,1550,134,59,1748,3064,396,6,5213,2528,122,95,2749,2092,439,14,5294,1447,198,38,1690,3719,408,3,5821,281,397,9,688,5346,366,12,6412,58,473,7,541,5552,316,12,6416,11,75,0,86,3414,254,6,3763,0,0,0,5,997,123,0,1120,6049,1617,220,7886,28795,2690,60,39427,28,230,3,264,2256,178,0,2694,368,177,17,563,1659,139,0,2366,2434,208,167,2809,2199,363,8,5381,3266,193,172,3628,1638,334,6,5607,1455,453,68,1983,3885,304,5,6176,137,1099,14,1251,5459,306,5,7021,22,725,3,754,5738,302,6,6794,7,112,0,127,3841,323,6,4289,3,8,0,10,1476,242,0,1729,7726,3210,454,11389,28157,2488,43,42066,45,349,4,401,4779,383,0,5565,521,266,19,812,3760,310,4,4888,3986,348,224,4555,5261,765,16,10597,5796,316,273,6382,3729,777,23,10901,2905,650,112,3665,7608,715,8,11997
SOSR313,35,277,4,315,4641,424,0,5380,328,188,16,534,3695,467,68,4761,3340,308,129,3773,5918,1146,142,10981,4819,228,178,5229,3570,936,62,9796,2569,337,90,2989,5568,856,21,9436,434,635,15,1088,7471,835,26,9414,94,624,4,721,7077,684,12,8493,22,155,0,172,3970,360,10,4508,0,4,0,5,1079,127,3,1220,11640,2749,431,14823,42984,5836,341,63991,67,434,9,507,3966,335,0,4811,752,308,51,1111,3398,384,35,4934,5093,468,371,5934,4703,862,92,11595,6449,347,380,7171,2861,726,26,10778,2478,882,131,3490,5909,630,12,10041,192,1650,23,1865,7718,637,20,10245,56,1114,3,1172,7069,594,29,8858,12,212,8,230,4235,367,12,4846,0,7,0,12,1658,236,0,1906,15093,5428,967,21496,41516,4774,220,68002,101,711,8,818,8608,761,7,10191,1083,501,66,1646,7091,853,96,9694,8434,775,502,9711,10616,2011,232,22568,11265,573,559,12406,6430,1655,86,20574,5049,1217,219,6482,11475,1491,38,19472
SOSR314,10,207,4,223,4519,560,0,5310,265,126,10,393,3648,671,104,4808,3088,225,104,3407,5978,1605,433,11424,5264,174,151,5595,3631,1391,137,10756,2851,313,71,3232,6466,1317,30,11039,483,652,11,1151,8088,1107,18,10370,99,643,0,746,7432,809,15,9004,14,161,3,173,4278,505,3,4964,3,11,0,16,1225,204,0,1444,12068,2521,352,14946,45264,8168,739,69123,49,414,3,466,4025,479,0,4973,555,252,18,822,3201,436,51,4516,4719,382,241,5345,4777,1085,131,11338,6392,319,368,7075,2923,881,27,10908,2641,774,121,3542,6555,846,22,10961,246,1632,13,1890,7846,672,10,10425,43,1171,0,1212,7208,644,24,9093,19,211,0,229,4508,503,3,5246,3,18,0,19,1813,385,3,2218,14663,5175,767,20608,42862,5938,279,69683,62,623,5,691,8542,1040,9,10286,813,374,28,1217,6851,1104,152,9327,7801,602,349,8753,10759,2690,567,22766,11657,490,518,12667,6550,2277,169,21660,5488,1094,195,6775,13014,2163,46,22000
SOSR315,55,375,9,442,6221,757,3,7424,459,214,26,700,5032,975,79,6788,4469,358,143,4973,8040,2868,278,16153,6961,340,254,7551,5471,2427,79,15530,3828,578,149,4559,9919,2317,27,16823,765,1091,24,1880,14410,2110,46,18441,160,1007,3,1171,15034,1605,20,17831,25,220,0,243,7660,814,13,8729,4,9,0,9,1914,333,0,2255,16730,4193,604,21528,73691,14209,544,109971,125,614,17,759,5553,721,4,7035,925,454,54,1430,4323,666,31,6453,6793,653,460,7901,6330,1538,167,15939,8786,558,497,9847,4423,1302,44,15616,3589,1265,188,5040,10039,1331,16,16429,345,2689,26,3063,14276,1428,40,18805,86,1690,11,1789,14119,1299,19,17221,23,278,6,304,7414,873,12,8598,7,20,0,25,2717,545,0,3290,20679,8218,1254,30158,69195,9699,338,109388,183,992,26,1198,11769,1479,12,14461,1390,666,78,2130,9357,1642,107,13237,11264,1011,597,12875,14370,4406,445,32088,15746,899,752,17394,9891,3736,125,31146,7418,1842,338,9595,19956,3648,45,33248
SOSR321,27,131,0,151,2315,349,0,2823,145,83,0,232,1716,329,19,2288,1421,116,40,1578,2495,810,99,4980,2450,111,83,2646,1954,733,19,5361,1595,242,52,1887,3906,686,8,6488,304,474,16,797,6146,637,11,7598,66,454,7,519,6503,617,11,7656,17,96,0,114,3249,334,5,3701,0,9,0,9,601,78,5,696,6017,1716,205,7939,28897,4584,173,41593,45,225,0,271,1989,291,6,2546,319,147,25,489,1391,234,13,2123,2265,213,134,2611,1969,490,59,5127,3223,244,174,3639,1574,466,16,5701,1524,528,91,2147,4003,488,10,6641,128,1109,12,1255,6193,552,10,8011,40,730,6,772,5780,539,12,7097,5,118,0,127,2794,316,3,3239,0,7,0,7,775,100,0,890,7551,3316,435,11303,26471,3474,120,41373,67,357,0,420,4301,642,6,5370,468,234,25,717,3111,558,29,4414,3683,327,172,4189,4470,1298,152,10110,5673,347,260,6286,3536,1203,41,11060,3114,768,145,4029,7912,1177,19,13135
