SOSR_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SOSR101,..,3152,97049,211100,180823,156388,119083,64438,16970,849007,..,10884,68766,38432,25239,16577,7747,2494,355,170495,..,287,1534,5328,9899,8043,3826,2266,1563,32755,420784,..,..,..,..,..,..,..,..,420784,..,128306,..,..,..,..,..,..,..,128306,..,80699,69405,21834,13194,5684,881,28,0,191727,..,13352,14631,5787,5088,6470,5349,3103,1781,55561,..,8098,15338,6038,4122,3053,1362,381,81,38481,..,21665,44815,13477,8140,7245,4853,1738,363,102307,..,7163,29571,28340,26968,29612,23917,14575,6639,166790,3701,4261,5834,3780,3105,2536,1762,768,288,26035,250,366,607,479,445,593,765,220,45,3784,424730,278238,347545,334601,277033,236211,169559,90015,28091,2186022,..,7934,138016,221212,180708,147221,105006,45021,7281,852395,..,16066,71858,34628,22433,13353,5511,1373,162,165378,..,2474,15209,32779,43446,28379,13243,9195,6035,150758,398491,..,..,..,..,..,..,..,..,398491,..,131640,..,..,..,..,..,..,..,131640,..,55802,47277,12025,7802,4538,1022,50,0,128510,..,11033,10309,3700,4767,11899,14626,10544,6167,73052
SOSR102,..,463,15788,33770,34639,34937,32962,20058,4975,177584,..,4149,16364,9426,7480,5431,2885,1060,169,46965,..,98,663,2052,3396,2087,1020,657,423,10391,90552,..,..,..,..,..,..,..,..,90552,..,22008,..,..,..,..,..,..,..,22008,..,21696,11362,4510,3383,1903,316,15,0,43179,..,2389,1952,873,971,1379,1207,707,339,9814,..,1772,2247,881,725,567,286,93,24,6589,..,5000,6407,1756,1833,2211,1569,677,135,19588,..,1469,5053,5362,7362,9960,9165,6133,2713,47221,1382,1677,1591,1149,1031,870,618,273,103,8693,44,36,59,49,36,53,55,24,8,356,91980,60763,61487,59819,60856,59409,50073,29676,8885,482945,..,884,21661,36748,36239,35591,30903,15374,2422,179832,..,6145,17326,9234,7349,5125,2371,736,81,48372,..,1066,5653,9736,11347,6261,2957,2461,1816,41289,84740,..,..,..,..,..,..,..,..,84740,..,23236,..,..,..,..,..,..,..,23236,..,14507,6501,1864,1450,1216,321,14,0,25878,..,2077,1202,451,804,2126,2585,1918,1144,12305
SOSR111,..,109,3428,6063,5841,5868,5821,3403,804,31339,..,1005,3211,1780,1342,947,491,164,20,8967,..,40,186,454,582,357,156,89,47,1912,18042,..,..,..,..,..,..,..,..,18042,..,3535,..,..,..,..,..,..,..,3535,..,3864,1751,679,519,242,47,0,0,7097,..,520,394,204,150,224,187,98,37,1815,..,369,404,190,146,87,51,20,5,1268,..,600,864,312,337,370,299,98,17,2897,..,368,1162,1106,1408,1718,1635,941,403,8734,354,400,396,267,215,150,141,51,18,1987,10,4,16,4,11,5,10,0,0,59,18399,10810,11814,11056,10545,9975,8838,4858,1358,87655,..,209,4659,6490,6191,6011,5427,2593,385,31963,..,1483,3268,1749,1343,895,399,123,12,9267,..,319,1539,2158,2108,996,493,380,248,8235,17522,..,..,..,..,..,..,..,..,17522,..,3969,..,..,..,..,..,..,..,3969,..,2617,975,295,199,158,52,0,0,4296,..,424,238,103,189,403,429,265,150,2210
SOSR112,..,326,8553,14185,14170,15419,16179,10550,2711,82086,..,2685,7628,4112,3490,2652,1548,535,93,22741,..,77,479,1088,1464,985,502,270,176,5040,45521,..,..,..,..,..,..,..,..,45521,..,9163,..,..,..,..,..,..,..,9163,..,9575,4382,1893,1400,728,134,5,0,18117,..,1422,1034,428,484,623,575,284,124,4980,..,952,1130,512,386,257,137,40,8,3419,..,1741,2646,931,887,1091,865,353,60,8573,..,996,3015,2791,3852,5238,5056,3094,1415,25456,873,1168,1041,720,619,499,380,148,67,5512,20,22,54,53,28,24,23,7,6,241,46416,28127,29957,26706,26779,27511,25403,15281,4662,230849,..,627,11341,15296,14939,16135,15402,8163,1340,83247,..,3883,7803,4160,3442,2470,1270,347,59,23440,..,1041,4080,5301,5401,2750,1396,1025,766,21759,43670,..,..,..,..,..,..,..,..,43670,..,9381,..,..,..,..,..,..,..,9381,..,6195,2349,856,646,530,148,5,0,10726,..,1112,599,200,511,1046,1171,753,410,5799
SOSR113,..,121,2840,5295,5839,7286,8481,5285,1241,36382,..,1052,3278,2075,1668,1336,864,293,41,10604,..,36,259,477,754,466,243,139,107,2482,19195,..,..,..,..,..,..,..,..,19195,..,3624,..,..,..,..,..,..,..,3624,..,4510,2008,947,746,437,90,0,0,8736,..,607,367,184,288,308,311,160,64,2287,..,372,448,232,213,122,78,16,0,1490,..,508,1007,445,446,510,455,156,35,3566,..,418,1146,1271,1896,2834,2778,1772,696,12815,407,474,454,354,299,256,217,96,26,2584,5,9,16,9,5,5,12,5,0,60,19605,11736,11816,11289,12153,13569,13519,7932,2213,103822,..,236,3850,5999,6377,7804,8065,4013,633,36967,..,1576,3495,1998,1704,1260,699,202,25,10964,..,397,1889,2484,2526,1273,688,579,396,10227,18262,..,..,..,..,..,..,..,..,18262,..,3721,..,..,..,..,..,..,..,3721,..,2699,988,410,336,286,59,0,0,4781,..,459,182,82,212,484,540,374,263,2595
SOSR114,..,121,3893,6829,6883,7891,9152,6111,1554,42437,..,1260,3680,2142,1852,1547,910,381,51,11831,..,26,187,488,717,475,241,141,107,2387,22627,..,..,..,..,..,..,..,..,22627,..,3941,..,..,..,..,..,..,..,3941,..,4596,2027,896,775,430,88,0,0,8815,..,653,424,227,234,309,317,161,89,2408,..,374,424,187,171,137,63,22,0,1387,..,625,811,328,404,515,452,174,30,3339,..,516,1254,1184,1780,2900,3021,1940,836,13427,394,503,498,358,298,308,248,109,26,2748,9,12,15,10,9,11,11,8,7,90,23026,12641,13223,12652,13130,14533,14497,9052,2697,115450,..,241,5194,7423,7324,8434,8860,4755,738,42967,..,1855,3889,2225,1874,1407,741,254,31,12275,..,439,1904,2558,2561,1209,692,545,441,10349,21653,..,..,..,..,..,..,..,..,21653,..,4286,..,..,..,..,..,..,..,4286,..,2949,1041,395,343,333,79,0,0,5139,..,483,238,106,194,484,568,403,240,2726
SOSR115,..,180,4804,9018,9727,12316,14861,8700,1982,61586,..,1434,4675,3140,2838,2553,1668,571,76,16954,..,40,245,652,983,716,411,198,157,3395,30765,..,..,..,..,..,..,..,..,30765,..,5604,..,..,..,..,..,..,..,5604,..,6635,2960,1328,1108,601,118,0,0,12757,..,736,500,266,337,495,477,257,114,3181,..,482,545,288,263,218,111,58,17,1985,..,625,1035,443,546,755,800,312,72,4588,..,505,1454,1523,2562,4201,4668,2949,1048,18908,527,785,631,454,480,467,380,140,42,3908,10,21,41,20,7,21,5,5,0,136,31307,17051,16893,17124,18857,22344,23496,13195,3505,163774,..,338,6502,9983,10645,13526,13966,6683,904,62550,..,2161,5011,3271,2854,2534,1347,354,45,17568,..,529,2418,3358,3499,1754,911,786,587,13836,29068,..,..,..,..,..,..,..,..,29068,..,6107,..,..,..,..,..,..,..,6107,..,4088,1408,562,458,444,118,9,0,7083,..,662,290,125,277,656,859,603,387,3860
SOSR121,..,27,1214,2619,3255,3903,4278,2096,398,17798,..,300,1074,888,853,762,485,154,14,4531,..,14,75,158,276,178,96,70,31,909,8573,..,..,..,..,..,..,..,..,8573,..,1784,..,..,..,..,..,..,..,1784,..,1933,873,373,309,160,21,0,0,3673,..,185,113,68,81,145,140,77,33,846,..,146,144,63,70,70,37,23,0,554,..,96,198,88,148,243,211,69,10,1064,..,110,287,318,604,1103,1127,634,230,4416,174,211,188,153,107,118,117,48,13,1123,6,5,3,7,5,3,4,0,0,34,8748,4810,4186,4724,5711,6688,6518,3169,733,45287,..,74,1643,2986,3664,4182,3879,1503,165,18098,..,452,1222,884,839,783,372,103,8,4673,..,117,518,760,811,437,228,200,148,3210,8146,..,..,..,..,..,..,..,..,8146,..,1892,..,..,..,..,..,..,..,1892,..,1281,455,161,137,108,27,0,0,2173,..,161,59,35,46,163,241,202,110,1016
SOSR122,..,26,546,1109,1413,1973,1996,1016,188,8271,..,169,540,394,457,477,293,76,9,2410,..,5,31,88,134,96,68,48,22,503,3902,..,..,..,..,..,..,..,..,3902,..,724,..,..,..,..,..,..,..,724,..,910,454,212,156,62,5,0,0,1808,..,119,51,38,48,116,103,51,14,532,..,56,63,40,43,26,19,3,3,249,..,47,83,69,94,173,132,37,3,632,..,66,168,180,406,796,788,420,105,2933,77,88,85,64,66,68,75,21,11,558,0,0,3,0,0,0,3,0,0,14,3979,2211,2029,2188,2823,3784,3483,1671,357,22529,..,41,734,1266,1634,2088,1831,704,83,8372,..,251,579,432,455,468,218,53,6,2466,..,45,260,364,434,241,135,78,46,1610,3583,..,..,..,..,..,..,..,..,3583,..,812,..,..,..,..,..,..,..,812,..,582,239,77,66,55,15,0,0,1041,..,84,33,19,31,98,108,89,43,504
SOSR131,..,220,6466,15916,23592,27571,24812,11450,1961,111982,..,1348,4974,4094,4720,4663,2796,682,92,23367,..,35,240,742,1240,1090,597,327,219,4495,47896,..,..,..,..,..,..,..,..,47896,..,11392,..,..,..,..,..,..,..,11392,..,12421,5767,2427,1618,887,117,0,0,23231,..,852,544,368,586,862,935,598,302,5044,..,747,851,452,524,530,359,130,25,3626,..,439,734,463,751,1198,1064,373,58,5076,..,586,1357,1691,3230,5957,5964,2822,797,22416,1015,1526,997,726,695,696,681,307,70,6709,21,14,61,24,28,21,22,9,0,201,48934,29586,21993,26897,36990,43476,37338,16689,3523,265439,..,444,8925,18748,26041,28492,21850,7761,826,113078,..,2051,5485,4381,5021,4410,1999,398,38,23782,..,322,1725,2586,3065,1870,1065,978,588,12201,44291,..,..,..,..,..,..,..,..,44291,..,12453,..,..,..,..,..,..,..,12453,..,7468,3269,987,749,489,94,12,0,13071,..,670,261,142,311,894,1364,1160,729,5534
