SOSR_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SOSR101,211872,62140,66148,70844,78417,27952,7165,25312,1408261,792,196,253,62,84,143,134,55,37,9343,11098,955207,283765,269237,75325,79440,85166,93550,35269,9928,44618,1931508
SOSR102,11772,3358,3397,3605,3948,1562,361,1501,72353,195,16,12,5,5,9,6,0,3,930,1169,105373,19737,19002,4621,4565,4740,5282,2363,690,4961,171335
SOSR111,2484,604,737,830,890,256,105,197,10655,10,3,0,6,0,0,0,0,0,49,71,11354,3443,3480,799,881,1007,1066,347,143,582,23113
SOSR112,6234,2016,2280,2917,3479,1080,352,669,31594,71,4,3,0,3,5,4,0,0,680,777,34719,7846,8710,2492,2752,3378,4059,1382,482,2623,68454
SOSR113,1386,398,429,564,734,319,95,231,8400,28,3,3,0,0,0,5,0,3,178,226,16434,2760,2642,693,669,828,1021,544,171,1058,26822
SOSR114,2171,522,641,666,1002,405,199,210,10818,32,0,6,0,0,0,3,4,3,103,145,16566,3410,3496,742,862,868,1252,556,280,992,29021
SOSR115,1570,517,530,666,982,349,141,291,10718,47,3,3,0,0,0,5,3,0,175,234,26969,3692,3293,786,798,934,1355,520,214,1513,40075
SOSR121,287,80,91,103,129,39,14,82,2144,16,0,0,0,0,4,0,0,0,7,28,7085,873,778,157,157,168,168,84,24,385,9878
SOSR122,142,45,39,53,120,37,8,65,1178,12,0,0,0,0,0,0,0,0,7,14,3786,414,332,78,81,83,164,49,16,215,5213
SOSR131,1709,409,407,496,700,290,102,534,16740,55,6,11,0,0,4,0,7,4,673,749,43444,5174,3751,757,741,813,1131,561,211,2867,59455
SOSR179,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR201,205050,54251,57754,63450,72919,26130,6988,21172,1198700,710,177,284,64,96,84,125,36,27,3643,5253,777300,279496,259134,65333,69497,75494,86045,31472,9357,35028,1688155
SOSR203,6512,1836,1929,2255,2585,982,188,588,31107,49,4,13,0,0,7,4,5,0,167,248,26152,8650,8887,2270,2344,2740,3140,1257,275,1514,57225
SOSR211,4744,1124,995,1030,1127,315,145,336,20327,11,18,3,0,5,0,0,0,0,36,74,10475,6836,5772,1319,1182,1180,1257,386,179,615,29188
SOSR212,4060,1226,1238,1516,1904,604,179,521,20557,31,3,7,6,0,0,4,4,0,68,125,18331,5868,5881,1528,1514,1806,2228,767,257,1195,39383
SOSR213,2501,638,735,897,905,371,141,299,13338,53,0,0,0,0,0,4,0,0,328,392,18454,4331,3735,872,935,1099,1103,490,180,1176,32390
SOSR214,1220,300,338,401,556,174,71,193,6609,23,5,0,6,0,0,0,0,0,51,86,11489,2024,1887,424,438,510,660,221,89,721,18463
SOSR215,1220,338,373,420,535,182,58,319,7714,35,0,4,3,4,0,0,0,0,38,82,16901,2823,2295,530,548,583,694,268,78,1064,25780
SOSR221,200,61,77,71,98,29,20,60,1549,6,5,0,0,0,0,0,0,0,3,13,4861,648,527,99,112,111,145,56,22,268,6849
SOSR222,155,39,38,54,112,50,16,28,1002,3,0,0,0,0,0,0,0,0,4,10,2605,343,317,75,62,92,162,61,23,137,3881
SOSR231,1484,448,434,482,758,272,152,453,12162,48,3,6,4,0,5,6,4,0,872,937,30580,4030,3156,734,677,736,1084,428,239,2689,44350
SOSR279,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,12,4,0,0,0,0,0,0,0,41
SOSR301,65169,15724,16167,18837,23665,9133,2482,5990,336876,284,102,127,12,19,28,55,25,12,1591,2258,288337,126859,101332,21723,21840,24992,30214,12530,4159,14636,646626
SOSR302,15018,4242,4536,5012,6027,2443,588,1707,81984,140,42,21,7,8,12,13,7,3,664,915,122273,42387,33272,7626,7571,8205,9559,4375,1528,6133,242937
SOSR303,7498,1639,2055,2712,3921,1354,284,785,37261,50,12,17,3,4,9,5,5,3,194,302,36619,13951,11700,2327,2781,3478,4801,1796,511,2007,79970
SOSR311,2901,676,769,830,1257,562,201,286,13646,30,9,5,0,0,0,7,6,0,89,147,17880,6090,4777,986,1079,1104,1707,843,299,1094,35860
SOSR312,981,201,212,185,230,86,32,84,4081,16,3,0,0,0,0,0,0,0,50,70,8986,2175,1977,356,359,319,395,156,55,543,15326
SOSR313,1585,357,388,459,727,303,130,162,7535,15,9,0,0,0,3,0,3,0,28,59,10968,3820,3239,602,655,731,1031,477,228,597,22343
SOSR314,1562,415,488,735,1243,429,272,296,9424,22,4,4,0,0,3,12,0,3,54,103,13152,3908,3076,650,717,1009,1574,593,342,854,25879
SOSR315,1478,391,408,572,1026,438,158,315,8926,31,10,5,0,0,0,5,0,0,244,289,20969,4393,3381,697,654,822,1378,612,236,1522,34656
SOSR321,414,85,101,114,144,77,39,80,2551,15,0,0,0,0,0,5,0,11,49,76,8504,1479,990,191,204,207,261,144,70,479,12534
SOSR322,149,44,28,49,78,35,8,62,990,8,0,0,4,0,0,0,0,0,11,23,3470,478,346,86,71,80,134,60,20,236,4984
SOSR331,1492,354,351,438,878,412,235,432,11737,50,5,4,0,0,0,12,0,0,362,443,36977,6832,4135,722,716,787,1325,651,333,2475,54966
SOSR379,0,6,8,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,8,4,12,3,0,4,48
SOSR401,39837,10996,11612,13689,16784,6870,1225,3727,214548,224,40,34,16,9,12,25,23,0,517,896,170111,57576,50468,12889,13484,15920,19266,8289,1720,7674,357402
SOSR412,900,198,210,271,255,100,44,118,4225,15,0,0,0,0,0,0,0,0,18,43,9574,1859,1527,293,297,361,327,161,79,473,14947
SOSR413,710,177,257,206,282,147,36,70,3591,14,0,0,0,0,0,0,0,0,141,161,7658,1300,1167,244,323,291,375,184,56,488,12092
SOSR414,281,84,105,71,119,36,16,40,1212,9,0,0,0,0,0,0,0,0,7,18,3112,460,463,104,132,102,146,56,29,191,4791
SOSR415,798,215,232,253,368,178,54,160,4368,28,0,0,3,0,0,0,0,3,22,58,9864,1743,1378,305,308,316,455,225,73,597,15267
SOSR421,147,48,30,52,96,65,17,12,695,11,0,0,0,0,0,0,0,0,5,20,2421,272,247,65,51,72,120,67,15,133,3468
SOSR422,39,15,21,17,24,9,3,13,331,4,0,0,0,0,0,0,0,0,0,7,1599,171,98,19,40,23,25,13,10,95,2097
SOSR431,524,139,146,156,268,118,37,174,4238,17,0,0,0,0,0,0,0,0,130,149,12056,1686,1110,240,241,267,377,179,59,821,17035
SOSR479,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,4,0,0,0,0,0,17
SOSR501,73246,14235,13049,14952,19158,8269,1862,5867,337379,342,103,92,23,19,21,28,20,6,1266,1921,346886,146607,124983,20026,18148,20172,25097,11657,3349,14525,731454
SOSR511,1296,204,243,223,293,131,44,76,4796,10,0,0,0,3,0,0,0,0,83,101,7349,3034,2439,313,346,333,421,213,70,402,14919
SOSR512,1985,365,347,394,479,223,157,121,7616,31,9,0,0,0,0,3,0,0,145,190,11514,4231,3686,552,543,624,724,351,213,688,23137
SOSR513,1378,284,238,288,490,206,60,114,5422,21,5,3,0,0,4,7,0,0,35,67,6686,3623,3152,458,384,458,710,329,106,419,16332
SOSR514,334,62,60,64,89,55,12,88,1353,9,0,0,0,0,0,0,0,0,17,28,2887,740,736,117,90,106,163,90,23,213,5183
SOSR515,1105,277,224,327,494,205,129,207,5277,29,5,4,0,0,0,9,0,0,61,115,10194,2749,2239,422,364,471,697,303,184,773,18398
SOSR521,372,73,70,107,148,72,58,49,1637,19,6,0,0,0,0,0,0,0,16,32,3941,876,827,139,125,169,211,106,75,306,6786
SOSR522,139,30,18,41,72,21,17,18,640,9,0,0,0,0,0,0,0,0,21,33,2185,378,335,79,50,69,122,38,29,148,3439
SOSR531,1495,196,251,353,620,233,118,238,8128,71,18,15,0,0,0,4,3,0,809,933,23092,5634,3808,455,443,636,1095,390,218,1989,37753
SOSR579,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
SOSR603,7433,2694,2604,2339,2062,699,107,427,25036,28,0,6,6,3,0,5,3,0,80,140,14870,4569,8767,3035,2876,2669,2366,842,172,952,41122
SOSR611,2055,843,827,779,749,295,60,110,7568,12,3,0,4,4,0,0,0,0,20,40,5105,1438,2461,921,927,875,835,348,66,296,13278
