SOSR_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOSR101,30469,28801,59269,12327,15374,27703,620,289,909,649,559,1207,1621,1627,3246,429946,285193,715130,20282,35899,56179,10684,165,10854,8053,1042,9096,6624,1986,8605,6169,4188,10360,24459,27590,52052,551894,402715,954604,9757,11883,21640,100,81,186,396,456,854,3367,1958,5326,675,1353,2028,899,511,1408,15201,16238,31437,99,78,180,241,257,498,651,509,1163,423,1012,1439,399,452,851,1825,2305,4127,4750,2735,7480,21773,21274,43042,3016,3167,6182,268,293,564,177,79,255,3459,3545,7000,415994,457984,873974,132957,159399,292359,5208,3817,9024,1131287,1048730,2180010
SOSR102,1346,738,2081,1357,1890,3252,57,30,90,41,35,78,211,221,431,141746,112216,253962,7150,8939,16089,2962,72,3031,1675,214,1890,1563,524,2087,942,660,1603,3557,4185,7740,162613,129719,292329,323,242,565,5,7,8,17,8,21,464,179,642,74,62,139,81,31,112,959,528,1484,10,6,16,5,10,12,101,115,211,118,242,360,48,76,124,281,444,725,1410,731,2143,2653,1703,4359,176,121,296,49,62,110,55,20,73,273,205,478,46961,62492,109449,28780,44317,73098,973,848,1820,242252,239277,481533
SOSR111,97,64,165,140,181,323,14,3,21,0,0,0,62,71,139,30864,26568,57435,1815,2115,3924,526,7,533,327,40,366,343,98,439,173,104,281,731,869,1594,35101,30125,65224,15,18,33,0,0,0,6,7,12,29,11,40,6,7,10,20,5,24,69,48,118,0,0,0,0,0,0,11,6,20,11,28,40,6,4,6,25,37,64,273,161,440,368,244,618,23,19,40,0,3,9,18,5,21,41,28,71,4511,6917,11432,4388,7169,11558,200,161,362,44615,44645,89264
SOSR112,189,126,320,414,322,740,38,33,74,8,0,9,213,324,537,78106,69181,147285,5852,6883,12733,1697,59,1755,838,94,930,681,207,886,460,322,785,2999,3147,6145,91497,80690,172188,20,29,46,0,0,0,0,0,0,39,24,65,9,6,21,23,6,28,95,66,163,0,0,0,0,0,0,45,30,69,26,40,62,15,29,41,83,95,176,770,477,1243,951,633,1585,30,22,47,8,17,28,47,10,55,84,45,129,11915,16492,28405,10621,16685,27301,619,552,1170,115683,115094,230780
SOSR113,35,17,47,110,132,251,13,7,20,3,0,3,67,76,142,31822,27399,59222,2177,2389,4560,779,17,801,339,35,378,482,203,685,213,147,364,1385,1488,2872,37428,31912,69339,3,4,9,0,0,0,0,0,0,19,7,23,5,0,6,5,8,14,35,19,50,0,0,0,0,5,5,14,8,23,17,21,40,6,0,8,34,32,72,356,212,569,425,266,693,9,5,17,3,0,7,14,14,27,27,20,42,4658,6913,11575,5274,7471,12743,355,294,646,48171,46874,95045
SOSR114,86,56,146,315,184,498,12,6,16,0,0,0,66,64,124,38137,33390,71529,2746,2886,5623,1084,50,1131,384,41,424,368,123,491,264,156,416,1646,1897,3542,45102,38841,83943,12,9,24,0,0,0,0,0,0,30,13,48,3,4,7,3,0,5,58,32,85,0,0,0,0,0,0,33,21,50,11,21,34,12,5,11,57,48,107,391,193,587,511,269,779,6,5,11,4,0,6,17,10,21,23,20,40,4867,7512,12374,4770,7727,12496,394,307,706,55659,54678,110339
SOSR115,105,54,158,421,252,675,18,11,23,10,5,6,23,31,56,50542,43422,93962,3366,3296,6662,1861,60,1915,396,50,442,447,186,636,419,242,657,2812,3285,6093,60406,50898,111299,8,10,14,3,0,5,0,0,0,57,36,98,5,13,20,5,0,8,80,55,141,0,0,0,0,0,0,35,19,53,41,32,72,4,7,11,80,58,140,562,232,794,722,344,1072,16,11,31,8,6,11,19,5,25,46,23,69,8319,12538,20852,7591,11381,18974,561,515,1074,77649,75695,153340
SOSR121,36,19,58,50,42,96,3,0,4,0,0,5,10,5,8,14081,12051,26134,804,786,1596,639,15,653,98,17,117,93,42,137,94,55,152,589,657,1245,16506,13692,30197,0,6,6,0,0,0,0,0,0,19,15,32,0,9,6,0,0,0,18,25,44,0,0,0,0,0,0,7,8,11,3,10,10,0,0,3,12,13,25,186,77,264,216,114,329,3,5,9,0,0,4,0,0,5,5,6,15,2697,3811,6506,2123,3154,5274,175,148,326,21719,20930,42648
SOSR122,10,17,25,81,33,114,3,4,9,0,0,0,19,0,19,6744,5656,12397,393,400,795,305,10,315,57,8,64,44,20,62,124,52,174,612,626,1235,8388,6818,15202,4,0,6,0,0,0,0,0,0,7,5,16,0,0,5,0,5,4,21,12,25,0,0,0,0,0,0,9,0,11,9,0,11,0,0,0,12,5,15,89,56,140,117,66,185,0,0,0,0,0,3,5,0,5,10,0,8,1349,1844,3195,1222,1678,2904,110,64,179,11191,10477,21669
SOSR131,98,78,177,340,246,585,24,6,29,5,0,10,21,10,32,81385,68760,150148,4238,4482,8724,5275,151,5428,1011,182,1194,302,97,399,1736,682,2423,6030,3496,9525,100468,78189,178661,14,10,25,3,0,0,0,0,0,82,63,141,17,8,23,3,4,9,119,83,205,0,0,4,0,0,3,53,31,85,27,39,67,7,11,22,100,84,179,1145,439,1584,1359,606,1963,20,19,37,10,11,27,112,24,139,149,53,205,29654,32517,62172,12112,17046,29162,1422,1188,2614,145170,129601,274771
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,29,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,35
