SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR501,18644,17149,35790,62036,58278,120313,14171,14094,28266,11781,11645,23424,88132,84172,172303,40192,37390,77583,14824,14616,29443,15475,15243,30719,70573,67343,137919,4769,4503,9268,3849,6505,10356,5943,3475,9416,6630,11711,18340,92,89,181,21277,26284,47555,22063,28262,50319,8821,11621,20437,3661,4581,8239,8441,14098,22536,99,121,220,43079,58680,101755,64472,85087,149559,3084,3371,6458,5149,8039,13192,97,97,194,8335,11507,19842,43858,42321,86176,2636,2568,5203,296648,310142,606795
SOSR511,704,644,1343,2438,2214,4650,503,517,1017,466,393,865,3416,3130,6544,1787,1839,3626,547,560,1104,423,429,857,2751,2831,5585,137,132,275,78,195,278,311,167,478,209,459,666,6,3,7,738,964,1712,92,250,336,78,218,298,28,82,117,178,417,597,0,4,0,376,969,1349,1122,1938,3058,71,82,155,161,236,405,4,0,4,241,322,564,2231,1715,3940,43,49,92,10499,10628,21131
SOSR512,1049,1010,2060,3333,3018,6348,931,952,1875,697,765,1461,4966,4745,9713,2438,2293,4727,942,1038,1981,674,725,1404,4068,4064,8128,197,208,403,113,248,355,495,309,806,450,902,1355,5,6,16,1267,1671,2937,170,299,467,155,292,444,50,121,171,267,749,1021,4,0,10,649,1466,2119,1915,3142,5064,120,115,235,263,404,664,6,5,12,388,526,914,5355,4395,9746,111,94,209,17862,17974,35841
SOSR513,650,646,1295,2822,2747,5573,515,434,948,236,231,463,3572,3419,6994,1736,1646,3382,326,338,664,182,168,358,2254,2153,4412,92,86,177,82,101,179,206,153,359,321,588,906,5,6,11,706,925,1634,70,195,260,69,213,281,29,66,93,222,479,706,3,4,7,395,959,1352,1105,1886,2991,75,83,156,139,237,368,0,0,0,212,314,528,7026,4923,11951,206,135,346,15019,13485,28506
SOSR514,224,246,475,886,791,1672,333,309,641,87,107,195,1301,1205,2512,689,606,1295,191,204,396,75,103,182,953,918,1871,29,26,56,15,56,69,90,54,150,88,191,282,0,0,0,231,328,563,20,50,71,21,70,88,4,17,25,42,152,196,0,4,4,96,289,385,327,624,951,23,28,59,42,103,143,0,0,0,71,132,206,1146,1089,2240,62,20,83,4089,4231,8323
SOSR515,802,742,1541,3115,2858,5969,661,632,1295,322,337,656,4095,3827,7927,2225,1992,4217,354,383,736,256,276,529,2839,2650,5482,117,93,216,59,137,201,264,202,463,265,606,873,4,0,8,718,1036,1763,68,163,228,68,193,257,36,90,126,202,489,688,5,0,3,375,934,1308,1094,1971,3069,70,79,153,132,251,382,0,5,5,209,335,536,5915,5082,10998,327,161,490,15282,14765,30048
SOSR521,294,250,539,1207,1088,2297,181,191,368,125,123,248,1514,1399,2915,740,719,1456,109,108,220,122,135,262,975,965,1942,35,43,76,15,43,58,83,49,132,86,189,276,3,6,5,230,324,554,18,52,68,29,69,98,12,20,29,62,180,238,0,0,4,130,317,446,358,640,1004,38,47,84,55,80,131,8,3,15,102,129,232,3229,2437,5667,53,69,120,6524,5891,12414
SOSR522,169,171,333,732,695,1424,154,138,293,80,89,168,966,918,1891,371,397,767,69,79,153,55,69,123,504,545,1046,11,32,48,14,24,36,50,22,78,43,93,134,0,0,0,113,175,290,18,26,49,14,31,48,8,13,19,34,87,121,0,0,0,69,165,235,184,339,524,16,8,31,10,47,56,0,0,3,27,64,86,1525,1272,2795,28,48,77,3399,3355,6751
SOSR531,1083,1039,2118,4338,3883,8223,1083,1058,2140,1066,971,2039,6489,5922,12410,2784,2565,5346,857,889,1743,1231,1213,2441,4872,4671,9541,239,204,450,103,174,280,578,268,850,501,811,1316,14,10,19,1440,1472,2906,389,628,1013,153,332,490,101,191,297,463,822,1284,3,0,9,1120,1972,3088,2554,3448,6003,154,158,312,242,396,639,5,4,11,402,562,962,24439,9080,33519,503,262,774,40348,24974,65319
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
