SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR703,1234,1181,2420,4165,3931,8097,648,651,1293,688,735,1420,5502,5330,10826,2426,2433,4867,677,650,1324,650,674,1327,3764,3753,7515,171,137,302,320,339,654,236,216,447,583,950,1534,4,10,15,1312,1649,2959,630,935,1567,805,1235,2043,214,327,541,944,1893,2835,8,11,19,2604,4404,6999,3921,6060,9977,347,359,704,338,629,963,4,9,14,694,992,1687,8105,6752,14858,2054,530,2586,25271,24600,49865
SOSR712,271,207,477,819,741,1560,205,208,412,216,219,429,1250,1166,2413,280,282,559,168,173,344,326,290,616,776,749,1522,19,9,21,32,36,75,47,36,83,128,192,316,4,0,8,229,272,505,31,69,96,61,146,208,16,44,59,226,420,654,3,0,3,332,679,1014,567,957,1520,53,44,102,60,126,179,0,3,6,112,178,295,1253,1286,2541,55,50,101,4285,4592,8870
SOSR714,45,43,92,262,250,513,26,29,53,5,7,12,289,280,574,136,119,255,31,32,60,6,3,9,176,155,328,6,4,8,16,12,23,9,7,18,20,45,64,0,0,0,49,66,112,4,16,19,24,28,52,7,18,19,29,68,98,0,0,0,63,121,188,112,190,301,10,12,20,18,13,34,0,0,0,24,25,52,597,576,1169,20,11,29,1268,1278,2547
SOSR715,175,157,335,819,714,1529,199,178,378,58,63,122,1082,952,2034,476,437,911,77,89,158,22,18,46,574,542,1115,3,5,13,4,3,10,11,9,21,41,47,90,0,0,4,65,70,132,9,23,32,13,34,51,6,8,12,62,110,176,4,0,6,88,180,272,153,248,402,14,17,27,26,32,60,4,5,5,45,48,95,1167,938,2107,15,28,42,3210,2922,6129
SOSR721,135,144,282,651,601,1249,64,66,129,21,22,39,734,687,1420,274,305,575,38,28,68,34,27,56,340,357,698,3,6,12,5,5,16,16,5,21,37,52,88,0,0,0,61,75,134,0,13,13,11,24,33,9,11,15,31,96,131,0,0,0,47,145,189,110,218,321,15,17,35,22,27,45,0,0,0,36,43,83,630,560,1189,28,33,65,2017,2044,4060
SOSR722,121,111,230,695,593,1289,62,64,126,27,22,46,779,680,1462,249,220,470,30,39,63,37,30,67,318,288,602,3,7,9,3,7,15,4,3,3,23,33,54,0,5,5,31,52,78,0,9,8,9,12,23,0,8,8,36,59,100,0,0,0,51,86,134,77,138,214,4,8,14,3,12,18,0,0,0,7,21,33,715,696,1413,9,8,17,2030,1938,3968
SOSR731,286,255,540,1347,1267,2612,136,146,280,191,198,393,1678,1610,3287,638,638,1274,118,120,236,229,205,443,981,967,1948,22,16,34,15,25,42,102,52,157,124,161,287,5,0,3,265,251,520,36,77,116,27,98,125,28,76,106,114,334,448,0,0,0,209,585,795,477,835,1312,32,30,64,40,88,132,6,3,10,78,118,201,4989,2987,7977,246,101,345,8735,6882,15620
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,3,0,9,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,135,19,151,12,7,17,154,19,172
SOSR802,4585,4213,8804,12902,11984,24886,4494,4172,8663,2165,2259,4425,19581,18445,38025,8441,7710,16154,3631,3447,7079,2215,2412,4631,14302,13590,27895,726,670,1403,1078,1145,2220,1571,954,2524,2463,3216,5681,18,14,28,5857,5995,11856,7755,9229,16982,3202,3517,6717,1148,1486,2632,4229,5867,10092,30,28,62,16361,20125,36490,22249,26147,48395,1022,939,1958,1633,2096,3733,11,18,30,2669,3056,5720,9183,8306,17491,547,595,1151,73129,74356,147480
SOSR822,6,10,17,21,6,35,10,11,20,9,7,12,36,26,62,6,7,11,14,13,24,7,7,15,33,26,56,0,5,5,0,0,0,3,0,6,5,8,9,0,0,0,7,9,20,5,4,8,5,0,3,0,0,0,0,4,10,0,0,0,13,12,24,19,24,40,0,4,0,0,0,0,0,0,0,0,3,0,14,15,25,0,0,0,106,104,207
SOSR831,7,3,8,6,13,14,6,3,11,0,0,5,16,19,31,10,3,10,5,9,9,0,9,10,16,17,35,0,0,0,0,0,0,0,5,7,6,5,3,0,0,0,4,11,13,10,9,14,4,6,6,0,0,0,5,8,14,0,0,0,12,24,35,21,30,49,43,12,57,0,0,3,0,0,0,45,11,60,60,42,96,0,0,0,155,123,277
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,14,10,23,63,54,118,0,0,0,0,0,0,63,54,118,36,49,78,0,0,0,0,0,0,34,49,81,0,0,0,4,0,4,3,3,5,7,6,16,0,0,0,20,8,29,0,0,0,0,3,3,0,0,0,7,3,9,0,0,0,7,8,12,22,21,44,0,0,0,0,3,3,0,0,0,3,3,7,221,169,384,5,0,6,363,301,663
SOSR921,15,12,32,53,62,111,0,0,0,0,0,0,53,62,113,43,41,84,0,0,0,0,0,0,43,42,90,0,0,0,0,0,0,8,5,11,0,11,12,0,0,0,14,15,28,0,9,8,0,5,5,0,0,0,4,8,10,0,0,0,9,15,27,22,35,56,0,0,0,4,3,8,0,0,0,3,7,9,117,110,223,5,3,8,256,276,529
SOSR922,7,5,14,37,35,72,0,0,0,0,0,0,42,35,74,23,14,31,0,4,3,0,0,0,20,16,31,3,0,3,0,0,0,0,3,3,4,0,5,0,0,0,9,9,14,0,0,4,3,0,3,0,0,0,8,5,15,0,0,0,10,12,22,16,17,31,0,0,0,0,0,0,0,0,0,3,0,3,89,79,174,3,5,3,176,154,335
SOSR931,13,4,11,31,23,47,0,0,0,0,0,0,31,23,47,16,16,27,0,0,0,0,0,0,16,16,27,0,0,0,0,0,0,3,0,0,0,3,11,0,0,0,6,9,14,0,0,0,0,3,5,0,4,3,0,3,5,0,0,3,7,8,14,13,17,23,0,0,0,0,0,0,0,0,0,0,0,0,283,58,351,4,0,5,350,117,472
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
