SOSR_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SOSR101,77830,152110,77015,50182,125277,23886,2373,508680,48394,96056,60032,40968,110447,19062,2206,377161,27667,45281,27637,19621,75162,16914,639,212920,10881,12466,6039,3939,43130,15520,171,92147,726629,987133,439318,318198,1111710,233122,12016,3828123
SOSR102,21233,42940,20829,12425,27291,5333,182,130240,13215,29157,19994,13827,30999,5628,189,113009,8076,14290,9659,7796,25281,6027,68,71194,3312,3932,2015,1444,14404,5360,21,30484,169779,243254,113234,77639,212194,48477,992,865569
SOSR111,3907,7364,3383,1872,4927,1045,31,22528,2430,5149,3623,2383,5517,953,20,20073,1285,2379,1683,1379,4282,1011,11,12026,538,645,358,255,2215,714,5,4735,30419,43636,20097,13496,39376,8995,206,156240
SOSR112,10700,20505,9411,5469,13597,3496,108,63281,7035,15348,10139,6955,15986,3327,68,58849,4177,7712,5309,4265,13377,3280,43,38158,1730,2153,1101,858,8138,2511,7,16495,80058,115923,53412,36926,110732,33248,810,431111
SOSR113,4908,9745,4774,2931,6949,1773,27,31109,3447,7783,5242,3745,8553,1723,27,30508,1969,3694,2528,2273,6841,1633,14,18958,805,993,514,371,3970,1151,0,7795,34100,51201,24555,18036,51251,14930,287,194354
SOSR114,5604,10713,5008,3031,7189,2085,48,33682,3942,8359,5701,4272,9071,2062,37,33452,2418,4308,3081,2551,7687,1909,21,21974,976,1117,625,520,4629,1216,8,9082,38750,57480,27609,20207,54937,16436,326,215749
SOSR115,8056,16776,8477,5105,10328,3265,60,52059,5984,13473,9535,7198,13051,3384,29,52658,3134,5997,4397,4016,10578,2898,23,31054,1187,1482,800,664,5973,1689,4,11799,53430,83241,42092,30991,73045,24194,487,307478
SOSR121,2258,4912,2562,1672,2739,815,11,14965,1628,3481,2701,2100,3303,868,10,14091,750,1362,1043,966,2133,616,9,6863,263,255,163,153,879,345,0,2060,14662,22628,12082,8885,17170,5707,108,81247
SOSR122,1357,2745,1398,1012,1645,785,12,8956,821,1814,1342,1119,1995,733,6,7832,373,633,501,516,1227,386,0,3638,119,138,81,68,439,142,5,998,7345,11460,6036,4825,9813,4476,121,44076
SOSR131,14104,29520,17042,12424,14343,7625,79,95131,8964,18747,14436,13551,15265,6352,62,77380,3889,6716,5199,5635,9102,3433,20,33997,1086,1307,712,741,3330,1068,10,8247,85909,129391,71376,58298,86991,43542,853,476377
SOSR179,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
SOSR201,81377,154691,70519,42409,114998,20437,2111,486538,48392,96277,58957,38904,106146,16806,1886,367372,27467,45957,29411,21025,78258,14878,589,217571,11134,13270,6580,4451,48458,11246,145,95291,766550,1011734,418313,285604,1053749,204054,10153,3750163
SOSR203,7472,14040,6682,3761,9425,1993,54,43437,4495,9572,6448,4672,10389,1911,61,37544,2454,4426,3162,2669,7888,1847,15,22463,1101,1296,727,591,5068,1371,4,10160,63283,88773,38966,27074,77980,18178,353,314605
SOSR211,1601,2978,1513,963,3123,576,47,10801,1028,2018,1289,1033,3095,460,54,8978,458,740,479,413,1728,302,8,4127,133,156,73,59,712,106,0,1245,15424,20836,9412,7945,27097,5926,175,86814
