SOSR_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOSR603,64937,163938,3235,5414,2576,5194,5817,10602,6284,11225,1118,1868,634,1113,31,47,142,285,8214,14538,76,114,96,158,101,96,179,402,446,766,200,368,79611,190215,5336,..,84947,190215
SOSR611,26998,66327,2441,4055,941,1987,3376,6039,2745,4318,118,194,36,50,11,26,119,229,3024,4805,9,10,4,9,55,66,108,185,172,272,85,151,33667,77589,2508,..,36178,77589
SOSR612,16890,39486,1805,2617,325,499,2132,3122,89,130,46,55,50,80,0,0,4,15,190,274,99,137,81,144,51,53,33,74,263,415,25,48,19493,43340,1544,..,21036,43340
SOSR613,4782,11041,622,877,29,54,647,927,23,23,0,0,0,0,0,0,11,22,31,43,53,75,36,55,0,0,19,37,108,169,8,14,5573,12199,367,..,5941,12199
SOSR614,6588,15393,361,495,38,62,403,553,80,134,0,0,0,0,0,0,5,4,81,137,47,60,9,26,0,8,15,32,70,128,7,15,7154,16222,746,..,7903,16222
SOSR615,25252,58638,1342,1929,150,334,1494,2265,645,1000,0,0,0,0,0,0,17,33,663,1036,202,319,80,129,17,34,87,187,389,671,69,147,27870,62758,3445,..,31317,62758
SOSR621,8943,20281,238,313,43,96,278,406,84,128,6,4,0,0,0,0,3,9,95,142,104,165,37,78,7,13,34,67,185,315,54,95,9549,21244,3019,..,12565,21244
SOSR622,3902,8626,44,67,0,0,46,71,26,36,0,0,0,0,0,0,3,4,27,40,20,32,28,47,11,9,12,19,71,109,25,55,4077,8898,1576,..,5654,8898
SOSR631,41506,102565,144,334,42,89,182,423,55,105,0,0,0,0,0,0,28,65,84,166,264,467,149,269,66,115,25,72,504,918,157,285,42432,104364,10634,..,53067,104364
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
