SOSR_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR101,48265,107196,281280,261787,218295,145488,36104,3594,288,1102284,72635,36040,75943,79229,72121,103027,151628,101716,45831,738169,5185,7928,22085,17507,12434,10057,9044,9065,10279,103570,126078,151162,379308,358518,302842,258573,196780,114371,56401,1944031,10626,80354,348184,350530,285777,175016,34686,2545,148,1287861,48757,80982,129857,126910,105954,87711,36767,6228,497,623663,21465,33202,55748,44288,34024,30528,10066,1315,124,230754,1326,4663,12282,8723,5486,3684,1146,328,102,37737,82181,199193,546071,530444,431243,296941,82665,10406,862,2180010,2736,9006,18572,14876,12603,9356,1332,63,9,68547,10520,10169,9928,6717,5429,5582,1732,187,21,50279,13258,19173,28500,21588,18023,14938,3059,254,23,118821,95436,218371,574573,552039,449268,311876,85722,10661,892,2298836,154126,76140,130435,124109,119018,173073,271622,185350,75656,1309533,11021,17483,45934,36523,26124,21355,17612,16262,15429,207744,260587,311994,750942,712667,594413,506304,374958,212276,91978,3816113
SOSR102,17925,25396,52630,52717,52857,38955,8329,721,62,249590,10634,5372,11194,11272,12698,26472,48767,34683,15602,176694,1291,1496,3178,2815,2390,2359,2725,3264,3441,22960,29852,32267,67003,66799,67947,67789,59820,38662,19106,449243,5545,20722,61811,62854,64915,42388,6508,402,17,265156,19647,20614,29637,31719,29384,27250,9439,1244,87,169013,4666,5325,9572,7013,5952,6001,1845,212,32,40617,452,863,1856,1321,1131,748,230,108,39,6753,30304,47526,102873,102906,101384,76383,18015,1966,176,481533,1242,2146,2954,2151,2365,1821,219,16,7,12917,3332,1767,1612,1283,1179,1335,398,33,6,10943,4571,3910,4573,3431,3537,3158,620,52,10,23861,34878,51435,107443,106337,104923,79537,18634,2022,187,505395,23661,10819,17923,17636,21761,45688,89086,63493,25145,315202,2659,3143,6574,5766,5166,4832,5100,5618,5130,43980,61192,65391,131936,129740,131842,130060,112821,71128,30464,864580
SOSR111,3655,4457,10352,9936,9579,7115,1552,128,12,46794,1882,1001,2379,2121,2163,4338,8624,5979,2514,31001,248,272,689,603,446,470,459,558,461,4217,5780,5735,13427,12664,12191,11927,10631,6664,2988,82006,1284,4437,12587,12206,11853,7892,1287,73,3,51627,4237,3342,6023,5939,5235,4882,1927,214,14,31815,496,403,1217,765,660,696,230,28,6,4496,94,178,365,248,185,159,45,26,13,1318,6115,8361,20193,19169,17925,13630,3492,345,34,89264,292,399,587,458,452,349,42,0,0,2592,641,302,335,294,240,259,79,5,0,2153,934,701,924,758,698,610,125,5,3,4744,7049,9059,21121,19920,18620,14240,3611,348,34,94008,4017,1754,3486,3267,3720,7311,15587,10738,3988,53860,538,543,1401,1240,1007,945,859,931,704,8164,11602,11362,26005,24423,23346,22498,20052,12016,4732,156032
SOSR112,8823,11370,26135,23954,24214,19821,5260,554,44,120181,5522,3020,6415,5260,5814,11884,24383,18636,8690,89623,1072,1078,2173,1825,1608,1436,1561,1772,1582,14109,15421,15465,34721,31037,31639,33148,31199,20961,10322,223909,3727,11494,32444,29900,30461,22403,4316,324,29,135093,10289,8010,14509,13735,12875,13308,6073,1000,67,79871,1136,1191,3078,1964,1706,2056,776,111,19,12039,315,519,987,663,546,428,184,96,32,3769,15463,21218,51018,46267,45593,38194,11353,1534,144,230780,675,1032,1505,1096,1096,874,121,5,0,6404,1412,813,849,650,561,676,230,26,9,5232,2086,1844,2359,1745,1661,1549,345,31,8,11637,17549,23062,53370,48011,47254,39745,11698,1566,155,242415,11860,5821,10933,9367,10683,20442,44115,33493,13920,160628,2134,2220,4421,3661,3399,2988,2964,3057,2413,27252,31541,31103,68721,61035,61336,63176,58778,38116,16486,430296
SOSR113,3565,4169,10126,9911,10382,8845,2081,197,16,49297,2153,1115,2861,2625,3090,6589,12952,9121,4155,44661,352,392,976,812,763,738,763,848,774,6425,6067,5670,13967,13349,14237,16171,15800,10173,4943,100380,1464,4274,11591,11443,12313,9190,1663,132,7,52076,4117,3038,6274,6250,6174,6529,2575,360,24,35339,578,442,1347,937,879,1067,376,36,11,5675,161,216,509,375,303,255,85,44,9,1956,6314,7962,19725,19006,19666,17047,4699,575,50,95045,376,497,722,587,579,479,55,5,4,3297,586,310,374,294,300,364,111,6,0,2342,968,807,1098,875,878,839,161,12,4,5645,7279,8772,20824,19887,20544,17884,4860,587,50,100685,4817,2097,4630,4397,5485,11615,24104,16859,6630,80640,820,835,1979,1734,1663,1583,1521,1495,1113,12742,12915,11708,27437,26015,27695,31080,30482,18942,7795,194069
SOSR114,4032,5134,11699,11528,11771,10176,2515,272,32,57149,2558,1256,2843,2577,2797,6400,13902,10566,4837,47737,442,445,1103,967,864,940,932,1000,723,7408,7030,6835,15643,15076,15427,17520,17340,11841,5588,112298,1835,5476,14359,14161,14590,10914,2166,210,12,63722,4631,3388,6447,6704,6480,7208,2965,513,57,38399,530,543,1602,1019,920,1151,384,56,6,6217,168,223,469,356,303,300,112,56,20,2008,7175,9626,22878,22239,22289,19576,5628,834,99,110339,315,470,682,515,534,483,68,5,0,3069,548,298,381,289,291,370,116,15,3,2307,863,769,1060,802,822,855,182,19,7,5377,8039,10399,23936,23036,23111,20430,5807,854,102,115718,5370,2120,4218,4025,4972,11268,25676,19412,7853,84905,891,1003,2268,2075,1899,1935,1929,1691,1125,14801,14300,13517,30421,29134,29977,33634,33407,21953,9076,215422
SOSR115,5444,6181,15019,15679,17029,15304,3892,376,38,78960,3593,1485,3658,3446,4035,10434,21204,14344,6203,68400,626,587,1407,1405,1359,1390,1552,1484,1036,10845,9659,8252,20091,20532,22416,27136,26648,16202,7276,158203,2746,6697,17821,18367,20353,15710,3197,275,25,85199,5949,4397,8812,9702,9736,11398,4754,705,43,55503,865,802,2098,1636,1480,1895,694,91,12,9573,274,328,681,537,522,460,172,71,33,3069,9833,12218,29412,30236,32094,29463,8827,1144,112,153340,407,592,818,684,807,718,107,4,0,4134,686,368,481,370,489,607,173,15,3,3194,1096,953,1297,1057,1297,1323,278,19,10,7328,10933,13170,30709,31299,33388,30786,9099,1165,116,160669,7678,2682,5635,5657,7253,18241,40464,27188,10081,124877,1349,1298,2896,2787,2812,2980,3062,2674,1601,21456,19960,17151,39239,39737,43456,52004,52628,31035,11794,306994
SOSR121,1599,1531,3603,4342,5147,4343,1101,107,20,21800,1105,380,935,901,1200,2926,5443,2986,977,16851,161,148,334,359,314,379,390,304,191,2575,2869,2059,4872,5604,6661,7646,6938,3394,1179,41225,692,1580,4201,5146,6105,4592,928,89,7,23349,1826,1189,2190,2654,3100,3323,1362,192,13,15849,260,217,471,418,448,565,217,23,0,2620,74,80,173,143,151,126,56,14,5,826,2855,3062,7035,8365,9810,8608,2563,322,28,42648,107,149,187,152,206,207,25,6,0,1042,210,83,124,121,115,187,52,3,0,907,318,232,313,267,319,399,81,6,0,1949,3169,3300,7355,8635,10129,9007,2643,327,30,44592,2312,678,1430,1436,2023,5174,10619,5965,1705,31341,341,301,682,710,678,776,820,566,327,5202,5829,4279,9460,10782,12827,14956,14085,6863,2060,81135
SOSR122,640,815,1771,2044,2506,2475,592,62,0,10912,514,223,508,469,716,1638,2875,1457,482,8885,134,109,251,262,306,324,316,181,70,1955,1289,1146,2536,2774,3521,4429,3781,1703,560,21751,300,864,2107,2451,3026,2608,528,50,5,11948,725,618,1131,1252,1466,1831,714,117,10,7854,126,104,257,212,238,361,105,18,0,1424,27,33,78,91,84,88,40,8,3,454,1180,1622,3568,4009,4814,4888,1382,189,18,21669,58,87,126,92,126,176,25,0,0,686,74,41,46,45,53,100,28,0,0,390,131,128,175,142,181,272,53,0,0,1078,1310,1748,3741,4148,4995,5163,1435,189,18,22753,1115,390,774,763,1299,3037,5733,3064,855,17028,292,215,527,557,675,746,659,384,121,4174,2717,2353,5049,5469,6971,8944,7825,3634,992,43955
SOSR131,9270,9261,18604,24244,32531,28402,9391,1767,191,133644,7008,2120,4824,5075,6589,14867,23796,12271,3526,80079,1190,971,1979,2506,3029,3292,2637,1540,561,17706,17467,12349,25400,31819,42148,46562,35829,15570,4270,231426,5432,11043,22977,29693,41612,34114,11238,2247,213,158559,10214,6288,10623,14410,18201,20743,10284,2391,314,93468,1742,1496,2846,2461,2891,3341,1340,267,47,16421,637,542,927,981,1174,1058,548,379,81,6327,18019,19368,37367,47543,63876,59257,23407,5288,652,274771,436,642,937,781,1041,1086,146,5,0,5087,1020,418,519,498,570,821,246,24,5,4125,1462,1068,1457,1279,1616,1908,393,30,5,9209,19476,20433,38827,48819,65489,61163,23806,5320,656,283980,14866,4199,8214,8616,11699,26817,47711,25460,6549,154129,2630,2177,4162,5057,6277,7074,5803,3198,1030,37405,36968,26815,51196,62494,83466,95058,77313,33977,8238,475521
SOSR179,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,16,7,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
SOSR201,60800,115481,292902,266989,228590,149659,35248,3281,237,1153183,58383,27981,61749,65553,59415,91502,151386,107749,51328,675038,4582,6942,19373,15127,11113,8593,8119,7749,7115,88713,123763,150397,374015,347669,299119,249754,194757,118783,58676,1916937,11119,85279,381620,364679,305209,187012,34506,2349,123,1371895,72129,110473,154767,147308,125143,101761,41256,6413,413,759662,10568,14077,28978,21828,13491,13169,4999,773,92,107972,1396,4746,11912,8268,5489,3425,1115,364,132,36859,95218,214569,577283,542081,449335,305383,81875,9898,756,2276394,2744,9411,18526,13548,11888,8354,1127,60,11,65678,19175,12327,10341,7709,6262,5868,1687,185,18,63564,21918,21734,28867,21255,18154,14220,2807,249,35,129238,117139,236311,606145,563335,467486,319597,84684,10141,792,2405631,127390,57595,95626,94082,92313,147010,265565,193024,83502,1156107,9603,15187,40851,31461,23439,17817,15235,13812,10846,178266,254126,309094,742624,688884,583240,484426,365482,216983,95141,3740009
SOSR203,6512,10473,22736,19764,18406,14099,3105,244,32,95372,4130,2205,4797,4458,4554,8203,16247,11297,5577,61461,559,653,1445,1163,1022,841,893,928,796,8299,11201,13327,28977,25388,23973,23137,20245,12470,6405,165126,1812,8665,27973,23583,22770,15101,2463,149,14,102524,7965,9161,13451,12561,10682,10184,3816,463,30,68305,992,1234,2669,1642,1177,1490,502,59,10,9781,165,326,727,457,374,275,108,52,18,2511,10932,19382,44817,38255,35005,27045,6882,728,69,183117,339,750,1227,807,801,559,76,3,0,4567,1348,748,778,526,444,450,146,15,5,4467,1689,1500,2007,1336,1248,1011,222,21,5,9034,12618,20886,46825,39589,36248,28056,7112,743,76,192154,8979,4176,7362,6664,7469,13560,28649,20093,8848,105800,1094,1428,3004,2319,2133,1762,1725,1607,1225,16303,22689,26493,57193,48573,45847,43383,37482,22445,10153,314254
SOSR211,1690,2381,6458,5874,4489,3053,642,43,4,24634,1397,703,2442,2131,1591,2356,3850,2003,695,17175,217,219,649,567,362,247,224,164,77,2726,3307,3310,9552,8574,6435,5657,4710,2212,776,44532,667,2483,8165,8060,6079,3663,645,21,0,29781,1806,1765,3623,3379,2409,1990,701,79,8,15756,234,246,722,467,323,335,92,15,3,2445,76,141,374,248,138,91,19,10,0,1098,2783,4633,12886,12161,8946,6077,1460,120,14,49077,158,314,542,429,300,210,30,0,0,1987,459,227,308,230,147,125,35,5,3,1534,614,541,845,658,450,337,61,5,3,3523,3397,5182,13734,12817,9399,6418,1523,123,10,52602,3007,1234,3289,2964,2554,3826,6970,3699,1124,28661,432,474,1260,1113,749,509,437,290,117,5371,6840,6884,18287,16894,12696,10747,8928,4115,1244,86640
SOSR212,4453,5628,13873,13787,13512,10351,2310,155,19,64087,2629,1154,3148,2911,2915,5643,11373,7583,3556,40914,375,395,1074,973,805,736,774,764,685,6593,7452,7177,18098,17672,17229,16724,14453,8512,4258,111588,1473,5617,17599,16665,17068,11599,2012,130,14,72176,5344,4146,7278,8381,7504,7198,2784,339,17,42986,729,604,1675,1200,883,1131,396,32,7,6661,142,239,499,459,368,249,79,33,13,2094,7694,10611,27052,26713,25824,20181,5271,532,48,123925,236,491,682,531,514,365,46,3,0,2871,857,356,426,364,284,316,74,7,7,2693,1096,846,1111,900,803,675,123,9,4,5569,8789,11463,28159,27619,26624,20860,5388,543,58,129498,5707,2187,4691,4326,4787,9209,20279,13636,5662,70489,806,851,2157,1973,1715,1542,1446,1336,1053,12888,15298,14501,35005,33919,33122,31609,27121,15523,6768,212868
SOSR213,3954,4950,12197,11742,12007,9561,2264,186,24,56869,2377,1103,3058,2797,2930,5819,11996,8793,4038,42912,324,369,854,803,666,612,696,820,760,5902,6650,6421,16105,15339,15604,15992,14955,9797,4817,105687,1413,5113,15163,14136,14378,10319,1873,130,14,62547,4907,3647,6913,7444,7129,6935,2772,376,33,40150,553,474,1416,952,792,1112,373,43,9,5721,128,211,483,367,318,243,101,49,11,1908,7004,9450,23977,22900,22621,18606,5119,599,64,110334,261,452,687,461,521,437,66,3,4,2883,699,275,412,310,297,316,94,15,0,2423,961,729,1101,774,816,755,162,16,4,5311,7966,10176,25078,23672,23431,19358,5277,618,66,115639,5224,2073,4577,4271,4925,9816,21658,15859,6452,74862,679,725,1735,1556,1423,1226,1321,1395,1168,11239,13868,12978,31390,29496,29784,30404,28264,17867,7692,201740
SOSR214,1987,2469,6048,6051,6699,5925,1602,160,22,30963,1380,534,1491,1425,1692,3828,8831,6180,2979,28344,188,167,473,467,412,470,587,657,493,3913,3553,3168,8003,7948,8810,10227,11018,6996,3491,63218,731,2577,7501,6926,7735,5928,1183,86,11,32669,2341,1859,3457,3883,4048,4576,2044,294,16,22512,371,309,825,600,512,720,291,52,8,3696,107,127,257,209,186,176,80,35,17,1197,3552,4870,12040,11610,12483,11394,3604,469,49,60077,128,191,298,246,288,244,25,0,0,1420,288,146,181,142,174,211,67,11,3,1218,417,335,476,389,459,453,95,11,3,2638,3966,5205,12519,12005,12943,11847,3694,476,52,62712,3075,1099,2246,2283,2901,6521,15990,11527,4800,50436,396,353,976,958,894,988,1127,1171,777,7631,7431,6653,15735,15244,16732,19357,20813,13174,5632,120775
SOSR215,2985,3563,9508,9977,10645,9587,2433,264,25,48993,2266,780,2295,2292,2549,5733,11917,8026,3807,39662,341,306,775,770,832,755,885,807,544,6020,5591,4653,12572,13038,14019,16074,15229,9104,4381,94671,1150,3923,11773,11816,12810,10112,2012,202,11,53817,3512,2581,5480,6424,6424,7195,3130,479,31,35250,534,408,1387,914,864,1182,431,68,13,5796,190,234,445,363,407,257,147,53,17,2099,5384,7141,19083,19513,20505,18745,5719,807,76,96962,164,291,446,359,421,425,67,0,0,2178,466,182,236,237,210,347,103,13,0,1791,633,476,687,589,638,766,168,16,0,3966,6015,7617,19773,20103,21137,19512,5883,817,75,100932,4872,1418,3311,3417,4270,9708,22064,14954,6120,70135,718,683,1549,1594,1689,1610,1765,1411,844,11855,11609,9710,24622,25116,27099,30827,29708,17187,7040,182919
SOSR221,823,851,2313,2609,3090,2883,714,58,6,13342,610,188,551,594,721,1747,3394,1917,805,10518,90,68,161,229,220,286,242,196,184,1682,1517,1105,3027,3428,4039,4911,4350,2170,991,25541,364,988,2746,3042,3626,2881,584,54,5,14285,921,635,1370,1776,1928,2346,933,117,7,10034,160,84,364,268,223,370,159,12,6,1643,52,51,115,112,111,99,38,15,4,586,1495,1752,4589,5201,5886,5696,1712,201,18,26550,39,56,116,82,136,139,18,0,0,586,92,46,57,53,69,95,26,0,0,433,131,99,168,133,207,234,49,0,0,1018,1628,1860,4754,5333,6094,5930,1758,198,18,27569,1311,364,770,916,1232,3159,6643,3838,1336,19561,185,153,336,443,482,567,552,376,279,3381,3120,2380,5859,6692,7804,9661,8956,4418,1634,50519
SOSR222,556,784,1469,1556,1862,1722,409,41,4,8410,362,110,311,359,393,1039,1665,958,339,5541,114,148,178,185,212,229,136,102,55,1366,1031,1046,1962,2104,2466,2992,2207,1101,399,15310,198,632,1649,1788,2220,1794,406,50,0,8738,589,688,1039,993,1156,1340,539,66,7,6418,104,145,220,191,215,269,93,11,3,1251,39,48,80,54,71,49,28,7,0,392,929,1516,2984,3036,3666,3453,1071,132,15,16800,23,38,74,54,82,97,16,0,0,382,54,27,54,38,43,60,16,0,0,285,71,63,122,92,121,159,34,0,0,670,1004,1580,3105,3130,3788,3615,1106,135,13,17467,790,209,464,543,690,1847,3321,1876,582,10322,226,293,389,354,435,466,334,197,98,2783,2013,2076,3955,4025,4911,5923,4766,2203,689,30571
SOSR231,6816,6869,14126,18065,24528,22326,7277,1296,133,101432,4937,1340,2945,3606,4655,10288,17515,8711,2462,56468,904,645,1394,1777,2143,2304,1894,1132,392,12583,12664,8853,18465,23449,31328,34925,26686,11135,2986,170485,3331,8182,17726,22434,30932,26415,8385,1701,161,119274,7826,4970,7887,11409,14471,16743,8410,1851,237,73806,1250,780,1891,1516,1928,2591,1011,189,36,11188,493,432,766,751,1044,906,588,311,65,5358,12902,14363,28270,36115,48377,46652,18397,4056,501,209629,248,435,603,464,709,728,102,4,4,3296,880,301,293,266,417,610,180,21,0,2967,1132,737,901,733,1121,1339,278,32,0,6267,14031,15102,29165,36845,49497,47990,18674,4081,507,215895,10478,2767,5606,6349,8353,18274,34997,18268,4577,109660,1880,1432,2839,3562,4437,4853,4166,2338,736,26238,26388,19304,37612,46759,62285,71112,57831,24688,5814,351794
SOSR279,0,0,7,5,7,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,4,12,42,45,44,5,0,0,147,0,0,0,5,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,16,44,56,44,5,0,0,170,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,20,44,52,44,5,0,0,174,0,0,0,0,0,3,0,0,0,9,0,9,38,96,129,106,13,0,0,385,0,4,52,140,182,158,16,0,0,565
SOSR301,40286,63324,139111,133941,119198,76249,16162,1366,97,589737,26868,13715,29408,28686,26913,42841,76056,49570,21161,315213,2753,4042,9321,7187,5340,3998,3583,3529,3345,43104,69902,81077,177846,169808,151446,123094,95806,54462,24608,948050,9418,52455,171979,176450,160820,95118,15836,1009,46,683129,43214,48891,70941,68457,56059,44172,16854,2416,141,351136,10931,12472,20971,15063,12056,10732,3441,359,41,86064,1047,2441,5204,3587,2524,1528,451,154,50,16980,64613,116257,269095,263557,231458,151549,36580,3936,275,1137316,2896,6177,9261,6585,6031,4458,571,26,5,36014,10190,5351,5052,3683,2846,2667,804,66,14,30673,13087,11529,14322,10261,8875,7127,1373,88,20,66684,77700,127787,283414,273820,240332,158675,37956,4021,295,1204003,59695,26306,45769,42348,42620,70567,135948,90062,33826,547142,5652,8330,18880,14651,11305,8334,7084,6180,4919,85328,143043,162421,348060,330818,294257,237578,180987,100265,39044,1836477
SOSR302,16218,21493,47149,48669,48865,35086,8933,820,52,227287,8137,4020,9242,9706,10326,19804,40537,27625,10420,139819,1215,1750,4067,3382,2979,2785,2769,2735,2339,24020,25570,27261,60461,61758,62169,57674,52238,31178,12814,391122,3673,16660,51067,56038,57951,36276,7192,523,15,229394,18230,16659,27752,29177,27316,23980,10325,1578,95,155108,4473,4534,8155,6242,5724,5521,1867,257,22,36800,487,1000,2164,1551,1238,774,242,92,40,7575,26862,38848,89129,93003,92227,66555,19625,2451,168,428878,989,1644,2650,2060,2327,1984,295,18,4,11965,3208,1538,1726,1428,1235,1487,503,52,4,11180,4196,3187,4370,3485,3560,3468,797,69,9,23142,31062,42031,93503,96494,95795,70015,20422,2520,182,452020,18361,7569,14030,14179,16413,32542,72661,51829,17725,245316,2446,3367,8221,6689,5972,5324,5407,4932,3557,45919,51864,52973,115746,117364,118180,107886,98495,59285,21461,743253
SOSR303,8575,11131,23570,23121,22977,16587,4033,375,35,110408,4881,2620,5333,4727,4662,8329,15858,10600,4388,61392,880,1205,2648,2042,1810,1647,1450,1127,712,13524,14339,14966,31555,29890,29449,26563,21333,12103,5134,185326,2751,11623,29392,28306,29163,19704,3563,251,11,124763,10268,7968,12526,12282,11205,9901,4180,620,38,68976,658,894,2561,1694,1630,1886,590,66,9,9984,268,484,885,608,464,313,117,46,10,3189,13940,20966,45368,42896,42457,31792,8446,981,71,206917,616,1068,1610,1180,1213,963,111,8,3,6768,1762,761,886,709,629,613,199,17,3,5581,2380,1830,2500,1886,1836,1580,311,23,9,12353,16317,22801,47862,44784,44296,33374,8756,1003,73,219269,10484,4538,8238,7642,8182,14455,29540,19459,6962,109500,1900,2930,5586,4222,3883,3460,3107,2141,1133,28354,28695,30266,61690,56646,56362,51290,41402,22605,8166,357125
SOSR311,4645,5436,11875,11950,12118,9300,2086,190,14,57615,2330,1214,3003,2629,2845,6675,12569,8903,3597,43760,412,531,1060,935,881,842,870,989,577,7101,7384,7178,15938,15513,15837,16812,15528,10089,4182,108471,1901,6153,14809,14766,15256,10955,1934,117,0,65896,5498,3484,6195,6507,5909,5743,2115,257,21,35736,289,377,1237,825,867,1080,302,38,0,5025,181,239,576,384,328,252,74,42,11,2080,7868,10256,22823,22478,22355,18033,4430,455,37,108728,465,583,885,655,662,616,85,7,0,3949,903,368,483,384,352,419,107,3,0,3014,1366,945,1365,1040,1011,1035,186,10,0,6959,9234,11198,24182,23521,23370,19066,4615,464,42,115694,5077,2014,4348,4059,4927,11227,23613,16655,5935,77858,860,1048,2240,1962,1892,1825,1787,1765,945,14326,15175,14255,30772,29547,30185,32120,30015,18884,6922,207873
SOSR312,1591,1745,3803,4069,4435,3682,771,67,7,20165,972,494,1234,1224,1441,3054,5726,3896,1489,19521,133,129,341,312,299,280,290,319,231,2339,2694,2367,5372,5607,6170,7016,6787,4280,1727,42025,547,1802,4622,4861,5352,3972,662,39,0,21862,1765,1205,2172,2387,2456,2431,868,103,3,13392,240,215,518,414,466,559,160,11,0,2592,52,96,184,129,134,107,30,19,5,756,2595,3322,7498,7794,8413,7073,1715,176,17,38599,252,306,394,329,336,321,47,0,0,1988,343,154,207,179,145,194,46,3,0,1284,600,466,600,508,481,519,92,7,0,3277,3196,3785,8099,8304,8899,7587,1811,184,19,41877,2082,820,1791,1857,2405,5202,10791,7279,2478,34703,287,278,700,726,682,623,590,571,363,4818,5564,4884,10581,10880,11984,13415,13192,8036,2855,81391
