SOSR_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR731,528,676,1720,1764,2024,1602,412,27,3,8748,463,320,734,635,544,1264,1776,425,70,6228,133,191,477,392,421,485,377,85,5,2567,1125,1185,2932,2797,2989,3350,2568,539,75,17550,420,996,2418,2390,2786,1915,463,51,0,11441,431,276,620,665,706,713,292,34,5,3744,31,70,376,406,540,711,214,13,0,2356,30,53,86,78,73,66,37,7,0,438,919,1395,3496,3539,4102,3406,1005,108,7,17978,73,85,184,120,138,89,23,0,0,714,52,17,52,41,46,38,14,0,0,267,125,108,236,155,184,135,37,0,0,979,1044,1505,3734,3700,4291,3534,1040,114,7,18962,1037,706,1457,1252,1090,2375,3813,1042,120,12899,302,491,1230,1048,1172,1152,886,224,16,6515,2380,2699,6425,6001,6547,7058,5743,1378,145,38374
SOSR779,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,3,7,4,0,15,0,0,5,0,0,0,5,0,0,17,0,15,12,3,7,12,21,5,0,64,0,17,30,61,69,60,6,0,0,235,0,0,6,5,4,0,0,0,0,16,0,0,0,0,4,3,6,0,0,18,0,5,7,0,0,0,0,0,0,13,0,17,42,59,79,62,11,0,0,282,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,42,67,79,64,11,0,0,285,0,5,0,0,3,4,18,5,0,47,4,3,17,43,43,34,11,3,0,151,11,27,58,105,120,106,42,10,0,482
SOSR802,7961,14277,33005,29950,23971,14272,3254,297,29,127007,4457,2085,4258,3784,3373,8250,14725,9619,3884,54433,578,873,1629,1124,806,589,636,516,429,7174,13001,17233,38891,34854,28151,23111,18615,10430,4333,188615,2176,13208,46099,42946,36352,19193,3246,196,16,163423,9897,11894,14756,13511,9237,7659,3615,598,46,71216,690,905,3007,2531,1523,1354,416,50,10,10484,124,387,950,534,358,180,63,16,4,2618,12898,26389,64807,59524,47465,28384,7343,858,76,247742,324,747,1406,920,727,536,78,3,0,4747,2099,998,780,492,354,370,147,15,0,5252,2423,1746,2186,1410,1077,908,231,19,0,9995,15318,28137,66993,60931,48544,29292,7570,880,82,257739,9914,4395,6933,5602,5599,13995,25994,17174,6427,96043,1148,1858,3504,2482,1744,1320,1192,947,688,14879,26383,34392,77435,69014,55886,44609,34756,18995,7190,368662
SOSR822,17,15,20,38,44,25,10,0,0,170,5,0,6,3,4,12,19,16,3,68,0,0,0,3,0,0,0,0,0,5,23,17,23,46,52,41,25,16,3,239,4,18,36,55,63,28,0,0,0,205,21,9,8,18,28,12,5,4,0,107,5,0,3,3,3,0,0,0,0,20,0,0,0,0,0,5,0,0,0,7,26,26,46,88,93,45,15,5,0,332,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,9,35,24,46,88,93,43,12,5,0,346,15,0,5,6,4,18,35,20,6,119,4,0,0,3,0,0,9,0,0,21,47,24,54,94,99,69,55,33,6,482
SOSR831,4,20,48,22,25,27,9,0,0,163,9,3,12,0,4,10,11,5,5,51,3,9,5,0,9,9,7,0,0,39,19,36,58,30,32,45,21,3,5,250,18,51,79,40,34,26,15,0,0,267,8,11,15,11,13,17,10,3,0,81,0,0,14,0,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,5,31,67,106,53,50,46,26,3,0,378,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,31,64,106,56,50,48,26,3,0,385,14,3,10,0,6,16,26,9,4,83,8,21,18,4,13,15,8,0,0,85,51,87,133,61,71,74,58,9,7,555
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,22,15,63,86,86,64,24,0,0,351,9,5,5,9,11,20,29,11,0,100,3,8,32,28,31,29,12,4,0,153,32,28,106,131,127,111,57,11,0,605,5,25,122,114,126,102,47,0,0,542,24,9,33,34,24,36,21,0,0,181,0,0,4,6,5,7,3,0,0,25,0,0,5,0,3,3,5,0,0,23,30,37,158,156,164,149,79,0,0,777,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,12,29,37,158,160,169,154,76,0,0,793,20,5,9,14,18,27,65,29,4,190,7,22,89,66,72,47,38,3,0,346,59,67,261,240,258,227,175,36,4,1327
SOSR921,26,29,62,84,107,146,63,15,0,529,9,4,8,11,14,37,77,46,20,222,4,3,9,13,12,14,12,11,0,84,40,35,74,112,133,196,156,72,20,839,11,31,57,95,122,161,46,9,0,530,35,17,41,53,50,93,57,17,0,363,9,5,8,7,13,19,14,0,0,72,0,0,0,0,3,6,0,0,0,14,51,52,106,159,195,272,111,25,0,979,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,9,0,0,0,23,51,53,104,161,197,279,113,29,0,998,17,8,11,19,20,58,141,85,31,394,5,6,19,26,28,39,28,23,5,180,83,70,133,209,247,379,279,139,37,1571
SOSR922,16,30,53,35,36,33,6,0,0,210,4,3,4,10,4,22,28,11,0,96,3,4,14,9,10,15,13,3,0,73,21,39,75,53,50,75,41,16,0,380,33,57,108,55,49,56,7,0,0,364,8,9,19,25,18,22,0,0,0,97,0,0,3,3,10,9,5,0,0,27,0,4,0,0,0,0,0,0,0,3,39,66,129,80,71,87,13,6,0,497,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,4,0,0,0,10,38,68,130,83,71,91,13,6,0,504,7,4,8,15,7,32,53,33,10,164,5,8,18,17,23,39,28,16,0,150,50,86,160,116,100,164,92,45,10,821
SOSR931,10,11,31,26,48,36,17,3,0,190,6,8,4,3,11,15,25,24,3,86,7,9,11,0,13,6,10,9,0,62,15,19,44,33,70,60,49,41,4,338,4,13,39,40,57,40,20,0,0,211,4,5,12,17,21,19,24,13,0,116,0,0,4,3,0,3,0,0,0,17,0,0,0,0,3,0,0,0,0,11,15,23,55,61,90,71,46,10,0,361,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,12,0,0,0,3,0,6,0,0,0,16,15,23,55,66,94,68,46,10,0,374,12,26,113,57,51,30,52,41,6,391,4,5,20,12,25,20,22,21,0,124,37,52,186,130,162,121,120,69,10,886
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
