SOSR_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOSR613,2127,111,10,60,0,2312,1503,38,0,6,0,1550,277,122,4,3,4,400,195,128,0,0,0,321,33,45,3,0,0,83,372,89,12,10,0,480,39,9,0,11,0,57,11,15,0,0,0,22,918,401,15,21,5,1359,39,25,0,8,0,69,190,77,5,13,0,281,4782,647,31,108,8,5573
SOSR614,2329,51,12,23,6,2413,2428,21,3,5,0,2457,589,69,16,7,0,683,263,97,15,0,0,372,55,43,10,0,0,108,478,39,11,6,4,538,48,13,0,6,0,72,12,9,0,0,0,16,1446,273,52,16,3,1788,74,9,0,4,0,88,317,55,5,22,7,407,6588,403,81,70,7,7154
SOSR615,9915,244,150,127,20,10457,8542,131,62,18,10,8763,2468,364,178,28,9,3039,658,228,53,0,0,941,159,144,36,0,0,337,1726,152,84,28,3,1988,209,51,25,70,9,363,54,19,3,0,0,83,5271,953,381,126,27,6752,343,33,18,13,9,418,1181,133,58,97,10,1475,25252,1494,663,389,69,27870
SOSR621,3846,42,17,61,12,3977,2937,31,4,13,7,2995,588,50,13,4,3,661,66,16,21,0,0,105,25,37,9,0,0,74,670,28,12,6,3,729,155,20,6,28,5,215,11,9,0,0,0,22,1513,164,57,37,17,1795,165,9,4,3,12,201,474,34,9,68,6,594,8943,278,95,185,54,9549
SOSR622,1863,8,0,40,16,1919,1210,5,0,4,0,1221,197,10,0,0,0,203,13,6,9,0,0,30,17,4,6,0,0,21,271,4,7,8,0,293,27,4,0,5,3,36,4,0,0,0,0,9,534,34,25,10,5,599,76,0,0,3,3,82,226,8,0,13,4,254,3902,46,27,71,25,4077
SOSR631,18320,67,18,214,50,18660,14967,47,12,47,24,15094,1260,8,6,9,0,1284,53,7,3,0,0,66,37,0,0,0,0,46,2410,9,11,28,20,2478,653,10,13,53,29,750,45,0,0,0,0,50,4455,36,36,96,49,4674,1300,8,8,35,23,1378,2468,22,4,117,10,2622,41506,182,84,504,157,42432
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,4985,562,1058,875,42,7520,10960,1009,2014,55,10,14049,3991,1694,6214,12,28,11940,1149,758,706,4,9,2631,152,31,90,4,7,282,1730,597,1357,44,41,3769,1123,107,401,296,75,1998,46,18,55,4,0,125,8196,3206,8816,367,165,20748,350,87,146,43,23,651,1686,490,1098,711,124,4102,26172,5349,13137,2047,357,47064
SOSR712,1023,174,23,320,73,1614,2479,574,47,26,10,3132,685,885,213,3,21,1808,436,328,23,0,5,797,63,47,3,0,25,137,465,263,33,15,20,802,127,124,27,123,53,460,6,5,0,0,0,15,1785,1657,306,148,122,4022,108,101,20,23,20,279,304,184,38,269,37,835,5704,2694,428,791,270,9878
SOSR714,200,13,0,87,30,331,400,18,0,4,3,431,339,165,13,0,3,515,117,119,14,4,0,259,46,13,0,0,0,58,109,29,0,3,0,144,115,45,3,27,31,221,9,4,0,0,0,8,728,371,34,32,37,1202,43,12,0,4,3,62,150,103,20,69,13,357,1528,518,62,194,93,2392
