SOSR_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SOSR214,23403,1618,128,292,45,25484,17604,540,60,33,24,18266,6678,1673,229,39,15,8635,1093,582,82,0,0,1758,164,185,62,0,0,416,2459,349,55,36,9,2913,261,74,24,142,14,510,74,46,8,3,0,128,10733,2906,461,220,46,14370,765,291,28,24,7,1113,2992,514,85,199,29,3817,55492,5865,764,771,157,63048
SOSR215,34953,1233,291,561,61,37102,31411,517,123,73,43,32169,7829,1302,402,50,22,9600,1042,420,209,7,0,1677,226,158,77,5,0,461,4104,382,84,58,30,4653,530,71,26,229,26,887,95,38,12,8,0,156,13826,2370,805,355,79,17435,1151,95,58,28,10,1346,5079,504,171,304,36,6091,86422,4719,1447,1319,228,94135
SOSR221,10878,146,64,247,18,11352,8840,86,38,38,4,9003,1529,101,131,8,3,1770,67,96,22,0,0,193,38,45,14,0,0,95,1267,35,18,26,9,1350,183,15,8,72,3,287,26,7,0,0,0,38,3110,302,193,102,11,3733,382,27,10,17,3,434,1516,74,84,112,8,1794,24722,636,391,517,51,26316
SOSR222,5773,54,138,105,20,6088,4911,34,46,21,9,5017,608,47,35,5,5,697,37,19,18,0,0,72,14,10,4,0,0,32,721,15,42,12,4,796,132,10,42,42,10,244,17,0,0,3,0,23,1540,107,143,59,17,1868,239,0,21,12,3,277,976,28,46,54,14,1120,13438,224,395,247,63,14366
SOSR231,71034,269,63,1129,161,72652,55377,145,29,154,87,55794,4555,54,34,43,18,4708,78,29,5,3,6,118,84,6,8,4,6,104,7064,37,26,72,42,7249,2246,23,12,437,55,2769,132,0,0,32,3,169,14158,158,90,586,128,15116,5576,33,12,100,55,5772,12426,86,48,699,48,13305,158570,683,243,2662,475,162638
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,172598,15047,18021,959,183,206808,256537,19607,21231,96,185,297650,110279,41097,66100,164,505,218142,11911,5408,7302,6,48,24673,1004,1257,1971,13,33,4282,25087,6219,11455,92,204,43059,4627,5348,2842,1157,151,14127,631,448,422,27,8,1533,153541,59771,90091,1458,959,305814,5242,4197,3002,38,103,12580,21076,7305,9099,1176,260,38920,608985,105923,141445,3736,1681,861772
SOSR302,65431,16693,17868,2171,408,102567,85416,16373,11276,98,174,113331,33063,18076,24533,86,277,76037,1847,1825,2028,0,6,5711,236,373,643,6,4,1260,8179,4938,6568,78,145,19905,1018,2630,2490,579,173,6892,206,176,240,15,8,650,44549,28024,36502,757,618,110447,2138,2758,1724,69,44,6730,7977,4193,6943,731,192,20030,205503,68043,74318,3820,1434,353110
SOSR303,35765,3302,2561,1087,205,42921,49033,2315,2236,61,62,53705,22099,9716,8047,48,146,40060,2900,1726,1105,8,20,5746,331,465,265,9,12,1085,7630,1958,1628,52,65,11342,1985,475,649,388,174,3673,184,104,70,9,5,367,35129,14450,11766,514,420,62277,1292,954,216,36,43,2546,5889,2123,2183,487,163,10836,127099,23139,18970,2185,888,172279
SOSR311,28340,1816,1058,1335,270,32824,28897,870,427,63,42,30296,11995,4378,2024,50,73,18519,1714,1363,496,0,11,3577,314,331,207,6,0,865,5342,864,533,67,41,6847,650,251,214,407,136,1661,114,74,51,3,0,246,20129,7260,3531,530,260,31711,1268,553,209,44,43,2109,3984,1291,736,435,92,6539,82607,11787,5961,2417,706,103483
SOSR312,12079,1117,375,378,25,13973,11092,464,216,16,12,11801,5015,1604,1508,3,16,8152,663,503,283,4,0,1453,119,213,108,0,0,446,1895,279,240,11,5,2435,216,86,76,132,14,517,46,35,40,5,0,122,7947,2721,2256,151,43,13126,338,420,61,24,7,851,1328,425,325,266,19,2354,32784,5143,3233,839,107,42107
SOSR313,15389,656,480,970,274,17778,18060,461,332,85,53,18996,10199,2464,1649,33,38,14388,900,375,278,5,5,1558,152,188,81,4,4,422,3149,439,371,48,35,4045,780,348,175,297,168,1772,70,46,20,6,0,135,15254,3854,2580,389,253,22326,688,308,94,60,45,1193,2523,592,420,568,81,4191,51910,5876,3906,2080,712,64477
SOSR314,16543,784,209,1115,136,18793,19428,263,117,59,23,19888,8587,2236,938,49,16,11825,993,516,170,8,3,1695,262,227,62,0,7,557,3211,436,176,49,23,3895,1480,520,106,367,96,2562,79,51,16,7,0,150,14615,3981,1460,478,143,20678,724,170,53,32,21,1004,3525,701,350,460,111,5141,54827,5898,2193,2146,436,65498
SOSR315,29755,779,477,2256,414,33680,28210,425,251,135,70,29093,12215,2060,1136,81,57,15551,2408,536,323,7,15,3289,576,224,214,0,9,1028,4877,355,335,105,80,5749,2379,471,320,694,233,4093,166,49,40,14,0,261,22620,3691,2362,901,392,29971,1450,274,110,115,117,2068,5671,748,486,855,227,7988,87712,5921,3679,4266,1219,102799
SOSR321,13420,125,130,1276,222,15178,11652,73,44,99,32,11896,2598,223,113,20,5,2957,1235,131,123,12,3,1506,431,59,39,6,3,538,2208,87,82,36,24,2434,808,100,58,297,104,1376,60,16,4,3,0,90,7346,618,428,373,143,8894,680,49,32,58,43,862,2591,135,90,342,54,3212,35684,1000,721,2144,486,40035
SOSR322,6474,49,24,1440,168,8158,4182,32,16,88,26,4334,1066,139,55,14,0,1274,978,66,57,4,6,1100,344,40,54,10,6,436,1219,43,42,38,9,1354,637,67,30,279,73,1085,57,3,8,5,0,72,4289,356,240,342,94,5322,460,23,15,51,31,572,1379,75,52,299,37,1842,16784,530,339,2216,353,20226
SOSR331,64344,460,169,4721,1126,70811,54852,332,104,491,221,55998,6250,134,102,65,42,6593,329,17,31,18,18,415,273,24,27,10,9,345,9382,100,91,250,181,10005,2905,45,17,942,426,4337,192,0,0,14,10,223,19334,323,264,1309,682,21910,6489,80,132,441,324,7465,13509,161,145,1919,308,16041,158524,1356,810,8878,2666,172232
SOSR379,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
SOSR401,124398,17499,6158,529,168,148746,149151,19954,6406,104,263,175875,39540,19354,16936,134,255,76217,8786,9729,3298,0,58,21870,2784,3191,1593,7,43,7622,20464,7449,5451,112,161,33633,2590,921,962,285,94,4848,444,344,219,5,9,1020,74611,40985,28460,536,612,145208,4016,5426,2338,48,53,11885,10118,4725,2718,457,166,18189,362297,88582,46079,1673,1267,499902
SOSR412,9485,1368,171,70,31,11118,13300,1205,115,5,18,14645,4018,1565,633,0,9,6222,806,1832,340,0,0,2978,145,140,29,0,0,319,1475,475,122,3,11,2088,365,132,59,38,47,634,26,39,17,0,0,87,6834,4185,1201,42,68,12319,521,387,35,9,22,972,1003,778,127,47,35,1985,31142,7909,1649,168,179,41046
SOSR413,12594,594,111,177,77,13560,10884,323,44,18,22,11287,3753,1038,355,3,20,5169,1044,850,285,0,8,2191,168,123,76,0,3,369,1939,272,97,14,10,2335,323,95,27,110,12,576,47,27,8,0,0,87,7272,2407,853,133,59,10724,670,280,61,11,17,1037,1317,456,143,295,17,2223,32734,4051,1217,636,191,38830
SOSR414,4852,183,15,78,11,5132,4361,75,6,7,19,4470,1353,175,47,4,0,1585,175,48,0,0,0,222,133,79,0,0,0,212,757,58,12,0,9,842,125,17,0,24,5,167,20,3,0,0,0,30,2563,380,64,32,15,3054,309,135,8,3,3,462,478,70,8,13,33,600,12563,842,99,131,86,13723
SOSR415,16467,721,93,516,91,17884,15401,323,26,46,35,15829,4187,728,326,22,14,5274,931,445,47,3,5,1432,231,252,20,0,0,503,2708,293,108,42,20,3165,889,107,43,191,60,1283,74,41,10,8,0,136,9020,1858,556,258,100,11788,826,521,42,35,17,1438,2356,320,86,252,36,3051,44066,3740,795,1107,278,49995
SOSR421,5149,74,13,201,30,5460,4356,43,10,25,8,4442,674,54,10,7,6,752,205,62,25,0,0,307,75,62,19,0,0,158,927,54,11,37,8,1032,202,14,0,74,10,303,23,3,4,0,0,30,2104,249,77,124,26,2577,274,41,9,18,8,344,782,48,17,84,11,946,12664,459,117,450,79,13767
SOSR422,3426,27,3,143,36,3629,2493,24,0,20,10,2546,339,14,7,6,3,367,269,16,23,3,5,315,76,20,8,0,0,104,611,25,4,16,4,656,153,11,13,69,10,259,13,0,0,0,0,13,1454,89,52,92,26,1717,208,31,9,13,0,265,589,13,22,138,19,782,8172,186,85,408,93,8936
SOSR431,23895,160,29,700,252,25033,18167,91,8,93,58,18423,1476,18,28,5,12,1534,253,10,0,5,9,276,172,4,0,6,6,189,3198,46,19,43,53,3362,1053,14,7,194,118,1389,60,0,0,4,0,67,6213,98,52,253,196,6822,2447,26,11,68,91,2634,3620,54,16,283,74,4048,54341,424,123,1395,665,56953
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,180964,24321,8558,1514,164,215520,276766,28235,10926,109,159,316201,69612,28449,26676,105,145,124981,7088,8757,2836,7,26,18710,1194,1996,1010,6,21,4229,33778,10567,6452,121,88,51005,3957,1318,824,458,74,6632,601,379,180,6,5,1168,116224,51468,37979,698,347,206721,6109,5095,2170,74,44,13494,19759,6508,4671,1704,298,32943,599829,115629,64306,4103,1012,784879
SOSR511,7223,653,91,164,6,8136,10958,403,54,10,15,11442,3073,803,269,9,5,4166,373,498,39,0,4,912,54,165,75,0,0,299,1670,305,63,3,4,2045,165,64,9,97,4,332,33,15,3,0,0,49,5361,1856,453,112,15,7799,291,249,27,19,6,590,923,312,78,181,12,1509,24764,3480,700,483,60,29481
