SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR101,84141,110680,194824,178027,208000,386028,7260,7817,15074,24792,28284,53083,1381,1428,2811,514091,565615,1079703,1560,1799,3361,83715,88300,172011,4418,5772,10195,5057,5418,10469,3017,3694,6712,14203,14437,28635,10070,11168,21239,19673,23534,43208,32642,37674,70318,1505,2036,3538,4386,5320,9711,28908,36102,65014,56253,63386,119640,1624,1805,3428,992588,1111581,2104161,131116,118928,250044,169452,156299,325749,17930,19068,36996,167,176,342,20177,17633,37806,12618,13885,26511,32963,31698,64660,717157,657186,1374345,7079,5601,12681,2674,4203,6876,726912,666988,1393894,160407,148476,308883,6223,6705,12928,2321728,2370429,4692155
SOSR102,4084,6250,10331,69361,85393,154753,18,16,38,6234,7264,13503,436,467,902,103338,119400,222735,316,463,779,9715,9894,19611,1721,2311,4030,774,903,1668,1068,1401,2476,521,475,997,2881,3251,6125,4676,5644,10319,9263,11029,20294,938,1340,2278,1440,1744,3184,12159,16952,29109,12217,14006,26219,412,486,894,237489,282434,519917,4733,3968,8702,6488,5719,12205,472,503,970,122,103,229,1134,977,2106,1237,1860,3095,2492,2938,5429,220256,202589,422848,1937,1556,3494,802,1369,2168,223002,205513,428511,32429,31791,64220,532,567,1099,511714,539686,1051395
SOSR111,632,918,1551,13548,16725,30271,0,0,0,1344,1486,2831,158,148,306,18990,22233,41220,64,88,149,348,349,691,278,422,700,132,146,279,437,680,1119,38,44,82,382,500,879,983,1272,2260,2227,2674,4902,201,303,506,244,307,555,2404,3420,5823,1921,2302,4226,53,54,106,43753,53151,96908,1168,1023,2195,623,529,1153,63,51,112,26,28,56,736,643,1378,459,657,1117,1228,1323,2551,39106,37214,76315,279,221,503,130,197,329,39513,37637,77150,6365,6059,12427,118,104,222,93461,100805,194269
SOSR112,2008,2801,4810,38832,47969,86799,4,7,9,2816,3189,6005,747,753,1503,54234,63068,117302,189,235,421,1007,985,1996,879,1118,1993,356,409,770,618,781,1399,220,204,422,1237,1342,2576,1868,2396,4262,6118,7669,13785,588,744,1328,1763,2097,3867,7226,9828,17060,5439,6291,11733,244,278,523,124391,149358,273750,3735,3330,7065,2182,1765,3951,225,204,424,89,96,185,1227,1052,2279,1334,1860,3190,2654,3007,5663,96160,90192,186354,852,654,1505,350,581,931,97362,91428,188791,23371,19552,42923,543,350,889,256476,271792,528266
SOSR113,702,1154,1855,18810,22564,41371,0,0,0,1341,1622,2967,135,128,266,21260,24619,45878,57,73,129,546,551,1096,461,633,1097,112,142,257,252,301,558,51,38,90,333,390,726,741,938,1680,2632,3078,5706,292,461,750,276,357,637,3399,4564,7962,1889,2244,4134,77,94,171,52664,62800,115465,548,453,997,402,303,705,123,130,252,43,63,104,166,165,326,242,415,657,452,638,1092,49171,45455,94622,341,276,610,192,332,529,49706,46064,95767,10106,8800,18903,181,128,314,114887,120460,235348
SOSR114,762,1136,1904,22305,26835,49143,14,8,19,1371,1641,3007,269,272,539,27893,31750,59642,47,65,113,574,542,1114,462,613,1078,129,149,274,307,408,717,60,67,122,356,333,686,928,1264,2192,3522,4163,7684,245,338,583,342,466,804,3543,4879,8421,2232,2628,4856,69,88,161,64654,76505,141160,934,854,1787,675,622,1301,82,96,178,52,57,107,885,789,1675,255,452,704,1188,1294,2488,48001,44646,92643,289,249,539,150,281,430,48440,45178,93612,11092,10258,21354,203,144,349,128038,136091,264128
SOSR115,1016,1654,2670,33162,38606,71767,4,5,16,1788,2028,3815,197,193,393,36641,41074,77715,80,85,162,741,779,1520,602,854,1452,182,236,424,550,667,1217,45,48,86,545,583,1131,1139,1387,2527,4641,5257,9891,361,415,779,425,487,910,5341,7027,12364,3046,3632,6676,92,126,215,89584,103494,193071,712,614,1332,586,454,1044,218,254,469,60,58,117,271,259,528,422,717,1138,755,1033,1783,72353,66864,139222,529,449,977,255,505,756,73131,67821,140953,16540,14801,31343,293,214,507,182822,190341,373167
SOSR121,235,389,626,8682,9613,18292,0,0,0,525,616,1142,23,26,43,9435,10283,19721,27,27,47,215,181,394,213,256,463,52,50,107,259,263,525,11,12,26,133,142,273,353,466,818,1272,1411,2685,77,114,190,161,201,361,1549,1814,3367,974,1126,2102,48,48,90,24001,26652,50659,113,114,223,93,106,192,58,61,117,21,17,37,72,78,154,117,171,290,214,267,476,20345,18503,38852,162,114,277,86,130,211,20592,18751,39340,3997,3792,7787,75,48,121,49359,50171,99534
SOSR122,142,222,362,4883,5100,9982,0,0,0,299,309,607,32,24,60,4786,5056,9843,16,25,36,111,109,215,86,106,190,25,28,47,61,85,138,13,14,24,81,64,150,176,196,375,643,663,1304,62,64,131,64,88,155,759,919,1677,515,531,1048,33,36,71,12654,13409,26069,43,41,91,57,44,98,33,20,62,28,36,64,15,7,28,63,127,190,109,167,280,10502,9301,19800,98,71,171,45,60,99,10639,9431,20071,3035,2623,5658,74,54,123,26784,26017,52811
SOSR131,1633,2117,3749,52984,55001,107988,54,56,107,3245,3278,6519,169,168,338,65554,64607,130157,113,148,266,1745,1571,3317,1008,1147,2159,282,287,569,1116,1199,2310,145,137,281,890,898,1785,1856,2054,3916,8326,7894,16222,442,515,958,1197,1288,2478,9926,10653,20580,6199,6713,12911,302,286,590,155540,157909,313453,610,561,1169,1509,1347,2860,329,312,640,88,76,162,466,416,877,708,1006,1716,1261,1501,2761,104178,89915,194087,754,585,1348,447,661,1113,105381,91160,196544,31060,25751,56808,490,411,907,297813,281081,578892
